School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Beckendorff J H,https://www.schooldigger.com/go/TX/schools/2517010763/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,8200 Fry Rd,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend County,(281) 237-8800,No,No,No,(n/a),1695,95.8,17.6,12.9,7.1,0.1,35,19.6,0.1,3.4,34.7,98.9
Carroll Middle,https://www.schooldigger.com/go/TX/schools/1302008923/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,1800 E Kirkwood Blvd,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant County,(817) 949-5400,No,No,No,(n/a),765,52.2,14.6,1.6,2.5,0,24.4,11,0.1,4.2,57.8,98.9
Ut Tyler University Academy At Longview,https://www.schooldigger.com/go/TX/schools/0142712830/school.aspx,Ut Tyler University Academy,https://www.schooldigger.com/go/TX/district/01427/search.aspx,3201 N Eastman Rd,Longview,https://www.schooldigger.com/go/TX/city/Longview/search.aspx,75705,Gregg County,(903) 663-8219,No,Yes,No,(n/a),258,16.4,15.7,27.5,6.6,0,1.9,12.8,0.4,5,73.3,98.8
Coppell Middle East,https://www.schooldigger.com/go/TX/schools/1521003702/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,400 Mockingbird,Coppell,https://www.schooldigger.com/go/TX/city/Coppell/search.aspx,75019,Dallas County,(214) 496-6600,No,No,No,(n/a),1095,66.5,16.4,10.2,5.5,0,42.9,12.1,0.1,3.1,36.3,98.8
School For The Highly Gifted,https://www.schooldigger.com/go/TX/schools/2142013172/school.aspx,Grand Prairie Independent School District,https://www.schooldigger.com/go/TX/district/21420/search.aspx,2990 S Hwy 161,Grand Prairie,https://www.schooldigger.com/go/TX/city/Grand+Prairie/search.aspx,75052,Dallas County,(972) 343-7864,No,Yes,No,(n/a),154,15.9,9.6,33.8,27.9,0.6,18.2,21.4,0,5.8,26,98.8
Smith Middle,https://www.schooldigger.com/go/TX/schools/1611011392/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,10300 Warner Smith Blvd,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77433,Harris County,(281) 213-1010,No,No,No,(n/a),1740,90.1,19.3,11.3,12.2,0.4,20,19.9,0.1,4.3,43.1,98.6
Iuniversity Prep,https://www.schooldigger.com/go/TX/schools/2166013033/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,3051 Ira E Woods Ave,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant County,(817) 305-4895,No,No,Yes,Yes,1208,30.6,39.4,6.4,5,0.3,7.8,13.5,0.2,6.2,66.9,98.4
Happy High School,https://www.schooldigger.com/go/TX/schools/2235002243/school.aspx,Happy Independent School District,https://www.schooldigger.com/go/TX/district/22350/search.aspx,500 N W 3rd,Happy,https://www.schooldigger.com/go/TX/city/Happy/search.aspx,79042,Swisher County,(806) 558-5311,Yes,No,No,(n/a),126,14.6,8.5,31.7,0.8,0,0,17.5,0,2.4,79.4,98.4
Adams J H,https://www.schooldigger.com/go/TX/schools/2517013655/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,4141 Cross Creek Bend Ln,Fulshear,https://www.schooldigger.com/go/TX/city/Fulshear/search.aspx,77441,Fort Bend County,(281) 234-3400,No,No,No,(n/a),1475,82.2,17.9,7.7,9.4,0.2,21,23.5,0.1,3,42.8,98.4
McCullough J H,https://www.schooldigger.com/go/TX/schools/1500008880/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,3800 S Panther Creek Dr,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77381,Montgomery County,(832) 592-5100,No,No,No,(n/a),2068,114.1,18.1,11.3,4.7,0.4,9.7,23.2,0.1,4.3,57.6,98.3
Nelson Middle,https://www.schooldigger.com/go/TX/schools/2001013314/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,10100 Independence Pkwy,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin County,(469) 633-4100,No,No,No,(n/a),1016,61.4,16.5,5.3,8.1,1.1,59.5,5,0.2,3.2,22.8,98.2
C M Rice Middle,https://www.schooldigger.com/go/TX/schools/3510008151/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,8500 Gifford Dr,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin County,(469) 752-6000,No,No,No,(n/a),1003,58.4,17.1,9.8,6.1,0.3,65.2,6.7,0.1,3,18.6,98.2
Willow Springs Middle,https://www.schooldigger.com/go/TX/schools/2838010526/school.aspx,Lovejoy Independent School District,https://www.schooldigger.com/go/TX/district/28380/search.aspx,1101 W Lucas Rd,Lucas,https://www.schooldigger.com/go/TX/city/Lucas/search.aspx,75002,Collin County,(469) 742-8500,No,No,No,(n/a),773,51.5,15,3.1,2.8,0.6,9.3,10.2,0,5.2,71.8,98.1
Lanier Middle,https://www.schooldigger.com/go/TX/schools/2364002514/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,2600 Woodhead St,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77098,Harris County,(713) 942-1900,No,No,Yes,(n/a),1411,70.9,19.8,22.7,12.5,0.2,21,28.8,0.1,6.8,30.5,98.1
Garland McMeans J H,https://www.schooldigger.com/go/TX/schools/2517008824/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,21001 Westheimer Pkwy,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77450,Harris County,(281) 237-8006,No,No,No,(n/a),1136,76.1,14.9,21.8,7,0,24.7,21.6,0,3.3,43.4,98.1
Sudie L Williams Talented And Gifted Academy,https://www.schooldigger.com/go/TX/schools/1623013736/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,4518 Pomona Rd,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75209,Dallas County,(972) 794-8700,Yes,No,No,(n/a),424,26.5,16,28.1,5.4,0,3.5,39.6,0.2,2.8,48.3,98.1
Cornerstone Academy,https://www.schooldigger.com/go/TX/schools/4110007955/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,9016 Westview Dr,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77055,Harris County,(713) 251-1609,No,Yes,No,(n/a),361,26.5,13.6,19.1,1.4,0.3,11.9,34.1,0,2.5,49.9,98
Irma Rangel Young Women's Leadership School,https://www.schooldigger.com/go/TX/schools/1623010561/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,1718 Robert B Cullum Blvd,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75210,Dallas County,(972) 749-5200,Yes,No,Yes,(n/a),597,32,18.6,69.8,10.4,0.2,2.3,79.7,0,1.2,6.2,98
Pearson Middle,https://www.schooldigger.com/go/TX/schools/2001013090/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,2323 Stonebrook Pkwy,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton County,(469) 633-4450,No,No,No,(n/a),1001,71.4,14,5.9,7.4,0.6,41,10.1,0,4.1,36.9,97.9
Talkington School For Young Women Leaders,https://www.schooldigger.com/go/TX/schools/2850011896/school.aspx,Lubbock Independent School District,https://www.schooldigger.com/go/TX/district/28500/search.aspx,415 N Ivory Ave,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79403,Lubbock County,(806) 219-2200,Yes,No,Yes,(n/a),476,30.9,15.3,48.3,12.8,0,4,45.6,0,3.2,34.5,97.8
Tays J H,https://www.schooldigger.com/go/TX/schools/2517013350/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,26721 Hawks Prairie Blvd,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend County,(281) 234-2400,No,No,No,(n/a),1452,86.8,16.7,12.1,9.1,0.3,33.8,22.1,0.2,2.1,32.4,97.4
George B Dealey Montessori Academy,https://www.schooldigger.com/go/TX/schools/1623006932/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,6501 Royal Ln,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75230,Dallas County,(972) 794-8400,No,No,Yes,(n/a),614,41.1,14.9,23,10.3,1.5,9.4,32.4,0.5,8.5,37.5,97.4
Memorial Middle,https://www.schooldigger.com/go/TX/schools/4110004681/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,12550 Vindon,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77024,Harris County,(713) 251-3900,No,No,No,(n/a),1362,78.1,17.4,8,1.5,0.1,18.9,15.5,0.1,4,60,97.4
Fort Settlement Middle,https://www.schooldigger.com/go/TX/schools/1965008565/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,5440 Elkins Rd,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend County,(281) 634-6440,No,No,No,(n/a),1361,69.3,19.6,10,6.7,0.2,62.7,8.7,0,3.4,18.3,97.3
Vandeventer Middle,https://www.schooldigger.com/go/TX/schools/2001012858/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,6075 Independence Pkwy,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin County,(469) 633-4350,No,No,No,(n/a),896,55.8,16,12.3,12.2,0.9,42.5,7.8,0,4.2,32.4,97.3
School For The Talented & Gifted In Pleasant Grove,https://www.schooldigger.com/go/TX/schools/1623013856/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,9610 Bruton Rd,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75217,Dallas County,(972) 925-3700,Yes,No,No,(n/a),390,22,17.7,89,1.3,0.3,0.3,97.2,0,0,1,97.2
Clayton Downing Middle,https://www.schooldigger.com/go/TX/schools/2730009208/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,5555 Bridlewood Blvd,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75028,Denton County,(469) 713-5962,No,No,No,(n/a),500,34.7,14.3,6.8,4,0.4,6.8,13,0.4,3,72.4,97.2
Schimelpfenig Middle,https://www.schooldigger.com/go/TX/schools/3510005573/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,2400 Maumelle Dr,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75023,Collin County,(469) 752-6400,No,No,No,(n/a),861,51.9,16.5,14.9,6.7,0.5,29,11.6,0,4.2,48,97.2
Highland Park Middle,https://www.schooldigger.com/go/TX/schools/2325002359/school.aspx,Highland Park Independent School District,https://www.schooldigger.com/go/TX/district/23250/search.aspx,3555 Granada Ave,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75205,Dallas County,(214) 780-3600,No,No,No,(n/a),1103,69.4,15.8,0.4,1,0.5,7,5.5,0.2,2.1,83.7,97.2
Rodger & Ellen Beck J H,https://www.schooldigger.com/go/TX/schools/2517007335/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,5200 S Fry Rd,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77450,Fort Bend County,(281) 237-3300,No,No,No,(n/a),1260,76.4,16.4,23.2,9.1,0.1,13.8,27.8,0.1,4.7,44.4,97.2
Coppell Middle West,https://www.schooldigger.com/go/TX/schools/1521006936/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,2701 Ranch Trail,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75019,Dallas County,(214) 496-8600,No,No,No,(n/a),1103,63.4,17.3,7.9,4.7,0.4,82.4,5.7,0.1,1,5.7,97.1
Poth J H,https://www.schooldigger.com/go/TX/schools/3555004033/school.aspx,Poth Independent School District,https://www.schooldigger.com/go/TX/district/35550/search.aspx,505 N Dickson St,Poth,https://www.schooldigger.com/go/TX/city/Poth/search.aspx,78147,Wilson County,(830) 484-3323,No,No,No,(n/a),210,15.4,13.5,29.5,1,0,0,48.6,0,1,49.5,97.1
Round Top-Carmine High School,https://www.schooldigger.com/go/TX/schools/3810004259/school.aspx,Round Top-Carmine Independent School District,https://www.schooldigger.com/go/TX/district/38100/search.aspx,378 Centennial St,Carmine,https://www.schooldigger.com/go/TX/city/Carmine/search.aspx,78932,Fayette County,(979) 278-3252,No,No,No,(n/a),115,14,8.1,29.6,7,0,0,20,0,1.7,71.3,97
Westlake Academy,https://www.schooldigger.com/go/TX/schools/0025409511/school.aspx,Westlake Academy Charter School,https://www.schooldigger.com/go/TX/district/00254/search.aspx,2600 J T Ottinger Rd,Westlake,https://www.schooldigger.com/go/TX/city/Westlake/search.aspx,76262,Tarrant County,(817) 490-5757,No,Yes,No,(n/a),865,63.1,13.7,1.7,6,0.5,17.8,14.7,0,6.6,54.5,97
Florence W Stiles Middle,https://www.schooldigger.com/go/TX/schools/2703012611/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,3250 Barley Ln,Leander,https://www.schooldigger.com/go/TX/city/Leander/search.aspx,78641,Williamson County,(512) 570-0000,No,No,No,(n/a),1460,85,17.1,6.6,2.1,0.3,23.2,18.5,0,5.3,50.6,96.8
Creekside Park J H,https://www.schooldigger.com/go/TX/schools/4296012997/school.aspx,Tomball Independent School District,https://www.schooldigger.com/go/TX/district/42960/search.aspx,8711 Creekside Green Dr,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77375,Harris County,(281) 357-3282,No,No,No,(n/a),946,51.7,18.2,6.9,3.3,0.3,6.4,35.1,0,4.4,50.4,96.7
Cinco Ranch J H,https://www.schooldigger.com/go/TX/schools/2517008626/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,23420 Cinco Ranch Blvd,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend County,(281) 237-7300,No,No,No,(n/a),1445,86,16.7,23,9.1,0.2,22.2,31.2,0.1,3.3,33.9,96.7
Houston Gateway Academy,https://www.schooldigger.com/go/TX/schools/0011808242/school.aspx,Houston Gateway Academy Inc,https://www.schooldigger.com/go/TX/district/00118/search.aspx,3400 Evergreen Dr,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77087,Harris County,(713) 649-2706,Yes,Yes,No,(n/a),648,33,19.6,92.1,2.9,0.2,0,96.5,0,0,0.5,96.6
Devers Jh,https://www.schooldigger.com/go/TX/schools/1692010885/school.aspx,Devers Independent School District,https://www.schooldigger.com/go/TX/district/16920/search.aspx,201 S Chism,Devers,https://www.schooldigger.com/go/TX/city/Devers/search.aspx,77538,Liberty County,(936) 549-7591,Yes,No,No,(n/a),58,5.1,11.2,41.4,5.2,0,0,31,0,0,63.8,96.6
Pearson Ranch Middle,https://www.schooldigger.com/go/TX/schools/3808012299/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,8901 Pearson Ranch Rd,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78717,Williamson County,(512) 464-5000,No,No,No,(n/a),977,68.1,14.3,15,5.2,0.7,46.6,16.4,0,4,27.1,96.5
Imagine International Academy Of North Texas,https://www.schooldigger.com/go/TX/schools/0142912752/school.aspx,Imagine International Academy Of North Texas,https://www.schooldigger.com/go/TX/district/01429/search.aspx,2860 Virginia Pkwy,McKinney,https://www.schooldigger.com/go/TX/city/McKinney/search.aspx,75071,Collin County,(214) 491-1500,No,Yes,No,(n/a),1435,76.5,18.7,8.5,15.3,0.5,40.6,14.5,0.1,4.5,24.5,96.5
Griffin Middle,https://www.schooldigger.com/go/TX/schools/2001010495/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,3703 Edorado Pkwy,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton County,(469) 633-4900,No,No,No,(n/a),809,70.1,11.5,4,6.8,0.6,10.9,10.6,0.1,4.3,66.6,96.4
McKamy Middle,https://www.schooldigger.com/go/TX/schools/2730007584/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,2401 Old Settlers Rd,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75022,Denton County,(469) 713-5991,No,No,No,(n/a),807,54.7,14.7,3.3,2.6,0.5,31,7.9,0.1,3,54.9,96.4
Hill Country Middle,https://www.schooldigger.com/go/TX/schools/1776001548/school.aspx,Eanes Independent School District,https://www.schooldigger.com/go/TX/district/17760/search.aspx,1300 Walsh Tarleton Rd,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78746,Travis County,(512) 732-9220,No,No,No,(n/a),1031,71.7,14.3,2.6,0.6,0,9,14.6,0.1,5.6,70,96.3
Henry W Longfellow Career Exploration Academy,https://www.schooldigger.com/go/TX/schools/1623006089/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,5314 Boaz St,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75209,Dallas County,(972) 749-5400,Yes,No,Yes,(n/a),450,24,18.7,77.3,5.1,0,1.6,86,0.2,0,7.1,96.3
Canyon Vista Middle,https://www.schooldigger.com/go/TX/schools/3808006034/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,8455 Spicewood Springs Rd,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78759,Travis County,(512) 464-8100,No,No,No,(n/a),1405,89.4,15.7,8.7,2.3,0.2,42,13.9,0.1,5.1,36.4,96.1
Spillane Middle,https://www.schooldigger.com/go/TX/schools/1611010729/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,13403 Woods Spillane Blvd,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77429,Harris County,(281) 213-1645,No,No,No,(n/a),1614,95.7,16.8,23.8,12.1,0.2,14.6,23.2,0.1,4,45.7,96.1
West Ridge Middle,https://www.schooldigger.com/go/TX/schools/1776006398/school.aspx,Eanes Independent School District,https://www.schooldigger.com/go/TX/district/17760/search.aspx,9201 Scenic Bluff Dr,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78733,Travis County,(512) 732-9240,No,No,No,(n/a),909,68.4,13.2,3.5,1,0.1,18.2,12.7,0,4.3,63.8,95.8
Lindale J H,https://www.schooldigger.com/go/TX/schools/2751003093/school.aspx,Lindale Independent School District,https://www.schooldigger.com/go/TX/district/27510/search.aspx,409 Eagle Spirit,Lindale,https://www.schooldigger.com/go/TX/city/Lindale/search.aspx,75771,Smith County,(903) 881-4150,Yes,No,No,(n/a),673,42.3,15.8,39.2,5.5,1,1.8,16.9,0.1,4,70.6,95.7
Shiner High School,https://www.schooldigger.com/go/TX/schools/4011004554/school.aspx,Shiner Independent School District,https://www.schooldigger.com/go/TX/district/40110/search.aspx,510 Cr 348,Shiner,https://www.schooldigger.com/go/TX/city/Shiner/search.aspx,77984,Lavaca County,(361) 594-3131,Yes,No,No,(n/a),330,26.3,12.5,26.7,5.8,0.3,0.6,12.7,0,3,77.6,95.6
Riverwood Middle,https://www.schooldigger.com/go/TX/schools/2391021310/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,2910 High Valley Dr,Kingwood,https://www.schooldigger.com/go/TX/city/Kingwood/search.aspx,77345,Harris County,(281) 641-4800,No,No,No,(n/a),1060,67,15.8,7.6,2.7,0.3,5.2,15.8,0.2,2.5,73.3,95.6
Bluff Dale Elementary,https://www.schooldigger.com/go/TX/schools/1062000532/school.aspx,Bluff Dale Independent School District,https://www.schooldigger.com/go/TX/district/10620/search.aspx,710 Church St,Bluff Dale,https://www.schooldigger.com/go/TX/city/Bluff+Dale/search.aspx,76433,Erath County,(254) 728-3277,Yes,No,No,(n/a),224,19.8,11.2,30.4,0.9,0.9,0.4,7.1,0,3.1,87.5,95.5
Canyon Ridge Middle,https://www.schooldigger.com/go/TX/schools/2703011110/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,12601 Country Trails Ln,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78732,Travis County,(512) 570-3500,No,No,No,(n/a),1178,66.8,17.6,3.8,1.7,0.2,13.2,14.2,0.2,5.4,65.2,95.3
James Garland Walsh Middle,https://www.schooldigger.com/go/TX/schools/3808011100/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,3850 Walsh Ranch Blvd,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78681,Williamson County,(512) 704-0800,No,No,No,(n/a),1333,89,14.9,9.5,2.8,0.4,22.1,22.8,0,3.9,48.1,95.3
Woodcreek J H,https://www.schooldigger.com/go/TX/schools/2517011937/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,1801 Wood Creek Bend Ln,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend County,(281) 234-0800,No,No,No,(n/a),1350,79.4,16.9,12.7,8.8,0.3,10,21.4,0.1,3.9,55.6,95.3
Wester Middle,https://www.schooldigger.com/go/TX/schools/2001009162/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,12293 Shepherds Hill Ln,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin County,(469) 633-4800,No,No,No,(n/a),791,62.5,12.6,14.8,10.7,0.1,20.2,15.9,0,5.2,47.8,95.3
Ereckson Middle,https://www.schooldigger.com/go/TX/schools/0789010488/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,450 Tatum Dr,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin County,(972) 747-3308,No,No,No,(n/a),1233,71.9,17.1,17,9.6,0.3,31.5,12.4,0.3,4.7,41.2,95.2
Berry Miller J H,https://www.schooldigger.com/go/TX/schools/3444011152/school.aspx,Pearland Independent School District,https://www.schooldigger.com/go/TX/district/34440/search.aspx,3301 Manvel Rd,Pearland,https://www.schooldigger.com/go/TX/city/Pearland/search.aspx,77584,Brazoria County,(281) 997-3900,No,No,No,(n/a),816,48.9,16.6,20.2,17.8,0.1,20,24,0.2,3.8,34.1,95
