School,School URL,District,District URL,City,CityURL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Standard Score
Vandeventer Middle,https://www.schooldigger.com/go/TX/schools/2001012858/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-4350,No,No,No,No,1034,70,14.7,0.07,0.1,0,0.34,0.08,0,0.02,99.2
Carroll Middle,https://www.schooldigger.com/go/TX/schools/1302008923/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-5400,Yes,No,No,Yes,659,45,14.6,0.02,0.02,0.01,0.13,0.07,0,0.04,99.2
C M Rice Middle,https://www.schooldigger.com/go/TX/schools/3510008151/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin,(469) 752-6000,No,No,No,Yes,1176,66,17.8,0.03,0.02,0,0.64,0.05,0,0.03,99
Westlake Academy,https://www.schooldigger.com/go/TX/schools/0025409511/school.aspx,Westlake Academy Charter School,https://www.schooldigger.com/go/TX/district/00254/search.aspx,Westlake,https://www.schooldigger.com/go/TX/city/Westlake/search.aspx,76262,Tarrant,(817) 490-5757,No,Yes,No,Yes,815,60,13.5,0,0.05,0,0.11,0.11,0,0.05,98.9
Cornerstone Academy,https://www.schooldigger.com/go/TX/schools/4110007955/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77055,Harris,(713) 251-1600,No,Yes,No,No,370,25,14.8,0.31,0.02,0.01,0.11,0.34,0,0.03,98.9
Griffin Middle School,https://www.schooldigger.com/go/TX/schools/2001010495/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton,(469) 633-4900,No,No,No,Yes,815,57,14.2,0.03,0.08,0,0.08,0.11,0,0.03,98.8
Basis San Antonio,https://www.schooldigger.com/go/TX/schools/0143813036/school.aspx,Basis Texas,https://www.schooldigger.com/go/TX/district/01438/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78240,Bexar,(210) 556-4651,No,Yes,No,Yes,606,,,0,0.02,0,0.34,0.3,0,0.05,98.8
Beckendorff J H,https://www.schooldigger.com/go/TX/schools/2517010763/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 237-8800,No,No,No,No,1697,89,19,0.05,0.03,0,0.28,0.2,0,0.03,98.7
Highland Park Middle,https://www.schooldigger.com/go/TX/schools/2325002359/school.aspx,Highland Park Independent School District,https://www.schooldigger.com/go/TX/district/23250/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75205,Dallas,(214) 780-3600,No,No,No,No,1089,69,15.7,0,0.01,0,0.05,0.05,0,0.01,98.7
Canyon Vista Middle,https://www.schooldigger.com/go/TX/schools/3808006034/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78759,Travis,(512) 464-8100,No,No,No,No,1377,82,16.7,0.12,0.03,0,0.38,0.14,0,0.05,98.6
James Garland Walsh Middle,https://www.schooldigger.com/go/TX/schools/3808011100/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78681,Williamson,(512) 704-0800,No,No,No,No,1460,93,15.6,0.09,0.04,0.01,0.1,0.2,0,0.03,98.5
Pioneer Heritage Middle,https://www.schooldigger.com/go/TX/schools/2001009161/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton,(469) 633-4700,No,No,No,Yes,1080,68,15.8,0.05,0.06,0.01,0.2,0.11,0,0.03,98.5
Lanier Middle,https://www.schooldigger.com/go/TX/schools/2364002514/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77098,Harris,(713) 942-1900,No,Yes,Yes,No,1392,,17.8,0.3,0.09,0,0.14,0.37,0,0.04,98.5
Uplift Education-North Hills Prep Middle,https://www.schooldigger.com/go/TX/schools/0003007562/school.aspx,Uplift Education - North Hills Preparatory,https://www.schooldigger.com/go/TX/district/00030/search.aspx,Irving,https://www.schooldigger.com/go/TX/city/Irving/search.aspx,75039,Dallas,(972) 501-0645,No,Yes,No,No,470,30,15.6,0.18,0.05,0,0.52,0.22,0,0.05,98.4
Sartartia Middle,https://www.schooldigger.com/go/TX/schools/1965008564/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-6310,No,No,No,Yes,1302,65,20,0.07,0.08,0,0.52,0.11,0,0.03,98.3
West Ridge Middle,https://www.schooldigger.com/go/TX/schools/1776006398/school.aspx,Eanes Independent School District,https://www.schooldigger.com/go/TX/district/17760/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78733,Travis,(512) 732-9240,Yes,No,No,Yes,898,68,13.2,0.03,0.01,0,0.16,0.1,0,0.04,98.3
Coppell Middle East,https://www.schooldigger.com/go/TX/schools/1521003702/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,Coppell,https://www.schooldigger.com/go/TX/city/Coppell/search.aspx,75019,Dallas,(214) 496-6600,Yes,No,No,Yes,905,56,16.1,0.09,0.05,0,0.45,0.11,0,0.03,98.2
Seven Lakes J H,https://www.schooldigger.com/go/TX/schools/2517012519/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 234-2100,No,No,No,No,1725,91,18.9,0.04,0.07,0,0.19,0.23,0,0.02,98.2
Smith Middle,https://www.schooldigger.com/go/TX/schools/1611011392/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77433,Harris,(281) 213-1010,No,No,No,No,959,52,18.4,0.08,0.11,0,0.13,0.22,0,0.04,97.8
Gorzycki Middle,https://www.schooldigger.com/go/TX/schools/0894011059/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78749,Travis,(512) 841-8600,No,No,No,Yes,1330,78,17,0.05,0.02,0,0.07,0.24,0,0.04,97.8
Coppell Middle North,https://www.schooldigger.com/go/TX/schools/1521007862/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,Coppell,https://www.schooldigger.com/go/TX/city/Coppell/search.aspx,75019,Dallas,(214) 496-7100,No,No,No,No,909,60,15.1,0.08,0.05,0,0.31,0.12,0,0.03,97.7
George Bannerman Dealey International Academy,https://www.schooldigger.com/go/TX/schools/1623007854/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75230,Dallas,(972) 794-8400,Yes,No,No,Yes,189,13,14.5,0.44,0.11,0.01,0.09,0.43,0.01,0.02,97.6
Chaparral Star Academy,https://www.schooldigger.com/go/TX/schools/0006408059/school.aspx,Chaparral Star Academy,https://www.schooldigger.com/go/TX/district/00064/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78728,Travis,(512) 989-2672,No,Yes,No,Yes,362,22,16.4,0,0.05,0.01,0.11,0.24,0,0.02,97.5
Falls City High School,https://www.schooldigger.com/go/TX/schools/1902001774/school.aspx,Falls City Independent School District,https://www.schooldigger.com/go/TX/district/19020/search.aspx,Falls City,https://www.schooldigger.com/go/TX/city/Falls+City/search.aspx,78113,Karnes,(830) 254-3551,No,No,No,Yes,181,17,10.6,0.16,0.01,0,0,0.17,0,0.01,97.5
Grand Prairie Fine Arts Academy,https://www.schooldigger.com/go/TX/schools/2142012982/school.aspx,Grand Prairie Independent School District,https://www.schooldigger.com/go/TX/district/21420/search.aspx,Grand Prairie,https://www.schooldigger.com/go/TX/city/Grand+Prairie/search.aspx,75050,Dallas,(972) 237-5603,Yes,No,No,No,529,41,12.9,0.43,0.19,0,0.03,0.47,0,0.03,97.5
McCullough J H,https://www.schooldigger.com/go/TX/schools/1500008880/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77381,Montgomery,(832) 592-5100,No,No,No,Yes,2229,121,18.4,0.04,0.02,0,0.07,0.22,0,0.03,97.5
Cedar Valley Middle,https://www.schooldigger.com/go/TX/schools/3808005611/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78717,Williamson,(512) 428-2300,No,No,No,Yes,1314,82,16,0.09,0.04,0,0.25,0.19,0,0.04,97.4
Memorial Middle,https://www.schooldigger.com/go/TX/schools/4110004681/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77024,Harris,(713) 251-3900,No,No,No,No,1377,74,18.6,0.03,0.02,0,0.19,0.09,0,0.02,97.3
Harry Stone Montessori Academy,https://www.schooldigger.com/go/TX/schools/1623007853/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75216,Dallas,(972) 794-3400,Yes,No,Yes,Yes,194,17,11.4,0.66,0.41,0,0,0.51,0,0.02,97.3
Ereckson Middle,https://www.schooldigger.com/go/TX/schools/0789010488/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin,(972) 747-3308,No,No,No,Yes,1156,69,16.7,0.12,0.09,0,0.18,0.1,0,0.05,97.3
Walter & Lois Curtis Middle,https://www.schooldigger.com/go/TX/schools/0789006072/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75002,Collin,(972) 727-0340,No,No,No,No,1191,71,16.7,0.12,0.12,0,0.15,0.12,0,0.04,97.2
Murphy Middle,https://www.schooldigger.com/go/TX/schools/3510009639/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Murphy,https://www.schooldigger.com/go/TX/city/Murphy/search.aspx,75094,Collin,(469) 752-7000,No,No,No,Yes,1217,66,18.4,0.1,0.08,0,0.27,0.11,0,0.03,97.2
Hill Country Middle,https://www.schooldigger.com/go/TX/schools/1776001548/school.aspx,Eanes Independent School District,https://www.schooldigger.com/go/TX/district/17760/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78746,Travis,(512) 732-9220,No,No,No,No,1001,65,15.4,0.03,0.01,0,0.11,0.12,0,0.03,97.2
South Texas Preparatory Academy,https://www.schooldigger.com/go/TX/schools/3715012250/school.aspx,South Texas Independent School District,https://www.schooldigger.com/go/TX/district/37150/search.aspx,Edinburg,https://www.schooldigger.com/go/TX/city/Edinburg/search.aspx,78539,Hidalgo,(956) 381-5522,Yes,No,No,Yes,592,40,14.8,0.42,0.01,0,0.13,0.78,,,97
Basis San Antonio North,https://www.schooldigger.com/go/TX/schools/0143813202/school.aspx,Basis Texas,https://www.schooldigger.com/go/TX/district/01438/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78216,Bexar,(210) 319-5525,No,Yes,No,No,446,,,0,0.05,0,0.18,0.37,,,97
Coppell Middle West,https://www.schooldigger.com/go/TX/schools/1521006936/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,Coppell,https://www.schooldigger.com/go/TX/city/Coppell/search.aspx,75019,Dallas,(214) 496-8600,Yes,No,No,No,979,62,15.7,0.12,0.05,0.01,0.4,0.15,,,96.9
Pin Oak Middle,https://www.schooldigger.com/go/TX/schools/2364009274/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Bellaire,https://www.schooldigger.com/go/TX/city/Bellaire/search.aspx,77401,Harris,(713) 295-6500,No,No,Yes,No,1217,65,18.7,0.3,0.09,0,0.13,0.33,,,96.9
McKamy Middle,https://www.schooldigger.com/go/TX/schools/2730007584/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75022,Denton,(469) 713-5991,No,No,No,No,1110,70,15.8,0.02,0.02,0.01,0.21,0.08,,,96.8
Lopez Middle,https://www.schooldigger.com/go/TX/schools/3294011132/school.aspx,North East Independent School District,https://www.schooldigger.com/go/TX/district/32940/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78258,Bexar,(210) 356-5000,No,No,No,Yes,1268,72,17.6,0.1,0.04,0,0.08,0.39,,,96.8
Canyon Ridge Middle,https://www.schooldigger.com/go/TX/schools/2703011110/school.aspx,Leander Independent School District,https://www.schooldigger.com/go/TX/district/27030/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78732,Travis,(512) 570-3500,No,No,No,No,1270,71,17.8,0.03,0.01,0,0.11,0.12,,,96.6
Clayton Downing Middle School,https://www.schooldigger.com/go/TX/schools/2730009208/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75028,Denton,(469) 713-5962,No,No,No,No,606,50,12.1,0.04,0.02,0,0.06,0.08,,,96.5
Riverwood Middle,https://www.schooldigger.com/go/TX/schools/2391021310/school.aspx,Humble Independent School District,https://www.schooldigger.com/go/TX/district/23910/search.aspx,Kingwood,https://www.schooldigger.com/go/TX/city/Kingwood/search.aspx,77345,Harris,(281) 641-4800,No,No,No,Yes,1101,,18.3,0.06,0.03,0,0.04,0.14,,,96.5
Wall Middle,https://www.schooldigger.com/go/TX/schools/4441006924/school.aspx,Wall Independent School District,https://www.schooldigger.com/go/TX/district/44410/search.aspx,Wall,https://www.schooldigger.com/go/TX/city/Wall/search.aspx,76957,Tom Green,(325) 651-7648,Yes,No,No,Yes,287,27,10.6,0.14,0,0,0,0.19,,,96.4
Rise Academy,https://www.schooldigger.com/go/TX/schools/0014108325/school.aspx,Rise Academy,https://www.schooldigger.com/go/TX/district/00141/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79403,Lubbock,(806) 744-0438,Yes,Yes,No,No,267,22,12.1,0.86,0.68,0,0,0.29,,,96.4
Klondike Independent School District,https://www.schooldigger.com/go/TX/schools/2579002909/school.aspx,Klondike Independent School District,https://www.schooldigger.com/go/TX/district/25790/search.aspx,Lamesa,https://www.schooldigger.com/go/TX/city/Lamesa/search.aspx,79331,Dawson,(806) 462-7332,Yes,No,No,No,258,23,11.2,0.35,0,0,0.01,0.35,,,96.3
Colleyville Middle,https://www.schooldigger.com/go/TX/schools/2166002181/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Colleyville,https://www.schooldigger.com/go/TX/city/Colleyville/search.aspx,76034,Tarrant,(817) 305-4900,No,No,No,Yes,725,40,18.1,0.03,0.02,0.01,0.09,0.09,,,96.3
South Texas Academy Of Rising Scholars,https://www.schooldigger.com/go/TX/schools/3715013137/school.aspx,South Texas Independent School District,https://www.schooldigger.com/go/TX/district/37150/search.aspx,San Benito,https://www.schooldigger.com/go/TX/city/San+Benito/search.aspx,78586,Cameron,(956) 514-4216,(n/a),No,Yes,Yes,0,,,,,,,,,,96.3
Project Chrysalis Middle,https://www.schooldigger.com/go/TX/schools/2364007019/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77023,Harris,(713) 924-1700,Yes,Yes,No,Yes,236,13,18.1,0.91,0,0,0.03,0.97,,,96.1
Woodcreek J H,https://www.schooldigger.com/go/TX/schools/2517011937/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 234-0800,No,No,No,No,1906,102,18.6,0.07,0.07,0,0.15,0.23,,,95.8
Lake Travis Middle,https://www.schooldigger.com/go/TX/schools/2647006010/school.aspx,Lake Travis Independent School District,https://www.schooldigger.com/go/TX/district/26470/search.aspx,Spicewood,https://www.schooldigger.com/go/TX/city/Spicewood/search.aspx,78669,Travis,(512) 533-6200,No,No,No,Yes,1066,65,16.4,0.06,0.01,0,0.06,0.14,,,95.8
Nazareth School,https://www.schooldigger.com/go/TX/schools/3222003573/school.aspx,Nazareth Independent School District,https://www.schooldigger.com/go/TX/district/32220/search.aspx,Nazareth,https://www.schooldigger.com/go/TX/city/Nazareth/search.aspx,79063,Castro,(806) 945-2231,Yes,No,No,No,227,23,9.8,0.19,0.01,0.01,0,0.11,,,95.6
Schimelpfenig Middle,https://www.schooldigger.com/go/TX/schools/3510005573/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75023,Collin,(469) 752-6400,No,No,No,Yes,957,53,18,0.12,0.05,0,0.31,0.09,,,95.6
Henry W Longfellow Career Exploration Academy,https://www.schooldigger.com/go/TX/schools/1623006089/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75209,Dallas,(972) 749-5400,Yes,No,Yes,Yes,425,25,17,0.83,0.11,0,0.02,0.77,,,95.6
Stafford Middle,https://www.schooldigger.com/go/TX/schools/2001012255/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton,(469) 633-5100,Yes,No,No,No,1146,79,14.5,0.11,0.14,0,0.1,0.17,,,95.6
Spillane Middle,https://www.schooldigger.com/go/TX/schools/1611010729/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77429,Harris,(281) 213-1645,No,No,No,No,1393,78,17.8,0.15,0.09,0,0.11,0.23,,,95.5
Shadow Ridge Middle School,https://www.schooldigger.com/go/TX/schools/2730010615/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75028,Denton,(469) 713-5984,No,No,No,Yes,721,52,13.8,0.04,0.03,0,0.13,0.1,,,95.5
Hunt Middle,https://www.schooldigger.com/go/TX/schools/2001012483/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Collin,(469) 633-5200,Yes,No,No,Yes,785,54,14.5,0.17,0.09,0.01,0.12,0.2,,,95.4
Houston Gateway Academy,https://www.schooldigger.com/go/TX/schools/0011808242/school.aspx,Houston Gateway Academy Inc,https://www.schooldigger.com/go/TX/district/00118/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77087,Harris,(713) 649-2706,Yes,Yes,No,Yes,610,30,20.3,0.91,0.02,0,0,0.97,,,95.1
Maus Middle,https://www.schooldigger.com/go/TX/schools/2001012470/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-5250,Yes,No,No,Yes,,60,14.8,0.11,0.13,0.01,0.24,0.15,,,95.1
Westbrook Intermediate,https://www.schooldigger.com/go/TX/schools/1428010681/school.aspx,Clear Creek Independent School District,https://www.schooldigger.com/go/TX/district/14280/search.aspx,Friendswood,https://www.schooldigger.com/go/TX/city/Friendswood/search.aspx,77546,Harris,(281) 284-3800,No,No,Yes,Yes,1069,62,17.2,0.22,0.09,0,0.28,0.28,,,95
Harpool Middle,https://www.schooldigger.com/go/TX/schools/1674011881/school.aspx,Denton Independent School District,https://www.schooldigger.com/go/TX/district/16740/search.aspx,Argyle,https://www.schooldigger.com/go/TX/city/Argyle/search.aspx,76266,Denton,(940) 369-1700,No,No,No,No,914,61,14.9,0.11,0.06,0.01,0.04,0.15,,,94.8
Dr Cheryl Corbett Salyards,https://www.schooldigger.com/go/TX/schools/1611012598/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77433,Harris,(281) 373-2400,No,No,No,No,1544,81,19,0.13,0.07,0,0.05,0.21,,,94.8
Boerne Middle South,https://www.schooldigger.com/go/TX/schools/1071008859/school.aspx,Boerne Independent School District,https://www.schooldigger.com/go/TX/district/10710/search.aspx,Boerne,https://www.schooldigger.com/go/TX/city/Boerne/search.aspx,78006,Kendall,(830) 357-3300,No,No,No,Yes,700,41,17,0.11,0.01,0,0,0.27,,,94.8
Seashore Middle Academy,https://www.schooldigger.com/go/TX/schools/0028911399/school.aspx,Seashore Charter Schools,https://www.schooldigger.com/go/TX/district/00289/search.aspx,Corpus Christi,https://www.schooldigger.com/go/TX/city/Corpus+Christi/search.aspx,78418,Nueces,(361) 654-1134,No,Yes,No,Yes,210,16,13.1,0.03,0.01,0.01,0.03,0.24,,,94.7
Smithfield Middle,https://www.schooldigger.com/go/TX/schools/1023000498/school.aspx,Birdville Independent School District,https://www.schooldigger.com/go/TX/district/10230/search.aspx,North Richland Hills,https://www.schooldigger.com/go/TX/city/North+Richland+Hills/search.aspx,76180,Tarrant,(817) 547-5000,No,No,No,No,818,50,16.3,0.24,0.04,0,0.03,0.18,,,94.7
Garland McMeans Junior High,https://www.schooldigger.com/go/TX/schools/2517008824/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77450,Harris,(281) 237-8000,No,No,No,No,1081,66,16.3,0.13,0.06,0,0.25,0.22,,,94.5
Roach Middle School,https://www.schooldigger.com/go/TX/schools/2001010496/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-5000,Yes,No,No,Yes,963,69,13.9,0.16,0.15,0.01,0.15,0.14,,,94.4
