School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Professional & Technical High School,https://www.schooldigger.com/go/FL/schools/0147003634/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,501 Simpson Rd,Kissimmee,https://www.schooldigger.com/go/FL/city/Kissimmee/search.aspx,34744,Osceola County,(407) 518-5407,9,12,Yes,No,Yes,No,533,23.5,22.6,41.50%,9.90%,0.00%,2.30%,70.40%,0.40%,1.90%,15.20%,88.7
Sheridan Technical College,https://www.schooldigger.com/go/FL/schools/0018002048/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,5400 Sheridan St,Hollywood,https://www.schooldigger.com/go/FL/city/Hollywood/search.aspx,33021,Broward County,(754) 321-5400,9,12,No,No,Yes,No,555,43,12.9,39.10%,33.50%,0.00%,2.50%,44.50%,0.00%,2.30%,17.10%,88.7
Clark Advanced Learning Center,https://www.schooldigger.com/go/FL/schools/0129004044/school.aspx,Martin,https://www.schooldigger.com/go/FL/district/01290/search.aspx,2400 SE Salerno Rd,Stuart,https://www.schooldigger.com/go/FL/city/Stuart/search.aspx,34997,Martin County,(772) 419-5751,10,12,No,Yes,No,No,249,7,35.5,20.90%,5.20%,0.00%,2.40%,17.70%,0.00%,3.20%,71.50%,88.4
Medical Academy For Science And Technology (M.A.S.T.) @ Hom,https://www.schooldigger.com/go/FL/schools/0039007923/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1220 NW 1st Ave,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33030,Miami-Dade County,(305) 257-4500,9,12,No,No,Yes,No,625,27,23.1,46.70%,9.30%,0.20%,2.10%,81.60%,0.00%,0.60%,6.20%,88.3
Osceola County School For The Arts,https://www.schooldigger.com/go/FL/schools/0147004119/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,3151 N Orange Blossom Trl,Kissimmee,https://www.schooldigger.com/go/FL/city/Kissimmee/search.aspx,34744,Osceola County,(407) 931-4803,6,12,No,No,Yes,No,993,51.7,19.1,39.10%,5.80%,0.00%,3.60%,63.60%,0.20%,2.80%,23.90%,88.3
New World School Of The Arts,https://www.schooldigger.com/go/FL/schools/0039002810/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,25 NE 2nd St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33132,Miami-Dade County,(305) 237-3135,9,12,No,No,Yes,No,465,29,16,27.50%,17.80%,0.00%,1.70%,59.10%,0.00%,2.40%,18.90%,87.5
Samuel W. Wolfson High School,https://www.schooldigger.com/go/FL/schools/0048000749/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,7000 Powers Ave,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32217,Duval County,(904) 739-5265,9,12,Yes,No,Yes,No,978,50,19.5,18.50%,13.30%,0.50%,4.70%,13.20%,0.10%,4.50%,63.70%,87
Allen D Nease Senior High School,https://www.schooldigger.com/go/FL/schools/0174002262/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,10550 Ray Rd,Ponte Vedra,https://www.schooldigger.com/go/FL/city/Ponte+Vedra/search.aspx,32081,St. Johns County,(904) 547-8300,9,12,No,No,No,No,2163,97.2,22.2,3.90%,2.80%,0.20%,10.80%,11.60%,0.10%,4.20%,70.30%,86.9
Doral Academy Charter High School,https://www.schooldigger.com/go/FL/schools/0039003699/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,11100 NW 27th St,Doral,https://www.schooldigger.com/go/FL/city/Doral/search.aspx,33172,Miami-Dade County,(305) 597-9950,9,12,No,Yes,No,No,2067,68,30.3,38.80%,0.60%,0.00%,2.70%,92.50%,0.00%,0.20%,3.90%,86.9
St. Petersburg Collegiate Stem High School,https://www.schooldigger.com/go/FL/schools/0156010698/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,244 2nd Ave N,Saint Petersburg,https://www.schooldigger.com/go/FL/city/Saint+Petersburg/search.aspx,33701,Pinellas County,(727) 302-6883,9,12,(n/a),Yes,(n/a),No,146,6,24.3,28.80%,19.90%,0.00%,10.30%,12.30%,0.00%,6.20%,51.40%,86.8
Lorenzo Walker Technical High School,https://www.schooldigger.com/go/FL/schools/0033004488/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,3702 Estey Ave,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34104,Collier County,(239) 377-0900,9,12,Yes,No,No,No,583,23,25.3,49.40%,18.90%,0.20%,0.90%,65.20%,0.00%,1.20%,13.70%,86.8
Broward Virtual Franchise,https://www.schooldigger.com/go/FL/schools/0018004058/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,1400 NW 44th Ave,Coconut Creek,https://www.schooldigger.com/go/FL/city/Coconut+Creek/search.aspx,33066,Broward County,(754) 321-6050,6,12,No,No,No,Yes,596,62.9,9.4,2.50%,15.90%,0.00%,5.40%,43.80%,0.20%,3.00%,31.70%,86.6
Young Womens Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0039007016/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1150 SW 1st St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33130,Miami-Dade County,(305) 575-1200,6,12,No,No,Yes,No,313,20,15.6,43.10%,18.80%,0.00%,3.20%,63.90%,0.00%,1.60%,12.50%,86.4
Ponte Vedra High School,https://www.schooldigger.com/go/FL/schools/0174007246/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,460 Davis Park Rd,Ponte Vedra,https://www.schooldigger.com/go/FL/city/Ponte+Vedra/search.aspx,32081,St. Johns County,(904) 547-7350,9,12,No,No,No,No,1928,85.6,22.5,2.20%,1.20%,0.00%,5.30%,9.60%,0.40%,4.10%,79.40%,86.3
Design & Architecture Senior High,https://www.schooldigger.com/go/FL/schools/0039002736/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,4001 NE 2nd Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33137,Miami-Dade County,(305) 573-7135,9,12,No,No,Yes,No,492,28,17.5,30.70%,10.00%,0.40%,2.40%,64.00%,0.20%,1.40%,21.50%,86.2
Florida Southwestern Collegiate High School,https://www.schooldigger.com/go/FL/schools/0024007659/school.aspx,Charlotte,https://www.schooldigger.com/go/FL/district/00240/search.aspx,26300 Airport Rd,Punta Gorda,https://www.schooldigger.com/go/FL/city/Punta+Gorda/search.aspx,33950,Charlotte County,(941) 637-5673,9,12,No,Yes,No,No,355,11,32.2,16.10%,7.90%,0.30%,4.80%,17.50%,0.80%,2.30%,66.50%,86.2
Iprep Academy North,https://www.schooldigger.com/go/FL/schools/0039008792/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1420 NE 215th St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33179,Miami-Dade County,(305) 655-3909,6,12,No,No,No,No,513,21,24.4,30.60%,18.30%,0.00%,1.80%,52.60%,0.00%,0.20%,27.10%,86
Mater Performing Arts & Entertainment Academy,https://www.schooldigger.com/go/FL/schools/0039005494/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,7901 NW 103rd St,Hialeah Gardens,https://www.schooldigger.com/go/FL/city/Hialeah+Gardens/search.aspx,33016,Miami-Dade County,(305) 828-1886,9,12,Yes,Yes,No,No,315,15,21,81.90%,1.30%,0.00%,0.30%,97.50%,0.00%,0.00%,1.00%,86
Somerset Arts Conservatory,https://www.schooldigger.com/go/FL/schools/0018004463/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,20807 Johnson St,Pembroke Pines,https://www.schooldigger.com/go/FL/city/Pembroke+Pines/search.aspx,33029,Broward County,(954) 442-0233,9,12,No,Yes,No,No,403,12,33.5,27.80%,13.20%,0.00%,4.20%,68.50%,0.00%,1.50%,12.70%,85.7
Orlando Science Middle High Charter,https://www.schooldigger.com/go/FL/schools/0144007458/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,2427 Lynx Ln,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32804,Orange County,(407) 253-7304,6,12,No,Yes,No,No,1453,76,19.1,25.10%,15.60%,0.80%,37.60%,22.30%,0.40%,3.20%,20.10%,85.2
Creekside High School,https://www.schooldigger.com/go/FL/schools/0174007388/school.aspx,St. Johns,https://www.schooldigger.com/go/FL/district/01740/search.aspx,100 Knights Ln,Saint Johns,https://www.schooldigger.com/go/FL/city/Saint+Johns/search.aspx,32259,St. Johns County,(904) 547-7300,9,12,No,No,No,No,2554,113.6,22.4,3.80%,3.90%,0.20%,9.20%,14.00%,0.20%,5.20%,67.30%,85
Coral Reef Senior High School,https://www.schooldigger.com/go/FL/schools/0039003052/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,10101 SW 152nd St,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33157,Miami-Dade County,(305) 232-2044,8,12,No,No,Yes,No,3296,126,26.1,32.80%,9.90%,0.10%,3.40%,75.00%,0.00%,1.00%,10.60%,84.8
Bell Creek Academy,https://www.schooldigger.com/go/FL/schools/0087008148/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,13221 Boyette Rd,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33569,Hillsborough County,(813) 793-6075,6,12,No,Yes,No,No,1131,55,20.5,22.50%,10.90%,0.20%,9.00%,29.90%,0.30%,7.20%,42.60%,84.1
Dayspring Academy,https://www.schooldigger.com/go/FL/schools/0153004426/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,9732 Little Rd,New Port Richey,https://www.schooldigger.com/go/FL/city/New+Port+Richey/search.aspx,34654,Pasco County,(727) 862-8600,KG,12,No,Yes,No,No,943,60,15.7,39.00%,2.40%,0.30%,4.30%,22.30%,0.20%,4.90%,65.50%,83.7
North Bay Haven Career Academy,https://www.schooldigger.com/go/FL/schools/0009007903/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,1 Buccaneer Dr,Panama City,https://www.schooldigger.com/go/FL/city/Panama+City/search.aspx,32404,Bay County,(850) 248-0801,9,12,No,Yes,No,No,882,36,24.5,22.10%,6.50%,0.10%,4.90%,11.00%,0.50%,5.80%,71.30%,83.6
Douglas Anderson School Of The Arts,https://www.schooldigger.com/go/FL/schools/0048002469/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,2445 San Diego Rd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32207,Duval County,(904) 346-5620,9,12,No,No,Yes,No,1053,49,21.4,17.10%,21.90%,0.10%,3.70%,11.90%,0.30%,5.20%,56.90%,83.4
Fleming Island High School,https://www.schooldigger.com/go/FL/schools/0030004062/school.aspx,Clay,https://www.schooldigger.com/go/FL/district/00300/search.aspx,2233 Village Square Pkwy,Orange Park,https://www.schooldigger.com/go/FL/city/Orange+Park/search.aspx,32003,Clay County,(904) 336-7500,9,12,No,No,No,No,1862,94.6,19.6,25.10%,7.70%,0.10%,4.50%,14.20%,0.40%,5.70%,67.30%,82.6
Center For International Education A Cambridge Associate School,https://www.schooldigger.com/go/FL/schools/0039008388/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,900 NE 23rd Ave,Homestead,https://www.schooldigger.com/go/FL/city/Homestead/search.aspx,33033,Miami-Dade County,(305) 248-7911,9,12,No,No,Yes,No,390,18,21.6,53.30%,7.40%,0.30%,1.00%,86.20%,0.30%,0.50%,4.40%,82.1
Mason Classical Academy,https://www.schooldigger.com/go/FL/schools/0033008322/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,3073 Horseshoe Dr S,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34104,Collier County,(239) 227-2838,KG,12,No,Yes,No,No,1488,74,20.1,24.10%,13.20%,0.30%,4.80%,23.00%,0.40%,3.00%,55.40%,82
Paxon School/Advanced Studies,https://www.schooldigger.com/go/FL/schools/0048000671/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,3239 Norman E Thagard Blvd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32254,Duval County,(904) 693-7583,9,12,No,No,Yes,No,1285,63,20.3,29.90%,48.70%,0.70%,8.60%,10.20%,0.20%,4.80%,26.70%,82
International Studies Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0039007811/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,1570 Madruga Ave,Coral Gables,https://www.schooldigger.com/go/FL/city/Coral+Gables/search.aspx,33146,Miami-Dade County,(305) 663-7200,9,12,No,No,Yes,No,376,23,16.3,22.90%,1.10%,0.00%,0.80%,85.40%,0.00%,0.80%,12.00%,81.6
Osceola Virtual Franchise (Secondary),https://www.schooldigger.com/go/FL/schools/0147005802/school.aspx,Osceola,https://www.schooldigger.com/go/FL/district/01470/search.aspx,1907 Michigan Avenue,Saint Cloud,https://www.schooldigger.com/go/FL/city/Saint+Cloud/search.aspx,34769,Osceola County,(407) 870-4847,KG,12,No,No,No,Yes,203,38.5,5.2,9.40%,8.90%,0.50%,5.40%,40.40%,0.00%,6.40%,38.40%,81.6
Pinecrest Lakes Middle/High Academy,https://www.schooldigger.com/go/FL/schools/0105008895/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,1250 N Hancock Rd.,Clermont,https://www.schooldigger.com/go/FL/city/Clermont/search.aspx,34711,Lake County,(352) 508-7610,6,12,No,Yes,No,No,268,5,53.6,26.90%,7.50%,0.00%,3.00%,32.80%,0.70%,3.00%,53.00%,81.2
Lakewood Ranch Preparatory Academy,https://www.schooldigger.com/go/FL/schools/0123010679/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,800 Corporate Drive,Fort Lauderdale,https://www.schooldigger.com/go/FL/city/Fort+Lauderdale/search.aspx,33334,Broward County,(941) 757-8766,KG,12,(n/a),Yes,(n/a),No,1270,70,18.1,19.40%,2.80%,0.20%,6.60%,17.90%,0.00%,5.40%,67.20%,81.1
Cutler Bay Senior High School,https://www.schooldigger.com/go/FL/schools/0039000547/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,8601 SW 212th St,Cutler Bay,https://www.schooldigger.com/go/FL/city/Cutler+Bay/search.aspx,33189,Miami-Dade County,(305) 235-1581,9,12,No,No,Yes,No,576,29,19.8,35.60%,4.90%,0.20%,3.10%,77.40%,0.00%,1.60%,12.80%,80.8
McKeel Academy Of Technology,https://www.schooldigger.com/go/FL/schools/0159001785/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,1810 Parker St W,Lakeland,https://www.schooldigger.com/go/FL/city/Lakeland/search.aspx,33815,Polk County,(863) 499-2818,7,12,No,Yes,No,No,1722,77,22.3,36.10%,7.50%,0.30%,3.50%,21.90%,0.10%,2.10%,64.60%,80.8
