rank,name,founded,Address,city,state,zip,revenue,Growth,Headcount,Industry,Raw_revenue
33,Globalization Partners,1/1/2012,"1 Boston Place, 26th Floor 1 Boston Place, 26th Floor",Boston,MA,2108,40.5 million,8187,32,Business Products & Services,40465004
34,Carvana,1/1/2013,1930 W Rio Salado Pkwy ,Tempe,AZ,85281,365.1 million,7925,1069,Retail,365148000
35,Axe Wellness,1/1/2009,2000 Mallory Lane Suite 130-307,Franklin,TN,37067,46.3 million,7032,60,Health,46322805
36,Interactive Government Holdings,1/1/2006,7426 Alban Station Boulevard Suite B218,Springfield,VA,22150,15.3 million,7024,150,Government Services,15297411
37,Bay State Search,1/1/2013,31 Milk St. Suite 1111,Boston,MA,2109,11.2 million,6885,250,Human Resources,11175448
38,Enhanced Veterans Solutions,1/1/2007,10560 Main Street Suite 220,Fairfax,VA,22030,8.7 million,6866,68,Government Services,8730853
39,Dealer Inspire,1/1/2012,1864 High Grove Lane Suite 124,Naperville,IL,60540,10.5 million,6765,130,Software,10485236
40,Na Alii Consulting and Sales,1/1/2003,"3375 Koapaka St., B200 ",Honolulu,HI,96819,22.8 million,6638,98,Government Services,22843662
41,Dyla,1/1/2012,236 Price Court ,West New York,NJ,7093,9.7 million,6634,15,Food & Beverage,9699714
42,BlackRock Construction,1/1/2012,68 Randall Street Suite 300,South Burlington,VT,5403,14.4 million,6611,10,Construction,14407645
43,MM.LaFleur,1/1/2013,"611 Broadway, Suite 401 ",New York City,NY,10012,22.5 million,6594,175,Consumer Products & Services,22517906
44,Lever1,1/1/2012,510 W 5th Street ,Kansas City,MO,64105,27.6 million,6560,16,Business Products & Services,27577808
45,TrackR,1/1/2009,19 W Carrillo Street ,Santa Barbara,CA,93103,45.9 million,6535,59,Consumer Products & Services,45910200
46,ByteCubed,1/1/2011,2231 Crystal Drive Suite 401 ,Arlington,VA,22202,31.7 million,6469,120,IT Services,31680890
47,Avant,1/1/2012,222 N. LaSalle St. Suite 1700,Chicago,IL,60601,437.9 million,6333,468,Financial Services,437929000
48,iBenzer,1/1/2012,22-30 119th STREET ,College Point,NY,11356,7.9 million,6291,20,Consumer Products & Services,7927378
49,Boost Marketing Group,1/1/2012,396 Pettis Ave SE Suite 110,Ada,MI,49301,11 million,6269,6,Advertising & Marketing,11020255
50,FedBiz IT Solutions,1/1/2011,305 Harrison Street SE Suite 1C,Leesburg,VA,20175,32.6 million,6142,12,Government Services,32638816
51,BASX Solutions,1/1/2012,3500 SW 21st Place ,Redmond,OR,97756,25.1 million,6062,160,Manufacturing,25085748
52,Discount Power Texas,1/1/2009,5757 Woodway Drive Ste.270 ,Houston,TX,77057,98.1 million,6045,37,Energy,98101631
53,Lauren James Enterprises,1/1/2013,104 N. East ave Suite D ,Fayetteville,AR,72701,13.2 million,6010,100,Retail,13249527
54,Boomsourcing,1/1/2007,2940 W Maple Loop Dr Suite 203,Lehi,UT,84043,7.2 million,5889,385,Business Products & Services,7169837
55,ClearView,1/1/2013,6325 Odana Rd. Suite 2000,Madison,WI,53719,8.4 million,5779,37,Software,8364861
56,Samba TV,1/1/2008,301 Brannan St ,San Francisco,CA,94107,51.3 million,5761,165,Advertising & Marketing,51255147
57,Thought Logic Consulting,1/1/2013,3400 Peachtree Rd. Suite 900,Atlanta,GA,30326,7.8 million,5754,38,Business Products & Services,7834512
58,Chefs Cut Real Jerky,1/1/2009,515 West 20th Street #4W,New York City,NY,10011,26.9 million,5669,30,Food & Beverage,26865896
59,InfoScout,1/1/2011,322 Ritch Street ,San Francisco,CA,94107,13.1 million,5650,89,Business Products & Services,13146581
60,Infusion Express,1/1/2013,19049 East Valley View Parkway Suite I,Independence,MO,64057,7.1 million,5550,34,Health,7069690
61,Givingtons,1/1/2012,2209 Hawks Landing ,Fayetteville,AR,72704,6.9 million,5531,19,Business Products & Services,6882294
62,Allego,1/1/2013,117 Kendrick Street Suite 800,Needham,MA,2494,5.7 million,5401,39,Software,5687391
63,The Air Travel Group,1/1/2013,7329 Greenbriar Parkway ,Orlando,FL,32819,14.7 million,5379,15,Travel & Hospitality,14688547
64,Associated Veterans,1/1/2007,2900 S. Quincy St Suite 325,Arlington,VA,22206,7.8 million,5334,49,Government Services,7782834
65,PANTHERx Specialty Pharmacy,1/1/2011,24 Summit Park Drive ,Pittsburgh,PA,15275,240.1 million,5319,80,Health,240098201
66,Gimbal,1/1/2012,2041 Colorado Ave ,Santa Monica,CA,90404,17.3 million,5285,88,Advertising & Marketing,17337311
67,Momentum Solar,1/1/2009,325 High Street ,Metuchen,NJ,8840,36.5 million,5223,396,Energy,36542542
68,Symbia Logistics,1/1/2007,27 Main Street #C-303B,Edwards,CO,81632,27 million,5165,250,Logistics & Transportation,27021965
69,Inspire Medical Systems,1/1/2007,9700 63rd Avenue North Suite 200,Maple Grove,MN,55369,16.4 million,5149,81,Health,16427170
70,RightDirection Technology Solutions,1/1/2007,300 E. Lombard St Suite 840 300 E. Lombard St Suite 840,Baltimore,MD,21202,15 million,5142,88,Government Services,14966936
71,TFM Truckload,1/1/2011,5905 Brownsville Rd ,Pittsburgh,PA,15236,6.3 million,5121,38,Logistics & Transportation,6258209
72,S2 Capital,1/1/2012,5055 Keller Springs Road Suite #550,Addison,TX,75001,57.4 million,5083,150,Real Estate,57429435
73,Greentek Energy Systems,1/1/2011,1000 LAVAL BLVD ,Lawrenceville,GA,30043,9.2 million,5027,20,Energy,9174917
74,Oakwood Search,1/1/2012,2727 Bryant St. Suite 500,Denver,CO,80211,6.1 million,5009,16,Human Resources,6104793
75,County Fabricators,1/1/2004,175 Marble Avenue ,Pleasantville,NY,10570,7 million,5002,22,Construction,6982039
76,ServiceTitan,1/1/2013,801 N Brand Blvd #700 ,Glendale,CA,91203,13.6 million,4784,147,Software,13568547
77,Agema Technology,1/1/2012,6 Jenner Suite 260 ,Irvine,CA,92618,5.1 million,4766,22,IT Services,5054115
78,Linux Academy,1/1/2012,125 Bear Creek Parkway ,Keller,TX,76248,5.2 million,4654,67,Education,5195820
79,E-file.com,1/1/2011,830-13 A1A North #484 ,Ponte Vedra,FL,32082,5.1 million,4642,2,Consumer Products & Services,5105471
80,The Elephant Pants,1/1/2012,220 Bogart St ,Brooklyn,NY,11206,5 million,4582,11,Retail,5011688
81,Brazi Bites,1/1/2010,"1836 NE 7th Ave, Suite 203 ",Portland,OR,97212,8.5 million,4555,5,Food & Beverage,8524553
82,Anovia Payments,1/1/2013,600 E. Las Colinas Blvd Ste 1200,Irving,TX,75039,32.2 million,4526,50,Financial Services,32220743
83,Griffin Funding,1/1/2013,2445 5th ave ste 300 ,San Diego,CA,92101,5.2 million,4473,24,Financial Services,5156096
84,Sun Up Zero Down,1/1/2013,"6105 West Jersey Ave Suite 3, ",Egg Harbor Township,NJ,8234,6.5 million,4407,20,Energy,6534676
85,Nine Line Apparel,1/1/2012,1732 E President St ,Savannah,GA,31404,14 million,4402,147,Retail,14021685
86,A. Prentice Ray & Associates,1/1/2005,20 F Street NW 7th Floor,Washington,DC,20001,6.8 million,4391,75,IT Services,6794254
87,Trinity Air Medical,1/1/2012,1437 W. Auto Drive ,Tempe,AZ,85284,5.3 million,4316,35,Logistics & Transportation,5313613
88,Lexicon Health,1/1/2012,15559 Union Ave #120 ,Los Gatos,CA,95032,12.5 million,4255,11,Media,12503550
89,American Business Brokers,1/1/2011,5497 Walker Estates Circle ,Salt Lake City,UT,84117,8.9 million,4092,4,Business Products & Services,8926250
90,Draken International,1/1/2011,3330 Flightline Drive ,Lakeland,FL,33811,18.8 million,4068,150,Government Services,18843424
91,Shapes Secrets,1/1/2013,2600 NW 87th AVE Unit 4,Doral,FL,33172,4.2 million,4056,65,Retail,4233104
92,MKS2,1/1/2008,701 Brazos Suite 1600 ,Austin,TX,78701,4.7 million,4018,58,Government Services,4734697
93,Hotel Rehabs,1/1/2010,1 S Wacker Drive Suite 200,Chicago,IL,60606,9.3 million,4000,7,Construction,9348379
94,Level Office,1/1/2013,73 W. Monroe ,Chicago,IL,60603,11 million,3982,34,Real Estate,10981244
95,Idea Farmer,1/1/2011,1685 Beverly Blvd ,Los Angeles,CA,90026,10.1 million,3958,11,Advertising & Marketing,10141793
96,POWER HOME SOLAR,1/1/2013,919 N MAIN ST. ,Mooresville,NC,28115,14.7 million,3943,109,Construction,14674941
97,Harbinger,1/1/2013,1919 M Street NW Suite 200,Washington,DC,20036,10.1 million,3907,21,Advertising & Marketing,10078361
98,Regal Service Company,1/1/1975,653 Mapunapuna St. ,Honolulu,HI,96819,6.4 million,3895,30,Construction,6391760
99,Swell,1/1/2010,"28 W 23rd St, FL 5 ",New York City,NY,10010,99.7 million,3862,75,Retail,99739435
100,FabFitFun,1/1/2010,360 N. La Cienega Blvd 3rd Floor,West Hollywood,CA,90048,41.8 million,3845,73,Consumer Products & Services,41835398
101,Ecology Mir Group,1/1/2012,10432 Balls Ford Rd. ,Manassas,VA,20109,5.1 million,3844,12,Government Services,5121311
102,Gainsight,1/1/2009,1400 Bridge Pkwy Suite 101,Redwood City,CA,94065,23.1 million,3843,304,Software,23064000
103,Digital Enterprise,1/1/2007,10 Glenlake Parkway Suite 130,Atlanta,GA,30328,28.8 million,3815,370,IT Services,28789000
104,Lenora Systems,1/1/2012,2705 152ND AVE NE Suite #6 M ,Redmond,WA,98052,11.1 million,3811,70,IT Services,11079116
105,Signs.com,1/1/2012,1550 S Gladiola St ,Salt Lake City,UT,84104,8.5 million,3783,26,Business Products & Services,8469890
106,Blue Air Training,1/1/2011,7582 Las Vegas Blvd. South Suite 104,Las Vegas,NV,89123,4.7 million,3748,35,Government Services,4653313
107,Kaizen Technology Partners,1/1/2013,236 West portal avenue suite 837,San Francisco,CA,94127,7.3 million,3728,4,IT Services,7327299
108,QASymphony,1/1/2011,550 Pharr Rd NE Suite 400,Atlanta,GA,30305,5 million,3687,82,Software,5034175
109,Inoventures,1/1/2008,1420 Spring Hill Road suite 600,McLean,VA,22102,4.6 million,3599,43,Government Services,4583954
110,Hawke Media,1/1/2013,1640 5th St. #107 #107,Santa Monica,CA,90401,5.6 million,3525,56,Advertising & Marketing,5568104
111,Eligo Energy,1/1/2012,205 W. Randolph Ave Suite 1040,Chicago,IL,60606,43.8 million,3524,37,Energy,43765968
112,Omaze,1/1/2012,5735 West Adams Blvd ,Los Angeles,CA,90016,13.4 million,3506,56,Consumer Products & Services,13358677
113,Choozle,1/1/2012,2245 Curtis St. 200,Denver,CO,80205,9 million,3499,37,Advertising & Marketing,8975552
114,Pop Culture Media,1/1/2013,6 Cadillac Dr Ste 280 ,Brentwood,TN,37027,4.9 million,3455,54,Media,4852909
115,webcorp,1/1/2010,4110 North Service Road ,Saint Peters,MO,63376,4 million,3446,14,Retail,4014728
116,MTS Nutrition,1/1/2011,150 Commerce Drive ,Loveland,OH,45140,3.6 million,3426,3,Health,3581252
117,Vantage Point Logistics,1/1/2011,1275 Kinnear Road Suite 225,Columbus,OH,43212,8 million,3422,30,Logistics & Transportation,7973975
118,PAKmed,1/1/2012,"2527 Nelson Miller Pkwy, Suite 105 ",Louisville,KY,40223,11.6 million,3414,5,Health,11593993
119,Brand TM,1/1/2011,"30700 Russell Ranch Road, Suite 250 30700 Russell Ranch Road, Suite 250",Westlake Village,CA,91362,3.7 million,3407,9,Education,3652185
120,Bionic Solution,1/1/2013,4 Columbus Circle 2nd Floor,New York City,NY,10019,10.5 million,3391,32,Business Products & Services,10525388
121,Ruby Has Fulfillment,1/1/2011,5 Inez Drive ,Bay Shore,NY,11706,9.2 million,3333,206,Logistics & Transportation,9205785
122,PeachCap,1/1/2011,550 PHARR RD NE SUITE 700,Atlanta,GA,30305,5.7 million,3327,30,Financial Services,5681583
123,Double A Events,1/1/2012,1600 East 7th Street ,Austin,TX,78702,4.6 million,3270,9,Advertising & Marketing,4580415
124,Infusion Plus,1/1/2013,885 Liberty Road Suite 500 ,Flowood,MS,39232,6.4 million,3235,10,Health,6374858
125,Sturdy,1/1/2012,16421 Scientific ,Irvine,CA,92618,3.8 million,3202,18,IT Services,3797885
126,Exact Match Media,1/1/2013,2385 NW Executive Center Drive Suite 100,Boca Raton,FL,33431,6.3 million,3166,5,Advertising & Marketing,6324211
127,Qubole,1/1/2011,469 El Camino Real Suite 205,Santa Clara,CA,95050,9.8 million,3165,170,IT Services,9791781
128,X Corp Solutions,1/1/2011,925 Corporate Drive Suite 101,Stafford,VA,22554,13.3 million,3126,151,Government Services,13345573
129,Nelson Brothers,1/1/2007,"16B Journey, Suite 200 ",Aliso Viejo,CA,92656,25.5 million,3111,124,Real Estate,25529000
130,HomeStar Remodeling,1/1/2013,191 Edgemoor Rd ,Wilmington,DE,19809,3.6 million,3074,35,Construction,3562458
131,Fab Glass and Mirror,1/1/2012,4188 Fisher Rd 4188 Fisher Rd,Columbus,OH,43228,3.6 million,3013,17,Manufacturing,3586031
132,Azzur Labs,1/1/2012,4125 indepence Dr ,Schnecksville,PA,18078,3.3 million,3005,19,Business Products & Services,3300544
133,Factor 75,1/1/2013,1853 Suncast Lane ,Batavia,IL,60510,5.6 million,2938,18,Food & Beverage,5627341
134,PrescribeWellness,1/1/2010,9701 Jeronimo Rd Suite 300,Irvine,CA,92618,18 million,2904,89,Health,18000382
135,iHeartDogs.com / HomeLife Media,1/1/2013,1510 S Lewis St ,Anaheim,CA,92805,16.3 million,2898,55,Retail,16266588
136,JCs,1/1/2013,15021 Ventura Blvd #706 9909 Topanga Cyn Blvd #159,Sherman Oaks,CA,91403,5.3 million,2834,6,Food & Beverage,5251000
137,The Bizzell Group,1/1/2010,4500 Forbes Blvd STE 400,Lanham,MD,20706,8.5 million,2829,42,Government Services,8488553
138,Moore Advanced,1/1/2013,6739 E Shelby Dr ,Memphis,TN,38141,4 million,2807,1217,Logistics & Transportation,4001582
139,Sparks Energy,1/1/2013,1370 Kirby Bridge Road ,Danville,AL,35619,70.3 million,2732,20,Energy,70263081
140,Agilisium Consulting,1/1/2013,26163 TWAIN PL ,Stevenson Ranch,CA,91381,5.5 million,2723,90,IT Services,5507619
141,Solomon and Associates,1/1/2012,350 Jim Moran Blvd SUITE 101A,Deerfield Beach,FL,33434,3.9 million,2707,105,Advertising & Marketing,3881258
142,VALiNTRY,1/1/2013,1201 S. Orlando Avenue Suite 440,Winter Park,FL,32789,5 million,2700,51,IT Services,4979867
143,TalEx,1/1/2012,1875 Connecticut Avenue ,Washington,DC,20009,14.6 million,2698,280,Human Resources,14578124
144,MCB Lighting & Electrical,1/1/2000,10100 Willow Creek Rd. 10100 Willow Creek Rd.,San Diego,CA,92131,8.9 million,2642,3,Energy,8931996
145,Disruptive Advertising,1/1/2012,275 W 200 N #310 ,Lindon,UT,84042,6.3 million,2627,50,Advertising & Marketing,6284630
146,Fast Capital 360,1/1/2009,95 James Way #113,Southampton,PA,18966,6.3 million,2623,79,Financial Services,6264924
147,MZ Capital Partners,1/1/2005,400 Skokie Boulevard Suite 580,Northbrook,IL,60062,5.2 million,2618,6,Real Estate,5177250
148,HealthCare.com,1/1/2007,3401 N. Miami Ave. Suite 205,Miami,FL,33127,16.8 million,2599,35,Insurance,16767901
149,Newline Interactive,1/1/2012,101 East Park Blvd Suite 807,Plano,TX,75074,10.7 million,2588,26,Business Products & Services,10680812
150,Active Faith Sports,1/1/2012,720 Rusk Suite 1000L,Houston,TX,77002,6.9 million,2586,3,Retail,6902833
151,Talent Rover,1/1/2011,414 N Orleans Suite 502,Chicago,IL,60654,7.7 million,2584,110,Software,7719953
152,Banish,1/1/2013,2335-115 E colorado blvd 303,Pasadena,CA,91107,2.8 million,2573,20,Retail,2761416
153,Reltio,1/1/2011,100 Marine Parkway Suite 275,Redwood City,CA,94065,13.5 million,2568,180,Software,13539825
154,National Brokers of America,1/1/2013,"2525 N 12th Street, Suite 390 2525 N 12th Street, Suite 390",Reading,PA,19605,9.7 million,2565,54,Insurance,9740438
155,Scientist.com,1/1/2007,125 N. Acacia Ave. ,Solana Beach,CA,92075,23.4 million,2564,21,Health,23410981
156,"FYZICAL Therapy & Balance Centers (Sarasota, FL)",0000-00-00,505 S Orange Ave Unit 101,Sarasota,FL,34236,7.8 million,2557,12,Health,7831546
157,Oklahoma LED,1/1/2011,11005 S. Memorial Dr. ,Tulsa,OK,74133,4.7 million,2556,9,Construction,4656196
158,RWD Consulting,1/1/2007,"1050 17th Street NW, Suite 500 ",Washington,DC,20036,7.9 million,2556,77,Government Services,7946769
159,DayBlink Consulting,1/1/2013,"7918 Jones Branch Drive, Suite 430 ",McLean,VA,22102,6.9 million,2551,58,Business Products & Services,6896825
160,Elite Staffing Solutions,1/1/2013,2601 E Central suite 3 ,Wichita,KS,67214,3 million,2548,2400,Human Resources,2983728
161,Blueprint Consulting Services,1/1/2005,350 106th Avenue Northeast Second Floor,Bellevue,WA,98004,47.1 million,2538,543,Business Products & Services,47103501
162,Avadim Technologies,1/1/2007,81 Thompson St ,Asheville,NC,28803,6.3 million,2537,111,Health,6325032
163,TripleLift,1/1/2012,400 Layafette 5th Fl,New York City,NY,10003,42.9 million,2522,110,Advertising & Marketing,42879571
164,Wildwood Roofing & Construction,1/1/2013,437 Old State Road ,Ellisville,MO,63021,3.5 million,2510,6,Construction,3473481
165,Idea Buyer,1/1/2007,4140 Tuller Rd Ste. 101 ,Dublin,OH,43017,3.4 million,2508,35,Consumer Products & Services,3407171
166,The Steely Group,1/1/2013,1211 West 22nd Street Suite 303,Oak Brook,IL,60523,6.2 million,2494,18,Human Resources,6191000
167,Zeel,1/1/2012,45 West 45th Street Floor 16,New York City,NY,10038,12.6 million,2489,58,Consumer Products & Services,12641082
168,Fifth Wheel Freight,1/1/2012,161 Ottawa Ave NW Suite 303 ,Grand Rapids,MI,49503,9.8 million,2463,21,Logistics & Transportation,9767400
169,DirectDefense,1/1/2011,385 Inverness Parkway Suite 360,Englewood,CO,80112,5.9 million,2463,24,Security,5882465
170,Yamibuy,1/1/2013,280 Machlin Court ,City of Industry,CA,91789,44.6 million,2457,149,Retail,44569718
171,Arcis Golf,1/1/2013,"4851 LBJ Freeway, Suite 600 ",Dallas,TX,75244,186.7 million,2456,3840,Travel & Hospitality,186710214
172,Fuse Chicken,1/1/2012,1127 Portage Trail ,Cuyahoga Falls,OH,44223,3.5 million,2445,5,Consumer Products & Services,3505376
173,Adwerx,1/1/2013,"324 Blackwell Street Bay 5, Suite 510",Durham,NC,27701,14.1 million,2443,54,Advertising & Marketing,14089648
174,Empire Flippers,1/1/2012,427 N Tatnall St #34425 ,Wilmington,DE,19801,11.4 million,2441,9,Business Products & Services,11400647
175,Tejas Courier,1/1/2011,2616 South Loop West Ste. 650,Houston,TX,77054,4.3 million,2429,60,Logistics & Transportation,4268371
176,Alkami Technology,1/1/2009,5601 Granite Parkway Suite 120,Plano,TX,75024,11.9 million,2415,192,Software,11933933
177,SD Bullion,1/1/2012,8000 Yankee Rd Suite 435 ,Ottawa Lake,MI,49267,129.6 million,2410,16,Financial Services,129648656
178,JET Concrete Services,1/1/2012,2714 Independence St 200,Metairie,LA,70006,7.6 million,2406,55,Construction,7591111
179,Bizible,1/1/2011,542 1st Ave S #200,Seattle,WA,98104,3.4 million,2405,44,Software,3389139
180,Landlocked Aviation,1/1/2009,630 W Prien Lake Road - Suite B #225 Suite B #225,Lake Charles,LA,70601,2.7 million,2395,88,Business Products & Services,2690735
181,Stream Logistics,1/1/2012,6895 E Camelback Rd Suite 126,Scottsdale,AZ,85251,17.7 million,2382,20,Logistics & Transportation,17693443
182,Preparing People Barber Styling College,1/1/2011,3125 Martin Luther King ,Dallas,TX,75215,2.6 million,2376,18,Education,2599708
183,TrackMaven,1/1/2012,"1 Thomas Circle, NW 9th Floor ",Washington,DC,20005,6.7 million,2352,47,Advertising & Marketing,6725893
184,Farwell,1/1/2012,2010 Eastwood Dr. Suite 106 ,Madison,WI,53704,2.7 million,2347,26,Business Products & Services,2672255
185,Cloudnexa,1/1/2012,1413 Langley Ave The Navy YArd - Quarters A,Philadelphia,PA,19112,18.1 million,2343,23,IT Services,18126270
186,Clients on Demand,1/1/2011,511 Caruso Ave. ,Glendale,CA,91210,4.5 million,2326,16,Advertising & Marketing,4454672
187,GridGain Systems,1/1/2007,"1065 East Hillsdale Blvd, Suite 220 ",Foster City,CA,94404,4 million,2318,70,IT Services,4032900
188,Mortgage Financial Services,1/1/2007,2001 Lakeside Parkway ,Flower Mound,TX,75028,27.4 million,2318,211,Financial Services,27367579
189,Renown Roofing and Construction,1/1/2012,982 N. Garden Ridge Blvd. Suite 210,Lewisville,TX,75057,6.5 million,2317,22,Construction,6549997
190,The Stem,1/1/2013,40 Iselin Terrace ,Larchmont,NY,10538,4.8 million,2305,20,Business Products & Services,4775020
191,Plow,1/1/2012,210 Jamestown Park Rd. Suite 201,Brentwood,TN,37027,3.3 million,2301,12,IT Services,3273827
192,Domo,1/1/2010,772 East Utah Valley Drive ,American Fork,UT,84003,79.9 million,2250,830,Software,79889000
193,Zhou Nutrition,1/1/2011,1100 MAIN ST #26797 ,Kansas City,MO,64105,11.5 million,2241,8,Health,11450481
194,Ladder Now,1/1/2012,3600 Chamberlain Lane Suite 114,Louisville,KY,40241,12.4 million,2231,18,Insurance,12402854
195,Hype Well Media,1/1/2013,2901 W. MacArthur Blvd #208,Santa Ana,CA,92707,5.3 million,2230,85,Advertising & Marketing,5268076
196,National Merchants Association,1/1/2004,"43620 Ridge Park Drive, Suite 310 ",Temecula,CA,92590,68.1 million,2225,170,Financial Services,68099542
197,Walton Contractors,1/1/2012,2150 S. Canalport Ave. Suite 4C-4,Chicago,IL,60608,3.1 million,2223,18,Construction,3071819
198,Verified First,1/1/2012,1550 S Tech Lane Suite 200,Meridian,ID,83642,5.7 million,2221,70,Business Products & Services,5653900
199,Etegra,1/1/2010,1121 Olivette Executive Parkway Suite 100,Olivette,MO,63132,4.6 million,2196,41,Engineering,4632039
200,E Contractors USA,1/1/2011,"5177 Richmond Ave., Suite 130 ",Houston,TX,77056,16.1 million,2182,16,Construction,16126729
201,Stratus Video,1/1/2011,33 N Garden Ave Suite 1000,Clearwater,FL,33755,33.5 million,2123,680,Telecommunications,33545927
202,HomeWorks Energy,1/1/2012,101 Station Landing Ste. 110,Medford,MA,2155,21.4 million,2117,185,Energy,21405390
203,MOVE Bumpers,1/1/2013,109 Brookville Ln ,Lewistown,MT,59457,3.5 million,2114,10,Manufacturing,3538687
204,LingPerfect Translations,1/1/2013,2 WATER ST APT 14A,New York City,NY,10004,2.2 million,2110,17,Business Products & Services,2233108
205,Innovative Power Systems,1/1/1991,2670 Patton Road ,Roseville,MN,55113,34.6 million,2104,23,Energy,34627303
206,NuevaCare,1/1/2012,1900 S. Norfolk Street Suite 350,San Mateo,CA,94403,2.2 million,2103,70,Health,2249451
207,Augmenix,1/1/2008,201 Burlington Rd North Building,Bedford,MA,1730,11.6 million,2097,56,Health,11553883
208,Greenup Industries,1/1/2012,"719 S. Burnside Ave, Suite D ",Gonzales,LA,70737,14.9 million,2079,70,Energy,14909897
209,P.F. Candle Co.,1/1/2008,2939 E. Pico Blvd. Unit A ,Los Angeles,CA,90023,3.5 million,2075,25,Consumer Products & Services,3487154
210,The Garrett Companies,1/1/2012,1051 Greenwood Springs Blvd. Suite 100,Greenwood,IN,46143,43 million,2069,28,Real Estate,42980824
211,Occams Paradigm,1/1/2012,112 W 34 St. Flr 18 ,New York City,NY,10120,4.2 million,2063,10,Business Products & Services,4162542
212,Beacon Protection Group,1/1/2013,41 Vreeland Ave ,Totowa,NJ,7512,4.2 million,2031,47,Security,4236496
