School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student/Teacher_Ratio,Percent_Free/Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Stem Academy at SVT,https://www.schooldigger.com/go/WA/schools/0111003657/school.aspx,Central Valley School District,https://www.schooldigger.com/go/WA/district/01110/search.aspx,115 S. University Road,Spokane Valley,https://www.schooldigger.com/go/WA/city/Spokane+Valley/search.aspx,99206,Spokane County,(509) 558-6500,No,No,No,No,173,8.8,19.6,18.5,0.6,0,0.6,0,0,5.2,93.6,92.7
Discovery High School,https://www.schooldigger.com/go/WA/schools/0081003662/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,5125 NW Nan Henriksen Way,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5790,No,No,No,No,175,15.6,11.2,16,0.6,0.6,2.3,8,0,4,84.6,92.5
Redmond High School,https://www.schooldigger.com/go/WA/schools/0423000679/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,17272 NE 104th,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-1800,No,No,No,No,2146,102.4,20.9,12.6,3.5,0.2,29.8,12.8,0.1,7.6,45.9,92.5
Gibson Ek High School,https://www.schooldigger.com/go/WA/schools/0375003588/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,379 1st PL SE,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98027,King County,(425) 837-6350,No,No,No,No,162,14,11.5,7.4,1.9,0.6,9.3,8,0,5.6,74.7,91.5
North Creek High School,https://www.schooldigger.com/go/WA/schools/0591003617/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,3613 191st PL SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98012,Snohomish County,(425) 408-8800,No,No,No,No,1763,85.3,20.6,11.8,2.4,0.5,35.5,10.2,0.3,6.8,43.8,91.3
Shorewood High School,https://www.schooldigger.com/go/WA/schools/0792001317/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,17300 Fremont Avenue N.,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98133,King County,(206) 393-4372,No,No,No,No,1523,64.4,23.6,25.2,7.5,0.7,15.3,14.8,0.8,9.4,51.5,89
Curtis Senior High,https://www.schooldigger.com/go/WA/schools/0918001549/school.aspx,University Place School District,https://www.schooldigger.com/go/WA/district/09180/search.aspx,8425 40th W,University Place,https://www.schooldigger.com/go/WA/city/University+Place/search.aspx,98466,Pierce County,(253) 566-5710,No,No,No,No,1381,59.7,23.1,29.3,9.2,0.6,11.2,16.5,0.9,14.2,47.3,88.7
Bellevue Big Picture School,https://www.schooldigger.com/go/WA/schools/0039003354/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,14844 SE 22nd Street,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98007,King County,(425) 456-7800,No,No,No,No,384,27.2,14,13.3,3.6,0.3,26.8,7,0.5,12,49.5,88.6
Asotin Junior Senior High,https://www.schooldigger.com/go/WA/schools/0028000028/school.aspx,Asotin-Anatone School District,https://www.schooldigger.com/go/WA/district/00280/search.aspx,215 Second Street,Asotin,https://www.schooldigger.com/go/WA/city/Asotin/search.aspx,99402,Asotin County,(509) 243-4151,No,No,No,No,327,19.5,16.7,28.4,0.3,0.6,0.9,5.5,0.3,7,85.3,88.4
Henry M. Jackson High School,https://www.schooldigger.com/go/WA/schools/0267001726/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,1508 136th St. SE,Mill Creek,https://www.schooldigger.com/go/WA/city/Mill+Creek/search.aspx,98012,Snohomish County,(425) 385-7000,No,No,No,No,2263,98.4,22.9,19.6,3.5,0.2,22.8,13.7,0.3,8.5,50.8,88.2
Pullman High School,https://www.schooldigger.com/go/WA/schools/0693001020/school.aspx,Pullman School District,https://www.schooldigger.com/go/WA/district/06930/search.aspx,510 NW Greyhound Way,Pullman,https://www.schooldigger.com/go/WA/city/Pullman/search.aspx,99163,Whitman County,(509) 332-1551,No,No,No,No,807,42.2,19.1,24.4,3.5,0.5,7.7,11.6,0.5,6.2,69.9,87
Juanita High School,https://www.schooldigger.com/go/WA/schools/0423000670/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,10601 NE 132nd,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98034,King County,(425) 936-1600,No,No,No,No,1571,82.9,18.9,20.6,3.4,0.1,16.7,15.3,0.3,10.9,53.2,86.8
Kamiak High School,https://www.schooldigger.com/go/WA/schools/0543001188/school.aspx,Mukilteo School District,https://www.schooldigger.com/go/WA/district/05430/search.aspx,10801 Harbour Pointe Blvd,Mukilteo,https://www.schooldigger.com/go/WA/city/Mukilteo/search.aspx,98275,Snohomish County,(425) 366-5400,No,No,No,No,2153,88.5,24.3,23.3,5.1,0.2,20.3,14.7,0.3,11.3,48.2,86.5
South Whidbey High School,https://www.schooldigger.com/go/WA/schools/0819001878/school.aspx,South Whidbey School District,https://www.schooldigger.com/go/WA/district/08190/search.aspx,5675 Maxwelton,Langley,https://www.schooldigger.com/go/WA/city/Langley/search.aspx,98260,Island County,(360) 221-4300,No,No,No,No,431,22.9,18.7,21.3,0.2,0.2,2.3,6.5,0,10.2,80.3,85.7
St John/Endicott High,https://www.schooldigger.com/go/WA/schools/0831001421/school.aspx,St. John School District,https://www.schooldigger.com/go/WA/district/08310/search.aspx,W 301 Nob Hill,Saint John,https://www.schooldigger.com/go/WA/city/Saint+John/search.aspx,99171,Whitman County,(509) 648-3336,No,No,No,No,68,6.1,11.1,52.9,1.5,4.4,0,10.3,0,2.9,80.9,85.7
Inglemoor High School,https://www.schooldigger.com/go/WA/schools/0591000884/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,15500 Simonds RD NE,Kenmore,https://www.schooldigger.com/go/WA/city/Kenmore/search.aspx,98028,King County,(425) 408-7200,No,No,No,No,1616,81,19.9,13.1,1.9,0.4,17.7,16.5,0.2,9.7,52.8,85.7
Lacrosse High School,https://www.schooldigger.com/go/WA/schools/0415000648/school.aspx,LaCrosse School District,https://www.schooldigger.com/go/WA/district/04150/search.aspx,111 Hill Avenue,LaCrosse,https://www.schooldigger.com/go/WA/city/LaCrosse/search.aspx,99143,Whitman County,(509) 549-3591,Yes,No,No,No,44,6.9,6.3,31.8,0,2.3,0,6.8,0,0,90.9,84.8
Olympia High School,https://www.schooldigger.com/go/WA/schools/0618000937/school.aspx,Olympia School District,https://www.schooldigger.com/go/WA/district/06180/search.aspx,1302 North St SE,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98501,Thurston County,(360) 596-7000,No,No,No,No,1873,79,23.6,15.8,1.9,0.2,9.2,10,0.4,9.6,68.2,84.5
Mercer Island High School,https://www.schooldigger.com/go/WA/schools/0498000761/school.aspx,Mercer Island School District,https://www.schooldigger.com/go/WA/district/04980/search.aspx,9100 SE 42nd,Mercer Island,https://www.schooldigger.com/go/WA/city/Mercer+Island/search.aspx,98040,King County,(206) 236-3345,No,No,No,No,1551,74.5,20.8,3.5,0.9,0,20.2,3.5,0.3,8.8,66.3,84.5
Science and Math Institute,https://www.schooldigger.com/go/WA/schools/0870003286/school.aspx,Tacoma School District,https://www.schooldigger.com/go/WA/district/08700/search.aspx,5501 N. Pearl St,Tacoma,https://www.schooldigger.com/go/WA/city/Tacoma/search.aspx,98407,Pierce County,(253) 571-2300,No,No,Yes,No,615,23.4,26.2,36.1,6.5,0.7,9.3,14,0.3,12,57.2,84.1
Puyallup High School,https://www.schooldigger.com/go/WA/schools/0696001038/school.aspx,Puyallup School District,https://www.schooldigger.com/go/WA/district/06960/search.aspx,105 Seventh St SW,Puyallup,https://www.schooldigger.com/go/WA/city/Puyallup/search.aspx,98371,Pierce County,(253) 841-8711,No,No,No,No,1802,70.1,25.6,28.4,3.6,1.3,6.4,16.4,1.8,10.4,60,84
Bothell High School,https://www.schooldigger.com/go/WA/schools/0591000876/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,9130 NE 180 St,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98011,King County,(425) 408-7018,No,No,No,No,1726,82,21,15.3,2,0.2,11.5,15.2,0,9.4,61.6,83.8
Almira Coulee Hartline High School,https://www.schooldigger.com/go/WA/schools/0344000514/school.aspx,Coulee-Hartline School District,https://www.schooldigger.com/go/WA/district/03440/search.aspx,413 N. 4th Street,Coulee City,https://www.schooldigger.com/go/WA/city/Coulee+City/search.aspx,99115,Grant County,(509) 632-5231,No,No,No,No,86,7.2,11.8,45.3,0,0,0,0,0,0,100,83.5
Anacortes High School,https://www.schooldigger.com/go/WA/schools/0015000016/school.aspx,Anacortes School District,https://www.schooldigger.com/go/WA/district/00150/search.aspx,1600 20th Street,Anacortes,https://www.schooldigger.com/go/WA/city/Anacortes/search.aspx,98221,Skagit County,(360) 293-2166,No,No,No,No,750,37.7,19.8,19.9,1.2,1.1,3.1,10.7,0,6.9,76.9,83.5
Lake Washington High School,https://www.schooldigger.com/go/WA/schools/0423000674/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,12033 NE 80th,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-1700,No,No,No,No,1898,90.3,21,12.5,2.6,0.2,14.9,13.3,0.1,8.9,60,83.4
Roosevelt High School,https://www.schooldigger.com/go/WA/schools/0771001239/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1410 NE 66 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98115,King County,(206) 252-4810,No,No,No,No,1709,81.7,20.9,8.8,3.8,0.2,9.7,7.2,0,9,69.6,83.3
Glacier Peak High School,https://www.schooldigger.com/go/WA/schools/0802003217/school.aspx,Snohomish School District,https://www.schooldigger.com/go/WA/district/08020/search.aspx,7401 144th Pl SE,Snohomish,https://www.schooldigger.com/go/WA/city/Snohomish/search.aspx,98296,Snohomish County,(360) 563-7300,No,No,No,No,1719,67.8,25.3,11.1,1.9,0.5,9.5,11.4,0.2,7.3,68.9,83.2
Kentridge High School,https://www.schooldigger.com/go/WA/schools/0396000622/school.aspx,Kent School District,https://www.schooldigger.com/go/WA/district/03960/search.aspx,12430 SE 208th ST,Kent,https://www.schooldigger.com/go/WA/city/Kent/search.aspx,98031,King County,(253) 373-7345,No,No,No,No,2002,81.9,24.4,33.4,11.3,0.2,30.6,15.5,1.2,10.4,30.7,83
Eastlake High School,https://www.schooldigger.com/go/WA/schools/0423001141/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,400 228th NE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-1500,No,No,No,No,2233,106.5,20.9,3.5,1.3,0.1,28.2,7.7,0,6.5,56,82.3
CHOICE Academy,https://www.schooldigger.com/go/WA/schools/0354002640/school.aspx,Highline School District,https://www.schooldigger.com/go/WA/district/03540/search.aspx,18367 8th Ave S,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98148,King County,(206) 631-7630,No,No,No,No,196,8.6,22.7,40.8,20.4,0.5,15.8,20.4,1.5,7.7,33.2,81.9
Shorecrest High School,https://www.schooldigger.com/go/WA/schools/0792001315/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,15343 25th Avenue N.E.,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98155,King County,(206) 393-4286,No,No,No,No,1495,61.8,24.1,26.3,9.5,0.4,13.5,12.5,0.2,12.5,51.4,81.5
Colfax High School,https://www.schooldigger.com/go/WA/schools/0144000273/school.aspx,Colfax School District,https://www.schooldigger.com/go/WA/district/01440/search.aspx,1110 N. Morton Street,Colfax,https://www.schooldigger.com/go/WA/city/Colfax/search.aspx,99111,Whitman County,(509) 397-4368,Yes,No,No,No,253,16.8,15,26.9,0,0.4,0.4,3.6,0,7.5,88.1,81.4
Vashon Island High School,https://www.schooldigger.com/go/WA/schools/0930001591/school.aspx,Vashon Island School District,https://www.schooldigger.com/go/WA/district/09300/search.aspx,9600 SW 204th St,Vashon,https://www.schooldigger.com/go/WA/city/Vashon/search.aspx,98070,King County,(206) 463-9171,No,No,No,No,519,26,19.9,18.5,0.8,0.2,2.7,12.5,0.2,9.8,73.8,81.3
Bellevue High School,https://www.schooldigger.com/go/WA/schools/0039000060/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,10416 Wolverine Way,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98004,King County,(425) 456-7000,No,No,No,No,1526,70.3,21.6,8.7,1.8,0,33.7,8.7,0.2,11.1,44.4,81.2
Columbia River High,https://www.schooldigger.com/go/WA/schools/0927001557/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,800 NW 99th St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98665,Clark County,(360) 313-3900,No,No,No,No,1189,53.7,22.1,22.1,1.5,0.4,4,14.6,0.5,8.2,70.8,81.2
Eagle Harbor High School,https://www.schooldigger.com/go/WA/schools/0033003110/school.aspx,Bainbridge Island School District,https://www.schooldigger.com/go/WA/district/00330/search.aspx,9530 NE High School Rd,Bainbridge Island,https://www.schooldigger.com/go/WA/city/Bainbridge+Island/search.aspx,98110,Kitsap County,(206) 780-1387,No,No,No,No,107,4.8,22,16.8,0.9,0,1.9,11.2,0.9,10.3,74.8,81.1
Interlake Senior High School,https://www.schooldigger.com/go/WA/schools/0039000072/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,16245 NE 24th Street,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98008,King County,(425) 456-7200,No,No,No,No,1654,85.5,19.3,18.5,3.8,0.2,45.8,14.4,0.2,8.1,27.5,80.9
Reardan Middle-Senior High School,https://www.schooldigger.com/go/WA/schools/0721001063/school.aspx,Reardan-Edwall School District,https://www.schooldigger.com/go/WA/district/07210/search.aspx,215 E Spokane,Reardan,https://www.schooldigger.com/go/WA/city/Reardan/search.aspx,99029,Lincoln County,(509) 796-2701,No,No,No,No,388,20.8,18.6,34.8,0.3,2.6,0.3,4.1,0,5.7,87.1,80.3
Entiat Middle and High School,https://www.schooldigger.com/go/WA/schools/0255000374/school.aspx,Entiat School District,https://www.schooldigger.com/go/WA/district/02550/search.aspx,2650 Entiat Way,Entiat,https://www.schooldigger.com/go/WA/city/Entiat/search.aspx,98822,Chelan County,(509) 784-1911,No,No,No,No,162,11.2,14.4,61.7,0,0,0,38.3,0,0.6,61.1,80.1
Issaquah High School,https://www.schooldigger.com/go/WA/schools/0375000574/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,700 2nd Ave SE,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98027,King County,(425) 837-6000,No,No,No,No,2504,111.9,22.3,8.8,2.4,0.3,27.9,8,0.5,7.3,53.6,80
Skyview High School,https://www.schooldigger.com/go/WA/schools/0927002555/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,1300 NW 139th St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98685,Clark County,(360) 313-4200,No,No,No,No,1801,75.7,23.7,24.4,2.4,0.2,5.4,16.9,1.6,7.5,66,80
Choice Academy,https://www.schooldigger.com/go/WA/schools/0576003627/school.aspx,North Kitsap School District,https://www.schooldigger.com/go/WA/district/05760/search.aspx,25800 Siyaya Ave NE,Kingston,https://www.schooldigger.com/go/WA/city/Kingston/search.aspx,98346,Kitsap County,(360) 396-3575,No,No,No,No,28,3.6,7.7,46.4,0,7.1,3.6,10.7,0,3.6,75,79.5
Ingraham High School,https://www.schooldigger.com/go/WA/schools/0771001187/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1819 N 135 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98133,King County,(206) 252-3880,No,No,No,No,1483,72.4,20.4,27.3,10.5,0.5,9.9,15.8,0.3,11.2,51.4,79.3
Port Townsend High School,https://www.schooldigger.com/go/WA/schools/0684001007/school.aspx,Port Townsend School District,https://www.schooldigger.com/go/WA/district/06840/search.aspx,1500 Van Ness St,Port Townsend,https://www.schooldigger.com/go/WA/city/Port+Townsend/search.aspx,98368,Jefferson County,(360) 379-4520,No,No,No,No,376,19,19.7,43.1,0.8,0.8,1.1,8.8,0,7.4,80.3,79.2
Ballard High School,https://www.schooldigger.com/go/WA/schools/0771001138/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1418 NW 65 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98117,King County,(206) 252-1000,No,No,No,No,1755,81.8,21.4,8.3,2.6,0.2,5.5,8.1,0.3,9.3,73.3,79.2
Liberty Senior High School,https://www.schooldigger.com/go/WA/schools/0375000576/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,16655 SE 136th St,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98059,King County,(425) 837-4800,No,No,No,No,1509,68.6,21.9,11.1,2,0.1,24.1,11.5,0.3,8,54.1,78.9
Cascade High School,https://www.schooldigger.com/go/WA/schools/0095001935/school.aspx,Cascade School District,https://www.schooldigger.com/go/WA/district/00950/search.aspx,10190 Chumstick Hwy,Leavenworth,https://www.schooldigger.com/go/WA/city/Leavenworth/search.aspx,98826,Chelan County,(509) 548-5277,No,No,No,No,406,24.1,16.8,40.9,0.7,1.2,0.7,32,0,3.2,61.8,78.9
Palouse High School,https://www.schooldigger.com/go/WA/schools/0654000152/school.aspx,Palouse School District,https://www.schooldigger.com/go/WA/district/06540/search.aspx,600 E Alder Street,Palouse,https://www.schooldigger.com/go/WA/city/Palouse/search.aspx,99161,Whitman County,(509) 878-1921,No,No,No,No,62,7.1,8.7,30.6,0,0,0,4.8,0,8.1,87.1,78.7
Ridgefield High School,https://www.schooldigger.com/go/WA/schools/0735001105/school.aspx,Ridgefield School District,https://www.schooldigger.com/go/WA/district/07350/search.aspx,2630 S Hillhurst Road,Ridgefield,https://www.schooldigger.com/go/WA/city/Ridgefield/search.aspx,98642,Clark County,(360) 619-1320,No,No,No,No,978,47.7,20.5,22.7,0.8,0.5,2.4,12.9,0.5,6.1,76.8,78.1
Sumner High School,https://www.schooldigger.com/go/WA/schools/0861001446/school.aspx,Sumner School District,https://www.schooldigger.com/go/WA/district/08610/search.aspx,1707 Main St,Sumner,https://www.schooldigger.com/go/WA/city/Sumner/search.aspx,98390,Pierce County,(253) 891-5500,No,No,No,No,1685,73.3,22.9,25.5,0.9,0.7,2.5,16.9,0.1,8.9,70,78
Sehome High School,https://www.schooldigger.com/go/WA/schools/0042000113/school.aspx,Bellingham School District,https://www.schooldigger.com/go/WA/district/00420/search.aspx,2700 Bill McDonald Pkwy,Bellingham,https://www.schooldigger.com/go/WA/city/Bellingham/search.aspx,98225,Whatcom County,(360) 676-6481,No,No,No,No,1183,55,21.4,21.2,2.1,0.8,6.8,10.3,0.4,7.2,72.2,77.4
Odessa High School,https://www.schooldigger.com/go/WA/schools/0612000916/school.aspx,Odessa School District,https://www.schooldigger.com/go/WA/district/06120/search.aspx,311 South First Street,Odessa,https://www.schooldigger.com/go/WA/city/Odessa/search.aspx,99159,Lincoln County,(509) 982-2111,Yes,No,No,No,105,9.5,11,34.3,1.9,1,1.9,9.5,0,0,85.7,76.5
Peninsula High School,https://www.schooldigger.com/go/WA/schools/0669000985/school.aspx,Peninsula School District,https://www.schooldigger.com/go/WA/district/06690/search.aspx,14105 Purdy Dr NW,Gig Harbor,https://www.schooldigger.com/go/WA/city/Gig+Harbor/search.aspx,98332,Pierce County,(253) 530-4400,No,No,No,No,1477,65.3,22.6,21.2,1.2,0.3,2.1,9.7,0.4,11.6,74.7,76.4
Henrietta Lacks Health and Bioscience High School,https://www.schooldigger.com/go/WA/schools/0270003463/school.aspx,Evergreen School District (Clark),https://www.schooldigger.com/go/WA/district/02700/search.aspx,9105 NE 9th Street,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98664,Clark County,(360) 604-6340,No,No,Yes,No,550,29.4,18.6,42.9,2.9,0.5,4.7,24.7,0.4,7.5,59.1,76.2
