Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
19,Louisa County ,https://www.schooldigger.com/go/VA/schools/0228000939/school.aspx,Louisa County Public Schools,https://www.schooldigger.com/go/VA/district/02280/search.aspx,757 Davis Hwy,Mineral,https://www.schooldigger.com/go/VA/city/Mineral/search.aspx,23117,Louisa County,(540) 894-5436,No,No,No,No,1434,114.7,12.5,0.39,0.18,0,0.01,0.05,0,0.06,0.7,75.1
20,Richlands ,https://www.schooldigger.com/go/VA/schools/0381001661/school.aspx,Tazewell County Public Schools,https://www.schooldigger.com/go/VA/district/03810/search.aspx,138 Tornado Alley,Richlands,https://www.schooldigger.com/go/VA/city/Richlands/search.aspx,24641,Tazewell County,(276) 964-4602,No,No,No,No,721,44.9,16,0.51,0.01,0,0,0.01,0,0.01,0.97,75.1
21,Grafton ,https://www.schooldigger.com/go/VA/schools/0415001443/school.aspx,York County Public Schools,https://www.schooldigger.com/go/VA/district/04150/search.aspx,403 Grafton Dr,Yorktown,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,23692,York County,(757) 898-0530,No,No,No,No,1169,87.4,13.3,0.29,0.12,0,0.09,0.07,0,0.13,0.59,74.7
22,Woodson ,https://www.schooldigger.com/go/VA/schools/0126000600/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,9525 Main St,Fairfax,https://www.schooldigger.com/go/VA/city/Fairfax/search.aspx,22031,Fairfax County,(703) 503-4600,No,No,No,No,2410,165.4,14.5,0.12,0.05,0,0.25,0.13,0,0.06,0.52,74.5
23,Battlefield ,https://www.schooldigger.com/go/VA/schools/0313002457/school.aspx,Prince William County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,15000 Graduation Dr.,Haymarket,https://www.schooldigger.com/go/VA/city/Haymarket/search.aspx,20169,Prince William County,(571) 261-4400,No,No,Yes,No,3032,171.3,17.6,0.11,0.09,0,0.12,0.13,0,0.08,0.58,74.4
24,Midlothian ,https://www.schooldigger.com/go/VA/schools/0084002006/school.aspx,Chesterfield County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,401 Charter Colony Pkwy.,Midlothian,https://www.schooldigger.com/go/VA/city/Midlothian/search.aspx,23114,Chesterfield County,(804) 378-2440,No,No,No,No,1798,105.3,17,0.1,0.09,0,0.06,0.06,0,0.05,0.74,74.4
25,Bland County ,https://www.schooldigger.com/go/VA/schools/0039003009/school.aspx,Bland County Public Schools,https://www.schooldigger.com/go/VA/district/00390/search.aspx,176 Eagles Road,Rocky Gap,https://www.schooldigger.com/go/VA/city/Rocky+Gap/search.aspx,24366,Bland County,(276) 928-1100,No,No,No,No,364,25.4,14.3,0.42,0,0,0,0,0,0.03,0.97,74.2
26,Western Branch ,https://www.schooldigger.com/go/VA/schools/0081000312/school.aspx,Chesapeake City Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,1968 Bruin Pl,Chesapeake,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23321,Chesapeake city,(757) 638-7900,No,No,No,No,2144,136,15.7,0.3,0.42,0,0.04,0.06,0,0.06,0.42,74.1
27,Cave Spring ,https://www.schooldigger.com/go/VA/schools/0333001447/school.aspx,Roanoke County Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,3712 Chaparral Dr,Roanoke,https://www.schooldigger.com/go/VA/city/Roanoke/search.aspx,24018,Roanoke County,(540) 772-7550,No,No,No,No,1027,73.1,14,0.18,0.06,0,0.06,0.04,0,0.05,0.8,73.6
28,Central ,https://www.schooldigger.com/go/VA/schools/0408001789/school.aspx,Wise County Public Schools,https://www.schooldigger.com/go/VA/district/04080/search.aspx,5000 Warrior Drive,Norton,https://www.schooldigger.com/go/VA/city/Norton/search.aspx,24273,Norton city,(276) 328-8015,No,No,No,No,633,35.5,17.8,0.42,0.01,0,0.01,0.01,0,0,0.97,73
29,Woodgrove ,https://www.schooldigger.com/go/VA/schools/0225002812/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,36811 Allder School Road,Purcellville,https://www.schooldigger.com/go/VA/city/Purcellville/search.aspx,20132,Loudoun County,(571) 751-2600,No,No,No,No,1618,145.9,11,0.07,0.03,0,0.03,0.08,0,0.03,0.83,72.9
30,Riverside ,https://www.schooldigger.com/go/VA/schools/0225003001/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,19019 Upper Belmont Place,Leesburg,https://www.schooldigger.com/go/VA/city/Leesburg/search.aspx,20176,Loudoun County,(703) 554-8900,No,No,No,No,1802,118.7,15.1,0.09,0.08,0,0.18,0.11,0,0.06,0.57,72.7
31,Atlee ,https://www.schooldigger.com/go/VA/schools/0183000114/school.aspx,Hanover County Public Schools,https://www.schooldigger.com/go/VA/district/01830/search.aspx,9414 Atlee Station Road,Mechanicsville,https://www.schooldigger.com/go/VA/city/Mechanicsville/search.aspx,23116,Hanover County,(804) 723-2100,No,No,No,No,1615,100.8,16,0.1,0.08,0,0.04,0.03,0,0.02,0.83,72.5
32,West Point ,https://www.schooldigger.com/go/VA/schools/0395001763/school.aspx,West Point Public Schools,https://www.schooldigger.com/go/VA/district/03950/search.aspx,2700 Mattaponi Ave,West Point,https://www.schooldigger.com/go/VA/city/West+Point/search.aspx,23181,King William County,(804) 843-3630,No,No,No,No,271,21,12.8,0.23,0.1,0.01,0.03,0.04,0,0.09,0.73,72.2
33,Tazewell ,https://www.schooldigger.com/go/VA/schools/0381001668/school.aspx,Tazewell County Public Schools,https://www.schooldigger.com/go/VA/district/03810/search.aspx,167 Cosby Blvd,Tazewell,https://www.schooldigger.com/go/VA/city/Tazewell/search.aspx,24651,Tazewell County,(276) 988-6502,No,No,No,No,505,42.6,11.8,0.53,0.02,0,0.01,0.01,0,0.02,0.94,71.9
34,Freedom ,https://www.schooldigger.com/go/VA/schools/0225002447/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,25450 Riding Center Drive,South Riding,https://www.schooldigger.com/go/VA/city/South+Riding/search.aspx,20152,Loudoun County,(703) 957-4300,No,No,No,No,2073,156.7,13.2,0.09,0.06,0,0.31,0.1,0,0.05,0.48,71.5
35,Tangier Combined,https://www.schooldigger.com/go/VA/schools/0006000014/school.aspx,Accomack County Public Schools,https://www.schooldigger.com/go/VA/district/00060/search.aspx,4375 School Lane,Tangier,https://www.schooldigger.com/go/VA/city/Tangier/search.aspx,23440,Accomack County,(757) 891-2315,No,No,No,No,52,8.7,5.9,0.39,0,0,0,0,0,0,1,71.2
36,Colonial Forge ,https://www.schooldigger.com/go/VA/schools/0366001923/school.aspx,Stafford County Public Schools,https://www.schooldigger.com/go/VA/district/03660/search.aspx,550 Courthouse Rd,Stafford,https://www.schooldigger.com/go/VA/city/Stafford/search.aspx,22554,Stafford County,(540) 658-6115,No,No,No,No,2084,127.4,16.3,0.18,0.26,0,0.04,0.15,0,0.08,0.46,71.2
37,Rock Ridge ,https://www.schooldigger.com/go/VA/schools/0225002969/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,43460 Loudoun Reserve Drive,Ashburn,https://www.schooldigger.com/go/VA/city/Ashburn/search.aspx,20148,Loudoun County,(703) 996-2100,No,No,No,No,2222,153,14.5,0.11,0.09,0,0.38,0.1,0,0.06,0.38,71
38,Frank W. Cox ,https://www.schooldigger.com/go/VA/schools/0384002049/school.aspx,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,2425 Shorehaven Dr,Virginia Beach,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,23454,Virginia Beach city,(757) 648-5250,No,No,No,No,1815,112,16.2,0.22,0.12,0,0.03,0.08,0,0.06,0.71,70.6
39,Godwin ,https://www.schooldigger.com/go/VA/schools/0189001851/school.aspx,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,2101 Pump Rd,Richmond,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,23238,Henrico County,(804) 750-2600,No,No,Yes,No,1861,92.3,20.1,0.17,0.08,0,0.14,0.07,0,0.04,0.66,70.5
40,York ,https://www.schooldigger.com/go/VA/schools/0415001823/school.aspx,York County Public Schools,https://www.schooldigger.com/go/VA/district/04150/search.aspx,9300 Geo Wash Mem Hwy,Yorktown,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,23692,York County,(757) 898-0354,No,No,No,No,1120,78.7,14.2,0.2,0.11,0,0.06,0.08,0,0.08,0.66,70.3
41,Lake Braddock Secondary,https://www.schooldigger.com/go/VA/schools/0126000516/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,9200 Burke Lake Rd,Burke,https://www.schooldigger.com/go/VA/city/Burke/search.aspx,22015,Fairfax County,(703) 426-1000,No,No,Yes,No,4287,268.5,15.9,0.15,0.08,0,0.21,0.17,0,0.07,0.47,69.9
42,Churchland ,https://www.schooldigger.com/go/VA/schools/0300000375/school.aspx,Portsmouth City Public Schools,https://www.schooldigger.com/go/VA/district/03000/search.aspx,4301 Cedar Ln,Portsmouth,https://www.schooldigger.com/go/VA/city/Portsmouth/search.aspx,23703,Portsmouth city,(757) 686-2500,No,No,Yes,No,1415,94.9,14.9,0.43,0.68,0,0.01,0.04,0.01,0.04,0.23,69.8
43,Galileo Magnet ,https://www.schooldigger.com/go/VA/schools/0111002261/school.aspx,Danville City Public Schools,https://www.schooldigger.com/go/VA/district/01110/search.aspx,230 S. Ridge St.,Danville,https://www.schooldigger.com/go/VA/city/Danville/search.aspx,24541,Danville city,(434) 773-8186,No,No,Yes,No,290,23,12.6,0.99,0.43,0,0.03,0.06,0,0.02,0.46,69.7
44,Marshall ,https://www.schooldigger.com/go/VA/schools/0126000535/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,7731 Leesburg Pike,Falls Church,https://www.schooldigger.com/go/VA/city/Falls+Church/search.aspx,22043,Fairfax County,(703) 714-5400,No,No,No,No,2254,135.7,16.6,0.17,0.06,0,0.2,0.19,0,0.07,0.49,69.4
45,Glenvar ,https://www.schooldigger.com/go/VA/schools/0333001457/school.aspx,Roanoke County Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,4549 Malus Dr,Salem,https://www.schooldigger.com/go/VA/city/Salem/search.aspx,24153,Salem city,(540) 387-6536,No,No,No,No,583,45.6,12.7,0.21,0.03,0,0.02,0.03,0,0.03,0.88,69.2
46,Twin Springs ,https://www.schooldigger.com/go/VA/schools/0348001539/school.aspx,Scott County Public Schools,https://www.schooldigger.com/go/VA/district/03480/search.aspx,273 Titan Lane,Nickelsville,https://www.schooldigger.com/go/VA/city/Nickelsville/search.aspx,24271,Scott County,(276) 479-2185,No,No,No,No,221,22.9,9.6,0.67,0,0,0,0.04,0,0.01,0.95,69.2
47,Poquoson ,https://www.schooldigger.com/go/VA/schools/0298001231/school.aspx,Poquoson City Public Schools,https://www.schooldigger.com/go/VA/district/02980/search.aspx,51 Odd Rd,Poquoson,https://www.schooldigger.com/go/VA/city/Poquoson/search.aspx,23662,Poquoson city,(757) 868-7123,No,No,No,No,714,64.4,11,0.12,0.01,0,0.02,0.04,0.01,0.03,0.89,69
48,Tabb ,https://www.schooldigger.com/go/VA/schools/0415001820/school.aspx,York County Public Schools,https://www.schooldigger.com/go/VA/district/04150/search.aspx,4431 Big Bethel Rd,Yorktown,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,23693,York County,(757) 867-7400,No,No,No,No,1120,88.1,12.7,0.16,0.12,0,0.07,0.14,0.01,0.09,0.58,68.9
49,Stuarts Draft ,https://www.schooldigger.com/go/VA/schools/0030000132/school.aspx,Augusta County Public Schools,https://www.schooldigger.com/go/VA/district/00300/search.aspx,1028 Augusta Farm Rd,Stuarts Draft,https://www.schooldigger.com/go/VA/city/Stuarts+Draft/search.aspx,24477,Augusta County,(540) 946-7600,No,No,No,No,706,53.5,13.1,0.34,0.03,0,0.01,0.05,0,0.04,0.88,68.7
50,Chantilly ,https://www.schooldigger.com/go/VA/schools/0126000059/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,4201 Stringfellow Rd,Chantilly,https://www.schooldigger.com/go/VA/city/Chantilly/search.aspx,20151,Fairfax County,(703) 222-8100,No,No,No,No,2863,174.1,16.4,0.16,0.07,0,0.36,0.13,0,0.05,0.39,68.5
51,Charles J Colgan Senior ,https://www.schooldigger.com/go/VA/schools/0313003025/school.aspx,Prince William County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,13833 Dumfries Rd,Manassas,https://www.schooldigger.com/go/VA/city/Manassas/search.aspx,20112,Prince William County,(571) 374-6550,No,No,Yes,No,2582,145,17.8,0.18,0.18,0,0.07,0.18,0,0.07,0.48,68.5
52,Stone Bridge ,https://www.schooldigger.com/go/VA/schools/0225002538/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,43100 Hay Road,Ashburn,https://www.schooldigger.com/go/VA/city/Ashburn/search.aspx,20147,Loudoun County,(571) 252-2200,No,No,No,No,1717,132.3,12.9,0.1,0.07,0,0.14,0.12,0,0.06,0.6,68.5
53,Glen Allen ,https://www.schooldigger.com/go/VA/schools/0189002837/school.aspx,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,10700 Staples Mill Road,Glen Allen,https://www.schooldigger.com/go/VA/city/Glen+Allen/search.aspx,23060,Henrico County,(804) 501-3300,No,No,Yes,No,1850,95.7,19.3,0.2,0.17,0,0.11,0.06,0,0.05,0.61,68.4
54,Graham ,https://www.schooldigger.com/go/VA/schools/0381001653/school.aspx,Tazewell County Public Schools,https://www.schooldigger.com/go/VA/district/03810/search.aspx,210 Valleydale,Bluefield,https://www.schooldigger.com/go/VA/city/Bluefield/search.aspx,24605,Tazewell County,(276) 326-1235,No,No,No,No,519,37,14,0.36,0.05,0,0.02,0,0,0.03,0.89,68.4
55,Broad Run ,https://www.schooldigger.com/go/VA/schools/0225000913/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,21670 Ashburn Rd,Ashburn,https://www.schooldigger.com/go/VA/city/Ashburn/search.aspx,20147,Loudoun County,(571) 252-2300,No,No,No,No,1600,126.1,12.6,0.15,0.1,0,0.23,0.14,0,0.05,0.48,68.4
56,Great Bridge ,https://www.schooldigger.com/go/VA/schools/0081002031/school.aspx,Chesapeake City Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,301 West Hanbury Rd,Chesapeake,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23322,Chesapeake city,(757) 482-5191,No,No,No,No,1428,94,15.1,0.19,0.2,0,0.03,0.08,0,0.07,0.62,68.1
57,George Mason ,https://www.schooldigger.com/go/VA/schools/0129000283/school.aspx,Falls Church City Public Schools,https://www.schooldigger.com/go/VA/district/01290/search.aspx,7124 Leesburg Pike,Falls Church,https://www.schooldigger.com/go/VA/city/Falls+Church/search.aspx,22043,Fairfax County,(703) 248-5500,No,No,No,No,825,62.9,13,,0.04,0,0.07,0.15,0,0.09,0.65,67.8
58,Salem ,https://www.schooldigger.com/go/VA/schools/0384002166/school.aspx,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,1993 Sun Devil Dr,Virginia Beach,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,22464,Virginia Beach city,(757) 648-5650,No,No,No,No,1757,110.2,15.9,0.35,0.3,0,0.1,0.11,0.01,0.11,0.38,67.8
59,Hanover ,https://www.schooldigger.com/go/VA/schools/0183002338/school.aspx,Hanover County Public Schools,https://www.schooldigger.com/go/VA/district/01830/search.aspx,10307 Chamberlayne Rd.,Mechanicsville,https://www.schooldigger.com/go/VA/city/Mechanicsville/search.aspx,23116,Hanover County,(804) 723-3700,No,No,No,No,1405,92.2,15.2,0.14,0.1,0,0.02,0.04,0,0.03,0.81,66.9
60,Ocean Lakes ,https://www.schooldigger.com/go/VA/schools/0384001046/school.aspx,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,885 Schuman Drive,Virginia Beach,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,23454,Virginia Beach city,(757) 648-5550,No,No,Yes,No,2069,126.3,16.3,0.28,0.15,0,0.08,0.1,0.01,0.08,0.59,66.9
61,Blacksburg ,https://www.schooldigger.com/go/VA/schools/0252001016/school.aspx,Montgomery County Public Schools,https://www.schooldigger.com/go/VA/district/02520/search.aspx,3401 Bruin Lane,Blacksburg,https://www.schooldigger.com/go/VA/city/Blacksburg/search.aspx,24060,Montgomery County,(540) 951-5706,No,No,No,No,1207,88.6,13.6,0.16,0.04,0,0.07,0.05,0,0.06,0.79,66.3
62,Western Albemarle ,https://www.schooldigger.com/go/VA/schools/0009000035/school.aspx,Albemarle County Public Schools,https://www.schooldigger.com/go/VA/district/00090/search.aspx,5941 Rockfish Gap Turnpike,Crozet,https://www.schooldigger.com/go/VA/city/Crozet/search.aspx,22932,Albemarle County,(434) 823-8700,No,No,Yes,No,1158,82.3,14,0.1,0.02,0,0.02,0.04,0,0.03,0.88,66.1
63,Orange County ,https://www.schooldigger.com/go/VA/schools/0282001174/school.aspx,Orange County Public Schools,https://www.schooldigger.com/go/VA/district/02820/search.aspx,201 Selma Road,Orange,https://www.schooldigger.com/go/VA/city/Orange/search.aspx,22960,Orange County,(540) 661-4300,No,No,No,No,1499,92.7,16.1,0.35,0.14,0,0.01,0.08,0,0.08,0.69,65.7
64,Riverheads ,https://www.schooldigger.com/go/VA/schools/0030000129/school.aspx,Augusta County Public Schools,https://www.schooldigger.com/go/VA/district/00300/search.aspx,19 Howardsville Rd,Staunton,https://www.schooldigger.com/go/VA/city/Staunton/search.aspx,24401,Staunton city,(540) 337-1921,No,No,No,No,457,36.2,12.6,0.29,0.02,0,0.01,0.02,0,0.02,0.92,65.6
65,Osbourn Park ,https://www.schooldigger.com/go/VA/schools/0313001313/school.aspx,Prince William County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,8909 Euclid Ave,Manassas,https://www.schooldigger.com/go/VA/city/Manassas/search.aspx,20111,Prince William County,(703) 365-6500,No,No,Yes,No,2389,138.3,17.2,0.34,0.17,0,0.15,0.33,0,0.05,0.3,65.6
66,Madison ,https://www.schooldigger.com/go/VA/schools/0126000532/school.aspx,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,2500 James Madison Dr,Vienna,https://www.schooldigger.com/go/VA/city/Vienna/search.aspx,22181,Fairfax County,(703) 319-2300,No,No,No,No,2225,149.1,14.9,0.1,0.02,0,0.14,0.12,0,0.07,0.65,65.6
67,Mountain View ,https://www.schooldigger.com/go/VA/schools/0366002464/school.aspx,Stafford County Public Schools,https://www.schooldigger.com/go/VA/district/03660/search.aspx,2135 Mountain View Road,Stafford,https://www.schooldigger.com/go/VA/city/Stafford/search.aspx,22556,Stafford County,(540) 658-6840,No,No,No,No,1843,110.5,16.6,0.16,0.12,0,0.03,0.16,0.01,0.07,0.62,65.4
68,Jamestown ,https://www.schooldigger.com/go/VA/schools/0402001665/school.aspx,Williamsburg-James City Public Schools,https://www.schooldigger.com/go/VA/district/04020/search.aspx,3751 John Tyler Hwy,Williamsburg,https://www.schooldigger.com/go/VA/city/Williamsburg/search.aspx,23135,James City County,(757) 259-3600,No,No,No,No,1308,78.5,16.6,0.19,0.1,0,0.03,0.11,0,0.06,0.7,65.1
69,Loudoun Valley ,https://www.schooldigger.com/go/VA/schools/0225000924/school.aspx,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,340 N Maple Ave,Purcellville,https://www.schooldigger.com/go/VA/city/Purcellville/search.aspx,20132,Loudoun County,(540) 751-2400,No,No,No,No,1349,109.9,12.2,0.09,0.04,0,0.04,0.09,0,0.06,0.78,64.8
