School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White, Standard Score
Beaver Lake Middle School,https://www.schooldigger.com/go/WA/schools/0375001495/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,25025 SE 32nd St,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98029,King County,(425) 837-4150,No,No,No,No,807,37.3,21.6,5.8,0.7,0.2,38.8,6.6,0.1,8.3,45.2,96.3
Renaissance School of Art and Reasoning,https://www.schooldigger.com/go/WA/schools/0423003070/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,400 228th Ave NE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-1544,No,No,Yes,No,86,4.2,20.4,7,0,1.2,20.9,10.5,0,9.3,58.1,96.3
Home Education Exchange,https://www.schooldigger.com/go/WA/schools/0792002646/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,2800 NE 200th,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98155,King County,(206) 418-3388,No,No,No,No,154,,,8.4,0,0,3.9,1.3,0,11.7,83.1,96.2
Odyssey Middle School,https://www.schooldigger.com/go/WA/schools/0081003652/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,5780 Pacific Rim Blvd,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5780,No,No,No,No,259,9.8,26.2,11.2,1.9,0.4,6.6,8.9,0,8.5,73.7,96.2
Timbercrest Middle School,https://www.schooldigger.com/go/WA/schools/0591002571/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,19115 215 Wy NE,Woodinville,https://www.schooldigger.com/go/WA/city/Woodinville/search.aspx,98077,King County,(425) 408-6900,No,No,No,No,740,35.6,20.7,4.9,0.8,0,7.7,6.8,0.1,8.4,76.2,96.1
Madison Middle School,https://www.schooldigger.com/go/WA/schools/0771001207/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3429 45th AVE SW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98116,King County,(206) 252-9200,No,No,No,No,1022,50.7,20.1,15.9,4.6,0.5,5.5,10.7,0.4,13.5,64.6,95.9
Skyridge Middle School,https://www.schooldigger.com/go/WA/schools/0081002512/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,5220 NW Parker Street,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5800,No,No,No,No,754,43.3,17.4,9.3,1.7,0.3,15.1,10.7,0.1,8.2,63.8,95.5
Salmon Bay K-8 School,https://www.schooldigger.com/go/WA/schools/0771002716/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1810 NW 65 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98117,King County,(206) 252-1720,No,No,No,No,660,40.8,16.1,9.2,2.1,0.5,4.2,5.8,0,13.8,72.9,95.1
North Central High School,https://www.schooldigger.com/go/WA/schools/0825001399/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,1600 N Howard St,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99205,Spokane County,(509) 354-6300,No,No,No,No,1528,75.7,20.1,55.9,2.6,1.2,2.8,10.2,2.4,12.9,67.9,94.5
Snoqualmie Middle School,https://www.schooldigger.com/go/WA/schools/0804003693/school.aspx,Snoqualmie Valley School District,https://www.schooldigger.com/go/WA/district/08040/search.aspx,9200 Railroad Ave SE,Snoqualmie,https://www.schooldigger.com/go/WA/city/Snoqualmie/search.aspx,98065,King County,(425) 831-8450,No,No,No,No,429,27.8,15.4,8.2,0.5,0.9,5.1,6.5,0.2,7.2,79.5,94.3
Tops K-8 School,https://www.schooldigger.com/go/WA/schools/0771001307/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2500 Franklin Av E,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98102,King County,(206) 252-3510,No,No,No,No,485,31.8,15.2,26,13,0.6,17.3,6,0.2,18.8,43.7,93.7
Eckstein Middle School,https://www.schooldigger.com/go/WA/schools/0771001162/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3003 NE 75 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98115,King County,(206) 252-5010,No,No,No,No,1117,58,19.2,14.9,5.8,0.9,7.7,7.7,0.2,15,62.1,93.5
Rose Hill Middle School,https://www.schooldigger.com/go/WA/schools/0423000683/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,13505 NE 75th,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2460,No,No,No,No,950,49.3,19.2,12.3,2.5,0.1,28.2,13.2,0.2,10.6,45.1,93.4
Leona Libby Middle School,https://www.schooldigger.com/go/WA/schools/0732003606/school.aspx,Richland School District,https://www.schooldigger.com/go/WA/district/07320/search.aspx,3259 Belmont Blvd.,West Richland,https://www.schooldigger.com/go/WA/city/West+Richland/search.aspx,99353,Benton County,(509) 967-6465,No,No,No,No,724,35.9,20.1,3.2,1.4,0.4,7.5,13.7,0.4,5.7,71,93.2
Federal Way Public Academy,https://www.schooldigger.com/go/WA/schools/0282002719/school.aspx,Federal Way School District,https://www.schooldigger.com/go/WA/district/02820/search.aspx,34620 9th Av S,Federal Way,https://www.schooldigger.com/go/WA/city/Federal+Way/search.aspx,98003,King County,(253) 945-3270,No,No,No,No,302,13.4,22.4,36.4,8.6,0.7,14.6,20.9,0.3,13.2,41.7,93
Chief Kanim Middle School,https://www.schooldigger.com/go/WA/schools/0804002439/school.aspx,Snoqualmie Valley School District,https://www.schooldigger.com/go/WA/district/08040/search.aspx,32627 SE Redmond Fall City R,Fall City,https://www.schooldigger.com/go/WA/city/Fall+City/search.aspx,98024,King County,(425) 831-8225,No,No,No,No,453,29.9,15.1,5.7,1.8,0,9.7,6.2,0,5.7,76.6,92.9
Tillicum Middle School,https://www.schooldigger.com/go/WA/schools/0039000093/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,1280 160th Avenue SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98008,King County,(425) 456-6700,No,No,No,No,780,41.8,18.6,12.2,2.7,0.1,29,16.3,0,14.5,37.2,92.8
Robert Eagle Staff Middle School,https://www.schooldigger.com/go/WA/schools/0771003620/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1330 N 90th St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98103,King County,(206) 413-2300,No,No,No,No,769,44.2,17.3,25.4,9.2,0.4,7.4,15.5,0,10.9,56.4,92.8
Vancouver School of Arts and Academics,https://www.schooldigger.com/go/WA/schools/0927002508/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,3101 Main St,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98663,Clark County,(360) 313-4600,No,No,No,No,598,28.3,21,22.7,1.7,0.3,3.2,13.9,0.8,10.2,69.9,92.3
North Tapps Middle School,https://www.schooldigger.com/go/WA/schools/0213000694/school.aspx,Dieringer School District,https://www.schooldigger.com/go/WA/district/02130/search.aspx,20029 12th Street E.,Lake Tapps,https://www.schooldigger.com/go/WA/city/Lake+Tapps/search.aspx,98391,Pierce County,(253) 862-2776,No,No,No,No,486,23.9,20.2,15.2,1.6,1,8,9.5,1.2,9.3,69.3,91.9
Leota Middle School,https://www.schooldigger.com/go/WA/schools/0591000887/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,19301 168 Av NE,Woodinville,https://www.schooldigger.com/go/WA/city/Woodinville/search.aspx,98072,King County,(425) 408-6500,No,No,No,No,846,39.1,21.5,12.2,1.8,0.4,27.2,12.6,0.1,8.5,49.2,91.9
Maywood Middle School,https://www.schooldigger.com/go/WA/schools/0375000579/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,14490 168th Ave SE,Renton,https://www.schooldigger.com/go/WA/city/Renton/search.aspx,98059,King County,(425) 837-6900,No,No,No,No,1163,57.5,20.2,11.9,1.5,0.3,25.5,10.7,0.1,10.7,51.2,91.4
Colfax High School,https://www.schooldigger.com/go/WA/schools/0144000273/school.aspx,Colfax School District,https://www.schooldigger.com/go/WA/district/01440/search.aspx,1110 N. Morton Street,Colfax,https://www.schooldigger.com/go/WA/city/Colfax/search.aspx,99111,Whitman County,(509) 397-4368,Yes,No,No,No,253,16.8,15,26.9,0,0.4,0.4,3.6,0,7.5,88.1,91.3
Whitman Middle School,https://www.schooldigger.com/go/WA/schools/0771001264/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,9201 15 Av NW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98117,King County,(206) 252-1200,No,No,No,No,663,35.5,18.6,13.9,4.5,0.6,3.2,11.3,0.2,12.1,68,90.8
Chinook Middle School,https://www.schooldigger.com/go/WA/schools/0039000064/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,2001 98th Ave NE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98004,King County,(425) 456-6300,No,No,No,No,893,49.2,18.1,12.5,2.2,0.1,33,9.7,0.7,11.5,42.7,90.7
McClure Middle School,https://www.schooldigger.com/go/WA/schools/0771001212/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1915 1 Av W,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98119,King County,(206) 252-1900,No,No,No,No,484,29.2,16.5,16.9,6.2,0.2,6,13.2,0,13.4,59.7,90.5
Kopachuck Middle School,https://www.schooldigger.com/go/WA/schools/0669001862/school.aspx,Peninsula School District,https://www.schooldigger.com/go/WA/district/06690/search.aspx,10414 56th St NW,Gig Harbor,https://www.schooldigger.com/go/WA/city/Gig+Harbor/search.aspx,98335,Pierce County,(253) 530-4100,No,No,No,No,472,25.3,18.6,14.4,1.1,0.4,1.5,10.6,0,9.3,77.1,90.3
Northshore Middle School,https://www.schooldigger.com/go/WA/schools/0591000891/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,12101 NE 160 St,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98011,King County,(425) 408-6700,No,No,No,No,889,42.8,20.7,15.5,2,0.4,16.5,15.1,0.1,9.4,56.2,90.2
Canyon Park Middle School,https://www.schooldigger.com/go/WA/schools/0591000879/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,23723 23 Av SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98021,Snohomish County,(425) 408-6300,No,No,No,No,928,44.6,20.7,16.3,2.7,0.2,19.6,12.6,0,12.3,52.5,90.1
Skyview Middle School,https://www.schooldigger.com/go/WA/schools/0591000480/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,21404 35 Av SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98021,Snohomish County,(425) 408-6800,No,No,No,No,1183,55.9,21.1,12.2,2.7,0,41.5,12.1,0.1,7.4,36.3,90
Jane Addams Middle School,https://www.schooldigger.com/go/WA/schools/0771003467/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,11051 34th Ave. NE,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98125,King County,(206) 252-4500,No,No,No,No,1006,55,18.2,28.9,9.2,0.3,13.7,14.5,0.4,12.8,48.3,89.9
Bellevue Big Picture School,https://www.schooldigger.com/go/WA/schools/0039003354/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,14844 SE 22nd Street,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98007,King County,(425) 456-7800,No,No,No,No,384,27.2,14,13.3,3.6,0.3,26.8,7,0.5,12,49.5,89.7
Issaquah Middle School,https://www.schooldigger.com/go/WA/schools/0375000573/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,600 2nd Ave SE,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98027,King County,(425) 837-6800,No,No,No,No,969,49,19.7,15,3,0.4,24.9,13.8,0,9.4,48.5,89.2
Vancouver iTech Preparatory,https://www.schooldigger.com/go/WA/schools/0927003415/school.aspx,Vancouver School District,https://www.schooldigger.com/go/WA/district/09270/search.aspx,16100 NE 50th Avenue,Vancouver,https://www.schooldigger.com/go/WA/city/Vancouver/search.aspx,98686,Clark County,(360) 313-5200,No,No,Yes,No,514,23.7,21.6,26.7,0.6,0.4,4.3,17.7,0.6,9.9,66.5,88.6
Bryant Center,https://www.schooldigger.com/go/WA/schools/0825002764/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,N 910 Ash St,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99201,Spokane County,(509) 354-7810,No,No,No,No,346,15.3,22.5,26.3,0.9,0,0,7.8,0,7.5,83.5,88.3
Washington Middle School,https://www.schooldigger.com/go/WA/schools/0618000935/school.aspx,Olympia School District,https://www.schooldigger.com/go/WA/district/06180/search.aspx,3100 Cain Rd SE,Olympia,https://www.schooldigger.com/go/WA/city/Olympia/search.aspx,98501,Thurston County,(360) 596-3000,No,No,No,No,780,39.1,19.9,19.2,3.3,0.1,10,10.8,0.4,12.9,61.4,88.2
Summit Trail Middle School,https://www.schooldigger.com/go/WA/schools/0876002979/school.aspx,Tahoma School District,https://www.schooldigger.com/go/WA/district/08760/search.aspx,25600 SE Summit Landsburg Rd,Ravensdale,https://www.schooldigger.com/go/WA/city/Ravensdale/search.aspx,98051,King County,(425) 413-5600,No,No,No,No,1111,50.9,21.8,10.4,2.8,0.4,7,9.5,0.3,11.3,68.4,88.1
Maplewood Parent Coop,https://www.schooldigger.com/go/WA/schools/0240002474/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,8500 200th St SW,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98026,Snohomish County,(425) 431-7515,No,No,No,No,481,30.5,15.7,10.8,8.1,0,11.9,6.4,0.2,11.9,61.3,87.8
Liberty Middle School,https://www.schooldigger.com/go/WA/schools/0081003066/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,1612 NE Garfield St,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5850,No,No,No,No,743,42.5,17.4,17.2,0.5,0.3,5.2,13.2,0.5,10,70.3,87.7
Pathfinder K-8 School,https://www.schooldigger.com/go/WA/schools/0771001102/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1901 SW Genesee St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98106,King County,(206) 252-9710,No,No,No,No,492,32.2,15.2,10.6,3.3,0,3.5,10.6,0.4,13.6,67.9,87.6
Heatherwood Middle School,https://www.schooldigger.com/go/WA/schools/0267002253/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,1419 Trillium Blvd. SE,Mill Creek,https://www.schooldigger.com/go/WA/city/Mill+Creek/search.aspx,98012,Snohomish County,(425) 385-6300,No,No,No,No,991,48,20.6,28.6,3.7,0.5,20.9,18.7,0.5,9.2,46.2,87.4
Albert Einstein Middle School,https://www.schooldigger.com/go/WA/schools/0792001297/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,19343 3rd Avenue N.W.,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98177,King County,(206) 393-4730,No,No,No,No,1131,52.6,21.4,25.6,7.5,0.1,15.5,14.9,1.1,13.7,47.1,86.9
Madrona K-8 School,https://www.schooldigger.com/go/WA/schools/0240000348/school.aspx,Edmonds School District,https://www.schooldigger.com/go/WA/district/02400/search.aspx,9300 236th ST SW,Edmonds,https://www.schooldigger.com/go/WA/city/Edmonds/search.aspx,98026,Snohomish County,(425) 431-7979,No,No,No,No,614,36,17,10.1,4.7,0.2,13.5,11.4,0,12.9,57.2,86.8
Finn Hill Middle School,https://www.schooldigger.com/go/WA/schools/0423000663/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,8040 NE 132nd ST,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98034,King County,(425) 936-2340,No,No,No,No,688,34.4,20,17,2,0,9.7,16.6,0.1,10.9,60.5,86.7
Cascade K-8 Community School,https://www.schooldigger.com/go/WA/schools/0792003116/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,2800 NE 200th,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98155,King County,(206) 393-4180,No,No,No,No,209,12.4,16.7,21.5,1.9,1,5.7,12,0,16.7,62.7,86.6
Valley View Middle School,https://www.schooldigger.com/go/WA/schools/0802001790/school.aspx,Snohomish School District,https://www.schooldigger.com/go/WA/district/08020/search.aspx,14308 Broadway Avenue SE,Snohomish,https://www.schooldigger.com/go/WA/city/Snohomish/search.aspx,98296,Snohomish County,(360) 563-4225,No,No,No,No,684,32.2,21.2,14.8,3.1,0.6,8.6,11.1,0.1,6.1,70,86.6
Grapeview Elementary & Middle School,https://www.schooldigger.com/go/WA/schools/0324000507/school.aspx,Grapeview School District,https://www.schooldigger.com/go/WA/district/03240/search.aspx,822 E Mason Benson Rd,Grapeview,https://www.schooldigger.com/go/WA/city/Grapeview/search.aspx,98546,Mason County,(360) 426-4921,Yes,No,No,No,199,14,14.1,39.2,1,0,2.5,9,0,10.6,76.9,86
Narrows View Intermediate,https://www.schooldigger.com/go/WA/schools/0918001550/school.aspx,University Place School District,https://www.schooldigger.com/go/WA/district/09180/search.aspx,7813 44th St W,University Place,https://www.schooldigger.com/go/WA/city/University+Place/search.aspx,98466,Pierce County,(253) 566-5630,Yes,No,No,No,671,37.1,18,35.9,9.1,0,9.2,15.9,1.6,19.5,44.6,85.4
