School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
Munster High School,https://www.schooldigger.com/go/IN/schools/0735001257/school.aspx,School Town of Munster,https://www.schooldigger.com/go/IN/district/07350/search.aspx,8808 Columbia Ave,Munster,https://www.schooldigger.com/go/IN/city/Munster/search.aspx,46321,Lake County,(219) 836-3200,No,No,No,No,1588,75.8,20.9,19.5,10.2,0.2,6.9,25.6,0,4.9,52.1,88
Leo Junior/Senior High School,https://www.schooldigger.com/go/IN/schools/0285000349/school.aspx,East Allen County Schools,https://www.schooldigger.com/go/IN/district/02850/search.aspx,14600 Amstutz Rd,Leo,https://www.schooldigger.com/go/IN/city/Leo/search.aspx,46765,Allen County,(260) 446-0180,No,No,No,No,1399,73.8,18.9,17.7,2.1,0.4,1.8,4.1,0.1,3.8,87.8,87.3
Eastern High School,https://www.schooldigger.com/go/IN/schools/0315000413/school.aspx,Eastern Howard School Corporation,https://www.schooldigger.com/go/IN/district/03150/search.aspx,421 S Harrison St,Greentown,https://www.schooldigger.com/go/IN/city/Greentown/search.aspx,46936,Howard County,(765) 628-3333,No,No,No,No,470,28.3,16.5,34.3,0.9,0.6,0.2,2.6,0,4,91.7,86
Rossville Middle/Senior High School,https://www.schooldigger.com/go/IN/schools/0972001590/school.aspx,Rossville Con School District,https://www.schooldigger.com/go/IN/district/09720/search.aspx,1 Robert Egly Dr,Rossville,https://www.schooldigger.com/go/IN/city/Rossville/search.aspx,46065,Clinton County,(765) 379-2551,No,No,No,No,502,33.1,15.1,24.3,0.6,0.2,0.6,4.2,0,2,92.4,86
Castle High School,https://www.schooldigger.com/go/IN/schools/1239001977/school.aspx,Warrick County School Corp,https://www.schooldigger.com/go/IN/district/12390/search.aspx,3344 Hwy 261,Newburgh,https://www.schooldigger.com/go/IN/city/Newburgh/search.aspx,47630,Warrick County,(812) 853-3331,No,No,No,No,1894,100.9,18.7,20.3,2.4,0.2,3.2,3.5,0,5.6,85.1,85.3
Forest Park Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1064001745/school.aspx,Southeast Dubois County School Corp,https://www.schooldigger.com/go/IN/district/10640/search.aspx,1440 Michigan St,Ferdinand,https://www.schooldigger.com/go/IN/city/Ferdinand/search.aspx,47532,Dubois County,(812) 817-0900,No,No,No,No,568,40.8,13.9,21.1,0.2,0,0.7,4.2,0,1.2,93.7,84.4
Prairie Heights Senior High School,https://www.schooldigger.com/go/IN/schools/0930001526/school.aspx,Prairie Heights Community School Corp,https://www.schooldigger.com/go/IN/district/09300/search.aspx,0245 S 1150 E,LaGrange,https://www.schooldigger.com/go/IN/city/LaGrange/search.aspx,46761,LaGrange County,(260) 351-3039,No,No,No,No,417,31.2,13.3,29.7,1,0.5,0.5,4.6,0,2.6,90.9,84.3
Heritage Hills High School,https://www.schooldigger.com/go/IN/schools/0801001376/school.aspx,North Spencer County School Corp,https://www.schooldigger.com/go/IN/district/08010/search.aspx,3644 E Cr 1600 N,Lincoln City,https://www.schooldigger.com/go/IN/city/Lincoln+City/search.aspx,47552,Spencer County,(812) 842-2797,No,No,No,No,571,41.5,13.7,30.8,0.7,0.2,0.7,9.1,0,1.4,87.9,84.3
Morgan Township Middle/High School,https://www.schooldigger.com/go/IN/schools/0900001214/school.aspx,East Porter County School Corp,https://www.schooldigger.com/go/IN/district/09000/search.aspx,299 S Sr 49,Valparaiso,https://www.schooldigger.com/go/IN/city/Valparaiso/search.aspx,46383,Porter County,(219) 462-5883,No,No,No,No,424,30.3,13.9,9.7,0.7,0,0.7,5.9,0,1.4,91.3,83.7
Lanesville Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0372000593/school.aspx,Lanesville Community School Corp,https://www.schooldigger.com/go/IN/district/03720/search.aspx,2725 Crestview Ave NE,Lanesville,https://www.schooldigger.com/go/IN/city/Lanesville/search.aspx,47136,Harrison County,(812) 952-2555,No,No,No,No,352,19.5,18,18.8,0,0,0.6,2,0,1.4,96,83.1
Plainfield High School,https://www.schooldigger.com/go/IN/schools/0897001494/school.aspx,Plainfield Community School Corp,https://www.schooldigger.com/go/IN/district/08970/search.aspx,1 Red Pride Dr,Plainfield,https://www.schooldigger.com/go/IN/city/Plainfield/search.aspx,46168,Hendricks County,(317) 839-7711,Yes,No,No,No,1755,83.3,21,23,4,0,3.9,5.9,0.1,3.9,82.2,82.9
Bloomington High School South,https://www.schooldigger.com/go/IN/schools/0063000120/school.aspx,Monroe County Community School Corp,https://www.schooldigger.com/go/IN/district/00630/search.aspx,1965 S Walnut St,Bloomington,https://www.schooldigger.com/go/IN/city/Bloomington/search.aspx,47401,Monroe County,(812) 330-7714,No,No,No,No,1678,95.8,17.5,25,3.9,0.1,5.2,5.4,0.1,5.4,79.9,81.3
Speedway Senior High School,https://www.schooldigger.com/go/IN/schools/1092001785/school.aspx,School Town of Speedway,https://www.schooldigger.com/go/IN/district/10920/search.aspx,5357 W 25th St,Speedway,https://www.schooldigger.com/go/IN/city/Speedway/search.aspx,46224,Marion County,(317) 244-7238,No,No,No,No,528,33,15.9,44.3,21.8,0.2,5.9,16.3,0,6.3,49.6,81.1
Floyd Central High School,https://www.schooldigger.com/go/IN/schools/0741001265/school.aspx,New Albany-Floyd County Con School,https://www.schooldigger.com/go/IN/district/07410/search.aspx,6575 Old Vincennes Rd,Floyds Knobs,https://www.schooldigger.com/go/IN/city/Floyds+Knobs/search.aspx,47119,Floyd County,(812) 923-8811,No,No,No,No,1867,86.6,21.5,15.3,1.2,0.4,2.8,3,0.1,2.9,89.7,80.9
Covington Community High School,https://www.schooldigger.com/go/IN/schools/0243000275/school.aspx,Covington Community School Corp,https://www.schooldigger.com/go/IN/district/02430/search.aspx,1017 6th St,Covington,https://www.schooldigger.com/go/IN/city/Covington/search.aspx,47932,Fountain County,(765) 793-2286,No,No,No,No,276,26.3,10.4,31.9,0.4,0,0.4,5.4,0,1.4,92.4,80.8
Gibson Southern High School,https://www.schooldigger.com/go/IN/schools/1035001688/school.aspx,South Gibson School Corporation,https://www.schooldigger.com/go/IN/district/10350/search.aspx,3499 W 800 S,Fort Branch,https://www.schooldigger.com/go/IN/city/Fort+Branch/search.aspx,47648,Gibson County,(812) 753-3011,No,No,No,No,730,34.5,21.1,16.2,0.1,0,0.7,2.6,0,1.8,94.8,79.6
Bloomington High School North,https://www.schooldigger.com/go/IN/schools/0063000119/school.aspx,Monroe County Community School Corp,https://www.schooldigger.com/go/IN/district/00630/search.aspx,3901 N Kinser Pike,Bloomington,https://www.schooldigger.com/go/IN/city/Bloomington/search.aspx,47404,Monroe County,(812) 330-7724,No,No,No,No,1585,99,15.9,29.8,7.1,0.3,4,6.4,0.1,7.9,74.2,79.5
East Allen University,https://www.schooldigger.com/go/IN/schools/0285002532/school.aspx,East Allen County Schools,https://www.schooldigger.com/go/IN/district/02850/search.aspx,6501 Wayne Trace,Fort Wayne,https://www.schooldigger.com/go/IN/city/Fort+Wayne/search.aspx,46816,Allen County,(260) 446-0240,No,No,No,No,336,13.7,24.5,57.7,8.6,0,35.1,14,0,5.4,36.9,79.3
Noblesville High School,https://www.schooldigger.com/go/IN/schools/0765001309/school.aspx,Noblesville Schools,https://www.schooldigger.com/go/IN/district/07650/search.aspx,18111 Cumberland Rd,Noblesville,https://www.schooldigger.com/go/IN/city/Noblesville/search.aspx,46060,Hamilton County,(317) 773-4680,No,No,No,No,3116,168.8,18.4,20.6,3.3,0.2,2.7,6.9,0.2,3.3,83.4,79.1
Delta High School,https://www.schooldigger.com/go/IN/schools/0266000320/school.aspx,Delaware Community School Corp,https://www.schooldigger.com/go/IN/district/02660/search.aspx,3400 E Sr 28,Muncie,https://www.schooldigger.com/go/IN/city/Muncie/search.aspx,47303,Delaware County,(765) 288-5597,No,No,No,No,809,51.5,15.6,37.6,2.7,0,0,1,0,3.5,92.8,78.9
Center Grove High School,https://www.schooldigger.com/go/IN/schools/0144000209/school.aspx,Center Grove Community School Corp,https://www.schooldigger.com/go/IN/district/01440/search.aspx,2717 S Morgantown Rd,Greenwood,https://www.schooldigger.com/go/IN/city/Greenwood/search.aspx,46143,Johnson County,(317) 881-0581,No,No,No,No,2624,126.3,20.7,16.3,3.1,0.3,4.6,5.1,0,2.8,84.1,78.3
Tell City Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1126001819/school.aspx,Tell City-Troy Township School Corp,https://www.schooldigger.com/go/IN/district/11260/search.aspx,900 12th St,Tell City,https://www.schooldigger.com/go/IN/city/Tell+City/search.aspx,47586,Perry County,(812) 547-3131,No,No,No,No,637,48.9,13,44.6,0.2,0.5,1.4,1.6,0,3.5,92.9,78.2
Valparaiso High School,https://www.schooldigger.com/go/IN/schools/1197001891/school.aspx,Valparaiso Community Schools,https://www.schooldigger.com/go/IN/district/11970/search.aspx,2727 N Campbell St,Valparaiso,https://www.schooldigger.com/go/IN/city/Valparaiso/search.aspx,46385,Porter County,(219) 531-3070,No,No,No,No,2047,96.2,21.2,25.6,4.1,0,2.5,12,0.1,4,77.3,78.2
Perry Central Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0174000234/school.aspx,Perry Central Com Schools Corp,https://www.schooldigger.com/go/IN/district/01740/search.aspx,18677 Old SR 37,Leopold,https://www.schooldigger.com/go/IN/city/Leopold/search.aspx,47551,Perry County,(812) 843-5121,No,No,No,No,578,36.8,15.6,33,0.3,0,0.3,1.6,0,2.2,95.5,77.4
North High School,https://www.schooldigger.com/go/IN/schools/0345000478/school.aspx,Evansville Vanderburgh School Corp,https://www.schooldigger.com/go/IN/district/03450/search.aspx,15331 Hwy 41 N,Evansville,https://www.schooldigger.com/go/IN/city/Evansville/search.aspx,47725,Vanderburgh County,(812) 435-8283,No,No,No,No,1455,170.6,8.5,30.4,6.3,0.3,2.5,4.1,0.6,6.7,79.6,76.9
Mt Vernon High School,https://www.schooldigger.com/go/IN/schools/0726001221/school.aspx,Mt Vernon Community School Corp,https://www.schooldigger.com/go/IN/district/07260/search.aspx,8112 N 200 W,Fortville,https://www.schooldigger.com/go/IN/city/Fortville/search.aspx,46040,Hancock County,(317) 485-3131,No,No,No,No,1372,75.6,18.1,22.1,8.7,0.2,1.5,5,0,5.6,78.9,76.8
William Henry Harrison High School,https://www.schooldigger.com/go/IN/schools/1134001835/school.aspx,Tippecanoe School Corp,https://www.schooldigger.com/go/IN/district/11340/search.aspx,5701 N 50 W,West Lafayette,https://www.schooldigger.com/go/IN/city/West+Lafayette/search.aspx,47906,Tippecanoe County,(765) 463-3511,No,No,No,No,2050,122.7,16.7,26.7,4.4,0.1,1.9,12.1,0,4.4,77.1,76.3
North Wood High School,https://www.schooldigger.com/go/IN/schools/1224001956/school.aspx,Wa-Nee Community Schools,https://www.schooldigger.com/go/IN/district/12240/search.aspx,2101 N Main St,Nappanee,https://www.schooldigger.com/go/IN/city/Nappanee/search.aspx,46550,Elkhart County,(574) 773-4127,No,No,No,No,891,55,16.1,26.4,2.1,0.1,0.6,8.5,0,3.5,85.2,75.9
Delphi Community High School,https://www.schooldigger.com/go/IN/schools/0270000326/school.aspx,Delphi Community School Corp,https://www.schooldigger.com/go/IN/district/02700/search.aspx,301 Armory Rd,Delphi,https://www.schooldigger.com/go/IN/city/Delphi/search.aspx,46923,Carroll County,(765) 564-3481,No,No,No,No,451,36.5,12.3,45.5,1.3,0,0,10.4,0,2.7,85.6,75
Crothersville Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1206001893/school.aspx,Crothersville Community Schools,https://www.schooldigger.com/go/IN/district/12060/search.aspx,109 N Preston St,Crothersville,https://www.schooldigger.com/go/IN/city/Crothersville/search.aspx,47229,Jackson County,(812) 793-2051,No,No,No,No,224,10.2,21.9,48.7,1.3,0.4,1.3,2.7,0,2.2,92,75
Hanover Central High School,https://www.schooldigger.com/go/IN/schools/0435000753/school.aspx,Hanover Community School Corp,https://www.schooldigger.com/go/IN/district/04350/search.aspx,10120 W 133rd St,Cedar Lake,https://www.schooldigger.com/go/IN/city/Cedar+Lake/search.aspx,46303,Lake County,(219) 374-3800,No,No,No,No,748,46,16.2,17.4,2.9,0.5,1.3,12,0,3.9,79.3,74.8
Herron High School,https://www.schooldigger.com/go/IN/schools/0005802315/school.aspx,Herron Charter,https://www.schooldigger.com/go/IN/district/00058/search.aspx,110 E 16th St,Indianapolis,https://www.schooldigger.com/go/IN/city/Indianapolis/search.aspx,46202,Marion County,(317) 231-0010,Yes,Yes,No,No,951,62,15.3,40.1,26.2,0.2,1.4,11.1,0.1,7.8,53.2,74.5
South Knox Middle-High School,https://www.schooldigger.com/go/IN/schools/1041001706/school.aspx,South Knox School Corp,https://www.schooldigger.com/go/IN/district/10410/search.aspx,6136 E Sr 61,Vincennes,https://www.schooldigger.com/go/IN/city/Vincennes/search.aspx,47591,Knox County,(812) 726-4450,No,No,No,No,583,35.8,16.2,28.6,0.2,0,0,1.2,0,1.9,96.7,74.4
Adams Central High School,https://www.schooldigger.com/go/IN/schools/0006000007/school.aspx,Adams Central Community Schools,https://www.schooldigger.com/go/IN/district/00060/search.aspx,222 W Washington St,Monroe,https://www.schooldigger.com/go/IN/city/Monroe/search.aspx,46772,Adams County,(260) 692-6151,No,No,No,No,370,35.6,10.3,21.4,0.5,0.3,0.3,3.5,0,0.5,94.9,74.3
North Putnam Senior High School,https://www.schooldigger.com/go/IN/schools/0798001369/school.aspx,North Putnam Community Schools,https://www.schooldigger.com/go/IN/district/07980/search.aspx,8869 N Cr 250 E,Roachdale,https://www.schooldigger.com/go/IN/city/Roachdale/search.aspx,46172,Putnam County,(765) 522-6282,No,No,No,No,422,28.3,14.9,41.5,0.2,0.5,0.2,0.7,0,1.9,96.4,74.3
Eastbrook High School,https://www.schooldigger.com/go/IN/schools/0303000399/school.aspx,Eastbrook Community School Corp,https://www.schooldigger.com/go/IN/district/03030/search.aspx,560 S 900 E,Marion,https://www.schooldigger.com/go/IN/city/Marion/search.aspx,46953,Grant County,(765) 664-1214,No,No,No,No,471,34,13.8,31,0.8,0,0.2,5.3,0,1.9,91.7,74.2
Greenwood Community High School,https://www.schooldigger.com/go/IN/schools/0411000709/school.aspx,Greenwood Community School Corp,https://www.schooldigger.com/go/IN/district/04110/search.aspx,615 W Smith Valley Rd,Greenwood,https://www.schooldigger.com/go/IN/city/Greenwood/search.aspx,46142,Johnson County,(317) 889-4000,No,No,No,No,1219,64.1,18.9,39,4.1,0.2,2.8,9.7,0,4.9,78.3,74.1
Lake Central High School,https://www.schooldigger.com/go/IN/schools/0545000984/school.aspx,Lake Central School Corporation,https://www.schooldigger.com/go/IN/district/05450/search.aspx,8400 Wicker Ave,Saint John,https://www.schooldigger.com/go/IN/city/Saint+John/search.aspx,46373,Lake County,(219) 365-8551,No,No,No,No,3273,149.2,21.9,22.1,7.7,0.5,3.3,17.3,0,2.9,68.4,74
Crown Point High School,https://www.schooldigger.com/go/IN/schools/0249000293/school.aspx,Crown Point Community School Corp,https://www.schooldigger.com/go/IN/district/02490/search.aspx,1500 S Main St,Crown Point,https://www.schooldigger.com/go/IN/city/Crown+Point/search.aspx,46307,Lake County,(219) 663-4885,No,No,No,No,2940,125.3,23.4,19.4,3.5,0.3,2.8,13.6,0,3.2,76.6,74
Triton Central High School,https://www.schooldigger.com/go/IN/schools/0831001423/school.aspx,Northwestern Con School Corp,https://www.schooldigger.com/go/IN/district/08310/search.aspx,4774 W 600 N,Fairland,https://www.schooldigger.com/go/IN/city/Fairland/search.aspx,46126,Shelby County,(317) 835-3000,No,No,No,No,463,27,17.1,29.2,2.4,0.4,0.4,3,0,1.1,92.7,73.9
Northwestern Senior High School,https://www.schooldigger.com/go/IN/schools/0204000255/school.aspx,Northwestern School Corp,https://www.schooldigger.com/go/IN/district/02040/search.aspx,3431 N 400 W,Kokomo,https://www.schooldigger.com/go/IN/city/Kokomo/search.aspx,46901,Howard County,(765) 454-2332,No,No,No,No,597,38.8,15.3,23.3,1,0,0.3,6.7,0,4.7,87.3,73.8
Triton Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/1149001856/school.aspx,Triton School Corporation,https://www.schooldigger.com/go/IN/district/11490/search.aspx,300 Triton Dr,Bourbon,https://www.schooldigger.com/go/IN/city/Bourbon/search.aspx,46504,Marshall County,(574) 342-6505,No,No,No,No,405,28,14.4,37.8,0,0,0.5,5.7,0,2.5,91.4,73.5
Wheeler High School,https://www.schooldigger.com/go/IN/schools/1170001873/school.aspx,Union Township School Corp,https://www.schooldigger.com/go/IN/district/11700/search.aspx,587 W 300 N,Valparaiso,https://www.schooldigger.com/go/IN/city/Valparaiso/search.aspx,46385,Porter County,(219) 759-2561,No,No,No,No,485,30.4,15.9,24.3,2.3,0.8,0.2,11.5,0,2.1,83.1,72.3
Batesville High School,https://www.schooldigger.com/go/IN/schools/0039000084/school.aspx,Batesville Community School Corp,https://www.schooldigger.com/go/IN/district/00390/search.aspx,One Bulldog Blvd,Batesville,https://www.schooldigger.com/go/IN/city/Batesville/search.aspx,47006,Franklin County,(812) 934-4384,No,No,No,No,699,48.1,14.5,21,0.3,0.1,1,4.9,0,1.1,92.6,72.2
Kouts Middle/High School,https://www.schooldigger.com/go/IN/schools/0900001497/school.aspx,East Porter County School Corp,https://www.schooldigger.com/go/IN/district/09000/search.aspx,302 E College Ave,Kouts,https://www.schooldigger.com/go/IN/city/Kouts/search.aspx,46347,Porter County,(219) 766-2231,No,No,No,No,428,30.9,13.8,19.4,0.7,0,0,6.1,0,2.1,91.1,72.1
Southwestern High School,https://www.schooldigger.com/go/IN/schools/1083001769/school.aspx,Southwestern Con School Shelby County,https://www.schooldigger.com/go/IN/district/10830/search.aspx,3406 W 600 S,Shelbyville,https://www.schooldigger.com/go/IN/city/Shelbyville/search.aspx,46176,Shelby County,(317) 729-5122,No,No,No,No,271,23.2,11.6,32.1,0,0,0,5.5,0,0.4,94.1,72.1
New Palestine High School,https://www.schooldigger.com/go/IN/schools/1071001761/school.aspx,Southern Hancock County Com School Corp,https://www.schooldigger.com/go/IN/district/10710/search.aspx,4485 S Victory Dr,New Palestine,https://www.schooldigger.com/go/IN/city/New+Palestine/search.aspx,46163,Hancock County,(317) 861-4417,No,No,No,No,1168,53.4,21.8,22.5,0.4,0.3,1,2.9,0.2,2.7,92.5,72
Central High School,https://www.schooldigger.com/go/IN/schools/0345000459/school.aspx,Evansville Vanderburgh School Corp,https://www.schooldigger.com/go/IN/district/03450/search.aspx,5400 1st Ave,Evansville,https://www.schooldigger.com/go/IN/city/Evansville/search.aspx,47710,Vanderburgh County,(812) 435-8292,No,No,No,No,940,138.5,6.7,44.3,7.9,0,0.5,4.9,0.1,6.6,80,71.6
Pendleton Heights High School,https://www.schooldigger.com/go/IN/schools/1044001711/school.aspx,South Madison Com School Corp,https://www.schooldigger.com/go/IN/district/10440/search.aspx,One Arabian Dr,Pendleton,https://www.schooldigger.com/go/IN/city/Pendleton/search.aspx,46064,Madison County,(765) 778-2161,No,No,No,No,1394,65,21.4,28.6,2.6,0.1,1.1,2.4,0.1,2.4,91.3,71.3
Benton Central Junior-Senior High School,https://www.schooldigger.com/go/IN/schools/0048000097/school.aspx,Benton Community School Corp,https://www.schooldigger.com/go/IN/district/00480/search.aspx,4241 E 300 S,Oxford,https://www.schooldigger.com/go/IN/city/Oxford/search.aspx,47971,Benton County,(765) 884-1600,No,No,No,No,817,63.2,12.9,39.9,0.5,0.2,0.1,9.3,0,2.9,86.9,71.1
