 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
11,57, High, Desktop app, Beginner, Weekly,11, Low,3,1, Moderate,10,0,56, High,33
8,60, Low, Web development, Expert, Daily,6, High,5,1, Fast,7,2,41, Low,47
10,47, Medium, Mobile app, Advanced, Weekly,5, Medium,4,1, Slow,5,2,46, Medium,48
4,63, Low, Web development, Expert, Daily,11, High,5,1, Fast,6,1,44, Low,63
13,79, Medium, Desktop app, Beginner, Weekly,11, Low,4,1, Moderate,8,0,41, Medium,70
9,54, High, Mobile app, Advanced, Daily,7, Medium,2,1, Slow,10,1,31, High,60
9,34, Low, Web development, Expert, Weekly,8, High,5,0, Fast,9,2,43, Low,56
10,37, Medium, Desktop app, Beginner, Daily,13, Low,4,0, Moderate,8,2,58, Medium,47
14,68, Low, Mobile app, Expert, Weekly,4, High,4,1, Fast,5,0,55, Low,39
9,41, High, Web development, Advanced, Daily,11, Medium,3,1, Slow,10,2,52, High,46
13,71, Medium, Mobile app, Beginner, Weekly,8, Low,4,2, Moderate,8,2,42, Medium,47
4,56, High, Desktop app, Expert, Daily,7, High,4,2, Fast,7,2,58, High,41
5,52, Low, Web development, Advanced, Weekly,12, Medium,2,0, Slow,8,1,30, Low,36
8,59, Medium, Desktop app, Beginner, Daily,7, Low,3,1, Moderate,8,2,34, Medium,39
5,69, High, Web development, Expert, Weekly,13, High,5,1, Fast,6,2,31, High,59
11,56, Low, Web development, Expert, Daily,11, High,5,1, Fast,6,2,47, Low,49
5,63, High, Mobile app, Advanced, Weekly,13, Medium,4,2, Slow,5,2,54, High,34
12,31, Medium, Desktop app, Beginner, Daily,4, Low,5,1, Moderate,9,0,55, Medium,56
12,57, High, Web development, Expert, Weekly,12, High,3,0, Fast,9,3,45, High,74
12,51, Low, Mobile app, Advanced, Daily,6, Medium,2,2, Slow,7,1,31, Low,61
11,77, High, Desktop app, Beginner, Weekly,8, Low,4,0, Moderate,8,1,58, High,38
10,53, Low, Web development, Expert, Daily,7, High,3,0, Fast,5,3,37, Low,53
7,51, Medium, Mobile app, Advanced, Weekly,6, Medium,5,2, Slow,10,3,40, Medium,55
6,32, Low, Web development, Expert, Daily,7, High,5,2, Fast,5,0,60, Low,59
5,69, Medium, Desktop app, Beginner, Weekly,12, Low,4,2, Moderate,8,0,53, Medium,37
13,40, High, Mobile app, Advanced, Daily,14, Medium,3,2, Slow,10,1,59, High,56
10,41, Low, Web development, Expert, Weekly,7, High,4,1, Fast,10,2,58, Low,35
5,53, Medium, Desktop app, Beginner, Daily,5, Low,4,0, Moderate,8,1,56, Medium,62
11,62, Low, Mobile app, Expert, Weekly,13, High,5,2, Fast,5,3,41, Low,58
12,34, High, Web development, Advanced, Daily,14, Medium,3,1, Slow,10,1,59, High,48
14,51, Medium, Mobile app, Beginner, Weekly,4, Low,2,2, Moderate,5,2,56, Medium,66
13,75, High, Desktop app, Expert, Daily,6, High,2,0, Fast,6,1,34, High,56
14,72, Low, Web development, Advanced, Weekly,13, Medium,3,2, Slow,6,0,30, Low,64
13,36, Medium, Desktop app, Beginner, Daily,10, Low,5,1, Moderate,5,0,59, Medium,37
12,74, High, Web development, Expert, Weekly,8, High,3,0, Fast,8,1,31, High,44
10,48, Low, Web development, Expert, Daily,11, High,5,2, Fast,6,1,39, Low,58
4,71, High, Mobile app, Advanced, Weekly,12, Medium,3,1, Slow,9,2,43, High,49
6,74, Medium, Desktop app, Beginner, Daily,14, Low,2,1, Moderate,5,1,43, Medium,68
14,64, High, Web development, Expert, Weekly,10, High,5,1, Fast,10,1,56, High,46
13,52, Low, Mobile app, Advanced, Daily,5, Medium,4,1, Slow,8,3,48, Low,68
6,71, High, Desktop app, Beginner, Weekly,7, Low,2,0, Moderate,9,2,59, High,39
13,74, Low, Web development, Expert, Daily,5, High,4,0, Fast,9,0,37, Low,48
4,77, Medium, Mobile app, Advanced, Weekly,8, Medium,3,0, Slow,7,2,44, Medium,36
13,37, Low, Web development, Expert, Daily,4, High,4,1, Fast,10,1,56, Low,47
8,74, Medium, Desktop app, Beginner, Weekly,5, Low,2,2, Moderate,10,1,51, Medium,54
8,75, High, Mobile app, Advanced, Daily,10, Medium,3,2, Slow,9,2,36, High,58
7,63, Low, Web development, Expert, Weekly,4, High,3,1, Fast,6,2,32, Low,72
9,31, Medium, Desktop app, Beginner, Daily,8, Low,4,2, Moderate,7,0,35, Medium,72
9,67, Low, Mobile app, Expert, Weekly,10, High,5,1, Fast,9,1,31, Low,64
14,68, High, Web development, Advanced, Daily,13, Medium,2,0, Slow,10,0,30, High,42
10,32, Medium, Mobile app, Beginner, Weekly,13, Low,5,1, Moderate,6,1,47, Medium,33
5,43, High, Desktop app, Expert, Daily,11, High,3,0, Fast,8,3,50, High,54
4,56, Low, Web development, Advanced, Weekly,12, Medium,4,1, Slow,5,0,33, Low,70
7,77, Medium, Desktop app, Beginner, Daily,5, Low,5,0, Moderate,10,2,30, Medium,62
6,33, High, Web development, Expert, Weekly,8, High,4,1, Fast,6,3,48, High,37
9,45, Low, Web development, Expert, Daily,12, High,5,0, Fast,8,0,33, Low,74
9,39, High, Mobile app, Advanced, Weekly,6, Medium,4,0, Slow,7,3,45, High,47
6,49, Medium, Desktop app, Beginner, Daily,13, Low,5,1, Moderate,10,2,46, Medium,40
12,71, High, Web development, Expert, Weekly,7, High,2,1, Fast,9,0,44, High,42
6,78, Low, Mobile app, Advanced, Daily,14, Medium,3,0, Slow,7,1,46, Low,69
6,38, High, Desktop app, Beginner, Weekly,8, Low,2,2, Moderate,8,0,39, High,43
6,50, Low, Web development, Expert, Daily,14, High,5,0, Fast,8,1,56, Low,56
7,32, Medium, Mobile app, Advanced, Weekly,10, Medium,3,2, Slow,10,3,36, Medium,42
11,31, Low, Web development, Expert, Daily,7, High,5,0, Fast,9,1,34, Low,52
10,57, Medium, Desktop app, Beginner, Weekly,10, Low,2,2, Moderate,10,1,32, Medium,68
6,48, High, Mobile app, Advanced, Daily,10, Medium,5,0, Slow,10,3,39, High,37
4,59, Low, Web development, Expert, Weekly,10, High,5,1, Fast,8,2,46, Low,61
4,57, Medium, Desktop app, Beginner, Daily,7, Low,5,0, Moderate,5,0,59, Medium,45
13,71, Low, Mobile app, Expert, Weekly,8, High,3,0, Fast,5,1,34, Low,63
7,47, High, Web development, Advanced, Daily,12, Medium,4,1, Slow,7,2,40, High,71
4,71, Medium, Mobile app, Beginner, Weekly,14, Low,4,0, Moderate,8,2,43, Medium,59
9,52, High, Desktop app, Expert, Daily,13, High,2,2, Fast,8,1,46, High,37
4,60, Low, Web development, Advanced, Weekly,9, Medium,2,1, Slow,7,1,59, Low,35
6,46, Medium, Desktop app, Beginner, Daily,6, Low,4,2, Moderate,9,3,59, Medium,53
9,31, High, Web development, Expert, Weekly,10, High,2,0, Fast,9,0,48, High,55
14,32, Low, Web development, Expert, Daily,10, High,4,1, Fast,10,0,36, Low,44
12,47, High, Mobile app, Advanced, Weekly,13, Medium,5,2, Slow,8,0,30, High,59
7,51, Medium, Desktop app, Beginner, Daily,13, Low,2,0, Moderate,6,3,46, Medium,52
10,34, High, Web development, Expert, Weekly,12, High,4,2, Fast,10,0,37, High,35
11,65, Low, Mobile app, Advanced, Daily,14, Medium,5,1, Slow,10,2,56, Low,67
13,60, High, Desktop app, Beginner, Weekly,9, Low,4,1, Moderate,10,2,56, High,68
8,59, Low, Web development, Expert, Daily,4, High,2,0, Fast,8,1,34, Low,45
7,73, Medium, Mobile app, Advanced, Weekly,14, Medium,2,1, Slow,5,0,44, Medium,64
12,46, Low, Web development, Expert, Daily,6, High,4,0, Fast,8,1,53, Low,55
13,63, Medium, Desktop app, Beginner, Weekly,6, Low,3,0, Moderate,6,2,47, Medium,72
9,75, High, Mobile app, Advanced, Daily,5, Medium,5,0, Slow,6,0,46, High,40
12,70, Low, Web development, Expert, Weekly,9, High,5,1, Fast,6,2,38, Low,74
8,34, Medium, Desktop app, Beginner, Daily,7, Low,4,1, Moderate,6,0,39, Medium,61
11,68, Low, Mobile app, Expert, Weekly,12, High,4,2, Fast,6,1,48, Low,66
12,80, High, Web development, Advanced, Daily,5, Medium,3,2, Slow,9,1,39, High,38
12,39, Medium, Mobile app, Beginner, Weekly,7, Low,4,1, Moderate,7,2,33, Medium,65
14,55, High, Desktop app, Expert, Daily,4, High,4,0, Fast,5,1,46, High,41
11,39, Low, Web development, Advanced, Weekly,11, Medium,2,1, Slow,10,1,32, Low,64
9,47, Medium, Desktop app, Beginner, Daily,8, Low,4,0, Moderate,9,1,47, Medium,60
8,62, High, Web development, Expert, Weekly,5, High,3,0, Fast,6,2,56, High,55
8,47, Low, Web development, Expert, Daily,7, High,5,1, Fast,7,1,35, Low,64
6,77, High, Mobile app, Advanced, Weekly,4, Medium,4,2, Slow,10,2,56, High,54
14,32, Medium, Desktop app, Beginner, Daily,14, Low,2,1, Moderate,8,3,38, Medium,40
4,78, High, Web development, Expert, Weekly,10, High,2,0, Fast,10,3,38, High,36
14,45, Low, Mobile app, Advanced, Daily,14, Medium,2,0, Slow,9,3,33, Low,65
8,62, High, Desktop app, Beginner, Weekly,5, Low,2,2, Moderate,7,0,58, High,37
6,42, Low, Web development, Expert, Daily,12, High,2,0, Fast,7,1,43, Low,33
5,75, Medium, Mobile app, Advanced, Weekly,7, Medium,4,1, Slow,5,3,40, Medium,54
11,68, Low, Web development, Expert, Daily,8, High,2,2, Fast,10,2,53, Low,56
11,76, Medium, Desktop app, Beginner, Weekly,12, Low,3,1, Moderate,10,1,53, Medium,63
5,61, High, Mobile app, Advanced, Daily,14, Medium,3,1, Slow,8,2,38, High,42
10,37, Low, Web development, Expert, Weekly,14, High,3,0, Fast,8,0,59, Low,57
14,75, Medium, Desktop app, Beginner, Daily,7, Low,5,2, Moderate,5,1,46, Medium,61
13,73, Low, Mobile app, Expert, Weekly,7, High,3,0, Fast,10,0,55, Low,45
14,69, High, Web development, Advanced, Daily,8, Medium,3,2, Slow,6,2,38, High,65
5,50, Medium, Mobile app, Beginner, Weekly,4, Low,3,0, Moderate,9,2,54, Medium,32
12,54, High, Desktop app, Expert, Daily,10, High,4,0, Fast,6,2,47, High,40
14,53, Low, Web development, Advanced, Weekly,6, Medium,2,0, Slow,5,3,40, Low,40
9,58, Medium, Desktop app, Beginner, Daily,9, Low,2,2, Moderate,5,3,52, Medium,64
9,30, High, Web development, Expert, Weekly,9, High,3,1, Fast,8,1,42, High,44
8,77, Low, Web development, Expert, Daily,11, High,4,2, Fast,9,3,46, Low,51
10,79, High, Mobile app, Advanced, Weekly,5, Medium,4,1, Slow,6,0,55, High,33
7,58, Medium, Desktop app, Beginner, Daily,13, Low,4,2, Moderate,8,3,49, Medium,46
13,54, High, Web development, Expert, Weekly,10, High,2,1, Fast,7,3,47, High,56
4,30, Low, Mobile app, Advanced, Daily,7, Medium,3,0, Slow,5,1,56, Low,47
14,78, High, Desktop app, Beginner, Weekly,4, Low,3,1, Moderate,10,1,31, High,53
11,32, Low, Web development, Expert, Daily,5, High,3,0, Fast,7,2,52, Low,73
11,55, Medium, Mobile app, Advanced, Weekly,11, Medium,3,2, Slow,6,1,47, Medium,72
14,79, Low, Web development, Expert, Daily,14, High,3,1, Fast,7,1,45, Low,44
9,61, Medium, Desktop app, Beginner, Weekly,12, Low,4,2, Moderate,6,3,52, Medium,59
13,52, High, Mobile app, Advanced, Daily,5, Medium,2,0, Slow,5,0,53, High,40
8,33, Low, Web development, Expert, Weekly,13, High,3,1, Fast,5,2,46, Low,56
5,48, Medium, Desktop app, Beginner, Daily,6, Low,2,1, Moderate,5,1,36, Medium,60
6,54, Low, Mobile app, Expert, Weekly,5, High,2,2, Fast,9,2,38, Low,70
11,30, High, Web development, Advanced, Daily,13, Medium,3,1, Slow,8,0,53, High,65
12,56, Medium, Mobile app, Beginner, Weekly,12, Low,2,2, Moderate,10,1,59, Medium,37
4,41, High, Desktop app, Expert, Daily,4, High,5,2, Fast,6,1,57, High,42
14,51, Low, Web development, Advanced, Weekly,5, Medium,5,2, Slow,9,0,42, Low,52
4,64, Medium, Desktop app, Beginner, Daily,9, Low,2,2, Moderate,8,1,54, Medium,56
6,47, High, Web development, Expert, Weekly,6, High,2,0, Fast,9,3,50, High,32
10,53, Low, Web development, Expert, Daily,13, High,5,0, Fast,9,1,40, Low,56
4,52, High, Mobile app, Advanced, Weekly,10, Medium,4,2, Slow,5,3,57, High,37
11,35, Medium, Desktop app, Beginner, Daily,8, Low,5,2, Moderate,5,3,43, Medium,36
13,35, High, Web development, Expert, Weekly,9, High,4,2, Fast,7,1,48, High,38
5,38, Low, Mobile app, Advanced, Daily,4, Medium,2,0, Slow,7,3,45, Low,66
14,67, High, Desktop app, Beginner, Weekly,11, Low,3,0, Moderate,7,3,60, High,63
4,68, Low, Web development, Expert, Daily,11, High,2,0, Fast,8,1,48, Low,64
14,57, Medium, Mobile app, Advanced, Weekly,5, Medium,3,1, Slow,10,3,54, Medium,37
6,45, Low, Web development, Expert, Daily,4, High,3,1, Fast,6,1,38, Low,73
9,73, Medium, Desktop app, Beginner, Weekly,9, Low,3,0, Moderate,5,2,55, Medium,55
6,38, High, Mobile app, Advanced, Daily,13, Medium,5,1, Slow,7,3,52, High,44
9,69, Low, Web development, Expert, Weekly,5, High,5,1, Fast,7,1,32, Low,54
12,41, Medium, Desktop app, Beginner, Daily,9, Low,3,1, Moderate,10,2,38, Medium,66
11,56, Low, Mobile app, Expert, Weekly,7, High,5,2, Fast,6,1,55, Low,52
13,73, High, Web development, Advanced, Daily,11, Medium,5,1, Slow,10,0,32, High,70
5,56, Medium, Mobile app, Beginner, Weekly,6, Low,5,0, Moderate,5,1,34, Medium,36
4,37, High, Desktop app, Expert, Daily,7, High,3,0, Fast,6,2,43, High,73
10,38, Low, Web development, Advanced, Weekly,12, Medium,5,1, Slow,7,1,39, Low,53
9,35, Medium, Desktop app, Beginner, Daily,10, Low,4,1, Moderate,8,1,31, Medium,55
9,38, High, Web development, Expert, Weekly,11, High,4,0, Fast,8,0,56, High,32
10,57, Low, Web development, Expert, Daily,11, High,2,2, Fast,7,3,46, Low,55
5,35, High, Mobile app, Advanced, Weekly,6, Medium,5,2, Slow,9,2,51, High,61
6,58, Medium, Desktop app, Beginner, Daily,14, Low,4,2, Moderate,10,0,52, Medium,52
11,52, High, Web development, Expert, Weekly,12, High,5,2, Fast,5,3,38, High,35
13,70, Low, Mobile app, Advanced, Daily,9, Medium,5,0, Slow,10,0,31, Low,62
12,60, High, Desktop app, Beginner, Weekly,10, Low,2,0, Moderate,6,1,53, High,73
4,61, Low, Web development, Expert, Daily,10, High,5,2, Fast,10,3,51, Low,73
8,76, Medium, Mobile app, Advanced, Weekly,11, Medium,4,0, Slow,9,1,31, Medium,40
4,35, Low, Web development, Expert, Daily,14, High,2,0, Fast,5,3,37, Low,66
6,49, Medium, Desktop app, Beginner, Weekly,4, Low,4,1, Moderate,7,3,46, Medium,61
13,45, High, Mobile app, Advanced, Daily,12, Medium,5,2, Slow,9,2,32, High,44
4,80, Low, Web development, Expert, Weekly,13, High,3,2, Fast,8,1,35, Low,49
6,58, Medium, Desktop app, Beginner, Daily,4, Low,4,0, Moderate,6,1,39, Medium,51
14,79, Low, Mobile app, Expert, Weekly,11, High,3,2, Fast,6,3,40, Low,68
12,61, High, Web development, Advanced, Daily,4, Medium,5,1, Slow,10,3,41, High,43
14,37, Medium, Mobile app, Beginner, Weekly,6, Low,2,1, Moderate,10,1,37, Medium,63
13,51, High, Desktop app, Expert, Daily,5, High,4,1, Fast,8,3,43, High,57
12,64, Low, Web development, Advanced, Weekly,11, Medium,2,2, Slow,7,3,35, Low,44
10,77, Medium, Desktop app, Beginner, Daily,10, Low,4,2, Moderate,7,2,39, Medium,71
5,80, High, Web development, Expert, Weekly,14, High,5,0, Fast,8,2,49, High,51
10,64, Medium, Desktop app, Beginner, Weekly,13, Low,2,2, Moderate,9,0,36, Medium,63
12,78, High, Mobile app, Advanced, Daily,9, Medium,5,0, Slow,6,2,37, High,63
14,67, Low, Web development, Expert, Weekly,5, High,3,2, Fast,8,3,60, Low,49
13,35, Medium, Desktop app, Beginner, Daily,11, Low,2,0, Moderate,6,1,47, Medium,45
9,37, Low, Mobile app, Expert, Weekly,7, High,5,1, Fast,6,1,46, Low,67
12,71, High, Web development, Advanced, Daily,14, Medium,4,0, Slow,9,0,30, High,61
6,58, Medium, Mobile app, Beginner, Weekly,7, Low,5,0, Moderate,9,1,56, Medium,38
8,52, High, Desktop app, Expert, Daily,13, High,4,0, Fast,7,1,49, High,41
14,70, Low, Web development, Advanced, Weekly,9, Medium,5,2, Slow,5,2,47, Low,71
8,74, Medium, Desktop app, Beginner, Daily,13, Low,2,2, Moderate,8,3,30, Medium,67
11,66, High, Web development, Expert, Weekly,13, High,2,0, Fast,10,2,46, High,66
4,36, Low, Web development, Expert, Daily,9, High,4,2, Fast,8,0,41, Low,50
13,68, High, Mobile app, Advanced, Weekly,11, Medium,4,0, Slow,5,2,40, High,69
5,67, Medium, Desktop app, Beginner, Daily,4, Low,5,0, Moderate,6,2,46, Medium,73
7,30, High, Web development, Expert, Weekly,4, High,3,0, Fast,6,2,35, High,45
5,45, Low, Mobile app, Advanced, Daily,12, Medium,3,0, Slow,5,1,39, Low,34
7,51, High, Desktop app, Beginner, Weekly,9, Low,5,2, Moderate,5,1,49, High,38
11,67, Low, Web development, Expert, Daily,4, High,3,0, Fast,9,3,33, Low,53
6,62, Medium, Mobile app, Advanced, Weekly,8, Medium,2,0, Slow,8,2,34, Medium,60
14,47, High, Desktop app, Beginner, Weekly,10, Low,5,2, Moderate,6,2,31, High,65
5,46, Low, Web development, Expert, Daily,9, High,4,0, Fast,5,0,44, Low,44
4,50, Medium, Mobile app, Advanced, Weekly,6, Medium,5,2, Slow,7,0,56, Medium,59
14,42, Low, Web development, Expert, Daily,9, High,3,2, Fast,9,3,33, Low,56
7,74, Medium, Desktop app, Beginner, Weekly,4, Low,4,0, Moderate,10,1,48, Medium,73
11,71, High, Mobile app, Advanced, Daily,6, Medium,5,2, Slow,8,1,60, High,34
14,70, Low, Web development, Expert, Weekly,9, High,3,2, Fast,8,2,55, Low,34
8,33, Medium, Desktop app, Beginner, Daily,14, Low,5,0, Moderate,5,2,35, Medium,39
13,47, Low, Mobile app, Expert, Weekly,9, High,3,0, Fast,6,0,38, Low,34
14,77, High, Web development, Advanced, Daily,9, Medium,3,2, Slow,5,0,53, High,49
7,45, Medium, Mobile app, Beginner, Weekly,8, Low,4,2, Moderate,6,0,39, Medium,33
6,71, High, Desktop app, Expert, Daily,7, High,5,1, Fast,7,1,56, High,50
13,41, Low, Web development, Advanced, Weekly,7, Medium,5,0, Slow,10,2,43, Low,71
6,34, Medium, Desktop app, Beginner, Daily,12, Low,5,2, Moderate,10,1,34, Medium,72
12,63, High, Web development, Expert, Weekly,4, High,2,0, Fast,7,1,45, High,67
10,72, Medium, Desktop app, Beginner, Weekly,12, Low,5,0, Moderate,6,3,43, Medium,35
10,57, High, Mobile app, Advanced, Daily,14, Medium,2,0, Slow,7,2,59, High,44
13,39, Low, Web development, Expert, Weekly,10, High,3,0, Fast,10,3,55, Low,69
8,69, Medium, Desktop app, Beginner, Daily,8, Low,4,2, Moderate,9,2,49, Medium,70
14,62, Low, Mobile app, Expert, Weekly,11, High,2,1, Fast,9,3,31, Low,45
9,62, High, Web development, Advanced, Daily,4, Medium,5,0, Slow,7,3,51, High,34
9,37, Medium, Mobile app, Beginner, Weekly,7, Low,2,1, Moderate,8,1,59, Medium,58
7,51, High, Desktop app, Expert, Daily,11, High,4,0, Fast,7,3,59, High,42
12,30, Low, Web development, Advanced, Weekly,7, Medium,3,0, Slow,6,2,31, Low,47
14,67, Medium, Desktop app, Beginner, Daily,5, Low,4,0, Moderate,9,2,56, Medium,32
13,50, High, Web development, Expert, Weekly,5, High,3,2, Fast,6,3,36, High,52
9,33, Low, Web development, Expert, Daily,5, High,2,2, Fast,9,0,42, Low,54
4,39, High, Mobile app, Advanced, Weekly,9, Medium,3,0, Slow,10,0,49, High,69
7,43, Medium, Desktop app, Beginner, Daily,9, Low,4,1, Moderate,5,0,38, Medium,70
7,32, High, Web development, Expert, Weekly,9, High,5,0, Fast,9,0,60, High,73
12,58, Low, Mobile app, Advanced, Daily,6, Medium,4,2, Slow,8,0,39, Low,45
8,36, High, Desktop app, Beginner, Weekly,4, Low,5,2, Moderate,8,3,48, High,69
11,79, Low, Web development, Expert, Daily,5, High,4,0, Fast,8,2,54, Low,73
11,50, Medium, Mobile app, Advanced, Weekly,13, Medium,3,2, Slow,5,1,51, Medium,38
4,69, Medium, Mobile app, Beginner, Weekly,13, Low,3,0, Moderate,6,0,54, Medium,53
11,43, High, Desktop app, Expert, Daily,11, High,3,0, Fast,6,0,53, High,48
13,65, Low, Web development, Advanced, Weekly,12, Medium,4,0, Slow,5,0,36, Low,73
9,46, Medium, Desktop app, Beginner, Daily,7, Low,3,0, Moderate,8,0,53, Medium,65
6,66, High, Web development, Expert, Weekly,6, High,5,0, Fast,7,1,50, High,57
4,38, Medium, Desktop app, Beginner, Weekly,9, Low,5,2, Moderate,10,3,38, Medium,72
4,41, High, Mobile app, Advanced, Daily,12, Medium,5,2, Slow,10,3,60, High,44
12,40, Low, Web development, Expert, Weekly,4, High,5,2, Fast,5,0,40, Low,40
5,74, Medium, Desktop app, Beginner, Daily,9, Low,5,1, Moderate,8,0,31, Medium,60
12,67, Low, Mobile app, Expert, Weekly,14, High,4,1, Fast,6,2,44, Low,48
14,36, High, Web development, Advanced, Daily,11, Medium,5,2, Slow,8,2,34, High,57
8,32, Medium, Mobile app, Beginner, Weekly,12, Low,3,1, Moderate,8,3,45, Medium,40
11,70, High, Desktop app, Expert, Daily,5, High,2,0, Fast,9,1,54, High,47
4,74, Low, Web development, Advanced, Weekly,4, Medium,3,0, Slow,10,2,43, Low,49
7,38, Medium, Desktop app, Beginner, Daily,6, Low,2,0, Moderate,9,1,32, Medium,35
6,67, High, Web development, Expert, Weekly,4, High,4,2, Fast,10,0,51, High,50
9,61, Low, Web development, Expert, Daily,4, High,3,1, Fast,8,2,53, Low,67
12,30, High, Mobile app, Advanced, Weekly,10, Medium,4,0, Slow,10,1,34, High,59
12,68, Medium, Desktop app, Beginner, Daily,5, Low,4,2, Moderate,5,1,51, Medium,37
4,35, High, Web development, Expert, Weekly,14, High,4,2, Fast,10,0,38, High,62
6,30, Low, Mobile app, Advanced, Daily,12, Medium,2,2, Slow,7,0,39, Low,73
12,66, High, Desktop app, Beginner, Weekly,5, Low,3,2, Moderate,7,2,56, High,46
4,30, Low, Web development, Expert, Daily,7, High,5,2, Fast,9,3,33, Low,58
7,54, Medium, Mobile app, Advanced, Weekly,8, Medium,4,2, Slow,8,3,30, Medium,64
11,59, High, Desktop app, Beginner, Weekly,9, Low,2,0, Moderate,7,3,43, High,44
6,32, Low, Web development, Expert, Daily,4, High,4,0, Fast,6,2,43, Low,41
7,54, Medium, Mobile app, Advanced, Weekly,12, Medium,4,1, Slow,8,2,30, Medium,33
12,40, Low, Web development, Expert, Daily,12, High,5,1, Fast,8,2,34, Low,37
8,42, Medium, Desktop app, Beginner, Weekly,11, Low,5,1, Moderate,9,0,39, Medium,73
13,58, High, Mobile app, Advanced, Daily,12, Medium,5,0, Slow,9,0,51, High,61
7,45, Low, Web development, Expert, Weekly,14, High,3,2, Fast,5,3,51, Low,34
7,46, Medium, Desktop app, Beginner, Daily,8, Low,5,0, Moderate,6,2,36, Medium,63
10,50, Low, Mobile app, Expert, Weekly,4, High,3,2, Fast,5,3,56, Low,45
4,45, High, Web development, Advanced, Daily,13, Medium,3,1, Slow,8,3,45, High,66
12,72, Medium, Mobile app, Beginner, Weekly,11, Low,5,1, Moderate,9,3,36, Medium,56
13,69, High, Desktop app, Expert, Daily,10, High,4,0, Fast,6,3,35, High,64
4,51, Low, Web development, Advanced, Weekly,12, Medium,3,2, Slow,9,2,48, Low,61
9,55, Medium, Desktop app, Beginner, Daily,5, Low,5,0, Moderate,10,3,40, Medium,72
11,61, High, Web development, Expert, Weekly,9, High,5,2, Fast,9,1,31, High,63
10,39, Medium, Desktop app, Beginner, Weekly,11, Low,2,1, Moderate,8,0,30, Medium,44
8,75, High, Mobile app, Advanced, Daily,9, Medium,3,2, Slow,9,2,47, High,34
5,57, Low, Web development, Expert, Weekly,14, High,4,0, Fast,7,3,37, Low,39
10,66, Medium, Desktop app, Beginner, Daily,14, Low,5,2, Moderate,10,1,33, Medium,61
5,56, Low, Mobile app, Expert, Weekly,5, High,4,2, Fast,6,3,55, Low,56
7,54, High, Web development, Advanced, Daily,14, Medium,5,2, Slow,5,1,48, High,48
4,30, Medium, Mobile app, Beginner, Weekly,8, Low,5,2, Moderate,8,3,45, Medium,45
5,65, High, Desktop app, Expert, Daily,8, High,3,0, Fast,7,1,33, High,36
11,64, Low, Web development, Advanced, Weekly,7, Medium,5,1, Slow,8,1,46, Low,35
14,62, Medium, Desktop app, Beginner, Daily,13, Low,5,2, Moderate,5,3,59, Medium,62
14,67, High, Web development, Expert, Weekly,6, High,5,0, Fast,8,0,37, High,47
