School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Los Angeles Center for Enriched Studies,94,Los Angeles Unified,Los Angeles,90035,Los Angeles County,Yes,No,Yes,No,1670,64.5,25.8,0.54,0.21,0.01,0.18,0.32,0,0
El Camino High,93.9,Ventura Unified,Ventura,93023,Ventura County,No,No,No,No,246,9,27.3,0.31,0.02,0,0.02,0.27,0,0.03
Anderson New Technology High,93.9,Anderson Union High,Anderson,96007,Shasta County,Yes,Yes,No,No,161,9.2,17.4,0.52,0.01,0.07,0.02,0.11,0,0.06
Aliso Niguel High,93.9,Capistrano Unified,Aliso Viejo,92656,Orange County,No,No,No,No,3043,113.6,26.7,0.19,0.02,0,0.16,0.2,0,0.08
California High,93.8,San Ramon Valley Unified,San Ramon,94583,Contra Costa County,No,No,No,No,2777,113.9,24.3,0.07,0.02,0,0.35,0.12,0,0.07
Portola High,93.8,Irvine Unified,Irvine,92618,Orange County,No,No,No,No,1382,52.7,26.2,0.19,0.02,0,0.63,0.08,0.01,0.05
Yorba Linda High,93.8,Placentia-Yorba Linda Unified,Yorba Linda,92886,Orange County,No,No,Yes,No,1818,68.4,26.5,0.13,0.01,0,0.24,0.18,0,0.04
Northcoast Preparatory and Performing Arts Academy,93.6,Northcoast Preparatory and Performing Arts Academy District,Arcata,95521,Humboldt County,Yes,Yes,No,No,194,12,16,0.28,0.02,0.03,0.05,0.06,0.01,0.08
University High,93.5,Irvine Unified,Irvine,92612,Orange County,No,No,No,No,2312,87.4,26.4,0.21,0.02,0,0.48,0.09,0,0.06
John Adams Academy - Roseville,93.5,John Adams Academy - Roseville District,Roseville,95678,Placer County,(n/a),Yes,No,No,1460,65,22.4,0.3,0.01,0,0.05,0.18,0,0.08
Rocklin High,93.5,Rocklin Unified,Rocklin,95765,Placer County,No,No,No,No,2177,95.2,22.8,0.14,0.02,0.01,0.11,0.15,0,0.07
Los Alamitos High,93.3,Los Alamitos Unified,Los Alamitos,90720,Orange County,No,No,No,No,3137,118.2,26.5,0.17,0.03,0,0.15,0.26,0.01,0.06
Santa Monica High,93.3,Santa Monica-Malibu Unified,Santa Monica,90405,Los Angeles County,No,No,No,No,2857,136.9,20.8,0.27,0.08,0,0.07,0.35,0,0.1
Valencia High,93.3,William S. Hart Union High,Valencia,91355,Los Angeles County,No,No,No,No,2868,120.1,23.8,0.16,0.05,0,0.19,0.25,0,0.08
Milpitas High,93.2,Milpitas Unified,Milpitas,95035,Santa Clara County,No,No,No,No,3177,129.2,24.5,0.31,0.02,0,0.68,0.2,0.01,0.04
Woodbridge High,93.2,Irvine Unified,Irvine,92604,Orange County,No,No,No,No,2466,95.2,25.8,0.22,0.03,0,0.4,0.11,0,0.06
New West Charter,93.1,New West Charter District,Los Angeles,90025,Los Angeles County,(n/a),Yes,No,No,887,42,21.1,0.35,0.06,0.01,0.08,0.26,0,0.08
Pleasant Grove High,93,Elk Grove Unified,Elk Grove,95624,Sacramento County,No,No,No,No,2560,110.3,23.2,0.26,0.05,0.01,0.29,0.2,0.01,0.08
Santa Susana High,92.9,Simi Valley Unified,Simi Valley,93063,Ventura County,No,No,Yes,No,1046,46,22.7,0.24,0.01,0,0.2,0.28,0,0.05
West High,92.8,Torrance Unified,Torrance,90503,Los Angeles County,No,No,No,No,2047,81.7,25,0.24,0.04,0,0.41,0.21,0,0.1
Arnold O. Beckman High,92.7,Tustin Unified,Irvine,92602,Orange County,No,No,Yes,No,3031,110.9,27.3,0.23,0.02,0,0.42,0.22,0,0.04
Pacific Grove High,92.6,Pacific Grove Unified,Pacific Grove,93950,Monterey County,No,No,No,No,621,35.8,17.3,0.2,0.03,0.01,0.14,0.19,0.01,0.01
Middle College High,92.5,Santa Ana Unified,Santa Ana,92706,Orange County,Yes,No,No,No,349,14.3,24.3,0.77,0,0,0.04,0.95,0,0
Mills High,92.4,San Mateo Union High,Millbrae,94030,San Mateo County,Yes,No,No,No,1182,57.9,20.4,0.21,0.01,0,0.56,0.19,0.03,0.2
La Jolla High,92.4,San Diego Unified,La Jolla,92037,San Diego County,No,No,No,No,1406,57,24.6,0.23,0.01,0,0.07,0.28,0,0.09
Math Science & Technology Magnet Academy at Roosevelt High,92.2,Los Angeles Unified,Los Angeles,90033,Los Angeles County,Yes,No,Yes,No,530,23.5,22.5,0.65,0,0,0,0.99,0,0
Meraki High,92.1,San Juan Unified,Fair Oaks,95628,Sacramento County,No,No,No,No,103,3.7,27.3,0.33,0.05,0,0.01,0.07,0,0.08
Arcadia High,92.1,Arcadia Unified,Arcadia,91007,Los Angeles County,No,No,No,No,3161,130.4,24.2,0.26,0.02,0,0.69,0.14,0,0.01
Huntington Beach High,92,Huntington Beach Union High,Huntington Beach,92648,Orange County,No,No,No,No,2983,110.6,26.9,0.18,0.01,0.01,0.14,0.2,0,0.08
Sherman Oaks Center for Enriched Studies,91.9,Los Angeles Unified,Reseda,91335,Los Angeles County,Yes,No,Yes,No,2087,74,28.1,0.55,0.04,0,0.2,0.36,0,0
Oak Ridge High,91.9,El Dorado Union High,El Dorado Hills,95762,El Dorado County,No,No,No,No,2461,98.1,25,0.07,0.01,0,0.13,0.13,0,0.06
Credo High,91.9,Credo High District,Rohnert Park,94928,Sonoma County,(n/a),Yes,No,No,400,21.1,18.9,0.31,0.01,0,0.03,0.1,0,0.12
Whitney High,91.9,Rocklin Unified,Rocklin,95765,Placer County,No,No,No,No,1959,86.3,22.6,0.16,0.02,0,0.14,0.17,0,0.08
Natomas Pacific Pathways Prep,91.9,Natomas Unified,Sacramento,95834,Sacramento County,No,Yes,Yes,No,619,32.9,18.7,0.48,0.06,0,0.44,0.27,0.02,0.05
Heritage High,91.8,Liberty Union High,Brentwood,94513,Contra Costa County,No,No,No,No,2589,110.5,23.4,0.18,0.1,0,0.18,0.24,0.01,0.05
John F. Kennedy High,91.8,Corona-Norco Unified,Norco,92860,Riverside County,No,No,No,No,620,22,28.1,0.4,0.06,0,0.16,0.45,0,0.02
Northgate High,91.8,Mt. Diablo Unified,Walnut Creek,94598,Contra Costa County,No,No,No,No,1490,67.5,22,0.12,0.01,0,0.2,0.13,0.01,0.11
Learning Post Academy (Alternative),91.8,William S. Hart Union High,Santa Clarita,91350,Los Angeles County,No,No,No,Yes,225,8,27.9,0.14,0.03,0,0.09,0.21,0,0.12
Design Science Middle College High,91.7,Fresno Unified,Fresno,93741,Fresno County,Yes,No,Yes,No,273,6.4,42.6,0.73,0.03,0,0.18,0.6,0,0.03
Vista del Lago High,91.7,Folsom-Cordova Unified,Folsom,95630,Sacramento County,No,No,No,No,1896,75.6,25,0.08,0.01,0.01,0.2,0.1,0,0.04
Great Oak High,91.7,Temecula Valley Unified,Temecula,92592,Riverside County,No,No,No,No,3161,121.5,26,0.18,0.04,0.02,0.12,0.28,0,0.11
Scotts Valley High,91.3,Scotts Valley Unified,Scotts Valley,95066,Santa Cruz County,No,No,No,No,818,36.9,22.1,0.1,0.01,0.01,0.07,0.14,0,0.08
Whitmore Charter High,91.1,Ceres Unified,Ceres,95307,Stanislaus County,No,Yes,No,No,142,9.6,14.7,0.27,0.01,0.01,0.1,0.32,0,0.06
Buchanan High,91.1,Clovis Unified,Clovis,93611,Fresno County,No,No,No,No,2726,109.7,24.8,0.3,0.03,0.01,0.14,0.29,0,0.03
Del Lago Academy - Campus of Applied Science,90.9,Escondido Union High,Escondido,92029,San Diego County,Yes,No,Yes,No,822,32,25.6,0.53,0.02,0,0.09,0.61,0,0.01
San Dieguito High School Academy,90.9,San Dieguito Union High,Encinitas,92024,San Diego County,No,No,No,No,1850,74.6,24.7,0.15,0,0,0.05,0.21,0,0.04
John A. Rowland High,90.9,Rowland Unified,Rowland Heights,91748,Los Angeles County,No,No,No,No,2017,79,25.5,0.63,0.01,0,0.51,0.42,0,0.02
Granada Hills Charter,90.8,Granada Hills Charter District,Granada Hills,91344,Los Angeles County,Yes,Yes,No,No,4698,179.4,26.1,0.52,0.04,0,0.27,0.4,0,0.03
EDUHSD Virtual Academy at Shenandoah,90.8,El Dorado Union High,El Dorado,95623,El Dorado County,No,Yes,No,Yes,110,4.5,24.4,0.14,0,0.01,0.01,0.13,0,0.09
