Offer_Id,Customer_Id,Time Spent,Starbucks App,Menu Choices,# Of surrounding coffee shops,Web Ad,Email Ad,Social Ad,Mobile Ad,Wash Rooms,Informational,Discount,Gender,Age,Became_Member_On,Income, Total_Amount 
B2,c27e0d6ab72c455a8bb66d980963de60,85,0,43,11,1,1,1,1,1,0,0,0,78,6/16/17,71000, $21.00 
I2,c27e0d6ab72c455a8bb66d980963de60,65,0,30,17,0,1,1,1,0,1,0,0,78,6/16/17,71000, $78.00 
D1,d53717f5400c4e84affdaeda9dd926b3,55,1,31,1,1,1,0,0,0,0,1,0,88,5/18/17,53000, $39.00 
D4,d53717f5400c4e84affdaeda9dd926b3,46,0,49,11,1,1,0,1,0,0,1,0,88,5/18/17,53000, $43.00 
I2,d53717f5400c4e84affdaeda9dd926b3,90,0,45,12,0,1,1,1,0,1,0,0,88,5/18/17,53000, $32.00 
D1,d53717f5400c4e84affdaeda9dd926b3,45,1,47,10,1,1,0,0,0,0,1,0,88,5/18/17,53000, $56.00 
D3,f806632c011441378d4646567f357a21,79,1,22,11,1,1,1,1,0,0,1,1,42,8/11/13,69000, $21.00 
B2,f806632c011441378d4646567f357a21,42,1,30,18,1,1,1,1,1,0,0,1,42,8/11/13,69000, $73.00 
D3,f806632c011441378d4646567f357a21,25,1,36,17,1,1,1,1,0,0,1,1,42,8/11/13,69000, $42.00 
I1,f806632c011441378d4646567f357a21,31,0,44,6,1,1,0,1,0,1,0,1,42,8/11/13,69000, $15.00 
D1,d058f73bf8674a26a95227db098147b1,34,1,47,1,1,1,0,0,0,0,1,0,56,4/28/18,88000, $55.00 
D4,d058f73bf8674a26a95227db098147b1,54,1,39,0,1,1,0,1,0,0,1,0,56,4/28/18,88000, $39.00 
D1,d058f73bf8674a26a95227db098147b1,33,1,39,13,1,1,0,0,0,0,1,0,56,4/28/18,88000, $31.00 
B2,d058f73bf8674a26a95227db098147b1,88,1,49,11,1,1,1,1,1,0,0,0,56,4/28/18,88000, $17.00 
B3,d058f73bf8674a26a95227db098147b1,85,0,24,20,1,1,0,1,1,0,0,0,56,4/28/18,88000, $42.00 
B3,d058f73bf8674a26a95227db098147b1,13,0,28,13,1,1,0,1,1,0,0,0,56,4/28/18,88000, $18.00 
B3,ebe7ef46ea6f4963a7dd49f501b26779,81,0,33,13,1,1,0,1,1,0,0,1,59,1/21/15,41000, $58.00 
D3,ebe7ef46ea6f4963a7dd49f501b26779,89,1,23,0,1,1,1,1,0,0,1,1,59,1/21/15,41000, $66.00 
I2,ebe7ef46ea6f4963a7dd49f501b26779,51,0,48,7,0,1,1,1,0,1,0,1,59,1/21/15,41000, $31.00 
D4,ebe7ef46ea6f4963a7dd49f501b26779,34,1,45,3,1,1,0,1,0,0,1,1,59,1/21/15,41000, $22.00 
I2,ebe7ef46ea6f4963a7dd49f501b26779,35,0,41,6,0,1,1,1,0,1,0,1,59,1/21/15,41000, $22.00 
B3,ebe7ef46ea6f4963a7dd49f501b26779,33,0,43,20,1,1,0,1,1,0,0,1,59,1/21/15,41000, $55.00 
B1,1e9420836d554513ab90eba98552d0a9,54,0,32,16,0,1,1,1,1,0,0,1,22,9/25/17,70000, $69.00 
B2,1e9420836d554513ab90eba98552d0a9,62,1,27,13,1,1,1,1,1,0,0,1,22,9/25/17,70000, $53.00 
B2,1e9420836d554513ab90eba98552d0a9,43,1,32,2,1,1,1,1,1,0,0,1,22,9/25/17,70000, $11.00 
D2,1e9420836d554513ab90eba98552d0a9,74,1,35,6,1,1,1,1,0,0,1,1,22,9/25/17,70000, $48.00 
I1,1e9420836d554513ab90eba98552d0a9,20,1,51,20,1,1,0,1,0,1,0,1,22,9/25/17,70000, $7.00 
D1,1e9420836d554513ab90eba98552d0a9,46,1,52,17,1,1,0,0,0,0,1,1,22,9/25/17,70000, $85.00 
D4,868317b9be554cb18e50bc68484749a2,75,0,44,20,1,1,0,1,0,0,1,0,96,11/17/17,89000, $85.00 
I2,868317b9be554cb18e50bc68484749a2,90,0,43,12,0,1,1,1,0,1,0,0,96,11/17/17,89000, $31.00 
B3,868317b9be554cb18e50bc68484749a2,37,1,45,2,1,1,0,1,1,0,0,0,96,11/17/17,89000, $49.00 
B4,868317b9be554cb18e50bc68484749a2,69,1,41,13,1,1,1,1,1,0,0,0,96,11/17/17,89000, $59.00 
D2,868317b9be554cb18e50bc68484749a2,68,0,21,14,1,1,1,1,0,0,1,0,96,11/17/17,89000, $11.00 
B3,f082d80f0aac47a99173ba8ef8fc1909,16,1,37,20,1,1,0,1,1,0,0,1,40,7/9/16,33000, $69.00 
I2,f082d80f0aac47a99173ba8ef8fc1909,68,0,22,20,0,1,1,1,0,1,0,1,40,7/9/16,33000, $58.00 
B1,f082d80f0aac47a99173ba8ef8fc1909,75,0,33,16,0,1,1,1,1,0,0,1,40,7/9/16,33000, $45.00 
B4,f082d80f0aac47a99173ba8ef8fc1909,7,0,35,18,1,1,1,1,1,0,0,1,40,7/9/16,33000, $78.00 
B3,f082d80f0aac47a99173ba8ef8fc1909,65,0,28,2,1,1,0,1,1,0,0,1,40,7/9/16,33000, $84.00 
B3,f082d80f0aac47a99173ba8ef8fc1909,33,0,43,15,1,1,0,1,1,0,0,1,40,7/9/16,33000, $54.00 
B2,102e9454054946fda62242d2e176fdce,25,1,39,20,1,1,1,1,1,0,0,0,69,8/14/16,57000, $54.00 
I1,102e9454054946fda62242d2e176fdce,33,0,48,3,1,1,0,1,0,1,0,0,69,8/14/16,57000, $83.00 
B3,102e9454054946fda62242d2e176fdce,39,1,46,1,1,1,0,1,1,0,0,0,69,8/14/16,57000, $14.00 
I2,102e9454054946fda62242d2e176fdce,81,0,31,7,0,1,1,1,0,1,0,0,69,8/14/16,57000, $33.00 
B3,102e9454054946fda62242d2e176fdce,55,1,46,10,1,1,0,1,1,0,0,0,69,8/14/16,57000, $33.00 
B1,102e9454054946fda62242d2e176fdce,53,1,44,8,0,1,1,1,1,0,0,0,69,8/14/16,57000, $18.00 
D2,9f30b375d7bd4c62a884ffe7034e09ee,28,1,52,13,1,1,1,1,0,0,1,0,26,8/12/17,63000, $54.00 
I2,9f30b375d7bd4c62a884ffe7034e09ee,50,0,41,15,0,1,1,1,0,1,0,0,26,8/12/17,63000, $34.00 
D3,9f30b375d7bd4c62a884ffe7034e09ee,71,1,37,13,1,1,1,1,0,0,1,0,26,8/12/17,63000, $19.00 
B4,6e014185620b49bd98749f728747572f,20,1,22,18,1,1,1,1,1,0,0,1,75,11/12/15,40000, $24.00 
D4,6e014185620b49bd98749f728747572f,25,1,23,8,1,1,0,1,0,0,1,1,75,11/12/15,40000, $44.00 
D2,6e014185620b49bd98749f728747572f,70,1,45,18,1,1,1,1,0,0,1,1,75,11/12/15,40000, $38.00 
D4,6e014185620b49bd98749f728747572f,77,0,27,4,1,1,0,1,0,0,1,1,75,11/12/15,40000, $79.00 
B1,02c083884c7d45b39cc68e1314fec56c,52,0,25,17,0,1,1,1,1,0,0,0,20,7/11/16,30000, $22.00 
D1,02c083884c7d45b39cc68e1314fec56c,15,0,25,18,1,1,0,0,0,0,1,0,20,7/11/16,30000, $38.00 
B3,c0d210398dee4a0895b24444a5fcd1d2,8,1,24,20,1,1,0,1,1,0,0,1,45,7/7/18,33000, $64.00 
D2,c0d210398dee4a0895b24444a5fcd1d2,33,1,38,12,1,1,1,1,0,0,1,1,45,7/7/18,33000, $70.00 
B2,c0d210398dee4a0895b24444a5fcd1d2,30,1,33,6,1,1,1,1,1,0,0,1,45,7/7/18,33000, $20.00 
I1,c0d210398dee4a0895b24444a5fcd1d2,69,0,31,15,1,1,0,1,0,1,0,1,45,7/7/18,33000, $29.00 
B2,c0d210398dee4a0895b24444a5fcd1d2,56,0,26,0,1,1,1,1,1,0,0,1,45,7/7/18,33000, $20.00 
B3,57dd18ec5ddc46828afb81ec5977bef2,64,0,47,0,1,1,0,1,1,0,0,0,54,2/7/17,80000, $25.00 
I2,57dd18ec5ddc46828afb81ec5977bef2,64,0,40,8,0,1,1,1,0,1,0,0,54,2/7/17,80000, $21.00 
B2,57dd18ec5ddc46828afb81ec5977bef2,31,1,41,9,1,1,1,1,1,0,0,0,54,2/7/17,80000, $68.00 
I1,57dd18ec5ddc46828afb81ec5977bef2,58,0,25,9,1,1,0,1,0,1,0,0,54,2/7/17,80000, $41.00 
B4,57dd18ec5ddc46828afb81ec5977bef2,35,1,32,20,1,1,1,1,1,0,0,0,54,2/7/17,80000, $84.00 
D3,57dd18ec5ddc46828afb81ec5977bef2,58,1,51,14,1,1,1,1,0,0,1,0,54,2/7/17,80000, $41.00 
I2,be8a5d1981a2458d90b255ddc7e0d174,64,0,50,15,0,1,1,1,0,1,0,1,39,5/27/14,51000, $43.00 
B4,be8a5d1981a2458d90b255ddc7e0d174,88,1,32,3,1,1,1,1,1,0,0,1,39,5/27/14,51000, $30.00 
B2,be8a5d1981a2458d90b255ddc7e0d174,34,0,26,10,1,1,1,1,1,0,0,1,39,5/27/14,51000, $18.00 
I1,be8a5d1981a2458d90b255ddc7e0d174,27,0,34,19,1,1,0,1,0,1,0,1,39,5/27/14,51000, $66.00 
D1,be8a5d1981a2458d90b255ddc7e0d174,8,0,35,1,1,1,0,0,0,0,1,1,39,5/27/14,51000, $72.00 
B3,a3b9b4bf115e4564933ea2e4bc936843,26,0,40,14,1,1,0,1,1,0,0,0,79,4/15/15,48000, $61.00 
D4,a3b9b4bf115e4564933ea2e4bc936843,30,0,45,2,1,1,0,1,0,0,1,0,79,4/15/15,48000, $61.00 
B1,a3b9b4bf115e4564933ea2e4bc936843,20,1,37,19,0,1,1,1,1,0,0,0,79,4/15/15,48000, $67.00 
D4,a3b9b4bf115e4564933ea2e4bc936843,89,0,23,19,1,1,0,1,0,0,1,0,79,4/15/15,48000, $44.00 
B2,7584948ea6d04f94b8798624706261c2,73,0,43,3,1,1,1,1,1,0,0,0,66,4/8/18,38000, $29.00 
I2,7584948ea6d04f94b8798624706261c2,90,0,44,10,0,1,1,1,0,1,0,0,66,4/8/18,38000, $45.00 
B1,7584948ea6d04f94b8798624706261c2,21,0,23,14,0,1,1,1,1,0,0,0,66,4/8/18,38000, $41.00 
B3,7584948ea6d04f94b8798624706261c2,67,1,34,12,1,1,0,1,1,0,0,0,66,4/8/18,38000, $78.00 
D3,9c64321646bf40f6ad1bc98864eaa6b8,35,1,40,10,1,1,1,1,0,0,1,0,48,10/14/16,53000, $77.00 
D4,9c64321646bf40f6ad1bc98864eaa6b8,86,1,39,15,1,1,0,1,0,0,1,0,48,10/14/16,53000, $17.00 
D1,9c64321646bf40f6ad1bc98864eaa6b8,46,1,44,19,1,1,0,0,0,0,1,0,48,10/14/16,53000, $59.00 
B2,9c64321646bf40f6ad1bc98864eaa6b8,24,1,51,14,1,1,1,1,1,0,0,0,48,10/14/16,53000, $15.00 
B1,676506bad68e4161b9bbaffeb039626b,67,1,49,19,0,1,1,1,1,0,0,1,37,5/15/17,92000, $35.00 
D1,676506bad68e4161b9bbaffeb039626b,57,1,51,20,1,1,0,0,0,0,1,1,37,5/15/17,92000, $59.00 
B3,676506bad68e4161b9bbaffeb039626b,51,1,24,0,1,1,0,1,1,0,0,1,37,5/15/17,92000, $46.00 
D4,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,16,1,29,19,1,1,0,1,0,0,1,1,42,1/17/16,96000, $17.00 
D2,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,8,1,49,9,1,1,1,1,0,0,1,1,42,1/17/16,96000, $34.00 
D1,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,26,1,47,0,1,1,0,0,0,0,1,1,42,1/17/16,96000, $29.00 
B2,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,88,1,34,13,1,1,1,1,1,0,0,1,42,1/17/16,96000, $80.00 
B3,32fbf97e89274e8a935903f2ad095e1f,63,1,24,17,1,1,0,1,1,0,0,1,73,12/12/17,38000, $47.00 
D1,32fbf97e89274e8a935903f2ad095e1f,22,1,47,11,1,1,0,0,0,0,1,1,73,12/12/17,38000, $35.00 
B3,32fbf97e89274e8a935903f2ad095e1f,73,1,45,12,1,1,0,1,1,0,0,1,73,12/12/17,38000, $25.00 
D1,32fbf97e89274e8a935903f2ad095e1f,88,1,49,7,1,1,0,0,0,0,1,1,73,12/12/17,38000, $57.00 
I2,32fbf97e89274e8a935903f2ad095e1f,25,1,40,5,0,1,1,1,0,1,0,1,73,12/12/17,38000, $72.00 
B1,fe8264108d5b4f198453bbb1fa7ca6c9,21,1,32,11,0,1,1,1,1,0,0,0,78,10/9/16,93000, $75.00 
D1,fe8264108d5b4f198453bbb1fa7ca6c9,23,1,24,5,1,1,0,0,0,0,1,0,78,10/9/16,93000, $52.00 
B2,fe8264108d5b4f198453bbb1fa7ca6c9,84,1,37,16,1,1,1,1,1,0,0,0,78,10/9/16,93000, $49.00 
D3,fe8264108d5b4f198453bbb1fa7ca6c9,10,1,23,6,1,1,1,1,0,0,1,0,78,10/9/16,93000, $53.00 
B4,fe8264108d5b4f198453bbb1fa7ca6c9,12,1,25,6,1,1,1,1,1,0,0,0,78,10/9/16,93000, $6.00 
B4,b7a66e629b134079a9bc7120c7b9947b,66,1,49,16,1,1,1,1,1,0,0,1,44,9/24/17,35000, $79.00 
D2,b7a66e629b134079a9bc7120c7b9947b,73,1,48,20,1,1,1,1,0,0,1,1,44,9/24/17,35000, $66.00 
D2,b7a66e629b134079a9bc7120c7b9947b,14,1,44,3,1,1,1,1,0,0,1,1,44,9/24/17,35000, $29.00 
D3,b7a66e629b134079a9bc7120c7b9947b,64,1,45,17,1,1,1,1,0,0,1,1,44,9/24/17,35000, $37.00 
D4,ca82e1ebc759402c8ab95c341755bdf1,56,1,35,14,1,1,0,1,0,0,1,1,63,7/13/18,56000, $47.00 
D3,ca82e1ebc759402c8ab95c341755bdf1,28,1,33,13,1,1,1,1,0,0,1,1,63,7/13/18,56000, $15.00 
B1,ca82e1ebc759402c8ab95c341755bdf1,25,1,42,16,0,1,1,1,1,0,0,1,63,7/13/18,56000, $27.00 
B2,e8fe7ffcf1634713a819d48447737c90,77,0,46,0,1,1,1,1,1,0,0,1,27,10/26/17,44000, $25.00 
D1,e8fe7ffcf1634713a819d48447737c90,69,0,32,18,1,1,0,0,0,0,1,1,27,10/26/17,44000, $56.00 
B3,e8fe7ffcf1634713a819d48447737c90,15,0,42,13,1,1,0,1,1,0,0,1,27,10/26/17,44000, $19.00 
D3,e8fe7ffcf1634713a819d48447737c90,45,1,29,12,1,1,1,1,0,0,1,1,27,10/26/17,44000, $30.00 
D3,e8fe7ffcf1634713a819d48447737c90,51,1,46,1,1,1,1,1,0,0,1,1,27,10/26/17,44000, $34.00 
B4,d3f146b615514c6380b168bb3df5f05b,61,1,24,5,1,1,1,1,1,0,0,1,68,8/23/17,87000, $63.00 
B4,d3f146b615514c6380b168bb3df5f05b,16,1,35,19,1,1,1,1,1,0,0,1,68,8/23/17,87000, $26.00 
B2,d3f146b615514c6380b168bb3df5f05b,18,1,24,6,1,1,1,1,1,0,0,1,68,8/23/17,87000, $63.00 
D4,d3f146b615514c6380b168bb3df5f05b,19,1,21,9,1,1,0,1,0,0,1,1,68,8/23/17,87000, $73.00 
D2,d3f146b615514c6380b168bb3df5f05b,15,1,35,8,1,1,1,1,0,0,1,1,68,8/23/17,87000, $70.00 
I2,a5a6ef2b78a04ddc9f374dd7c7f60bff,9,0,48,18,0,1,1,1,0,1,0,1,75,11/29/15,52000, $46.00 
D4,a5a6ef2b78a04ddc9f374dd7c7f60bff,42,1,26,9,1,1,0,1,0,0,1,1,75,11/29/15,52000, $43.00 
B3,a5a6ef2b78a04ddc9f374dd7c7f60bff,64,1,50,1,1,1,0,1,1,0,0,1,75,11/29/15,52000, $49.00 
D2,2e87ba0fba1a4d1a8614af771f07a94d,21,1,40,16,1,1,1,1,0,0,1,1,67,2/26/17,76000, $82.00 
D2,2e87ba0fba1a4d1a8614af771f07a94d,59,1,35,9,1,1,1,1,0,0,1,1,67,2/26/17,76000, $53.00 
D3,2e87ba0fba1a4d1a8614af771f07a94d,32,1,22,5,1,1,1,1,0,0,1,1,67,2/26/17,76000, $28.00 
B4,2e87ba0fba1a4d1a8614af771f07a94d,88,1,22,0,1,1,1,1,1,0,0,1,67,2/26/17,76000, $22.00 
I2,2e87ba0fba1a4d1a8614af771f07a94d,81,0,36,8,0,1,1,1,0,1,0,1,67,2/26/17,76000, $20.00 
B1,39dbcf43e24d41f4bbf0f134157e0e1e,43,0,26,0,0,1,1,1,1,0,0,1,76,8/31/14,64000, $42.00 
D4,39dbcf43e24d41f4bbf0f134157e0e1e,61,1,33,14,1,1,0,1,0,0,1,1,76,8/31/14,64000, $84.00 
I2,39dbcf43e24d41f4bbf0f134157e0e1e,47,0,35,18,0,1,1,1,0,1,0,1,76,8/31/14,64000, $73.00 
D2,8c7df0c393db488aac3e58b06a7ea5f9,84,1,29,14,1,1,1,1,0,0,1,0,53,7/6/16,72000, $47.00 
B1,8c7df0c393db488aac3e58b06a7ea5f9,30,1,29,13,0,1,1,1,1,0,0,0,53,7/6/16,72000, $64.00 
D4,8c7df0c393db488aac3e58b06a7ea5f9,70,1,37,8,1,1,0,1,0,0,1,0,53,7/6/16,72000, $37.00 
I2,8c7df0c393db488aac3e58b06a7ea5f9,81,1,49,13,0,1,1,1,0,1,0,0,53,7/6/16,72000, $61.00 
D4,8c7df0c393db488aac3e58b06a7ea5f9,42,1,45,10,1,1,0,1,0,0,1,0,53,7/6/16,72000, $31.00 
B2,8c7df0c393db488aac3e58b06a7ea5f9,79,1,32,14,1,1,1,1,1,0,0,0,53,7/6/16,72000, $38.00 
B2,3a1242dda16248728e350c4bdeb21972,13,1,50,0,1,1,1,1,1,0,0,0,53,12/31/16,117000, $35.00 
B3,3a1242dda16248728e350c4bdeb21972,45,1,35,10,1,1,0,1,1,0,0,0,53,12/31/16,117000, $19.00 
B1,3a1242dda16248728e350c4bdeb21972,76,1,25,0,0,1,1,1,1,0,0,0,53,12/31/16,117000, $49.00 
D3,3a1242dda16248728e350c4bdeb21972,39,1,50,14,1,1,1,1,0,0,1,0,53,12/31/16,117000, $31.00 
B2,3a1242dda16248728e350c4bdeb21972,28,1,37,14,1,1,1,1,1,0,0,0,53,12/31/16,117000, $66.00 
B4,8045834137dc47faa24f2c4547969f33,48,0,49,10,1,1,1,1,1,0,0,0,53,10/26/17,55000, $13.00 
B4,8045834137dc47faa24f2c4547969f33,37,0,47,7,1,1,1,1,1,0,0,0,53,10/26/17,55000, $83.00 
D4,8045834137dc47faa24f2c4547969f33,15,0,39,14,1,1,0,1,0,0,1,0,53,10/26/17,55000, $10.00 
D1,8045834137dc47faa24f2c4547969f33,60,0,49,12,1,1,0,0,0,0,1,0,53,10/26/17,55000, $21.00 
D3,8045834137dc47faa24f2c4547969f33,54,1,44,10,1,1,1,1,0,0,1,0,53,10/26/17,55000, $37.00 
D4,fb98ebe9e3e14afaa5b5db182b00b7ec,17,0,40,3,1,1,0,1,0,0,1,0,61,11/10/17,112000, $81.00 
D3,fb98ebe9e3e14afaa5b5db182b00b7ec,83,0,34,3,1,1,1,1,0,0,1,0,61,11/10/17,112000, $21.00 
D3,fb98ebe9e3e14afaa5b5db182b00b7ec,68,1,42,11,1,1,1,1,0,0,1,0,61,11/10/17,112000, $85.00 
D2,fb98ebe9e3e14afaa5b5db182b00b7ec,89,1,26,3,1,1,1,1,0,0,1,0,61,11/10/17,112000, $81.00 
I1,fb98ebe9e3e14afaa5b5db182b00b7ec,82,1,47,6,1,1,0,1,0,1,0,0,61,11/10/17,112000, $58.00 
B4,99e9a1916821461ebd5d5048dc2dff7d,29,1,52,14,1,1,1,1,1,0,0,0,58,1/25/18,85000, $37.00 
D3,99e9a1916821461ebd5d5048dc2dff7d,82,1,27,14,1,1,1,1,0,0,1,0,58,1/25/18,85000, $76.00 
D1,99e9a1916821461ebd5d5048dc2dff7d,20,1,30,12,1,1,0,0,0,0,1,0,58,1/25/18,85000, $38.00 
D3,99e9a1916821461ebd5d5048dc2dff7d,80,1,49,7,1,1,1,1,0,0,1,0,58,1/25/18,85000, $69.00 
B1,3f244f4dea654688ace14acb4f0257bb,86,0,33,13,0,1,1,1,1,0,0,1,66,7/3/18,71000, $35.00 
D3,3f244f4dea654688ace14acb4f0257bb,59,1,45,5,1,1,1,1,0,0,1,1,66,7/3/18,71000, $71.00 
I2,3f244f4dea654688ace14acb4f0257bb,48,1,36,9,0,1,1,1,0,1,0,1,66,7/3/18,71000, $57.00 
D2,3f244f4dea654688ace14acb4f0257bb,73,1,21,20,1,1,1,1,0,0,1,1,66,7/3/18,71000, $24.00 
I2,6e04a90a0e074496b5f229eb1f553433,41,0,40,15,0,1,1,1,0,1,0,1,27,1/10/18,35000, $84.00 
I2,6e04a90a0e074496b5f229eb1f553433,58,0,49,18,0,1,1,1,0,1,0,1,27,1/10/18,35000, $76.00 
D3,6e04a90a0e074496b5f229eb1f553433,76,1,50,1,1,1,1,1,0,0,1,1,27,1/10/18,35000, $51.00 
D1,6e04a90a0e074496b5f229eb1f553433,40,1,35,17,1,1,0,0,0,0,1,1,27,1/10/18,35000, $67.00 
B4,6e04a90a0e074496b5f229eb1f553433,43,0,22,9,1,1,1,1,1,0,0,1,27,1/10/18,35000, $40.00 
B4,262ad0fb526a4d53b572007da60cce24,86,0,46,15,1,1,1,1,1,0,0,1,40,2/27/18,53000, $27.00 
B4,262ad0fb526a4d53b572007da60cce24,31,0,34,3,1,1,1,1,1,0,0,1,40,2/27/18,53000, $46.00 
I2,262ad0fb526a4d53b572007da60cce24,74,0,32,8,0,1,1,1,0,1,0,1,40,2/27/18,53000, $65.00 
I1,262ad0fb526a4d53b572007da60cce24,8,0,38,16,1,1,0,1,0,1,0,1,40,2/27/18,53000, $51.00 
I2,a2b7a0b3487a4d779ddf4e11a034e2ee,26,0,24,11,0,1,1,1,0,1,0,0,73,4/19/18,91000, $58.00 
D2,a2b7a0b3487a4d779ddf4e11a034e2ee,41,1,35,18,1,1,1,1,0,0,1,0,73,4/19/18,91000, $66.00 
B4,a2b7a0b3487a4d779ddf4e11a034e2ee,39,1,29,2,1,1,1,1,1,0,0,0,73,4/19/18,91000, $53.00 
B1,a2b7a0b3487a4d779ddf4e11a034e2ee,29,1,29,2,0,1,1,1,1,0,0,0,73,4/19/18,91000, $36.00 
D4,a2b7a0b3487a4d779ddf4e11a034e2ee,80,0,26,6,1,1,0,1,0,0,1,0,73,4/19/18,91000, $48.00 
I1,2c5c63e5124e417b8504f76c868a4190,8,0,38,7,1,1,0,1,0,1,0,0,74,12/24/15,107000, $6.00 
