Rank,School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
11,Chattahoochee High School,https://www.schooldigger.com/go/GA/schools/0228002172/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Alpharetta,https://www.schooldigger.com/go/GA/city/Alpharetta/search.aspx,30022,Fulton,(470) 254-7600,9,12,No,No,No,No,1960,113.7,17.2,0.11,0.14,0.00,0.24,0.09,0.00,0.05,0.48,91
12,Buford High School,https://www.schooldigger.com/go/GA/schools/0060000274/school.aspx,Buford City,https://www.schooldigger.com/go/GA/district/00600/search.aspx,Buford,https://www.schooldigger.com/go/GA/city/Buford/search.aspx,30518,Gwinnett,(770) 945-6768,9,12,No,No,No,No,1361,77.1,17.6,0.33,0.13,0.00,0.02,0.25,0.00,0.04,0.55,90.2
13,Cambridge High School,https://www.schooldigger.com/go/GA/schools/0228004099/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Milton,https://www.schooldigger.com/go/GA/city/Milton/search.aspx,30004,Fulton,(470) 254-2883,9,12,No,No,No,No,1987,106.9,18.5,0.06,0.10,0.00,0.10,0.08,0.00,0.03,0.70,90.2
14,Harrison High School,https://www.schooldigger.com/go/GA/schools/0129002153/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Kennesaw,https://www.schooldigger.com/go/GA/city/Kennesaw/search.aspx,30152,Cobb,(678) 594-8104,9,12,No,No,No,No,2046,104,19.6,0.09,0.11,0.00,0.02,0.06,0.00,0.03,0.79,90
15,Northview High School,https://www.schooldigger.com/go/GA/schools/0228002560/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Duluth,https://www.schooldigger.com/go/GA/city/Duluth/search.aspx,30097,Fulton,(470) 254-3828,9,12,No,No,No,No,1822,97.7,18.6,0.07,0.12,0.00,0.50,0.05,0.00,0.03,0.30,89.9
16,South Forsyth High School,https://www.schooldigger.com/go/GA/schools/0222001897/school.aspx,Forsyth County,https://www.schooldigger.com/go/GA/district/02220/search.aspx,Cumming,https://www.schooldigger.com/go/GA/city/Cumming/search.aspx,30041,Forsyth,(770) 781-2264,9,12,No,No,No,No,3206,176.4,18.1,0.09,0.04,0.00,0.19,0.11,0.00,0.03,0.63,89.8
17,DeKalb School of the Arts,https://www.schooldigger.com/go/GA/schools/0174003884/school.aspx,Dekalb County,https://www.schooldigger.com/go/GA/district/01740/search.aspx,Avondale Estates,https://www.schooldigger.com/go/GA/city/Avondale+Estates/search.aspx,30002,DeKalb,(678) 676-2502,8,12,No,No,No,No,408,29,14,0.22,0.60,0.00,0.03,0.03,0.00,0.04,0.32,89.6
18,Savannah Arts Academy,https://www.schooldigger.com/go/GA/schools/0102002245/school.aspx,Savannah-Chatham County,https://www.schooldigger.com/go/GA/district/01020/search.aspx,Savannah,https://www.schooldigger.com/go/GA/city/Savannah/search.aspx,31405,Chatham,(912) 395-5000,9,12,No,No,No,No,892,56.1,15.9,0.11,0.15,0.00,0.07,0.04,0.00,0.06,0.68,89.2
19,Alpharetta High School,https://www.schooldigger.com/go/GA/schools/0228003364/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Alpharetta,https://www.schooldigger.com/go/GA/city/Alpharetta/search.aspx,30005,Fulton,(470) 254-7640,9,12,No,No,No,No,2152,116.7,18.4,0.12,0.20,0.00,0.18,0.10,0.00,0.04,0.47,88.2
20,Starrs Mill High School,https://www.schooldigger.com/go/GA/schools/0213002165/school.aspx,Fayette County,https://www.schooldigger.com/go/GA/district/02130/search.aspx,Fayetteville,https://www.schooldigger.com/go/GA/city/Fayetteville/search.aspx,30215,Fayette,(770) 486-2710,9,12,No,No,No,No,1418,88.5,16,0.08,0.09,0.00,0.05,0.07,0.00,0.04,0.76,88.1
21,North Oconee High School,https://www.schooldigger.com/go/GA/schools/0396003437/school.aspx,Oconee County,https://www.schooldigger.com/go/GA/district/03960/search.aspx,Bogart,https://www.schooldigger.com/go/GA/city/Bogart/search.aspx,30622,Oconee,(706) 769-7760,9,12,No,No,No,No,1268,70.3,18,0.17,0.04,0.00,0.08,0.07,0.00,0.02,0.78,87.9
22,Jefferson High School,https://www.schooldigger.com/go/GA/schools/0303001260/school.aspx,Jefferson City,https://www.schooldigger.com/go/GA/district/03030/search.aspx,Jefferson,https://www.schooldigger.com/go/GA/city/Jefferson/search.aspx,30549,Jackson,(706) 367-2881,9,12,No,No,No,No,1071,61.6,17.3,0.23,0.08,0.00,0.02,0.08,0.00,0.03,0.79,87.4
23,Hillgrove High School,https://www.schooldigger.com/go/GA/schools/0129003649/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Powder Springs,https://www.schooldigger.com/go/GA/city/Powder+Springs/search.aspx,30127,Cobb,(678) 331-3961,9,12,No,No,No,No,2466,113,21.8,0.20,0.35,0.00,0.03,0.09,0.00,0.04,0.50,87.3
24,Johns Creek High School,https://www.schooldigger.com/go/GA/schools/0228003935/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Johns Creek,https://www.schooldigger.com/go/GA/city/Johns+Creek/search.aspx,30022,Fulton,(470) 254-2138,9,12,No,No,No,No,2090,110.6,18.8,0.08,0.09,0.00,0.25,0.07,0.00,0.02,0.57,87.2
25,Oconee County High School,https://www.schooldigger.com/go/GA/schools/0396000148/school.aspx,Oconee County,https://www.schooldigger.com/go/GA/district/03960/search.aspx,Watkinsville,https://www.schooldigger.com/go/GA/city/Watkinsville/search.aspx,30677,Oconee,(706) 769-6655,9,12,No,No,No,No,1158,67.6,17.1,0.18,0.07,0.00,0.03,0.06,0.00,0.02,0.82,86.5
26,Milton High School,https://www.schooldigger.com/go/GA/schools/0228001005/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Alpharetta,https://www.schooldigger.com/go/GA/city/Alpharetta/search.aspx,30004,Fulton,(470) 254-7000,9,12,No,No,No,No,2298,120.7,19,0.12,0.11,0.00,0.10,0.11,0.00,0.03,0.64,86.1
27,Mill Creek High School,https://www.schooldigger.com/go/GA/schools/0255003376/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Hoschton,https://www.schooldigger.com/go/GA/city/Hoschton/search.aspx,30548,Jackson,(678) 714-5850,9,12,No,No,No,No,3759,193.5,19.4,0.20,0.18,0.00,0.08,0.13,0.00,0.04,0.57,86
28,Brookwood High School,https://www.schooldigger.com/go/GA/schools/0255001906/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Snellville,https://www.schooldigger.com/go/GA/city/Snellville/search.aspx,30078,Gwinnett,(770) 972-7642,9,12,No,No,No,No,3502,178.3,19.6,0.28,0.27,0.00,0.16,0.14,0.00,0.04,0.38,85.9
29,West Forsyth High School,https://www.schooldigger.com/go/GA/schools/0222003354/school.aspx,Forsyth County,https://www.schooldigger.com/go/GA/district/02220/search.aspx,Cumming,https://www.schooldigger.com/go/GA/city/Cumming/search.aspx,30040,Forsyth,(770) 888-3470,9,12,No,No,No,No,2600,140.9,18.4,0.11,0.03,0.01,0.04,0.11,0.00,0.03,0.78,85.9
30,Elite Scholars Academy School,https://www.schooldigger.com/go/GA/schools/0123003896/school.aspx,Clayton County,https://www.schooldigger.com/go/GA/district/01230/search.aspx,Jonesboro,https://www.schooldigger.com/go/GA/city/Jonesboro/search.aspx,30236,Clayton,(770) 472-2823,6,12,Yes,No,No,No,598,33.4,17.9,1.00,0.79,0.00,0.04,0.14,0.00,0.02,0.01,83.7
31,Greenbrier High School,https://www.schooldigger.com/go/GA/schools/0141001501/school.aspx,Columbia County,https://www.schooldigger.com/go/GA/district/01410/search.aspx,Evans,https://www.schooldigger.com/go/GA/city/Evans/search.aspx,30809,Columbia,(706) 650-6040,9,12,No,No,No,No,1673,88.7,18.8,0.10,0.14,0.00,0.03,0.06,0.00,0.04,0.73,83.4
32,Decatur High School,https://www.schooldigger.com/go/GA/schools/0168000802/school.aspx,City Schools of Decatur,https://www.schooldigger.com/go/GA/district/01680/search.aspx,Decatur,https://www.schooldigger.com/go/GA/city/Decatur/search.aspx,30030,DeKalb,(404) 370-4420,9,12,Yes,No,No,No,1244,86.4,14.3,0.16,0.31,0.00,0.02,0.05,0.00,0.05,0.57,83.2
33,Allatoona High School,https://www.schooldigger.com/go/GA/schools/0129003781/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Acworth,https://www.schooldigger.com/go/GA/city/Acworth/search.aspx,30101,Cobb,(770) 975-6503,9,12,No,No,No,No,1715,89,19.2,0.19,0.18,0.00,0.03,0.08,0.00,0.03,0.68,82.6
34,Peachtree Ridge High School,https://www.schooldigger.com/go/GA/schools/0255002903/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Suwanee,https://www.schooldigger.com/go/GA/city/Suwanee/search.aspx,30024,Gwinnett,(678) 957-3100,9,12,No,No,No,No,3260,170.6,19.1,0.34,0.28,0.00,0.26,0.18,0.00,0.04,0.24,82.1
35,Gwinnett Online Campus,https://www.schooldigger.com/go/GA/schools/0255004057/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Lawrenceville,https://www.schooldigger.com/go/GA/city/Lawrenceville/search.aspx,30043,Gwinnett,(770) 326-8082,4,12,No,No,No,Yes,445,28.7,15.5,0.12,0.23,0.00,0.05,0.14,0.00,0.04,0.54,81.9
36,Houston County High School,https://www.schooldigger.com/go/GA/schools/0288002179/school.aspx,Houston County,https://www.schooldigger.com/go/GA/district/02880/search.aspx,Warner Robins,https://www.schooldigger.com/go/GA/city/Warner+Robins/search.aspx,31088,Houston,(478) 988-6340,9,12,No,No,No,No,1859,106.4,17.4,0.28,0.25,0.00,0.07,0.09,0.00,0.05,0.54,81.4
37,Martha Ellen Stilwell School for the Performing Arts,https://www.schooldigger.com/go/GA/schools/0123004154/school.aspx,Clayton County,https://www.schooldigger.com/go/GA/district/01230/search.aspx,Jonesboro,https://www.schooldigger.com/go/GA/city/Jonesboro/search.aspx,30236,Clayton,(770) 473-2785,9,12,Yes,No,No,No,605,37,16.3,1.00,0.79,0.00,0.06,0.09,0.00,0.04,0.02,81.3
38,White County High School,https://www.schooldigger.com/go/GA/schools/0567001870/school.aspx,White County,https://www.schooldigger.com/go/GA/district/05670/search.aspx,Cleveland,https://www.schooldigger.com/go/GA/city/Cleveland/search.aspx,30528,White,(706) 865-2312,10,12,No,No,No,No,813,51.1,15.9,0.46,0.02,0.00,0.01,0.04,0.00,0.04,0.89,80.7
39,Lake Oconee Charter,https://www.schooldigger.com/go/GA/schools/0249003570/school.aspx,Greene County,https://www.schooldigger.com/go/GA/district/02490/search.aspx,Greensboro,https://www.schooldigger.com/go/GA/city/Greensboro/search.aspx,30642,Greene,(706) 454-1562,PK,12,No,Yes,No,No,822,56.6,14.5,0.98,0.09,0.00,0.02,0.09,0.00,0.05,0.75,80.5
40,Creekview High School,https://www.schooldigger.com/go/GA/schools/0111003308/school.aspx,Cherokee County,https://www.schooldigger.com/go/GA/district/01110/search.aspx,Canton,https://www.schooldigger.com/go/GA/city/Canton/search.aspx,30115,Cherokee,(770) 704-4400,9,12,No,No,No,No,2011,110.4,18.2,0.15,0.03,0.00,0.01,0.07,0.00,0.02,0.88,80.3
41,North Forsyth High School,https://www.schooldigger.com/go/GA/schools/0222000893/school.aspx,Forsyth County,https://www.schooldigger.com/go/GA/district/02220/search.aspx,Cumming,https://www.schooldigger.com/go/GA/city/Cumming/search.aspx,30028,Forsyth,(770) 781-6637,9,12,No,No,No,No,2488,140.8,17.6,0.18,0.02,0.00,0.02,0.12,0.00,0.03,0.81,80.3
42,Lakeside High School,https://www.schooldigger.com/go/GA/schools/0141002025/school.aspx,Columbia County,https://www.schooldigger.com/go/GA/district/01410/search.aspx,Evans,https://www.schooldigger.com/go/GA/city/Evans/search.aspx,30809,Columbia,(706) 863-0027,9,12,No,No,No,No,1717,93.2,18.4,0.24,0.17,0.00,0.09,0.06,0.00,0.04,0.64,80
43,Roswell High School,https://www.schooldigger.com/go/GA/schools/0228002119/school.aspx,Fulton County,https://www.schooldigger.com/go/GA/district/02280/search.aspx,Roswell,https://www.schooldigger.com/go/GA/city/Roswell/search.aspx,30075,Fulton,(470) 254-4500,9,12,No,No,No,No,2232,130.8,17,0.25,0.14,0.00,0.04,0.21,0.00,0.03,0.57,79.8
44,Whitewater High School,https://www.schooldigger.com/go/GA/schools/0213002877/school.aspx,Fayette County,https://www.schooldigger.com/go/GA/district/02130/search.aspx,Fayetteville,https://www.schooldigger.com/go/GA/city/Fayetteville/search.aspx,30215,Fayette,(770) 460-3935,9,12,No,No,No,No,1468,88.9,16.5,0.14,0.20,0.00,0.03,0.06,0.00,0.06,0.65,79.1
45,Kennesaw Mountain High School,https://www.schooldigger.com/go/GA/schools/0129002365/school.aspx,Cobb County,https://www.schooldigger.com/go/GA/district/01290/search.aspx,Kennesaw,https://www.schooldigger.com/go/GA/city/Kennesaw/search.aspx,30152,Cobb,(678) 594-8190,9,12,No,No,No,No,2165,125.2,17.2,0.31,0.28,0.00,0.07,0.15,0.00,0.04,0.46,78
46,Bremen High School,https://www.schooldigger.com/go/GA/schools/0051002455/school.aspx,Bremen City,https://www.schooldigger.com/go/GA/district/00510/search.aspx,Bremen,https://www.schooldigger.com/go/GA/city/Bremen/search.aspx,30110,Haralson,(770) 537-2592,9,12,No,No,No,No,671,38.3,17.5,0.18,0.05,0.00,0.02,0.02,0.00,0.02,0.90,77.9
47,Archer High School,https://www.schooldigger.com/go/GA/schools/0255003838/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Lawrenceville,https://www.schooldigger.com/go/GA/city/Lawrenceville/search.aspx,30045,Gwinnett,(678) 407-7700,9,12,No,No,No,No,2682,135,19.8,0.33,0.41,0.00,0.03,0.13,0.00,0.04,0.40,76.6
48,Gordon Lee High School,https://www.schooldigger.com/go/GA/schools/0114002457/school.aspx,Chickamauga City,https://www.schooldigger.com/go/GA/district/01140/search.aspx,Chickamauga,https://www.schooldigger.com/go/GA/city/Chickamauga/search.aspx,30707,Walker,(706) 382-3100,9,12,No,No,No,No,454,27.6,16.4,0.19,0.00,0.00,0.00,0.00,0.00,0.02,0.98,76.5
49,Parkview High School,https://www.schooldigger.com/go/GA/schools/0255001114/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Lilburn,https://www.schooldigger.com/go/GA/city/Lilburn/search.aspx,30047,Gwinnett,(770) 921-2874,9,12,No,No,No,No,2984,157.4,18.9,0.43,0.27,0.00,0.20,0.18,0.00,0.04,0.30,76.4
50,Union County High School,https://www.schooldigger.com/go/GA/schools/0525001720/school.aspx,Union County,https://www.schooldigger.com/go/GA/district/05250/search.aspx,Blairsville,https://www.schooldigger.com/go/GA/city/Blairsville/search.aspx,30512,Union,(706) 745-2216,9,12,No,No,No,No,836,61,13.7,0.46,0.00,0.00,0.01,0.03,0.00,0.02,0.94,76.3
51,Bleckley County High School,https://www.schooldigger.com/go/GA/schools/0044000253/school.aspx,Bleckley County,https://www.schooldigger.com/go/GA/district/00440/search.aspx,Cochran,https://www.schooldigger.com/go/GA/city/Cochran/search.aspx,31014,Bleckley,(478) 934-6258,9,12,Yes,No,No,No,671,41.6,16.1,0.54,0.25,0.00,0.01,0.02,0.00,0.02,0.70,75.8
52,Veterans High School,https://www.schooldigger.com/go/GA/schools/0288003969/school.aspx,Houston County,https://www.schooldigger.com/go/GA/district/02880/search.aspx,Kathleen,https://www.schooldigger.com/go/GA/city/Kathleen/search.aspx,31047,Houston,(478) 218-7537,9,12,No,No,No,No,1600,85.3,18.7,0.26,0.23,0.00,0.02,0.06,0.00,0.05,0.64,75.5
53,Mountain View High School,https://www.schooldigger.com/go/GA/schools/0255003916/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Lawrenceville,https://www.schooldigger.com/go/GA/city/Lawrenceville/search.aspx,30043,Gwinnett,(678) 407-7600,9,12,No,No,No,No,2404,114,21,0.34,0.26,0.00,0.09,0.20,0.00,0.04,0.40,75.4
54,Sequoyah High School,https://www.schooldigger.com/go/GA/schools/0111002100/school.aspx,Cherokee County,https://www.schooldigger.com/go/GA/district/01110/search.aspx,Canton,https://www.schooldigger.com/go/GA/city/Canton/search.aspx,30115,Cherokee,(770) 721-3200,9,12,No,No,No,No,1908,105.5,18,0.22,0.07,0.00,0.02,0.12,0.00,0.03,0.76,75.4
55,Etowah High School,https://www.schooldigger.com/go/GA/schools/0111000425/school.aspx,Cherokee County,https://www.schooldigger.com/go/GA/district/01110/search.aspx,Woodstock,https://www.schooldigger.com/go/GA/city/Woodstock/search.aspx,30189,Cherokee,(770) 721-3120,9,12,No,No,No,No,2449,134.6,18.1,0.24,0.10,0.00,0.03,0.17,0.00,0.03,0.68,75
56,Dacula High School,https://www.schooldigger.com/go/GA/schools/0255001127/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Dacula,https://www.schooldigger.com/go/GA/city/Dacula/search.aspx,30019,Gwinnett,(770) 963-6664,9,12,No,No,No,No,2108,107,19.7,0.47,0.40,0.00,0.03,0.19,0.00,0.05,0.32,75
57,Dawson County High School,https://www.schooldigger.com/go/GA/schools/0165002253/school.aspx,Dawson County,https://www.schooldigger.com/go/GA/district/01650/search.aspx,Dawsonville,https://www.schooldigger.com/go/GA/city/Dawsonville/search.aspx,30534,Dawson,(706) 265-6555,10,12,No,No,No,No,1066,61.2,17.4,0.38,0.00,0.00,0.01,0.07,0.00,0.01,0.91,74.8
58,Grady High School,https://www.schooldigger.com/go/GA/schools/0012000066/school.aspx,Atlanta Public Schools,https://www.schooldigger.com/go/GA/district/00120/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30309,Fulton,(404) 802-3001,9,12,Yes,No,No,No,1372,89.6,15.3,0.37,0.51,0.00,0.02,0.06,0.00,0.05,0.36,74.6
59,Woodstock High School,https://www.schooldigger.com/go/GA/schools/0111001428/school.aspx,Cherokee County,https://www.schooldigger.com/go/GA/district/01110/search.aspx,Woodstock,https://www.schooldigger.com/go/GA/city/Woodstock/search.aspx,30189,Cherokee,(770) 721-3000,9,12,No,No,No,No,2331,135.2,17.2,0.26,0.11,0.01,0.03,0.16,0.00,0.04,0.66,74.3
60,Glynn Academy,https://www.schooldigger.com/go/GA/schools/0240001065/school.aspx,Glynn County,https://www.schooldigger.com/go/GA/district/02400/search.aspx,Brunswick,https://www.schooldigger.com/go/GA/city/Brunswick/search.aspx,31520,Glynn,(912) 267-4210,9,12,No,No,No,No,1904,94.5,20.1,0.43,0.28,0.00,0.01,0.09,0.00,0.02,0.59,74
61,Charles Drew Charter School Ja/Sa,https://www.schooldigger.com/go/GA/schools/0012004161/school.aspx,Atlanta Public Schools,https://www.schooldigger.com/go/GA/district/00120/search.aspx,Atlanta,https://www.schooldigger.com/go/GA/city/Atlanta/search.aspx,30317,DeKalb,(404) 687-0001,6,12,Yes,Yes,No,No,755,60,12.5,0.80,0.91,0.00,0.01,0.02,0.00,0.02,0.04,73.4
62,Lanier High School,https://www.schooldigger.com/go/GA/schools/0255003998/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Sugar Hill,https://www.schooldigger.com/go/GA/city/Sugar+Hill/search.aspx,30518,Gwinnett,(678) 765-4040,9,12,No,No,No,No,1800,100.8,17.8,0.33,0.20,0.00,0.06,0.24,0.00,0.04,0.45,73
63,Johnson Magnet,https://www.schooldigger.com/go/GA/schools/0438001534/school.aspx,Richmond County,https://www.schooldigger.com/go/GA/district/04380/search.aspx,Augusta,https://www.schooldigger.com/go/GA/city/Augusta/search.aspx,30901,Richmond,(706) 823-6933,6,12,Yes,No,Yes,No,703,39.5,17.7,0.97,0.71,0.00,0.01,0.04,0.01,0.03,0.20,72.6
64,Forsyth Central High School,https://www.schooldigger.com/go/GA/schools/0222000956/school.aspx,Forsyth County,https://www.schooldigger.com/go/GA/district/02220/search.aspx,Cumming,https://www.schooldigger.com/go/GA/city/Cumming/search.aspx,30040,Forsyth,(770) 887-8151,9,12,No,No,No,No,2362,139.5,16.9,0.27,0.03,0.00,0.03,0.24,0.00,0.03,0.66,72.1
65,Evans High School,https://www.schooldigger.com/go/GA/schools/0141000603/school.aspx,Columbia County,https://www.schooldigger.com/go/GA/district/01410/search.aspx,Evans,https://www.schooldigger.com/go/GA/city/Evans/search.aspx,30809,Columbia,(706) 863-1198,9,12,No,No,No,No,1847,101.6,18.1,0.34,0.21,0.00,0.03,0.09,0.01,0.06,0.61,72.1
66,Loganville High School,https://www.schooldigger.com/go/GA/schools/0539002288/school.aspx,Walton County,https://www.schooldigger.com/go/GA/district/05390/search.aspx,Loganville,https://www.schooldigger.com/go/GA/city/Loganville/search.aspx,30052,Walton,(678) 684-2880,9,12,No,No,No,No,1622,80,20.2,0.35,0.19,0.01,0.02,0.08,0.01,0.03,0.67,71.4
67,Grayson High School,https://www.schooldigger.com/go/GA/schools/0255002387/school.aspx,Gwinnett County,https://www.schooldigger.com/go/GA/district/02550/search.aspx,Loganville,https://www.schooldigger.com/go/GA/city/Loganville/search.aspx,30052,Walton,(770) 554-1071,9,12,No,No,No,No,2916,164.2,17.7,0.37,0.45,0.01,0.06,0.12,0.00,0.05,0.32,71.4
68,Pierce County High School,https://www.schooldigger.com/go/GA/schools/0414001915/school.aspx,Pierce County,https://www.schooldigger.com/go/GA/district/04140/search.aspx,Blackshear,https://www.schooldigger.com/go/GA/city/Blackshear/search.aspx,31516,Pierce,(912) 449-2055,9,12,Yes,No,No,No,1066,61.1,17.4,0.52,0.08,0.00,0.00,0.08,0.00,0.01,0.83,71.2
69,Flowery Branch High,https://www.schooldigger.com/go/GA/schools/0261002571/school.aspx,Hall County,https://www.schooldigger.com/go/GA/district/02610/search.aspx,Flowery Branch,https://www.schooldigger.com/go/GA/city/Flowery+Branch/search.aspx,30542,Hall,(770) 967-8000,9,12,No,No,No,No,1741,99.7,17.4,0.26,0.07,0.00,0.02,0.19,0.00,0.03,0.69,70.8
70,Union Grove High,https://www.schooldigger.com/go/GA/schools/0282002391/school.aspx,Henry County,https://www.schooldigger.com/go/GA/district/02820/search.aspx,McDonough,https://www.schooldigger.com/go/GA/city/McDonough/search.aspx,30252,Henry,(678) 583-8502,9,12,No,No,No,No,1532,92,16.6,0.22,0.31,0.00,0.04,0.05,0.00,0.03,0.57,70.4
71,Mary Persons High School,https://www.schooldigger.com/go/GA/schools/0372001373/school.aspx,Monroe County,https://www.schooldigger.com/go/GA/district/03720/search.aspx,Forsyth,https://www.schooldigger.com/go/GA/city/Forsyth/search.aspx,31029,Monroe,(478) 994-2812,9,12,No,No,No,No,1218,74,16.4,0.50,0.27,0.00,0.01,0.02,0.00,0.03,0.68,70.4
72,Camden County High School,https://www.schooldigger.com/go/GA/schools/0078000315/school.aspx,Camden County,https://www.schooldigger.com/go/GA/district/00780/search.aspx,Kingsland,https://www.schooldigger.com/go/GA/city/Kingsland/search.aspx,31548,Camden,(912) 729-7318,9,12,Yes,No,No,No,2538,159.4,15.9,0.41,0.24,0.01,0.02,0.07,0.00,0.06,0.60,70.1
