School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Yorktown High School,https://www.schooldigger.com/go/NY/schools/3198004284/school.aspx,Yorktown Central School District,https://www.schooldigger.com/go/NY/district/31980/search.aspx,2727 Crompond Rd,Yorktown Heights,https://www.schooldigger.com/go/NY/city/Yorktown+Heights/search.aspx,10598,Westchester County,(914) 243-8000,Yes,No,No,No,1082,91.5,11.8,12.2,3.2,0.1,6.1,15.9,0,2.4,72.3,85.1
Fairport Senior High School,https://www.schooldigger.com/go/NY/schools/1089000860/school.aspx,Fairport Central School District,https://www.schooldigger.com/go/NY/district/10890/search.aspx,1 Dave Paddock Way,Fairport,https://www.schooldigger.com/go/NY/city/Fairport/search.aspx,14450,Monroe County,(585) 421-2100,No,No,No,No,1314,110.9,11.8,24.8,5.4,0,4.1,4.5,0,1.1,84.9,84.1
Cornwall Central High School,https://www.schooldigger.com/go/NY/schools/0843000642/school.aspx,Cornwall Central School District,https://www.schooldigger.com/go/NY/district/08430/search.aspx,10 Dragon Dr,New Windsor,https://www.schooldigger.com/go/NY/city/New+Windsor/search.aspx,12553,Orange County,(845) 534-8009,Yes,No,No,No,1110,70.4,15.7,20.1,7.5,0.5,6,18.6,0,2.3,65.2,84
Cicero-North Syracuse High School,https://www.schooldigger.com/go/NY/schools/2121002997/school.aspx,North Syracuse Central School District,https://www.schooldigger.com/go/NY/district/21210/search.aspx,6002 Rt 31,Cicero,https://www.schooldigger.com/go/NY/city/Cicero/search.aspx,13039,Onondaga County,(315) 218-4002,No,No,No,No,1879,142.3,13.2,32.4,5.5,0.5,3,4.8,0,5.9,80.3,84
New Hyde Park Memorial High School,https://www.schooldigger.com/go/NY/schools/2652003629/school.aspx,Sewanhaka Central High School District,https://www.schooldigger.com/go/NY/district/26520/search.aspx,500 Leonard Blvd,New Hyde Park,https://www.schooldigger.com/go/NY/city/New+Hyde+Park/search.aspx,11040,Nassau County,(516) 488-9500,No,No,No,No,1838,134.4,13.6,17,3.4,0.2,50,14.7,0.1,1.4,30.2,83.8
Sayville High School,https://www.schooldigger.com/go/NY/schools/2592003557/school.aspx,Sayville Union Free School District,https://www.schooldigger.com/go/NY/district/25920/search.aspx,20 Brook St,West Sayville,https://www.schooldigger.com/go/NY/city/West+Sayville/search.aspx,11796,Suffolk County,(631) 244-6600,Yes,No,No,No,968,80.5,12,10,0.9,0.1,2.1,7.5,0,1.5,87.8,83.8
Columbia High School,https://www.schooldigger.com/go/NY/schools/0963000731/school.aspx,East Greenbush Central School District,https://www.schooldigger.com/go/NY/district/09630/search.aspx,962 Luther Rd,East Greenbush,https://www.schooldigger.com/go/NY/city/East+Greenbush/search.aspx,12061,Rensselaer County,(518) 207-2010,No,No,No,No,1310,98.6,13.2,22.2,4.3,0.2,5.3,5.6,0,4.4,80.3,83.7
City Honors School,https://www.schooldigger.com/go/NY/schools/0585000308/school.aspx,Buffalo City School District,https://www.schooldigger.com/go/NY/district/05850/search.aspx,186 E North St,Buffalo,https://www.schooldigger.com/go/NY/city/Buffalo/search.aspx,14204,Erie County,(716) 816-4230,No,No,No,No,1070,68.7,15.5,30.4,15,0.5,14.7,8.9,0.2,6.2,54.6,83.6
Canandaigua Academy,https://www.schooldigger.com/go/NY/schools/0633000414/school.aspx,Canandaigua City School District,https://www.schooldigger.com/go/NY/district/06330/search.aspx,435 East St,Canandaigua,https://www.schooldigger.com/go/NY/city/Canandaigua/search.aspx,14424,Ontario County,(585) 396-3800,No,No,No,No,1080,96.9,11.1,31.4,1.9,0.7,1.7,4.8,0,4,86.9,83.6
Williamsville East High School,https://www.schooldigger.com/go/NY/schools/3147004217/school.aspx,Williamsville Central School District,https://www.schooldigger.com/go/NY/district/31470/search.aspx,151 Paradise Rd,East Amherst,https://www.schooldigger.com/go/NY/city/East+Amherst/search.aspx,14051,Erie County,(716) 626-8400,No,No,No,No,981,78.2,12.5,12.9,2.9,0.5,19.8,2,0,3.6,71.3,83.4
Shenendehowa High School,https://www.schooldigger.com/go/NY/schools/2667003640/school.aspx,Shenendehowa Central School District,https://www.schooldigger.com/go/NY/district/26670/search.aspx,970 Rt 146,Clifton Park,https://www.schooldigger.com/go/NY/city/Clifton+Park/search.aspx,12065,Saratoga County,(518) 881-0310,No,No,No,No,3137,231.3,13.5,18.9,2.4,0,10.7,6.3,0.2,4.2,76.2,83.4
Smithtown High School East,https://www.schooldigger.com/go/NY/schools/2706005839/school.aspx,Smithtown Central School District,https://www.schooldigger.com/go/NY/district/27060/search.aspx,10 School St,Saint James,https://www.schooldigger.com/go/NY/city/Saint+James/search.aspx,11780,Suffolk County,(631) 382-2705,No,No,No,No,1507,120.5,12.5,6.5,1.3,0.2,5.6,7.5,0.2,1,84.2,83.2
George W Hewlett High School,https://www.schooldigger.com/go/NY/schools/3171004227/school.aspx,Hewlett-Woodmere Union Free School District,https://www.schooldigger.com/go/NY/district/31710/search.aspx,60 Everit Ave,Hewlett,https://www.schooldigger.com/go/NY/city/Hewlett/search.aspx,11557,Nassau County,(516) 792-4100,No,No,No,No,1015,105.3,9.6,24.8,8.6,0.3,9.2,16.2,0.4,1.7,63.7,82.9
Kings Park High School,https://www.schooldigger.com/go/NY/schools/1626001451/school.aspx,Kings Park Central School District,https://www.schooldigger.com/go/NY/district/16260/search.aspx,200 Rt 25a,Kings Park,https://www.schooldigger.com/go/NY/city/Kings+Park/search.aspx,11754,Suffolk County,(631) 269-3345,No,No,No,No,966,90.3,10.6,10.6,0.5,0,2.6,6.4,0,0.8,89.6,82.6
Ward Melville Senior High School,https://www.schooldigger.com/go/NY/schools/2820003809/school.aspx,Three Village Central School District,https://www.schooldigger.com/go/NY/district/28200/search.aspx,380 Old Town Rd,East Setauket,https://www.schooldigger.com/go/NY/city/East+Setauket/search.aspx,11733,Suffolk County,(631) 730-4900,No,No,No,No,1570,144.4,10.8,15.3,1.3,0.1,10.6,5.3,0.1,0.8,81.7,82.5
Chautauqua Lake Secondary School,https://www.schooldigger.com/go/NY/schools/0001801936/school.aspx,Chautauqua Lake Central School District,https://www.schooldigger.com/go/NY/district/00018/search.aspx,100 N Erie St,Mayville,https://www.schooldigger.com/go/NY/city/Mayville/search.aspx,14757,Chautauqua County,(716) 753-5882,Yes,No,No,No,390,44.4,8.7,41,0,0.3,0,2.1,0,2.1,95.6,82.3
Franklinville Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/1149000905/school.aspx,Franklinville Central School District,https://www.schooldigger.com/go/NY/district/11490/search.aspx,31 N Main St,Franklinville,https://www.schooldigger.com/go/NY/city/Franklinville/search.aspx,14737,Cattaraugus County,(716) 676-8060,Yes,No,No,No,309,35.6,8.6,45.3,0,1.3,1,2.6,0.6,0.3,94.2,82.3
Half Hollow Hills High School East,https://www.schooldigger.com/go/NY/schools/1329001084/school.aspx,Half Hollow Hills Central School District,https://www.schooldigger.com/go/NY/district/13290/search.aspx,50 Vanderbilt Pky,Dix Hills,https://www.schooldigger.com/go/NY/city/Dix+Hills/search.aspx,11746,Suffolk County,(631) 592-3100,No,No,No,No,1609,149.6,10.7,20,11.8,0.2,17.2,11.4,0,3.6,55.9,82.1
Half Hollow Hills High School West,https://www.schooldigger.com/go/NY/schools/1329001085/school.aspx,Half Hollow Hills Central School District,https://www.schooldigger.com/go/NY/district/13290/search.aspx,375 Wolf Hill Rd,Dix Hills,https://www.schooldigger.com/go/NY/city/Dix+Hills/search.aspx,11746,Suffolk County,(631) 592-3200,Yes,No,No,No,1116,112.5,9.9,21.7,12.8,0.6,18.9,10.6,0,3.7,53.4,82.1
Plainview-Old Bethpage/Jfk High School,https://www.schooldigger.com/go/NY/schools/2322003256/school.aspx,Plainview-Old Bethpage Central School District,https://www.schooldigger.com/go/NY/district/23220/search.aspx,50 Kennedy Dr,Plainview,https://www.schooldigger.com/go/NY/city/Plainview/search.aspx,11803,Nassau County,(516) 434-3125,Yes,No,No,No,1558,146.1,10.6,13,0.1,0.1,25,5.8,0.1,1.1,67.9,82
Guilderland High School,https://www.schooldigger.com/go/NY/schools/1308001070/school.aspx,Guilderland Central School District,https://www.schooldigger.com/go/NY/district/13080/search.aspx,8 School Rd,Guilderland Center,https://www.schooldigger.com/go/NY/city/Guilderland+Center/search.aspx,12085,Albany County,(518) 861-8591,No,No,No,No,1519,163.3,9.3,16.4,4.7,0.2,12.7,3.6,0.1,3.3,75.4,81.9
Pittsford Sutherland High School,https://www.schooldigger.com/go/NY/schools/2316003242/school.aspx,Pittsford Central School District,https://www.schooldigger.com/go/NY/district/23160/search.aspx,55 Sutherland St,Pittsford,https://www.schooldigger.com/go/NY/city/Pittsford/search.aspx,14534,Monroe County,(585) 267-1102,Yes,No,No,No,930,80.7,11.5,,3.4,0,12.4,7.5,0.1,5.1,71.5,81.7
Saratoga Springs High School,https://www.schooldigger.com/go/NY/schools/2577003543/school.aspx,Saratoga Springs City School District,https://www.schooldigger.com/go/NY/district/25770/search.aspx,1 Blue Streak Blvd,Saratoga Springs,https://www.schooldigger.com/go/NY/city/Saratoga+Springs/search.aspx,12866,Saratoga County,(518) 587-6690,No,No,No,No,1987,158,12.5,22.2,1.7,0,2.4,4.4,0.1,3.3,88.1,81.7
Fayetteville-Manlius Senior High School,https://www.schooldigger.com/go/NY/schools/1833001656/school.aspx,Fayetteville-Manlius Central School District,https://www.schooldigger.com/go/NY/district/18330/search.aspx,8201 E Seneca Tpke,Manlius,https://www.schooldigger.com/go/NY/city/Manlius/search.aspx,13104,Onondaga County,(315) 692-1900,No,No,No,No,1362,101.6,13.3,,4,0.3,10.5,3.5,0,2,79.8,81.7
Penfield Senior High School,https://www.schooldigger.com/go/NY/schools/2271003196/school.aspx,Penfield Central School District,https://www.schooldigger.com/go/NY/district/22710/search.aspx,25 High School Dr,Penfield,https://www.schooldigger.com/go/NY/city/Penfield/search.aspx,14526,Monroe County,(585) 249-6701,No,No,No,No,1372,110,12.4,20.6,5.4,0.3,2.4,5.4,0,4.2,82.4,81.5
Mamaroneck High School,https://www.schooldigger.com/go/NY/schools/1824001648/school.aspx,Mamaroneck Union Free School District,https://www.schooldigger.com/go/NY/district/18240/search.aspx,1000 W Boston Post Rd,Mamaroneck,https://www.schooldigger.com/go/NY/city/Mamaroneck/search.aspx,10543,Westchester County,(914) 220-3100,No,No,No,No,1644,121,13.5,17.8,3.1,0.1,3.7,21.7,0.4,2.7,68.3,81.2
Williamsville South High School,https://www.schooldigger.com/go/NY/schools/3147004219/school.aspx,Williamsville Central School District,https://www.schooldigger.com/go/NY/district/31470/search.aspx,5950 Main St,Williamsville,https://www.schooldigger.com/go/NY/city/Williamsville/search.aspx,14221,Erie County,(716) 626-8200,No,No,No,No,887,73.8,12,20.3,5.4,0.2,6.7,4.8,0,4.2,78.7,80.2
Mattituck Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/0002101704/school.aspx,Mattituck-Cutchogue Union Free School District,https://www.schooldigger.com/go/NY/district/00021/search.aspx,15125 Main Rd,Mattituck,https://www.schooldigger.com/go/NY/city/Mattituck/search.aspx,11952,Suffolk County,(631) 298-8460,No,No,No,No,592,65,9,23.3,2.2,0,2.2,17.7,0.2,0.3,77.4,79.9
East-West School Of International Studies,https://www.schooldigger.com/go/NY/schools/0012205879/school.aspx,New York City Geographic District #25,https://www.schooldigger.com/go/NY/district/00122/search.aspx,46-21 Colden St,Flushing,https://www.schooldigger.com/go/NY/city/Flushing/search.aspx,11355,Queens County,(718) 353-0009,Yes,No,No,No,681,61.8,11,80.3,4.7,0.3,71.8,16.9,0.7,1.5,4.1,79.8
Miller Place High School,https://www.schooldigger.com/go/NY/schools/1941001773/school.aspx,Miller Place Union Free School District,https://www.schooldigger.com/go/NY/district/19410/search.aspx,15 Memorial Dr,Miller Place,https://www.schooldigger.com/go/NY/city/Miller+Place/search.aspx,11764,Suffolk County,(631) 474-2723,Yes,No,No,No,877,73.3,11.9,15.2,1.3,0,3,9,0.1,2.2,84.5,79.8
Worcester School,https://www.schooldigger.com/go/NY/schools/3174004232/school.aspx,Worcester Central School District,https://www.schooldigger.com/go/NY/district/31740/search.aspx,198 Main St,Worcester,https://www.schooldigger.com/go/NY/city/Worcester/search.aspx,12197,Otsego County,(607) 397-8785,Yes,No,No,No,309,33,9.3,52.1,0.6,0,0,3.2,0,0,96.1,79.8
Odessa-Montour Junior/Senior High School,https://www.schooldigger.com/go/NY/schools/2163003068/school.aspx,Odessa-Montour Central School District,https://www.schooldigger.com/go/NY/district/21630/search.aspx,300 College Ave,Odessa,https://www.schooldigger.com/go/NY/city/Odessa/search.aspx,14869,Schuyler County,(607) 594-3341,Yes,No,No,No,295,30.2,9.7,47.1,0,0.3,1.4,1,0,2.4,94.9,79.7
Wellsville Secondary School,https://www.schooldigger.com/go/NY/schools/3048004099/school.aspx,Wellsville Central School District,https://www.schooldigger.com/go/NY/district/30480/search.aspx,126 W State St,Wellsville,https://www.schooldigger.com/go/NY/city/Wellsville/search.aspx,14895,Allegany County,(585) 596-2182,Yes,No,No,No,647,57.4,11.2,44,2.2,0.5,0.8,2,0,1.1,93.5,79.7
Livonia Middle/High School,https://www.schooldigger.com/go/NY/schools/1764001578/school.aspx,Livonia Central School District,https://www.schooldigger.com/go/NY/district/17640/search.aspx,2 Bulldog Blvd,Livonia,https://www.schooldigger.com/go/NY/city/Livonia/search.aspx,14487,Livingston County,(585) 346-4000,No,No,No,No,840,72.2,11.6,34.2,0.7,0.1,0.2,2.9,0.1,2,93.9,79.6
Northport Senior High School,https://www.schooldigger.com/go/NY/schools/2127003033/school.aspx,Northport-East Northport Union Free School District,https://www.schooldigger.com/go/NY/district/21270/search.aspx,154 Laurel Hill Rd,Northport,https://www.schooldigger.com/go/NY/city/Northport/search.aspx,11768,Suffolk County,(631) 262-6652,No,No,No,No,1764,162.6,10.8,16.9,0.6,0.1,3.1,10.8,0.1,2.5,82.9,79.6
East Islip High School,https://www.schooldigger.com/go/NY/schools/0972000747/school.aspx,East Islip Union Free School District,https://www.schooldigger.com/go/NY/district/09720/search.aspx,1 Redmen St,Islip Terrace,https://www.schooldigger.com/go/NY/city/Islip+Terrace/search.aspx,11752,Suffolk County,(631) 224-2006,Yes,No,No,No,1160,102.1,11.3,22.7,2,0,3.7,18.6,0,1.9,73.8,79.6
Prattsburgh Central School,https://www.schooldigger.com/go/NY/schools/2379003310/school.aspx,Prattsburgh Central School District,https://www.schooldigger.com/go/NY/district/23790/search.aspx,1 Academy St,Prattsburgh,https://www.schooldigger.com/go/NY/city/Prattsburgh/search.aspx,14873,Steuben County,(607) 522-3795,Yes,No,No,No,359,35,10.2,40.7,1.7,0,0.6,0.6,0,4.5,92.8,79.6
Bethpage Senior High School,https://www.schooldigger.com/go/NY/schools/0474000217/school.aspx,Bethpage Union Free School District,https://www.schooldigger.com/go/NY/district/04740/search.aspx,10 Cherry Ave,Bethpage,https://www.schooldigger.com/go/NY/city/Bethpage/search.aspx,11714,Nassau County,(516) 644-4101,Yes,No,No,No,941,84.6,11.1,19.9,0.5,0,16.4,15.1,0,1.7,66.3,79.6
Fredonia High School,https://www.schooldigger.com/go/NY/schools/1152000907/school.aspx,Fredonia Central School District,https://www.schooldigger.com/go/NY/district/11520/search.aspx,425 E Main St,Fredonia,https://www.schooldigger.com/go/NY/city/Fredonia/search.aspx,14063,Chautauqua County,(716) 679-1581,Yes,No,No,No,459,44.3,10.3,25.7,1.5,0,0.9,10.9,0,3.7,83,79.4
Academy Charter School,https://www.schooldigger.com/go/NY/schools/0099706131/school.aspx,Academy Charter School,https://www.schooldigger.com/go/NY/district/00997/search.aspx,117 N Franklin Ave,Hempstead,https://www.schooldigger.com/go/NY/city/Hempstead/search.aspx,11550,Nassau County,(516) 408-2200,Yes,Yes,No,No,1782,109.9,16.2,76.9,46.4,1.7,0.7,49.4,0.2,0.8,0.8,79.1
Tully Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/2913003927/school.aspx,Tully Central School District,https://www.schooldigger.com/go/NY/district/29130/search.aspx,20 State St,Tully,https://www.schooldigger.com/go/NY/city/Tully/search.aspx,13159,Onondaga County,(315) 696-6235,No,No,No,No,365,40.6,8.9,32.3,1.1,0.3,1.1,0.8,0,1.6,95.1,79
Bayport-Blue Point High School,https://www.schooldigger.com/go/NY/schools/0411000173/school.aspx,Bayport-Blue Point Union Free School District,https://www.schooldigger.com/go/NY/district/04110/search.aspx,200 Snedecor Ave,Bayport,https://www.schooldigger.com/go/NY/city/Bayport/search.aspx,11705,Suffolk County,(631) 472-7800,No,No,No,No,721,69.2,10.4,17.1,1.2,0.1,2.2,7.4,0.1,1.2,87.7,78.9
Tioga Senior High School,https://www.schooldigger.com/go/NY/schools/2871003899/school.aspx,Tioga Central School District,https://www.schooldigger.com/go/NY/district/28710/search.aspx,27 5th Ave,Tioga Center,https://www.schooldigger.com/go/NY/city/Tioga+Center/search.aspx,13845,Tioga County,(607) 687-8001,No,No,No,No,277,26.4,10.4,62.8,0.7,0,0.7,1.1,0,1.1,96.4,78.8
Cato-Meridian Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/0669000455/school.aspx,Cato-Meridian Central School District,https://www.schooldigger.com/go/NY/district/06690/search.aspx,2851 State Rte 370,Cato,https://www.schooldigger.com/go/NY/city/Cato/search.aspx,13033,Cayuga County,(315) 626-3317,Yes,No,No,No,399,38,10.4,39.6,1.3,0.5,0.5,2.3,0.3,4.8,90.5,78.6
Center Moriches High School,https://www.schooldigger.com/go/NY/schools/0684000470/school.aspx,Center Moriches Union Free School District,https://www.schooldigger.com/go/NY/district/06840/search.aspx,311 Frowein Rd,Center Moriches,https://www.schooldigger.com/go/NY/city/Center+Moriches/search.aspx,11934,Suffolk County,(631) 878-0092,Yes,No,No,No,549,39,14,23.5,6,2.6,0.5,15.5,0,0,75.4,78.6
Stissing Mountain Junior/Senior High School,https://www.schooldigger.com/go/NY/schools/2304003231/school.aspx,Pine Plains Central School District,https://www.schooldigger.com/go/NY/district/23040/search.aspx,2829 Church St,Pine Plains,https://www.schooldigger.com/go/NY/city/Pine+Plains/search.aspx,12567,Dutchess County,(518) 398-7181,Yes,No,No,No,504,57,8.8,41.1,0.4,0.2,0.6,12.7,0,6.3,79.8,78.5
Shaker High School,https://www.schooldigger.com/go/NY/schools/2100002985/school.aspx,North Colonie Central School District,https://www.schooldigger.com/go/NY/district/21000/search.aspx,445 Watervliet-Shaker Rd,Latham,https://www.schooldigger.com/go/NY/city/Latham/search.aspx,12110,Albany County,(518) 785-5511,Yes,No,No,No,2011,162.9,12.3,25.5,9,0.2,18.1,5.9,0.1,4.7,62,78.4
Westhill High School,https://www.schooldigger.com/go/NY/schools/0732000524/school.aspx,Westhill Central School District,https://www.schooldigger.com/go/NY/district/07320/search.aspx,4501 Onondaga Blvd,Syracuse,https://www.schooldigger.com/go/NY/city/Syracuse/search.aspx,13219,Onondaga County,(315) 426-3100,No,No,No,No,565,48.4,11.6,18.4,5.3,0.2,2.1,3.5,0.2,2.7,86,78.3
Valley Stream South High School,https://www.schooldigger.com/go/NY/schools/2952003983/school.aspx,Valley Stream Central High School District,https://www.schooldigger.com/go/NY/district/29520/search.aspx,150 Jedwood Pl,Valley Stream,https://www.schooldigger.com/go/NY/city/Valley+Stream/search.aspx,11581,Nassau County,(516) 791-0310,No,No,No,No,1261,96.6,13,31.9,29,0.1,23.9,29.9,0.4,1.3,15.3,78.2
Beekmantown High School,https://www.schooldigger.com/go/NY/schools/0429000185/school.aspx,Beekmantown Central School District,https://www.schooldigger.com/go/NY/district/04290/search.aspx,37 Eagle Way,West Chazy,https://www.schooldigger.com/go/NY/city/West+Chazy/search.aspx,12992,Clinton County,(518) 563-8787,Yes,No,No,No,540,46.6,11.5,43.5,2.4,0,0.7,2.6,0.2,0,94.1,78.2
Irvington High School,https://www.schooldigger.com/go/NY/schools/1545001313/school.aspx,Irvington Union Free School District,https://www.schooldigger.com/go/NY/district/15450/search.aspx,40 N Broadway,Irvington,https://www.schooldigger.com/go/NY/city/Irvington/search.aspx,10533,Westchester County,(914) 591-8648,Yes,No,No,No,518,52.3,9.8,10.4,6,0.4,10.6,7.5,0,3.9,71.6,78
Schalmont High School,https://www.schooldigger.com/go/NY/schools/2598003571/school.aspx,Schalmont Central School District,https://www.schooldigger.com/go/NY/district/25980/search.aspx,1 Sabre Dr,Schenectady,https://www.schooldigger.com/go/NY/city/Schenectady/search.aspx,12306,Schenectady County,(518) 355-6110,No,No,No,No,600,47.5,12.6,,1.7,0.7,2,6,0,4.3,85.3,78
Haldane High School,https://www.schooldigger.com/go/NY/schools/1323001079/school.aspx,Haldane Central School District,https://www.schooldigger.com/go/NY/district/13230/search.aspx,15 Craigside Dr,Cold Spring,https://www.schooldigger.com/go/NY/city/Cold+Spring/search.aspx,10516,Putnam County,(845) 265-9254,Yes,No,No,No,305,26.5,11.4,16.1,1,0.3,3,6.9,0,1.3,87.5,78
Owego Free Academy,https://www.schooldigger.com/go/NY/schools/2217003138/school.aspx,Owego-Apalachin Central School District,https://www.schooldigger.com/go/NY/district/22170/search.aspx,1 Sheldon Guile Blvd,Owego,https://www.schooldigger.com/go/NY/city/Owego/search.aspx,13827,Tioga County,(607) 687-7301,No,No,No,No,578,46.1,12.5,41.2,0.9,0.2,0.3,2.2,0.3,1.4,94.6,77.9
Ogdensburg Free Academy,https://www.schooldigger.com/go/NY/schools/2166004325/school.aspx,Ogdensburg City School District,https://www.schooldigger.com/go/NY/district/21660/search.aspx,1100 State St,Ogdensburg,https://www.schooldigger.com/go/NY/city/Ogdensburg/search.aspx,13669,St. Lawrence County,(315) 393-0900,Yes,No,No,No,726,57.4,12.6,53,0.6,0,0.4,0.4,0,0.1,98.5,77.8
Cazenovia High School,https://www.schooldigger.com/go/NY/schools/0678000466/school.aspx,Cazenovia Central School District,https://www.schooldigger.com/go/NY/district/06780/search.aspx,31 Emory Ave,Cazenovia,https://www.schooldigger.com/go/NY/city/Cazenovia/search.aspx,13035,Madison County,(315) 655-1314,No,No,No,No,563,49.9,11.2,22.7,0.5,0.2,1.8,3.7,0,1.1,92.7,77.7
Warsaw Senior High School,https://www.schooldigger.com/go/NY/schools/2994004030/school.aspx,Warsaw Central School District,https://www.schooldigger.com/go/NY/district/29940/search.aspx,81 W Court St,Warsaw,https://www.schooldigger.com/go/NY/city/Warsaw/search.aspx,14569,Wyoming County,(585) 786-8000,No,No,No,No,261,27.6,9.4,43.7,0.8,0,1.5,0.8,0,2.3,94.6,77.6
Dobbs Ferry High School,https://www.schooldigger.com/go/NY/schools/0912000702/school.aspx,Dobbs Ferry Union Free School District,https://www.schooldigger.com/go/NY/district/09120/search.aspx,505 Broadway,Dobbs Ferry,https://www.schooldigger.com/go/NY/city/Dobbs+Ferry/search.aspx,10522,Westchester County,(914) 693-7645,No,No,No,No,435,42.6,10.2,13.3,3,0,3.9,20,0.2,5.1,67.8,77.4
Paul V Moore High School,https://www.schooldigger.com/go/NY/schools/0690000485/school.aspx,Central Square Central School District,https://www.schooldigger.com/go/NY/district/06900/search.aspx,44 School Dr,Central Square,https://www.schooldigger.com/go/NY/city/Central+Square/search.aspx,13036,Oswego County,(315) 668-4231,Yes,No,No,No,1101,79.6,13.8,38,0.8,0.5,0.5,2.2,0,2.3,93.7,77.4
