Rank (2023-24),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2023-24)
11,Weber Innovation High School,https://www.schooldigger.com/go/UT/schools/0120001482/school.aspx,Weber District,https://www.schooldigger.com/go/UT/district/01200/search.aspx,1007 W 12th Street,Ogden,https://www.schooldigger.com/go/UT/city/Ogden/search.aspx,84404,Weber County,(801) 476-6500,6,12,No,No,No,No,431,18.9,22.7,20.00%,1.40%,0.50%,0.90%,11.40%,0.20%,3.50%,82.10%,87.9
12,American Preparatory Academy - Draper #3,https://www.schooldigger.com/go/UT/schools/0000501471/school.aspx,American Preparatory Academy,https://www.schooldigger.com/go/UT/district/00005/search.aspx,11938 Lone Peak Parkway,Draper,https://www.schooldigger.com/go/UT/city/Draper/search.aspx,84020,Salt Lake County,(801) 810-3590,7,12,No,Yes,No,No,735,42.8,17.1,18.00%,1.80%,0.10%,20.00%,30.60%,1.20%,2.60%,43.70%,86.2
13,Desert Hills High,https://www.schooldigger.com/go/UT/schools/0114001290/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,828 E Desert Hills Drive,Saint George,https://www.schooldigger.com/go/UT/city/Saint+George/search.aspx,84790,Washington County,(435) 674-0885,10,12,No,No,No,No,1208,46.6,25.9,16.40%,0.80%,0.70%,1.10%,8.80%,1.90%,2.70%,84.00%,82
14,Lone Peak High,https://www.schooldigger.com/go/UT/schools/0003000445/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,10189 N 4800 W,Highland,https://www.schooldigger.com/go/UT/city/Highland/search.aspx,84003,Utah County,(801) 610-8810,10,12,No,No,No,No,2507,88.6,28.2,6.70%,0.90%,0.10%,1.50%,5.30%,0.90%,4.20%,87.10%,81.1
15,Green Canyon High School,https://www.schooldigger.com/go/UT/schools/0012001512/school.aspx,Cache District,https://www.schooldigger.com/go/UT/district/00120/search.aspx,2960 N. Wolf Pack Way,North Logan,https://www.schooldigger.com/go/UT/city/North+Logan/search.aspx,84341,Cache County,(435) 792-9300,8,12,No,No,No,No,1676,68,24.6,18.50%,0.70%,0.40%,1.40%,11.90%,0.20%,2.40%,82.90%,79.6
16,Parowan High,https://www.schooldigger.com/go/UT/schools/0039000284/school.aspx,Iron District,https://www.schooldigger.com/go/UT/district/00390/search.aspx,50 W 100 N,Parowan,https://www.schooldigger.com/go/UT/city/Parowan/search.aspx,84761,Iron County,(435) 477-3366,7,12,No,No,No,No,350,21.1,16.5,34.00%,0.30%,0.60%,0.30%,5.10%,0.30%,1.10%,92.30%,79
17,Vanguard Academy,https://www.schooldigger.com/go/UT/schools/0018301475/school.aspx,Vanguard Academy,https://www.schooldigger.com/go/UT/district/00183/search.aspx,2650 South Decker Lake Lane,West Valley City,https://www.schooldigger.com/go/UT/city/West+Valley+City/search.aspx,84119,Salt Lake County,(801) 327-8724,7,12,Yes,Yes,No,No,568,30.8,18.4,51.80%,0.00%,0.00%,0.00%,0.90%,0.00%,0.00%,99.10%,79
18,North Summit High,https://www.schooldigger.com/go/UT/schools/0069000415/school.aspx,North Summit District,https://www.schooldigger.com/go/UT/district/00690/search.aspx,53 S 100 E,Coalville,https://www.schooldigger.com/go/UT/city/Coalville/search.aspx,84017,Summit County,(435) 336-5656,9,12,No,No,No,No,360,20.4,17.6,20.00%,0.00%,0.00%,0.60%,17.80%,0.00%,1.40%,80.30%,78.1
19,Success DSU,https://www.schooldigger.com/go/UT/schools/0003701470/school.aspx,Success Academy,https://www.schooldigger.com/go/UT/district/00037/search.aspx,225 South 700 East,St George,https://www.schooldigger.com/go/UT/city/St+George/search.aspx,84770,Washington County,(435) 652-7830,10,12,No,Yes,No,No,316,5.3,59.5,7.60%,1.60%,0.90%,1.60%,13.00%,1.30%,0.30%,81.30%,77.6
20,Park City High,https://www.schooldigger.com/go/UT/schools/0075000447/school.aspx,Park City District,https://www.schooldigger.com/go/UT/district/00750/search.aspx,1750 Kearns Blvd,Park City,https://www.schooldigger.com/go/UT/city/Park+City/search.aspx,84060,Summit County,(435) 645-5650,10,12,No,No,No,No,1222,65.4,18.6,15.80%,0.60%,0.00%,1.40%,16.70%,0.20%,3.40%,77.80%,77.3
21,Davis High,https://www.schooldigger.com/go/UT/schools/0021000115/school.aspx,Davis District,https://www.schooldigger.com/go/UT/district/00210/search.aspx,325 S Main,Kaysville,https://www.schooldigger.com/go/UT/city/Kaysville/search.aspx,84037,Davis County,(801) 402-8800,10,12,No,No,No,No,2225,85.5,26,8.60%,1.00%,0.20%,1.10%,5.90%,0.50%,2.00%,89.30%,77.1
22,Cedar City High,https://www.schooldigger.com/go/UT/schools/0039000278/school.aspx,Iron District,https://www.schooldigger.com/go/UT/district/00390/search.aspx,703 W 600 S,Cedar City,https://www.schooldigger.com/go/UT/city/Cedar+City/search.aspx,84720,Iron County,(435) 586-2820,9,12,No,No,No,No,1341,63.6,21,26.20%,0.70%,1.90%,1.30%,11.90%,1.00%,1.90%,81.40%,77.1
23,Hurricane High,https://www.schooldigger.com/go/UT/schools/0114000601/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,345 W Tiger Blvd,Hurricane,https://www.schooldigger.com/go/UT/city/Hurricane/search.aspx,84737,Washington County,(435) 635-3280,PK,12,No,No,No,No,1164,46.3,25,30.20%,0.50%,0.50%,0.30%,13.70%,0.70%,2.00%,82.30%,76.5
24,Utah Online 7-12,https://www.schooldigger.com/go/UT/schools/0114001432/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,121 W. Tabernacle,Saint George,https://www.schooldigger.com/go/UT/city/Saint+George/search.aspx,84770,Washington County,(435) 673-3553,6,12,No,No,No,Yes,1313,52.7,24.9,13.90%,1.40%,1.70%,1.80%,11.00%,1.70%,1.80%,80.70%,75.9
25,Wasatch High,https://www.schooldigger.com/go/UT/schools/0111000594/school.aspx,Wasatch District,https://www.schooldigger.com/go/UT/district/01110/search.aspx,930 S 500 E,Heber City,https://www.schooldigger.com/go/UT/city/Heber+City/search.aspx,84032,Wasatch County,(435) 654-0640,9,12,No,No,No,No,2542,114.6,22.1,17.00%,0.30%,0.10%,0.50%,19.40%,0.10%,2.20%,77.30%,75.9
26,American Fork High,https://www.schooldigger.com/go/UT/schools/0003000002/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,510 N 600 E,American Fork,https://www.schooldigger.com/go/UT/city/American+Fork/search.aspx,84003,Utah County,(801) 610-8800,10,12,No,No,No,No,2335,89.7,26,13.20%,0.50%,0.50%,0.90%,11.60%,1.10%,3.20%,82.10%,73.1
27,Morgan High,https://www.schooldigger.com/go/UT/schools/0057000363/school.aspx,Morgan District,https://www.schooldigger.com/go/UT/district/00570/search.aspx,55 N 200 E,Morgan,https://www.schooldigger.com/go/UT/city/Morgan/search.aspx,84050,Morgan County,(801) 829-3418,9,12,No,No,No,No,1143,46.9,24.3,9.20%,0.10%,0.30%,0.60%,3.40%,0.00%,1.70%,94.00%,72.8
28,Skyridge High School,https://www.schooldigger.com/go/UT/schools/0003001486/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,3000 North Center Street,Lehi,https://www.schooldigger.com/go/UT/city/Lehi/search.aspx,84043,Utah County,(801) 610-8820,9,12,No,No,No,No,2469,88.5,27.8,10.40%,0.90%,0.10%,1.60%,10.50%,2.10%,5.30%,79.50%,72.1
29,Brighton High,https://www.schooldigger.com/go/UT/schools/0014200291/school.aspx,Canyons District,https://www.schooldigger.com/go/UT/district/00142/search.aspx,2220 E 7695 S,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84121,Salt Lake County,(801) 826-5800,8,12,No,No,No,No,2393,92.1,25.9,15.00%,1.20%,0.10%,1.20%,10.30%,1.10%,6.40%,79.60%,69.8
30,Westlake High,https://www.schooldigger.com/go/UT/schools/0003001293/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,99 N 200 W,Saratoga Springs,https://www.schooldigger.com/go/UT/city/Saratoga+Springs/search.aspx,84045,Utah County,(801) 610-8815,10,12,No,No,No,No,2847,106.4,26.7,12.00%,1.10%,0.30%,0.70%,13.70%,1.60%,5.10%,77.50%,69.2
31,Timpanogos High,https://www.schooldigger.com/go/UT/schools/0003000362/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,1450 N 200 E,Orem,https://www.schooldigger.com/go/UT/city/Orem/search.aspx,84057,Utah County,(801) 610-8175,10,12,No,No,No,No,1455,60.8,23.9,22.50%,0.70%,0.20%,1.20%,22.90%,1.10%,2.50%,71.30%,68.8
32,Sky View High,https://www.schooldigger.com/go/UT/schools/0012000083/school.aspx,Cache District,https://www.schooldigger.com/go/UT/district/00120/search.aspx,520 S 250 E,Smithfield,https://www.schooldigger.com/go/UT/city/Smithfield/search.aspx,84335,Cache County,(435) 563-6273,8,12,No,No,No,No,1555,61.1,25.4,23.20%,0.80%,0.60%,0.60%,7.90%,0.60%,2.10%,87.50%,68.1
33,Timpview High,https://www.schooldigger.com/go/UT/schools/0081000466/school.aspx,Provo District,https://www.schooldigger.com/go/UT/district/00810/search.aspx,3570 N 650 E,Provo,https://www.schooldigger.com/go/UT/city/Provo/search.aspx,84604,Utah County,(801) 221-9720,9,12,No,No,No,No,2268,92.6,24.4,27.10%,1.00%,0.40%,2.60%,24.10%,3.70%,4.30%,63.90%,67.6
34,Itineris Early College High,https://www.schooldigger.com/go/UT/schools/0006700997/school.aspx,Itineris Early College High,https://www.schooldigger.com/go/UT/district/00067/search.aspx,8714 Roy Del Circle,West Jordan,https://www.schooldigger.com/go/UT/city/West+Jordan/search.aspx,84088,Salt Lake County,(385) 800-2140,9,12,Yes,Yes,No,No,384,18.5,20.7,27.30%,2.90%,0.50%,13.50%,36.70%,1.80%,3.40%,41.10%,67.1
35,Kanab High,https://www.schooldigger.com/go/UT/schools/0048000339/school.aspx,Kane District,https://www.schooldigger.com/go/UT/district/00480/search.aspx,59 E Cowboy Dr,Kanab,https://www.schooldigger.com/go/UT/city/Kanab/search.aspx,84741,Kane County,(435) 644-5821,9,12,No,No,No,No,330,14.5,22.7,25.20%,0.30%,0.60%,0.00%,7.60%,0.00%,3.30%,88.20%,66
36,Milford High,https://www.schooldigger.com/go/UT/schools/0006000038/school.aspx,Beaver District,https://www.schooldigger.com/go/UT/district/00060/search.aspx,62 N 300 W,Milford,https://www.schooldigger.com/go/UT/city/Milford/search.aspx,84751,Beaver County,(435) 387-2751,7,12,No,No,No,No,208,11.9,17.4,41.80%,0.50%,1.00%,0.50%,18.80%,1.40%,1.40%,76.40%,65
37,Orem High,https://www.schooldigger.com/go/UT/schools/0003000021/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,175 S 400 E,Orem,https://www.schooldigger.com/go/UT/city/Orem/search.aspx,84097,Utah County,(801) 610-8165,10,12,No,No,No,No,1299,52.3,24.8,24.50%,1.10%,0.50%,1.00%,23.70%,2.60%,4.50%,66.60%,64.4
38,Farmington High,https://www.schooldigger.com/go/UT/schools/0021001537/school.aspx,Davis District,https://www.schooldigger.com/go/UT/district/00210/search.aspx,548 W Glovers Lange,Farmington,https://www.schooldigger.com/go/UT/city/Farmington/search.aspx,84025,Davis County,(801) 402-9050,10,12,No,No,No,No,2172,78.3,27.7,6.70%,1.30%,0.10%,1.00%,4.90%,1.00%,2.40%,89.30%,64.3
39,Millard High,https://www.schooldigger.com/go/UT/schools/0054000361/school.aspx,Millard District,https://www.schooldigger.com/go/UT/district/00540/search.aspx,200 W Center St,Fillmore,https://www.schooldigger.com/go/UT/city/Fillmore/search.aspx,84631,Millard County,(435) 743-5610,9,12,No,No,No,No,418,18.5,22.5,48.60%,0.20%,1.20%,0.70%,15.60%,0.00%,2.60%,79.70%,64.2
40,Providence Hall,https://www.schooldigger.com/go/UT/schools/0012401202/school.aspx,Providence Hall,https://www.schooldigger.com/go/UT/district/00124/search.aspx,4795  W Patriot Ridge Drive,Herriman,https://www.schooldigger.com/go/UT/city/Herriman/search.aspx,84096,Salt Lake County,(801) 727-8260,KG,12,Yes,Yes,No,No,2104,121.7,17.2,20.30%,1.40%,0.00%,3.40%,22.80%,0.70%,6.50%,65.30%,62.8
41,Salem Hills High,https://www.schooldigger.com/go/UT/schools/0063001160/school.aspx,Nebo District,https://www.schooldigger.com/go/UT/district/00630/search.aspx,150 N Skyhawk Blvd,Salem,https://www.schooldigger.com/go/UT/city/Salem/search.aspx,84653,Utah County,(801) 423-3200,9,12,No,No,No,No,1585,69,22.9,17.20%,0.60%,0.30%,0.40%,11.80%,0.20%,3.50%,83.30%,62.1
42,North Sevier High,https://www.schooldigger.com/go/UT/schools/0093000542/school.aspx,Sevier District,https://www.schooldigger.com/go/UT/district/00930/search.aspx,350 W 400 N,Salina,https://www.schooldigger.com/go/UT/city/Salina/search.aspx,84654,Sevier County,(435) 529-3717,9,12,No,No,No,No,291,18.4,15.7,39.20%,0.30%,0.00%,0.70%,5.80%,1.70%,0.00%,91.40%,61.9
43,Davinci Academy,https://www.schooldigger.com/go/UT/schools/0006500995/school.aspx,Davinci Academy,https://www.schooldigger.com/go/UT/district/00065/search.aspx,2033 Grant Ave,Ogden,https://www.schooldigger.com/go/UT/city/Ogden/search.aspx,84401,Weber County,(801) 409-0700,KG,12,Yes,Yes,No,No,1269,61.4,20.6,30.90%,0.70%,0.20%,0.90%,23.60%,0.30%,4.50%,69.70%,61.9
44,Uintah High,https://www.schooldigger.com/go/UT/schools/0108000585/school.aspx,Uintah District,https://www.schooldigger.com/go/UT/district/01080/search.aspx,1880 W 500 N,Vernal,https://www.schooldigger.com/go/UT/city/Vernal/search.aspx,84078,Uintah County,(435) 781-3110,9,12,No,No,No,No,1856,74.2,24.9,30.30%,0.80%,4.10%,0.40%,10.70%,0.20%,2.20%,81.70%,60.7
45,Viewmont High,https://www.schooldigger.com/go/UT/schools/0021000151/school.aspx,Davis District,https://www.schooldigger.com/go/UT/district/00210/search.aspx,120 W 1000 N,Bountiful,https://www.schooldigger.com/go/UT/city/Bountiful/search.aspx,84010,Davis County,(801) 402-4200,10,12,No,No,No,No,1538,62.4,24.6,14.60%,1.30%,0.20%,1.00%,9.00%,1.20%,3.20%,84.10%,60.4
46,South Sevier High,https://www.schooldigger.com/go/UT/schools/0093000547/school.aspx,Sevier District,https://www.schooldigger.com/go/UT/district/00930/search.aspx,430 W 100 S,Monroe,https://www.schooldigger.com/go/UT/city/Monroe/search.aspx,84754,Sevier County,(435) 527-4651,9,12,No,No,No,No,442,22.9,19.2,36.70%,0.50%,7.90%,0.20%,4.10%,0.70%,0.00%,86.70%,60.4
47,Ridgeline High School,https://www.schooldigger.com/go/UT/schools/0012001487/school.aspx,Cache District,https://www.schooldigger.com/go/UT/district/00120/search.aspx,180 N 300 W,Millville,https://www.schooldigger.com/go/UT/city/Millville/search.aspx,84326,Cache County,(435) 792-7780,8,12,No,No,No,No,1861,72.3,25.7,17.70%,0.40%,0.60%,1.30%,10.30%,0.50%,2.40%,84.50%,59.7
48,Alta High,https://www.schooldigger.com/go/UT/schools/0014200659/school.aspx,Canyons District,https://www.schooldigger.com/go/UT/district/00142/search.aspx,11055 S 1000 E,Sandy,https://www.schooldigger.com/go/UT/city/Sandy/search.aspx,84094,Salt Lake County,(801) 826-5600,8,12,No,No,No,No,2350,93.2,25.1,14.90%,1.10%,0.40%,2.80%,13.20%,2.10%,4.90%,75.60%,59.6
49,Hillcrest High,https://www.schooldigger.com/go/UT/schools/0014200305/school.aspx,Canyons District,https://www.schooldigger.com/go/UT/district/00142/search.aspx,7350 S 900 E,Midvale,https://www.schooldigger.com/go/UT/city/Midvale/search.aspx,84047,Salt Lake County,(801) 826-6000,8,12,No,No,No,No,2367,100.8,23.4,39.40%,3.00%,0.90%,9.10%,31.20%,0.80%,5.40%,49.60%,59
50,Mountain Heights Academy,https://www.schooldigger.com/go/UT/schools/0013801285/school.aspx,Mountain Heights Academy,https://www.schooldigger.com/go/UT/district/00138/search.aspx,9067 S 1300 W Suite 204,West Jordan,https://www.schooldigger.com/go/UT/city/West+Jordan/search.aspx,84088,Salt Lake County,(801) 721-6329,7,12,No,Yes,No,Yes,882,70.9,12.4,14.10%,1.50%,0.50%,1.40%,14.60%,1.50%,3.40%,77.20%,58.5
51,Weber High,https://www.schooldigger.com/go/UT/schools/0120000645/school.aspx,Weber District,https://www.schooldigger.com/go/UT/district/01200/search.aspx,430 W Weber High Dr,Ogden,https://www.schooldigger.com/go/UT/city/Ogden/search.aspx,84414,Weber County,(801) 476-3700,10,12,No,No,No,No,2074,99.1,20.9,18.40%,0.40%,0.40%,1.30%,9.10%,0.30%,2.50%,86.00%,57.6
52,Enterprise High,https://www.schooldigger.com/go/UT/schools/0114000599/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,565 S 200 E,Enterprise,https://www.schooldigger.com/go/UT/city/Enterprise/search.aspx,84725,Washington County,(435) 878-2248,7,12,No,No,No,No,558,28.5,19.5,42.70%,0.20%,1.30%,0.20%,12.70%,0.00%,1.60%,84.10%,57
53,Springville High,https://www.schooldigger.com/go/UT/schools/0063000402/school.aspx,Nebo District,https://www.schooldigger.com/go/UT/district/00630/search.aspx,1205 E 900 S,Springville,https://www.schooldigger.com/go/UT/city/Springville/search.aspx,84663,Utah County,(801) 489-2870,6,12,No,No,No,No,1675,73.3,22.8,23.90%,0.50%,0.80%,0.80%,19.50%,1.20%,4.40%,72.80%,57
54,Highland High,https://www.schooldigger.com/go/UT/schools/0087000496/school.aspx,Salt Lake District,https://www.schooldigger.com/go/UT/district/00870/search.aspx,2166 S 1700 E,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84106,Salt Lake County,(801) 484-4343,9,12,No,No,No,No,2009,85.6,23.4,31.00%,3.90%,1.40%,3.00%,22.50%,2.70%,4.60%,61.80%,56.2
55,Snow Canyon High,https://www.schooldigger.com/go/UT/schools/0114000206/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,1385 N Lava Flow Dr,St George,https://www.schooldigger.com/go/UT/city/St+George/search.aspx,84770,Washington County,(435) 634-1967,10,12,No,No,No,No,1279,51.7,24.7,29.50%,0.40%,2.80%,0.50%,23.90%,1.00%,2.90%,68.50%,56.2
56,Delta High,https://www.schooldigger.com/go/UT/schools/0054000356/school.aspx,Millard District,https://www.schooldigger.com/go/UT/district/00540/search.aspx,50 W 300 N,Delta,https://www.schooldigger.com/go/UT/city/Delta/search.aspx,84624,Millard County,(435) 864-5610,9,12,No,No,No,No,592,27.4,21.5,41.60%,0.00%,0.30%,0.20%,19.10%,0.00%,1.40%,79.10%,55.9
57,Lehi High,https://www.schooldigger.com/go/UT/schools/0003000017/school.aspx,Alpine District,https://www.schooldigger.com/go/UT/district/00030/search.aspx,180 N 500 E,Lehi,https://www.schooldigger.com/go/UT/city/Lehi/search.aspx,84043,Utah County,(801) 610-8805,10,12,No,No,No,No,2082,77.2,26.9,11.50%,1.00%,0.50%,0.20%,9.30%,1.00%,4.60%,83.50%,55.4
58,Dixie High,https://www.schooldigger.com/go/UT/schools/0114000597/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,350 E 700 S,St George,https://www.schooldigger.com/go/UT/city/St+George/search.aspx,84770,Washington County,(435) 673-4682,10,12,No,No,No,No,1209,56.1,21.5,33.60%,0.80%,1.00%,0.30%,23.90%,2.30%,2.90%,68.70%,55.1
59,Olympus High,https://www.schooldigger.com/go/UT/schools/0036000248/school.aspx,Granite District,https://www.schooldigger.com/go/UT/district/00360/search.aspx,4055 S 2300 E,Salt Lake City,https://www.schooldigger.com/go/UT/city/Salt+Lake+City/search.aspx,84124,Salt Lake County,(385) 646-5400,9,12,No,No,No,No,2167,83.2,26,18.40%,1.90%,0.30%,1.80%,11.70%,0.30%,4.60%,79.40%,53.3
60,Emery High,https://www.schooldigger.com/go/UT/schools/0027000178/school.aspx,Emery District,https://www.schooldigger.com/go/UT/district/00270/search.aspx,975 N Center,Castle Dale,https://www.schooldigger.com/go/UT/city/Castle+Dale/search.aspx,84513,Emery County,(435) 381-2689,9,12,No,No,No,No,636,33.4,18.9,32.40%,0.20%,0.00%,0.30%,5.30%,0.00%,0.60%,93.60%,53.3
61,Fremont High,https://www.schooldigger.com/go/UT/schools/0120000221/school.aspx,Weber District,https://www.schooldigger.com/go/UT/district/01200/search.aspx,1900 N 4700 W,Plain City,https://www.schooldigger.com/go/UT/city/Plain+City/search.aspx,84404,Weber County,(801) 452-4000,10,12,No,No,No,No,2252,97.1,23.1,15.40%,0.70%,0.20%,0.40%,8.50%,0.40%,2.00%,87.90%,53
62,Pine View High,https://www.schooldigger.com/go/UT/schools/0114000807/school.aspx,Washington District,https://www.schooldigger.com/go/UT/district/01140/search.aspx,2850 E 750 N,St George,https://www.schooldigger.com/go/UT/city/St+George/search.aspx,84790,Washington County,(435) 628-5255,10,12,No,No,No,No,1136,51.8,21.9,33.30%,0.90%,2.60%,0.50%,27.60%,2.10%,3.10%,63.30%,52.4
63,Mountain Ridge High,https://www.schooldigger.com/go/UT/schools/0042001525/school.aspx,Jordan District,https://www.schooldigger.com/go/UT/district/00420/search.aspx,14100 S Sentinel Ridge Blvd,Herriman,https://www.schooldigger.com/go/UT/city/Herriman/search.aspx,84096,Salt Lake County,(801) 412-1700,10,12,No,No,No,No,2598,106.7,24.3,12.10%,0.70%,0.30%,0.90%,14.50%,1.20%,3.80%,78.60%,50.9
64,Gunnison Valley High,https://www.schooldigger.com/go/UT/schools/0096000550/school.aspx,South Sanpete District,https://www.schooldigger.com/go/UT/district/00960/search.aspx,35 E 600 S,Gunnison,https://www.schooldigger.com/go/UT/city/Gunnison/search.aspx,84634,Sanpete County,(435) 528-7256,9,12,No,No,No,No,332,21.5,15.3,35.50%,0.90%,1.20%,0.00%,17.20%,0.00%,2.10%,78.60%,50.8
65,Summit Academy High School,https://www.schooldigger.com/go/UT/schools/0006601396/school.aspx,Summit Academy,https://www.schooldigger.com/go/UT/district/00066/search.aspx,14942 S 560 West,Bluffdale,https://www.schooldigger.com/go/UT/city/Bluffdale/search.aspx,84065,Salt Lake County,(801) 495-3272,KG,12,(n/a),Yes,(n/a),No,547,31.3,17.4,18.60%,2.70%,0.00%,3.50%,14.60%,0.20%,4.60%,74.40%,50.4
66,Bountiful High,https://www.schooldigger.com/go/UT/schools/0021000105/school.aspx,Davis District,https://www.schooldigger.com/go/UT/district/00210/search.aspx,695 S Orchard Dr,Bountiful,https://www.schooldigger.com/go/UT/city/Bountiful/search.aspx,84010,Davis County,(801) 402-3900,10,12,No,No,No,No,1526,60.1,25.3,12.80%,1.20%,0.10%,1.20%,11.70%,2.00%,2.80%,80.90%,50.4
