Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
11,Union County Technical,https://www.schooldigger.com/go/NJ/schools/1804005738/school.aspx,Union County Vocational-Technical School District,https://www.schooldigger.com/go/NJ/district/18040/search.aspx,1776 Raritan Rd,Scotch Plains,https://www.schooldigger.com/go/NJ/city/Scotch+Plains/search.aspx,7076,Union County,(908) 889-8288,9,12,Yes,No,(n/a),No,482,22.4,21.4,0.17,0.17,0.00,0.09,0.26,0.01,0.02,0.45,93.4
12,High Technology High School,https://www.schooldigger.com/go/NJ/schools/1750006095/school.aspx,Monmouth County Vocational School District,https://www.schooldigger.com/go/NJ/district/17500/search.aspx,765 Newman Springs Road,Lincroft,https://www.schooldigger.com/go/NJ/city/Lincroft/search.aspx,7738,Monmouth County,(732) 842-8444,9,12,No,No,(n/a),No,286,23,12.4,0.03,0.03,0.00,0.55,0.02,0.00,0.04,0.36,93
13,Academy for Mathematics Science and Engineering,https://www.schooldigger.com/go/NJ/schools/1072000522/school.aspx,Morris County Vocational School District,https://www.schooldigger.com/go/NJ/district/10720/search.aspx,520 West Main Street,Rockaway,https://www.schooldigger.com/go/NJ/city/Rockaway/search.aspx,7866,Morris County,(973) 664-2301,9,12,No,No,(n/a),No,144,,,0.00,0.00,0.00,0.82,0.02,0.00,0.02,0.14,93
14,Academy for Biotechnology,https://www.schooldigger.com/go/NJ/schools/1072003418/school.aspx,Morris County Vocational School District,https://www.schooldigger.com/go/NJ/district/10720/search.aspx,96 Powerville Road,Mountain Lakes,https://www.schooldigger.com/go/NJ/city/Mountain+Lakes/search.aspx,7046,Morris County,(973) 334-8480,9,12,No,No,(n/a),No,39,,,0.00,0.00,0.00,0.39,0.00,0.00,0.03,0.59,92.5
15,Bergen County Technical High School - Teterboro,https://www.schooldigger.com/go/NJ/schools/0147000262/school.aspx,Bergen County Vocational Technical School District,https://www.schooldigger.com/go/NJ/district/01470/search.aspx,504 Route 46 West,Teterboro,https://www.schooldigger.com/go/NJ/city/Teterboro/search.aspx,7608,Bergen County,(201) 343-6000,9,12,No,No,(n/a),No,666,66,10,0.10,0.07,0.00,0.30,0.19,0.01,0.00,0.42,92.5
16,Morris County School of Technology,https://www.schooldigger.com/go/NJ/schools/1072004348/school.aspx,Morris County Vocational School District,https://www.schooldigger.com/go/NJ/district/10720/search.aspx,400 East Main Street,Denville,https://www.schooldigger.com/go/NJ/city/Denville/search.aspx,7834,Morris County,(973) 627-4600,9,12,No,No,(n/a),No,750,72.5,10.3,0.03,0.01,0.00,0.25,0.11,0.00,0.03,0.60,92.1
17,Dr Ronald McNair High School,https://www.schooldigger.com/go/NJ/schools/0783002778/school.aspx,Jersey City Public Schools,https://www.schooldigger.com/go/NJ/district/07830/search.aspx,123 Coles  Street,Jersey City,https://www.schooldigger.com/go/NJ/city/Jersey+City/search.aspx,7302,Hudson County,(201) 418-7617,9,12,Yes,No,(n/a),No,699,51,13.7,0.46,0.14,0.00,0.46,0.19,0.01,0.01,0.20,91.8
18,Middlesex County Vocational Academy Allied Health & Biomedical Science,https://www.schooldigger.com/go/NJ/schools/1008003428/school.aspx,Middlesex County Vocational and Technical School District,https://www.schooldigger.com/go/NJ/district/10080/search.aspx,1 Convery Boulevard,Woodbridge,https://www.schooldigger.com/go/NJ/city/Woodbridge/search.aspx,7095,Middlesex County,(732) 634-5858,9,12,No,No,(n/a),No,269,19,14.1,0.08,0.03,0.00,0.78,0.05,0.00,0.00,0.13,91.7
19,Marine Academy Of Science And Technology,https://www.schooldigger.com/go/NJ/schools/1750005989/school.aspx,Monmouth County Vocational School District,https://www.schooldigger.com/go/NJ/district/17500/search.aspx,305 Mast Way,Highlands,https://www.schooldigger.com/go/NJ/city/Highlands/search.aspx,7732,Monmouth County,(732) 291-0995,9,12,No,No,(n/a),No,278,27,10.2,0.02,0.00,0.00,0.06,0.05,0.00,0.03,0.86,91.3
20,Academy for Environmental Science,https://www.schooldigger.com/go/NJ/schools/1072003375/school.aspx,Morris County Vocational School District,https://www.schooldigger.com/go/NJ/district/10720/search.aspx,1010 Weldon Road,Oak Ridge,https://www.schooldigger.com/go/NJ/city/Oak+Ridge/search.aspx,7438,Passaic County,(973) 697-3535,9,12,No,No,(n/a),No,40,,,0.00,0.00,0.00,0.05,0.05,0.03,0.03,0.85,91.3
21,Northern Valley Regional High School At Demarest,https://www.schooldigger.com/go/NJ/schools/1176000650/school.aspx,Northern Valley Regional High School District,https://www.schooldigger.com/go/NJ/district/11760/search.aspx,150 Knickerbocker Road,Demarest,https://www.schooldigger.com/go/NJ/city/Demarest/search.aspx,7627,Bergen County,(201) 768-3200,9,12,No,No,(n/a),No,1038,97.4,10.6,0.01,0.01,0.00,0.30,0.01,0.00,0.04,0.63,88.2
22,Marine Academy of Technology and Environmental Science,https://www.schooldigger.com/go/NJ/schools/1198000559/school.aspx,Ocean County Vocational Technical School District,https://www.schooldigger.com/go/NJ/district/11980/search.aspx,195 Cedar Bridge Road,Manahawkin,https://www.schooldigger.com/go/NJ/city/Manahawkin/search.aspx,8050,Ocean County,(609) 978-8439,9,12,No,No,(n/a),No,275,23,11.9,0.07,0.02,0.00,0.12,0.06,0.00,0.03,0.78,87.4
23,Summit High School,https://www.schooldigger.com/go/NJ/schools/1590005708/school.aspx,Summit Public School District,https://www.schooldigger.com/go/NJ/district/15900/search.aspx,125 Kent Place Blvd,Summit,https://www.schooldigger.com/go/NJ/city/Summit/search.aspx,7901,Union County,(908) 273-1494,9,12,Yes,No,(n/a),No,1169,109.4,10.6,0.15,0.04,0.00,0.08,0.18,0.00,0.06,0.64,86.8
24,Pascack Hills High School,https://www.schooldigger.com/go/NJ/schools/1251000718/school.aspx,Pascack Valley Regional High School District,https://www.schooldigger.com/go/NJ/district/12510/search.aspx,225 West Grand Avenue,Montvale,https://www.schooldigger.com/go/NJ/city/Montvale/search.aspx,7645,Bergen County,(201) 358-7020,9,12,No,No,(n/a),No,842,70,12,0.01,0.01,0.00,0.12,0.10,0.00,0.01,0.77,86.8
25,Academy For Performing Arts,https://www.schooldigger.com/go/NJ/schools/1804003009/school.aspx,Union County Vocational-Technical School District,https://www.schooldigger.com/go/NJ/district/18040/search.aspx,1776 Raritan Road,Scotch Plains,https://www.schooldigger.com/go/NJ/city/Scotch+Plains/search.aspx,7076,Union County,(908) 889-8288,9,12,Yes,No,(n/a),No,236,13.8,17,0.11,0.15,0.00,0.06,0.28,0.00,0.03,0.48,86.7
26,Technology High School,https://www.schooldigger.com/go/NJ/schools/1134000139/school.aspx,Newark Public School District,https://www.schooldigger.com/go/NJ/district/11340/search.aspx,223 Broadway,Newark,https://www.schooldigger.com/go/NJ/city/Newark/search.aspx,7102,Essex County,(973) 481-5962,9,12,Yes,No,(n/a),No,614,53,11.5,0.87,0.14,0.00,0.04,0.67,0.00,0.00,0.15,86.6
27,Glen Ridge High School,https://www.schooldigger.com/go/NJ/schools/0594002092/school.aspx,Glen Ridge Public School District,https://www.schooldigger.com/go/NJ/district/05940/search.aspx,200 Ridgewood Ave,Glen Ridge,https://www.schooldigger.com/go/NJ/city/Glen+Ridge/search.aspx,7028,Essex County,(973) 429-8303,7,12,No,No,(n/a),No,837,75.3,11.1,0.00,0.04,0.00,0.06,0.06,0.00,0.07,0.77,86.3
28,Northern Valley Regional High School at Old Tappan,https://www.schooldigger.com/go/NJ/schools/1176000652/school.aspx,Northern Valley Regional High School District,https://www.schooldigger.com/go/NJ/district/11760/search.aspx,140 Central Avenue,Old Tappan,https://www.schooldigger.com/go/NJ/city/Old+Tappan/search.aspx,7675,Bergen County,(201) 784-1600,9,12,Yes,No,(n/a),No,1170,97.9,11.9,0.01,0.01,0.01,0.26,0.02,0.00,0.02,0.69,86.3
29,New Providence High School,https://www.schooldigger.com/go/NJ/schools/1131005592/school.aspx,New Providence School District,https://www.schooldigger.com/go/NJ/district/11310/search.aspx,35 Pioneer Dr,New Providence,https://www.schooldigger.com/go/NJ/city/New+Providence/search.aspx,7974,Union County,(908) 464-4700,9,12,Yes,No,(n/a),No,625,58.8,10.6,0.03,0.02,0.00,0.11,0.10,0.00,0.00,0.78,85.8
30,Infinity Institute,https://www.schooldigger.com/go/NJ/schools/0783003121/school.aspx,Jersey City Public Schools,https://www.schooldigger.com/go/NJ/district/07830/search.aspx,193 Old Bergen Road,Jersey City,https://www.schooldigger.com/go/NJ/city/Jersey+City/search.aspx,7305,Hudson County,(201) 915-1404,6,12,Yes,No,(n/a),No,298,20,14.9,0.68,0.22,0.00,0.29,0.25,0.00,0.01,0.23,85.8
31,John P. Stevens High School,https://www.schooldigger.com/go/NJ/schools/0450003326/school.aspx,Edison Township School District,https://www.schooldigger.com/go/NJ/district/04500/search.aspx,855 Grove Avenue,Edison,https://www.schooldigger.com/go/NJ/city/Edison/search.aspx,8820,Middlesex County,(732) 452-2800,9,12,No,No,(n/a),No,2521,165.8,15.2,0.07,0.07,0.00,0.78,0.04,0.00,0.01,0.11,84.8
32,River Dell Regional High School,https://www.schooldigger.com/go/NJ/schools/1226000786/school.aspx,River Dell Regional School District,https://www.schooldigger.com/go/NJ/district/12260/search.aspx,55 Pyle Street,Oradell,https://www.schooldigger.com/go/NJ/city/Oradell/search.aspx,7649,Bergen County,(201) 599-7240,9,12,Yes,No,(n/a),No,1042,90,11.5,0.01,0.01,0.00,0.20,0.10,0.00,0.02,0.67,83.8
33,Northern Highlands Regional High School,https://www.schooldigger.com/go/NJ/schools/1173000646/school.aspx,Northern Highlands Regional High School District,https://www.schooldigger.com/go/NJ/district/11730/search.aspx,298 Hillside Ave,Allendale,https://www.schooldigger.com/go/NJ/city/Allendale/search.aspx,7401,Bergen County,(201) 327-8700,9,12,Yes,No,(n/a),No,1377,110.4,12.4,0.01,0.02,0.00,0.14,0.06,0.00,0.01,0.78,83.5
34,West Morris Central High School,https://www.schooldigger.com/go/NJ/schools/1755004550/school.aspx,West Morris Regional High School District,https://www.schooldigger.com/go/NJ/district/17550/search.aspx,259 Bartley Road,Chester,https://www.schooldigger.com/go/NJ/city/Chester/search.aspx,7930,Morris County,(908) 879-5212,9,12,No,No,(n/a),No,1228,96.5,12.7,0.02,0.02,0.00,0.04,0.08,0.00,0.04,0.83,83.3
35,Ridge High School,https://www.schooldigger.com/go/NJ/schools/0165005124/school.aspx,Bernards Township School District,https://www.schooldigger.com/go/NJ/district/01650/search.aspx,268 South Finley Avenue,Basking Ridge,https://www.schooldigger.com/go/NJ/city/Basking+Ridge/search.aspx,7920,Somerset County,(908) 204-2585,9,12,No,No,(n/a),No,1864,147.3,12.6,0.01,0.01,0.00,0.27,0.06,0.00,0.03,0.64,83.3
36,Haddonfield Memorial High School,https://www.schooldigger.com/go/NJ/schools/0639001554/school.aspx,Haddonfield School District,https://www.schooldigger.com/go/NJ/district/06390/search.aspx,401 Kings Highway East,Haddonfield,https://www.schooldigger.com/go/NJ/city/Haddonfield/search.aspx,8033,Camden County,(856) 429-3960,9,12,No,No,(n/a),No,869,80.2,10.8,0.02,0.02,0.00,0.05,0.03,0.00,0.02,0.89,82.9
37,Millburn High School,https://www.schooldigger.com/go/NJ/schools/1020002148/school.aspx,Millburn Township School District,https://www.schooldigger.com/go/NJ/district/10200/search.aspx,462 Millburn Ave,Millburn,https://www.schooldigger.com/go/NJ/city/Millburn/search.aspx,7041,Essex County,(973) 564-7130,9,12,No,No,(n/a),No,1385,125.1,11,0.02,0.02,0.00,0.27,0.06,0.00,0.05,0.60,82.1
38,West Morris Mendham High School,https://www.schooldigger.com/go/NJ/schools/1755004552/school.aspx,West Morris Regional High School District,https://www.schooldigger.com/go/NJ/district/17550/search.aspx,65 East Main Street,Mendham,https://www.schooldigger.com/go/NJ/city/Mendham/search.aspx,7945,Morris County,(973) 543-2501,9,12,No,No,(n/a),No,1222,95.3,12.8,0.01,0.01,0.00,0.05,0.07,0.00,0.04,0.83,81.8
39,Moorestown High School,https://www.schooldigger.com/go/NJ/schools/1071001132/school.aspx,Moorestown Township Public School District,https://www.schooldigger.com/go/NJ/district/10710/search.aspx,350 Bridgeboro Road,Moorestown,https://www.schooldigger.com/go/NJ/city/Moorestown/search.aspx,8057,Burlington County,(856) 778-6610,9,12,Yes,No,(n/a),No,1293,113.1,11.4,0.08,0.07,0.00,0.12,0.06,0.00,0.03,0.72,81.3
40,Livingston High School,https://www.schooldigger.com/go/NJ/schools/0882002126/school.aspx,Livingston Board of Education School District,https://www.schooldigger.com/go/NJ/district/08820/search.aspx,30 Robert Harp Drive,Livingston,https://www.schooldigger.com/go/NJ/city/Livingston/search.aspx,7039,Essex County,(973) 535-8000,9,12,Yes,No,(n/a),No,1907,173,11,0.03,0.03,0.00,0.27,0.05,0.00,0.03,0.62,81.1
41,Montgomery High School,https://www.schooldigger.com/go/NJ/schools/1059005250/school.aspx,Montgomery Township School District,https://www.schooldigger.com/go/NJ/district/10590/search.aspx,1016 Route 601,Skillman,https://www.schooldigger.com/go/NJ/city/Skillman/search.aspx,8558,Somerset County,(609) 466-7602,9,12,Yes,No,(n/a),No,1613,118.4,13.6,0.04,0.03,0.00,0.46,0.05,0.00,0.01,0.45,80.9
42,West Essex High School,https://www.schooldigger.com/go/NJ/schools/1746002462/school.aspx,West Essex Regional School District,https://www.schooldigger.com/go/NJ/district/17460/search.aspx,65 West Greenbrook Rd,North Caldwell,https://www.schooldigger.com/go/NJ/city/North+Caldwell/search.aspx,7006,Essex County,(973) 228-1200,9,12,Yes,No,(n/a),No,1123,98.2,11.4,0.04,0.02,0.00,0.05,0.08,0.00,0.02,0.84,80.3
43,Tenafly High School,https://www.schooldigger.com/go/NJ/schools/1611000864/school.aspx,Tenafly Public School District,https://www.schooldigger.com/go/NJ/district/16110/search.aspx,19 Columbus Drive,Tenafly,https://www.schooldigger.com/go/NJ/city/Tenafly/search.aspx,7670,Bergen County,(201) 816-6614,9,12,No,No,(n/a),No,1226,103.9,11.7,0.03,0.02,0.00,0.31,0.06,0.00,0.02,0.60,80.1
44,Whippany Park High School,https://www.schooldigger.com/go/NJ/schools/0666004246/school.aspx,Hanover Park Regional High School District,https://www.schooldigger.com/go/NJ/district/06660/search.aspx,165 Whippany Road,Whippany,https://www.schooldigger.com/go/NJ/city/Whippany/search.aspx,7981,Morris County,(973) 887-3004,9,12,Yes,No,(n/a),No,642,58.4,10.9,0.02,0.03,0.00,0.12,0.08,0.00,0.01,0.76,80
45,Ridgewood High School,https://www.schooldigger.com/go/NJ/schools/1383000764/school.aspx,Ridgewood Public School District,https://www.schooldigger.com/go/NJ/district/13830/search.aspx,627 East Ridgewood Ave,Ridgewood,https://www.schooldigger.com/go/NJ/city/Ridgewood/search.aspx,7451,Bergen County,(201) 670-2800,9,12,No,No,(n/a),No,1767,127.3,13.8,0.02,0.01,0.00,0.18,0.10,0.00,0.05,0.66,79.5
46,Ramapo High School,https://www.schooldigger.com/go/NJ/schools/1356000726/school.aspx,Ramapo Indian Hills Regional High School District,https://www.schooldigger.com/go/NJ/district/13560/search.aspx,331 George Street,Franklin Lakes,https://www.schooldigger.com/go/NJ/city/Franklin+Lakes/search.aspx,7417,Bergen County,(201) 891-1500,9,12,No,No,(n/a),No,1222,112,10.9,0.02,0.01,0.00,0.06,0.04,0.00,0.01,0.88,79.4
47,Cumberland County Technical Education Center,https://www.schooldigger.com/go/NJ/schools/0361001816/school.aspx,Cumberland County Board of Vocational Education,https://www.schooldigger.com/go/NJ/district/03610/search.aspx,3400 College Drive,Millville,https://www.schooldigger.com/go/NJ/city/Millville/search.aspx,8332,Cumberland County,(856) 451-9000,9,12,Yes,No,(n/a),No,700,69,10.1,0.31,0.11,0.00,0.02,0.34,0.00,0.02,0.51,78.9
48,Montville Township High School,https://www.schooldigger.com/go/NJ/schools/1065004332/school.aspx,Montville Township School District,https://www.schooldigger.com/go/NJ/district/10650/search.aspx,100 Horseneck Road,Montville,https://www.schooldigger.com/go/NJ/city/Montville/search.aspx,7045,Morris County,(973) 331-7100,9,12,No,No,(n/a),No,1162,108.4,10.7,0.03,0.02,0.00,0.22,0.06,0.01,0.00,0.69,78.9
49,Fair Lawn High School,https://www.schooldigger.com/go/NJ/schools/0498000410/school.aspx,Fair Lawn Public School District,https://www.schooldigger.com/go/NJ/district/04980/search.aspx,14  00 Berdan Avenue,Fair Lawn,https://www.schooldigger.com/go/NJ/city/Fair+Lawn/search.aspx,7410,Bergen County,(201) 794-5450,9,12,Yes,No,(n/a),No,1490,114.7,12.9,0.12,0.03,0.00,0.13,0.20,0.00,0.01,0.64,78.8
50,Westfield Senior High School,https://www.schooldigger.com/go/NJ/schools/1776005764/school.aspx,Westfield Public School District,https://www.schooldigger.com/go/NJ/district/17760/search.aspx,550 Dorian Road,Westfield,https://www.schooldigger.com/go/NJ/city/Westfield/search.aspx,7090,Union County,(908) 789-4500,9,12,No,No,(n/a),No,1865,152.4,12.2,0.03,0.03,0.00,0.08,0.06,0.00,0.01,0.83,78.5
51,Hunterdon Central Regional High School District,https://www.schooldigger.com/go/NJ/schools/0759003006/school.aspx,Hunterdon Central Regional High School District,https://www.schooldigger.com/go/NJ/district/07590/search.aspx,84 Route 31,Flemington,https://www.schooldigger.com/go/NJ/city/Flemington/search.aspx,8822,Hunterdon County,(908) 782-5727,9,12,Yes,No,(n/a),No,2844,238.7,11.9,0.10,0.03,0.00,0.06,0.10,0.00,0.02,0.80,78.3
52,Applied Technology High School,https://www.schooldigger.com/go/NJ/schools/0147003341/school.aspx,Bergen County Vocational Technical School District,https://www.schooldigger.com/go/NJ/district/01470/search.aspx,400 Paramus Road,Paramus,https://www.schooldigger.com/go/NJ/city/Paramus/search.aspx,7652,Bergen County,(201) 343-6000,9,12,No,No,(n/a),No,151,8,18.8,0.15,0.07,0.00,0.09,0.30,0.00,0.00,0.54,77.7
53,Indian Hills High School,https://www.schooldigger.com/go/NJ/schools/1356000724/school.aspx,Ramapo Indian Hills Regional High School District,https://www.schooldigger.com/go/NJ/district/13560/search.aspx,97 Yawpo Ave,Oakland,https://www.schooldigger.com/go/NJ/city/Oakland/search.aspx,7436,Bergen County,(201) 337-0100,9,12,Yes,No,(n/a),No,1062,97.5,10.8,0.03,0.01,0.00,0.04,0.07,0.00,0.03,0.84,77.1
54,Madison High School,https://www.schooldigger.com/go/NJ/schools/0924004300/school.aspx,Madison Public School District,https://www.schooldigger.com/go/NJ/district/09240/search.aspx,170 Ridgedale Avenue,Madison,https://www.schooldigger.com/go/NJ/city/Madison/search.aspx,7940,Morris County,(973) 593-3117,9,12,No,No,(n/a),No,879,69.6,12.6,0.08,0.03,0.00,0.07,0.12,0.00,0.02,0.75,77.1
55,Chatham High School,https://www.schooldigger.com/go/NJ/schools/0000406014/school.aspx,School District of the Chathams,https://www.schooldigger.com/go/NJ/district/00004/search.aspx,255 Lafayette Avenue,Chatham,https://www.schooldigger.com/go/NJ/city/Chatham/search.aspx,7928,Morris County,(973) 457-2505,9,12,No,No,(n/a),No,1313,105.8,12.4,0.02,0.01,0.00,0.10,0.05,0.00,0.02,0.83,76.8
56,Mahwah High School,https://www.schooldigger.com/go/NJ/schools/0933000586/school.aspx,Mahwah Township Public School District,https://www.schooldigger.com/go/NJ/district/09330/search.aspx,50 Ridge Road,Mahwah,https://www.schooldigger.com/go/NJ/city/Mahwah/search.aspx,7430,Bergen County,(201) 762-2300,9,12,No,No,(n/a),No,912,95.3,9.5,0.09,0.03,0.00,0.09,0.08,0.00,0.03,0.77,76.3
57,Pequannock Township High School,https://www.schooldigger.com/go/NJ/schools/1290004470/school.aspx,Pequannock Township School District,https://www.schooldigger.com/go/NJ/district/12900/search.aspx,85 Sunset Road,Pompton Plains,https://www.schooldigger.com/go/NJ/city/Pompton+Plains/search.aspx,7444,Morris County,(973) 616-6000,9,12,Yes,No,(n/a),No,701,63.5,11,0.05,0.01,0.00,0.02,0.09,0.00,0.00,0.87,75.9
58,Central Jersey College Prep Charter School,https://www.schooldigger.com/go/NJ/schools/0009000829/school.aspx,Central Jersey College Prep Charter School,https://www.schooldigger.com/go/NJ/district/00090/search.aspx,101 Mettlers Road,Somerset,https://www.schooldigger.com/go/NJ/city/Somerset/search.aspx,8873,Somerset County,(732) 649-3954,KG,12,Yes,Yes,(n/a),No,820,73.4,11.1,0.23,0.25,0.00,0.50,0.14,0.00,0.01,0.10,75.9
59,Park Ridge High School,https://www.schooldigger.com/go/NJ/schools/1245000710/school.aspx,Park Ridge School District,https://www.schooldigger.com/go/NJ/district/12450/search.aspx,2 Park Ave,Park Ridge,https://www.schooldigger.com/go/NJ/city/Park+Ridge/search.aspx,7656,Bergen County,(201) 573-6000,7,12,No,No,(n/a),No,549,59.4,9.2,0.06,0.01,0.00,0.06,0.15,0.00,0.02,0.76,75.7
60,Pascack Valley High School,https://www.schooldigger.com/go/NJ/schools/1251000720/school.aspx,Pascack Valley Regional High School District,https://www.schooldigger.com/go/NJ/district/12510/search.aspx,200 Piermont Avenue,Hillsdale,https://www.schooldigger.com/go/NJ/city/Hillsdale/search.aspx,7642,Bergen County,(201) 358-7060,9,12,No,No,(n/a),No,1209,92.6,13,0.03,0.01,0.00,0.08,0.08,0.00,0.01,0.82,75.5
61,Science Park High School,https://www.schooldigger.com/go/NJ/schools/1134002200/school.aspx,Newark Public School District,https://www.schooldigger.com/go/NJ/district/11340/search.aspx,260 Norfolk Street,Newark,https://www.schooldigger.com/go/NJ/city/Newark/search.aspx,7102,Essex County,(973) 733-8689,7,12,Yes,No,(n/a),No,843,65,12.9,0.72,0.35,0.01,0.03,0.45,0.00,0.00,0.17,75.1
62,Wayne Hills High School,https://www.schooldigger.com/go/NJ/schools/1728004966/school.aspx,Wayne Township Public School District,https://www.schooldigger.com/go/NJ/district/17280/search.aspx,272 Berdan Avenue,Wayne,https://www.schooldigger.com/go/NJ/city/Wayne/search.aspx,7470,Passaic County,(973) 317-2000,9,12,No,No,(n/a),No,1285,123.7,10.3,0.06,0.02,0.00,0.12,0.09,0.00,0.01,0.76,74.3
63,Kinnelon High School,https://www.schooldigger.com/go/NJ/schools/0804004282/school.aspx,Kinnelon School District,https://www.schooldigger.com/go/NJ/district/08040/search.aspx,121 Kinnelon Road,Kinnelon,https://www.schooldigger.com/go/NJ/city/Kinnelon/search.aspx,7405,Morris County,(973) 838-5500,9,12,Yes,No,(n/a),No,630,,,0.04,0.01,0.00,0.06,0.06,0.01,0.00,0.86,74.1
64,Holmdel High School,https://www.schooldigger.com/go/NJ/schools/0741003850/school.aspx,Holmdel Township School District,https://www.schooldigger.com/go/NJ/district/07410/search.aspx,36 Crawfords Corner Road,Holmdel,https://www.schooldigger.com/go/NJ/city/Holmdel/search.aspx,7733,Monmouth County,(732) 946-1832,9,12,Yes,No,(n/a),No,962,83.2,11.5,0.02,0.02,0.00,0.18,0.05,0.01,0.02,0.73,74
