School,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes,Standard Score
University Preparatory,Victor Valley Union High,Victorville,92392,San Bernardino County,Yes,No,No,No,1086,39.1,27.7,0.76,0.06,0,0.12,0.67,0.01,0.02,0.12,
Cupertino High,Fremont Union High,Cupertino,95014,Santa Clara County,(n/a),No,No,No,2305,97,23.7,0.09,0.01,0,0.72,0.09,0,0.06,0.13,
Grove,Grove District,Redlands,92373,San Bernardino County,(n/a),Yes,No,No,228,16.4,13.9,0.18,0.02,0,0.12,0.25,0,0.05,0.56,
Harmony Magnet Academy,Porterville Unified,Strathmore,93267,Tulare County,Yes,Yes,Yes,No,510,20.5,24.8,0.64,0,0.01,0.05,0.7,0,0.02,0.22,
Saugus High,William S. Hart Union High,Saugus,91350,Los Angeles County,No,No,No,No,2481,95,26,0.17,0.02,0,0.09,0.33,0,0.05,0.51,
Anderson W. Clark Magnet High,Glendale Unified,La Crescenta,91214,Los Angeles County,Yes,No,Yes,No,1111,43.2,25.6,0.56,0,0,0.11,0.06,0,0.01,0.83,
Irvington High,Fremont Unified,Fremont,94538,Alameda County,No,No,Yes,No,2294,102.8,22.3,0.17,0.01,0,0.76,0.09,0,0.02,0.11,
Parkview,Placentia-Yorba Linda Unified,Placentia,92870,Orange County,No,No,No,No,183,7,26.1,0.16,0,0.01,0.18,0.23,0,0.04,0.55,
Piedmont Hills High,East Side Union High,San Jose,95132,Santa Clara County,No,No,Yes,No,2058,85.8,23.9,0.26,0.02,0,0.65,0.23,0.01,0.05,0.05,
El Camino High,Ventura Unified,Ventura,93023,Ventura County,No,No,No,No,246,9,27.3,0.31,0.02,0,0.02,0.27,0,0.03,0.65,
Santa Monica High,Santa Monica-Malibu Unified,Santa Monica,90405,Los Angeles County,No,No,No,No,2857,136.9,20.8,0.27,0.08,0,0.07,0.35,0,0.1,0.4,
Santa Susana High,Simi Valley Unified,Simi Valley,93063,Ventura County,No,No,Yes,No,1046,46,22.7,0.24,0.01,0,0.2,0.28,0,0.05,0.46,
Middle College High,Santa Ana Unified,Santa Ana,92706,Orange County,Yes,No,No,No,349,14.3,24.3,0.77,0,0,0.04,0.95,0,0,0.01,
Credo High,Credo High District,Rohnert Park,94928,Sonoma County,(n/a),Yes,No,No,400,21.1,18.9,0.31,0.01,0,0.03,0.1,0,0.12,0.75,
Natomas Pacific Pathways Prep,Natomas Unified,Sacramento,95834,Sacramento County,No,Yes,Yes,No,619,32.9,18.7,0.48,0.06,0,0.44,0.27,0.02,0.05,0.16,
San Dieguito High School Academy,San Dieguito Union High,Encinitas,92024,San Diego County,No,No,No,No,1850,74.6,24.7,0.15,0,0,0.05,0.21,0,0.04,0.7,
John A. Rowland High,Rowland Unified,Rowland Heights,91748,Los Angeles County,No,No,No,No,2017,79,25.5,0.63,0.01,0,0.51,0.42,0,0.02,0.03,
EDUHSD Virtual Academy at Shenandoah,El Dorado Union High,El Dorado,95623,El Dorado County,No,Yes,No,Yes,110,4.5,24.4,0.14,0,0.01,0.01,0.13,0,0.09,0.76,
Reedley Middle College High,Kings Canyon Joint Unified,Reedley,93654,Fresno County,Yes,Yes,No,No,205,6.7,30.5,0.74,0,0.01,0.01,0.82,0,0.02,0.16,
Burlingame High,San Mateo Union High,Burlingame,94010,San Mateo County,Yes,No,No,No,1492,73,20.4,0.12,0.01,0,0.24,0.17,0.01,0.54,0.03,
Guajome Park Academy Charter,Guajome Park Academy Charter District,Vista,92083,San Diego County,Yes,Yes,No,No,1416,70.5,20,0.58,0.01,0.01,0.03,0.65,0,0.08,0.23,
Aspire Benjamin Holt College Preparatory Academy,Aspire Benjamin Holt College Preparatory Academy District,Stockton,95212,San Joaquin County,Yes,Yes,No,No,462,11.9,38.6,0.46,0.05,0.01,0.29,0.41,0.01,0.05,0.18,
Bonita High,Bonita Unified,La Verne,91750,Los Angeles County,No,No,No,No,1923,74.6,25.7,0.32,0.02,0,0.07,0.5,0,0.1,0.3,
Gabrielino High,San Gabriel Unified,San Gabriel,91776,Los Angeles County,No,No,No,No,1696,71.5,23.7,0.56,0.01,0,0.59,0.33,0,0.03,0.04,
Washington High,Fremont Unified,Fremont,94536,Alameda County,Yes,No,No,No,1918,84.6,22.6,0.3,0.03,0,0.48,0.23,0.01,0.04,0.2,
Mission Early College High,Santa Clara Unified,Santa Clara,95054,Santa Clara County,No,No,No,No,101,,,0.44,0.08,0,0.26,0.33,0,0.13,0.21,
Escondido Charter High,Escondido Charter High District,Escondido,92027,San Diego County,(n/a),Yes,No,No,856,50.7,16.8,0.41,0.03,0,0.09,0.42,0,0.05,0.41,
Beverly Hills High,Beverly Hills Unified,Beverly Hills,90212,Los Angeles County,No,No,No,No,1384,79,17.5,0.17,0.03,0,0.12,0.1,0,0.03,0.71,
San Ramon Valley High,San Ramon Valley Unified,Danville,94526,Contra Costa County,No,No,No,No,2094,87.7,23.8,0.04,0.01,0,0.09,0.1,0,0.07,0.74,
Glendora High,Glendora Unified,Glendora,91741,Los Angeles County,No,No,No,No,2381,95.3,24.9,0.26,0.01,0,0.1,0.43,0,0.04,0.42,
Eastlake High,Sweetwater Union High,Chula Vista,91915,San Diego County,No,No,No,No,2908,117.9,24.6,0.22,0.04,0,0.18,0.56,0,0.09,0.14,
Cosumnes Oaks High,Elk Grove Unified,Elk Grove,95757,Sacramento County,No,No,No,No,2207,98.8,22.3,0.31,0.15,0,0.29,0.23,0.01,0.09,0.23,
Fremont High,Fremont Union High,Sunnyvale,94087,Santa Clara County,(n/a),No,No,No,2081,95.9,21.6,0.31,0.02,0,0.33,0.4,0.01,0.06,0.19,
High Technical LA,High Technical LA District,Lake Balboa,91406,Los Angeles County,Yes,Yes,No,No,401,13,30.8,0.45,0.02,0,0.08,0.33,0,0.03,0.53,
Clayton Valley Charter High,Clayton Valley Charter High District,Concord,94521,Contra Costa County,(n/a),Yes,No,No,2196,79.6,27.5,0.21,0.04,0,0.14,0.22,0.01,0.11,0.48,
Bella Vista High,San Juan Unified,Fair Oaks,95628,Sacramento County,No,No,No,No,2025,79.9,25.3,0.27,0.02,0.01,0.05,0.18,0,0.07,0.66,
Aragon High,San Mateo Union High,San Mateo,94402,San Mateo County,Yes,No,No,No,1675,78.7,21.2,0.23,0.01,0,0.28,0.27,0.04,0.34,0.05,
Central Coast New Technical High,Lucia Mar Unified,Nipomo,93444,San Luis Obispo County,Yes,No,No,No,306,19.8,15.4,0.37,0.01,0.01,0.04,0.28,0,0.05,0.61,
Da Vinci Science,Da Vinci Science District,El Segundo,90245,Los Angeles County,Yes,Yes,No,No,567,26.7,21.1,0.37,0.07,0,0.08,0.59,0,0.1,0.16,
Wallenberg (Raoul) Traditional High,San Francisco Unified,San Francisco,94115,San Francisco County,No,No,No,No,626,24.8,25.2,0.52,0.09,0.01,0.53,0.16,0.01,0.08,0.13,
Hillsdale High,San Mateo Union High,San Mateo,94403,San Mateo County,Yes,No,No,No,1569,84.1,18.6,0.22,0.01,0,0.2,0.33,0.01,0.38,0.07,
Colfax High,Placer Union High,Colfax,95713,Placer County,No,No,No,No,581,25.5,22.7,0.26,0.01,0,0.01,0.09,0,0.08,0.8,
Foothill High,Shasta Union High,Palo Cedro,96073,Shasta County,Yes,No,No,No,1403,55.6,25.2,0.26,0.01,0.03,0.02,0.09,0,0.06,0.79,
Marysville Charter Academy for the Arts,Marysville Joint Unified,Marysville,95901,Yuba County,Yes,Yes,No,No,400,20.6,19.4,0.57,0.02,0.01,0.05,0.38,0.01,0.11,0.44,
John F. Kennedy High,Anaheim Union High,La Palma,90623,Orange County,No,No,No,No,2435,92,26.4,0.49,0.04,0,0.34,0.42,0.01,0.04,0.16,
Alliance Dr. Olga Mohan High,Alliance Dr. Olga Mohan High District,Los Angeles,90015,Los Angeles County,Yes,Yes,No,No,453,26,17.4,0.91,0,0,0.01,0.95,0,0.03,0,
Burbank Unified Independent Learning Academy (BUILA),Burbank Unified,Burbank,91505,Los Angeles County,No,No,No,No,86,2.2,39,0.27,0.01,0,0.07,0.21,0,0.12,0.59,
Martin Luther King Junior High,Riverside Unified,Riverside,92508,Riverside County,No,No,No,No,3071,119.6,25.6,0.34,0.08,0,0.11,0.36,0,0.06,0.38,
Newport Harbor High,Newport-Mesa Unified,Newport Beach,92663,Orange County,No,No,No,No,2381,85.6,27.7,0.34,0.01,0,0.04,0.33,0,0.02,0.6,
Valencia High,Placentia-Yorba Linda Unified,Placentia,92870,Orange County,No,No,Yes,No,2724,109.6,24.8,0.58,0.01,0,0.22,0.61,0,0.01,0.14,
San Dimas High,Bonita Unified,San Dimas,91773,Los Angeles County,No,No,No,No,1335,57.4,23.2,0.37,0.04,0,0.08,0.53,0,0.07,0.26,
California Preparatory Academy,Capistrano Unified,San Juan Capistrano,92675,Orange County,No,No,No,Yes,160,6,26.6,0.14,0.03,0,0.04,0.14,0.01,0.06,0.73,
Encinal Junior/Senior High,Alameda Unified,Alameda,94501,Alameda County,No,No,No,No,1261,58.6,21.5,0.4,0.12,0.01,0.33,0.16,0.01,0.09,0.28,
Temecula Valley High,Temecula Valley Unified,Temecula,92592,Riverside County,No,No,No,No,2914,106.4,27.3,0.27,0.03,0.01,0.07,0.33,0,0.08,0.49,
Kearny Eng Innov & Design,San Diego Unified,San Diego,92111,San Diego County,Yes,No,Yes,No,322,14,22.9,0.74,0.06,0,0.14,0.58,0.01,0.1,0.12,
Baker High,Baker Valley Unified,Baker,92309,San Bernardino County,Yes,No,No,No,42,4.3,9.6,0.86,0,0,0,0.88,0,0,0.12,
Loyalton High,Sierra-Plumas Joint Unified,Loyalton,96118,Sierra County,Yes,No,No,No,164,8.4,19.4,0.35,0.01,0,0,0.12,0,0.15,0.73,
Foothill High,Tustin Unified,Santa Ana,92705,Orange County,No,No,No,No,2467,86.5,28.5,0.3,0.01,0,0.09,0.44,0,0.03,0.42,
KIPP San Jose Collegiate,KIPP San Jose Collegiate District,San Jose,95133,Santa Clara County,Yes,Yes,No,No,530,27,19.6,0.69,0.01,0,0.25,0.73,0,0.01,0.01,
High Technical High North County,High Technical High North County District,San Marcos,92078,San Diego County,Yes,Yes,No,No,398,22,18,0.47,0.02,0.01,0.05,0.4,0.01,0.08,0.44,
Rosemead High,El Monte Union High,Rosemead,91770,Los Angeles County,Yes,No,No,No,1844,85.8,21.4,0.8,0.01,0,0.47,0.5,0,0,0.02,
Steele Canyon High,Steele Canyon High District,Spring Valley,91978,San Diego County,Yes,Yes,No,No,2154,75.4,28.5,0.29,0.06,0.01,0.03,0.45,0,0.09,0.37,
Phoenix Charter Academy,Phoenix Charter Academy District,Redding,96002,Shasta County,Yes,Yes,No,Yes,289,12.3,23.4,0.56,0,0.03,0.02,0.15,0,0.12,0.69,
Yosemite Valley Charter,Yosemite Valley Charter District,Fresno,93726,Fresno County,(n/a),Yes,No,No,1800,55.9,32.1,0.46,0.03,0.01,0.04,0.26,0,0.08,0.58,
Mueller Charter (Robert L.),Mueller Charter (Robert L.) District,Chula Vista,91910,San Diego County,Yes,Yes,No,No,1566,67.5,23.1,0.78,0.03,0,0.02,0.86,0,0.01,0.08,
Summit Public School K2,Summit Public School K2 District,El Cerrito,94530,Contra Costa County,Yes,Yes,No,No,533,21.6,24.5,0.6,0.18,0,0.11,0.48,0,0.14,0.09,
Dunlap Leadership Academy,Kings Canyon Joint Unified,Dunlap,93621,Fresno County,Yes,Yes,No,Yes,46,4.1,11.2,0.72,0,0,0.09,0.46,0,0.13,0.33,
Garden Grove High,Garden Grove Unified,Garden Grove,92840,Orange County,Yes,No,No,No,2284,92.4,24.7,0.65,0.01,0,0.41,0.5,0.01,0.01,0.06,
Rio Americano High,San Juan Unified,Sacramento,95864,Sacramento County,No,No,No,No,1875,78.3,23.9,0.21,0.04,0.01,0.07,0.18,0,0.08,0.63,
Pleasant Valley High,Chico Unified,Chico,95926,Butte County,No,No,No,No,1971,85,23.1,0.36,0.02,0.01,0.08,0.19,0.01,0.04,0.65,
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Alliance Gertz-Ressler Richard Merkin 6-12 Complex District,Los Angeles,90007,Los Angeles County,Yes,Yes,No,No,973,46,21.1,0.95,0.01,0,0,0.99,0,0,0,
Novato High,Novato Unified,Novato,94947,Marin County,No,No,No,No,1410,64.2,21.9,0.35,0.03,0.01,0.06,0.38,0,0.05,0.47,
Etna Union High,Scott Valley Unified,Etna,96027,Siskiyou County,Yes,No,No,No,192,12,15.9,0.51,0.02,0.07,0.04,0.14,0,0.07,0.67,
Centennial High,Corona-Norco Unified,Corona,92881,Riverside County,Yes,No,No,No,3142,124.3,25.2,0.52,0.09,0.01,0.12,0.58,0.01,0.02,0.17,
Orchard View,Twin Hills Union Elementary,Sebastopol,95472,Sonoma County,No,Yes,No,Yes,234,12.2,19.1,0.21,0.01,0.01,0.03,0.16,0.01,0.05,0.74,
Rise Kohyang High,Rise Kohyang High District,Los Angeles,90057,Los Angeles County,Yes,Yes,No,No,288,17.1,16.7,0.89,0.04,0,0.39,0.56,0,0.01,0,
Sonora High,Sonora Union High,Sonora,95370,Tuolumne County,Yes,No,No,No,957,37.3,25.5,0.4,0.01,0.01,0.03,0.19,0,0.05,0.71,
Forest Charter,Nevada County Office of Education,Nevada City,95959,Nevada County,No,Yes,No,No,706,36.2,19.4,0.43,0.01,0.02,0.02,0.12,0.01,0.02,0.81,
Center High,Center Joint Unified,Antelope,95843,Sacramento County,No,No,No,No,1292,62.5,20.6,0.59,0.14,0.01,0.12,0.26,0.01,0.04,0.43,
MIT Academy,MIT Academy District,Vallejo,94589,Solano County,Yes,Yes,No,No,525,21,24.9,0.56,0.15,0,0.26,0.45,0.01,0.02,0.11,
North High,Torrance Unified,Torrance,90504,Los Angeles County,No,No,No,No,1813,75.4,24,0.44,0.07,0,0.3,0.44,0.01,0.07,0.12,
Cypress High,Anaheim Union High,Cypress,90630,Orange County,No,No,No,No,2903,102,28.4,0.37,0.03,0,0.36,0.31,0,0.05,0.24,
Washington (George) High,San Francisco Unified,San Francisco,94121,San Francisco County,No,No,No,No,1995,85.9,23.2,0.49,0.05,0,0.61,0.18,0,0.07,0.1,
John F. Kennedy High,Fremont Unified,Fremont,94538,Alameda County,Yes,No,No,No,1292,63.6,20.3,0.43,0.05,0,0.38,0.34,0.01,0.03,0.19,
Alpha Cindy Avitia High,Alpha Cindy Avitia High District,San Jose,95122,Santa Clara County,Yes,Yes,No,No,438,26.3,16.6,0.88,0.01,0,0.08,0.82,0,0.01,0.08,
Classical Academy High,Classical Academy High District,Escondido,92025,San Diego County,(n/a),Yes,No,No,1205,49.5,24.3,0.12,0.01,0,0.04,0.19,0,0.11,0.66,
West Hills High,Grossmont Union High,Santee,92071,San Diego County,Yes,No,No,No,1730,63.5,27.2,0.4,0.02,0.01,0.04,0.28,0,0.08,0.58,
Yosemite High,Yosemite Unified,Oakhurst,93644,Madera County,Yes,No,No,No,638,26.4,24.1,0.43,0,0.04,0.03,0.16,0,0.05,0.72,
Pacific Law Academy,Stockton Unified,Stockton,95207,San Joaquin County,Yes,Yes,No,No,216,7,30.8,0.55,0.1,0.02,0.13,0.65,0.01,0.01,0.09,
Oakland School for the Arts,Oakland School for the Arts District,Oakland,94612,Alameda County,Yes,Yes,No,No,749,39.9,18.7,0.14,0.19,0.01,0.07,0.16,0,0.15,0.42,
Eleanor Roosevelt High,Corona-Norco Unified,Corona,92880,Riverside County,No,No,No,No,4532,176.3,25.6,0.37,0.11,0,0.22,0.46,0,0.02,0.18,
Liberty High,Liberty Union High,Brentwood,94513,Contra Costa County,Yes,No,No,No,2708,119.4,22.6,0.27,0.06,0.01,0.06,0.35,0.01,0.06,0.46,
Clovis West High,Clovis Unified,Fresno,93720,Fresno County,No,No,No,No,2018,91.2,22.1,0.4,0.05,0.01,0.11,0.43,0,0.03,0.38,
Carpinteria Senior High,Carpinteria Unified,Carpinteria,93013,Santa Barbara County,No,No,No,No,610,33.6,18.1,0.55,0,0,0.02,0.74,0,0.02,0.22,
Audeo Charter II,Audeo Charter II District,Oceanside,92056,San Diego County,Yes,Yes,No,No,228,5.9,38,0.55,0.04,0,0.04,0.48,0,0.08,0.36,
Mariposa County High,Mariposa County Unified,Mariposa,95338,Mariposa County,Yes,No,No,No,490,28.5,17.1,0.62,0.01,0.05,0.01,0.17,0,0.08,0.68,
Edgewood High,West Covina Unified,West Covina,91790,Los Angeles County,No,No,No,No,832,36.6,22.7,0.71,0.03,0,0.17,0.73,0,0.01,0.06,
Durham High,Durham Unified,Durham,95938,Butte County,No,No,No,No,309,15.3,20.1,0.36,0.01,0.02,0,0.23,0,0.04,0.7,
Gateway High,Gateway High District,San Francisco,94115,San Francisco County,Yes,Yes,No,No,479,27.8,17.2,0.42,0.13,0.01,0.18,0.36,0,0.11,0.21,
Cabrillo High,Lompoc Unified,Lompoc,93436,Santa Barbara County,Yes,No,No,No,1176,55.2,21.2,0.46,0.03,0,0.04,0.47,0,0.06,0.39,
Boyle Heights Sci Technical Engr and Math Magnet,Los Angeles Unified,Los Angeles,90023,Los Angeles County,Yes,No,Yes,No,207,12.5,16.5,0.59,0.01,0,0.01,0.98,0,0,0.01,
Sheldon High,Elk Grove Unified,Sacramento,95829,Sacramento County,No,No,No,No,2523,109.4,23,0.57,0.14,0,0.37,0.24,0.01,0.07,0.16,
King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,90059,Los Angeles County,Yes,No,Yes,No,1567,66.5,23.5,0.85,0.4,0,0.01,0.58,0,0,0.01,
California Pacific Charter - San Diego,California Pacific Charter - San Diego District,Newport Beach,92660,San Diego County,(n/a),Yes,No,Yes,1133,77.9,14.5,0.3,0.02,0,0.1,0.26,0,0.13,0.49,
Stockdale High,Kern High,Bakersfield,93311,Kern County,Yes,No,No,No,2323,80,29,0.36,0.06,0.01,0.19,0.44,0,0.05,0.26,
Tracy High,Tracy Joint Unified,Tracy,95376,San Joaquin County,No,No,No,No,1999,80.8,24.7,0.37,0.05,0.01,0.14,0.46,0,0.03,0.31,
Academy of Medical Arts at Carson High,Los Angeles Unified,Carson,90745,Los Angeles County,Yes,No,No,No,517,25,20.6,0.64,0.11,0,0.43,0.4,0.03,0,0.03,
Girls Academic Leadership Academy Dr. Michelle King School STEM,Los Angeles Unified,Los Angeles,90019,Los Angeles County,No,No,No,No,480,,,0.42,0.25,0,0.13,0.32,0,0,0.3,
Shasta High,Shasta Union High,Redding,96001,Shasta County,Yes,No,No,No,1521,67.7,22.4,0.37,0.02,0.04,0.05,0.13,0.01,0.06,0.7,
Benicia High,Benicia Unified,Benicia,94510,Solano County,No,No,No,No,1555,69.4,22.4,0.21,0.08,0,0.15,0.18,0,0.14,0.44,
Marshall Fundamental,Pasadena Unified,Pasadena,91104,Los Angeles County,Yes,No,No,No,1987,77.4,25.6,0.59,0.08,0,0.07,0.6,0,0.04,0.21,
Santa Rosa High,Santa Rosa High,Santa Rosa,95401,Sonoma County,Yes,No,No,No,1948,86,22.6,0.37,0.02,0.01,0.06,0.39,0.01,0.08,0.45,
Big Bear High,Bear Valley Unified,Big Bear Lake,92314,San Bernardino County,No,No,No,No,717,32.8,21.8,0.68,0.01,0,0.01,0.35,0,0.03,0.6,
Argonaut High,Amador County Unified,Jackson,95642,Amador County,Yes,No,No,No,474,22.3,21.2,0.36,0.01,0.02,0.02,0.23,0,0.07,0.65,
Turlock High,Turlock Unified,Turlock,95380,Stanislaus County,No,No,No,No,2528,109.8,23,0.63,0.02,0.01,0.03,0.6,0,0.02,0.33,
Middle College High,Los Angeles Unified,Los Angeles,90047,Los Angeles County,Yes,No,No,No,404,15,26.9,0.85,0.37,0,0,0.62,0,0,0.01,
Exeter Union High,Exeter Unified,Exeter,93221,Tulare County,Yes,No,No,No,912,38.1,23.8,0.56,0.01,0.01,0.01,0.53,0,0.01,0.43,
Conservatory of Vocal/Instrumental Arts High,Conservatory of Vocal/Instrumental Arts High District,Oakland,94619,Alameda County,Yes,Yes,No,No,74,4,18.5,0.55,0.58,0,0.05,0.23,0.01,0.01,0.11,
Burbank High,Burbank Unified,Burbank,91502,Los Angeles County,No,No,No,No,2556,105.6,24.2,0.42,0.03,0,0.1,0.26,0,0.04,0.57,
Yreka High,Yreka Union High,Yreka,96097,Siskiyou County,Yes,No,No,No,587,31.7,18.4,0.46,0,0.04,0.02,0.16,0,0.12,0.66,
Alder Grove Charter School 2,Alder Grove Charter School 2 District,Eureka,95501,Humboldt County,Yes,Yes,No,No,477,25.4,18.7,0.68,0.01,0.03,0,0.12,0,0.15,0.7,
Oroville High,Oroville Union High,Oroville,95966,Butte County,Yes,No,No,No,979,43.3,22.6,0.79,0.05,0.09,0.23,0.17,0,0.01,0.45,
Fullerton Union High,Fullerton Joint Union High,Fullerton,92832,Orange County,Yes,No,Yes,No,1979,71.4,27.7,0.51,0.02,0,0.08,0.66,0,0.03,0.2,
San Diego International Studies,San Diego Unified,San Diego,92101,San Diego County,Yes,No,Yes,No,1239,43.6,28.3,0.51,0.06,0,0.03,0.57,0,0.07,0.27,
Making Waves Academy,Making Waves Academy District,Richmond,94806,Contra Costa County,Yes,Yes,No,No,940,48,19.5,0.83,0.08,0,0.02,0.86,0,0.03,0.01,
Portola Junior/Senior High,Plumas Unified,Portola,96122,Plumas County,No,No,No,No,280,12.8,21.7,0.47,0,0,0,0.27,0,0.06,0.67,
Downtown College Prep - Alum Rock,Downtown College Prep - Alum Rock District,San Jose,95122,Santa Clara County,Yes,Yes,No,No,668,25.5,26.1,0.75,0.02,0,0.05,0.89,0,0.02,0.02,
Herbert Hoover High,Glendale Unified,Glendale,91202,Los Angeles County,Yes,No,No,No,1605,69.3,23.1,0.67,0.02,0,0.13,0.23,0,0.01,0.61,
Calipatria High,Calipatria Unified,Calipatria,92233,Imperial County,Yes,No,No,No,355,20.4,17.4,0.79,0.01,0,0,0.88,0,0,0.11,
Charter Community School Home Study Academy,El Dorado County Office of Education,Placerville,95667,El Dorado County,Yes,Yes,No,No,479,24.2,19.7,0.3,0.02,0.02,0.01,0.15,0,0.08,0.73,
Whittier High,Whittier Union High,Whittier,90601,Los Angeles County,Yes,No,No,No,1876,75.8,24.7,0.77,0.01,0,0.01,0.93,0,0.01,0.04,
Rosemont High,Sacramento City Unified,Sacramento,95827,Sacramento County,Yes,No,No,No,1311,57.5,22.7,0.67,0.18,0.01,0.13,0.33,0.02,0.07,0.28,
Synergy Quantum Academy,Synergy Quantum Academy District,Los Angeles,90011,Los Angeles County,Yes,Yes,No,No,553,34,16.2,0.98,0.01,0,0,0.99,0,0,0,
El Capitan High,Merced Union High,Merced,95348,Merced County,Yes,No,No,No,1631,75.8,21.5,0.67,0.05,0.01,0.14,0.61,0,0.02,0.18,
West Valley High,Anderson Union High,Cottonwood,96022,Shasta County,Yes,No,No,No,867,37.7,22.9,0.46,0,0.04,0.02,0.16,0,0.05,0.73,
Delta High,River Delta Joint Unified,Clarksburg,95612,Yolo County,No,No,No,No,192,11.9,16,0.56,0,0,0.01,0.7,0,0.03,0.27,
Quincy Junior/Senior High,Plumas Unified,Quincy,95971,Plumas County,No,No,No,No,293,16.2,18,0.35,0.03,0.02,0,0.09,0,0.04,0.82,
Rim of the World Senior High,Rim of the World Unified,Lake Arrowhead,92352,San Bernardino County,Yes,No,No,No,915,41.6,21.9,0.51,0.01,0,0.01,0.36,0,0.05,0.56,
Delano High,Delano Joint Union High,Delano,93215,Kern County,Yes,No,No,No,1395,61.9,22.5,0.93,0,0,0.15,0.83,0,0,0.01,
Leadership Public Schools - Hayward,Leadership Public Schools - Hayward District,Hayward,94545,Alameda County,Yes,Yes,No,No,595,25.3,23.5,0.62,0.03,0,0.21,0.67,0.02,0.04,0.02,
Salinas High,Salinas Union High,Salinas,93901,Monterey County,Yes,No,No,No,2661,123.2,21.5,0.54,0.01,0,0.04,0.71,0,0.01,0.22,
El Camino High,Oceanside Unified,Oceanside,92057,San Diego County,Yes,No,No,No,2958,113.7,25.9,0.49,0.05,0,0.1,0.57,0.02,0.05,0.22,
Pioneer High,Woodland Joint Unified,Woodland,95776,Yolo County,Yes,No,No,No,1544,72.3,21.3,0.55,0.01,0,0.09,0.68,0.01,0.03,0.19,
El Camino Fundamental High,San Juan Unified,Sacramento,95821,Sacramento County,No,No,No,No,1320,56.1,23.5,0.47,0.09,0.01,0.06,0.26,0.01,0.07,0.5,
JCS - Pine Hills,JCS - Pine Hills District,Temecula,92592,Riverside County,(n/a),Yes,No,No,709,41.2,17.1,0.18,0.04,0.02,0.03,0.26,0,0.09,0.57,
Sutter High,Sutter Union High,Sutter,95982,Sutter County,Yes,No,No,No,737,31.3,23.5,0.32,0,0.02,0.04,0.25,0,0.04,0.65,
Aspire Langston Hughes Academy,Aspire Langston Hughes Academy District,Stockton,95205,San Joaquin County,Yes,Yes,No,No,756,33.2,22.7,0.71,0.14,0.01,0.08,0.67,0,0.04,0.06,
