School,District,District URL,Address,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White
Virginia School 12,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,19019 Upper Belmont Place,Virginia Beach,https://www.schooldigger.com/go/VA/city/New+Kent/search.aspx,22541,Loudoun County,(540) 828-2008,No,No,No,No,3141,20.2,9.8,0.99,0.2,0,0.02,0.21,0,0,0.01
Virginia School 13,Scott County Public Schools,https://www.schooldigger.com/go/VA/district/04110/search.aspx,25450 Riding Center Drive,Mechanicsville,https://www.schooldigger.com/go/VA/city/Roanoke/search.aspx,22779,Fairfax County,(540) 951-5706,No,No,No,No,248,8.7,15.4,0.64,0.13,0,0.5,0,0.01,0,0.61
Virginia School 14,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,5941 Rockfish Gap Turnpike,Roanoke,https://www.schooldigger.com/go/VA/city/West+Point/search.aspx,21245,Chesapeake city,(703) 554-8900,No,No,No,No,3014,8.7,13.4,0.47,0.19,0.01,0.38,0.13,0,0.02,0.69
Virginia School 15,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/01590/search.aspx,1993 Sun Devil Dr,Falls Church,https://www.schooldigger.com/go/VA/city/Nokesville/search.aspx,23876,Roanoke County,(276) 964-4602,No,No,No,No,2552,8.7,19.2,0.74,0.16,0,0.32,0.15,0,0.02,0.24
Virginia School 16,Southampton County Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,41535 Sacred Mountain Street,Rocky Gap,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,20236,Loudoun County,(703) 503-4600,No,No,No,No,2836,60.4,17.1,0.38,0.06,0,0.23,0.11,0,0,0.63
Virginia School 17,Albemarle County Public Schools,https://www.schooldigger.com/go/VA/district/04020/search.aspx,1200 Forest Street,Poquoson,https://www.schooldigger.com/go/VA/city/Pearisburg/search.aspx,23200,Fairfax County,(757) 263-1264,No,No,No,No,1451,9.6,7.6,0.52,0.12,0,0.11,0.08,0,0.05,0.37
Virginia School 18,West Point Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,21670 Ashburn Rd,Danville,https://www.schooldigger.com/go/VA/city/Leesburg/search.aspx,22769,Fairfax County,(540) 387-6536,No,No,Yes,No,928,47.4,11.3,0.67,0.42,0,0.26,0.08,0,0.09,0.63
Virginia School 19,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03480/search.aspx,5000 Titan Trail,Glen Allen,https://www.schooldigger.com/go/VA/city/Tangier/search.aspx,23577,Fairfax County,(757) 558-4749,No,No,No,No,2853,8.7,10.4,0.37,0.17,0,0.05,0.12,0,0.02,0.01
Virginia School 20,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/03660/search.aspx,3751 John Tyler Hwy,Stafford,https://www.schooldigger.com/go/VA/city/West+Point/search.aspx,23487,Rockingham County,(540) 254-1121,No,No,Yes,No,3098,8.7,13.8,0.48,0.08,0,0.3,0.09,0,0.05,0.71
Virginia School 21,New Kent County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,4375 School Lane,Mechanicsville,https://www.schooldigger.com/go/VA/city/Glen+Allen/search.aspx,23774,Fairfax County,(571) 751-2600,No,No,No,No,3106,8.7,14.5,0.49,0.03,0,0.41,0.12,0,0.01,0.65
Virginia School 22,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/03480/search.aspx,1700 Dahlia Drive,Richmond,https://www.schooldigger.com/go/VA/city/Broadway/search.aspx,21274,Chesapeake city,(540) 254-1121,No,No,No,No,1208,8.7,11.9,0.37,0.18,0,0.02,0.1,0,0.05,0.68
Virginia School 23,Augusta County Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,25450 Riding Center Drive,Richmond,https://www.schooldigger.com/go/VA/city/Danville/search.aspx,22772,Loudoun County,(703) 503-4600,No,No,No,No,1053,8.7,11.5,0.57,0.12,0,0.01,0.1,0,0.07,0.39
Virginia School 24,Southampton County Public Schools,https://www.schooldigger.com/go/VA/district/03950/search.aspx,701 North 37th Street,Leesburg,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,22216,Prince William County,(540) 869-0060,No,No,No,No,979,8.7,11.5,0.48,0.08,0,0.09,0.11,0,0.05,0.47
Virginia School 25,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,5200 Yorktown Blvd,Potomac Falls,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23274,Augusta County,(276) 228-3157,No,No,No,No,2100,8.7,9.5,0.55,0.07,0,0.43,0.12,0,0.02,0.16
Virginia School 26,Arlington County Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,3751 John Tyler Hwy,Chesapeake,https://www.schooldigger.com/go/VA/city/Haymarket/search.aspx,22026,Prince William County,(703) 228-5400,No,No,Yes,No,1720,8.7,14.5,0.16,0.17,0,0.25,0.13,0,0,0.57
Virginia School 27,Accomack County Public Schools,https://www.schooldigger.com/go/VA/district/01620/search.aspx,322 Powell Valley Road,Springfield,https://www.schooldigger.com/go/VA/city/Big+Stone+Gap/search.aspx,23059,Virginia Beach city,(571) 751-2600,No,No,No,No,1054,71.7,17.5,0.55,0.2,0,0.26,0.04,0,0.04,0.51
Virginia School 28,Bedford County Public Schools,https://www.schooldigger.com/go/VA/district/02280/search.aspx,43460 Loudoun Reserve Drive,Fairfax,https://www.schooldigger.com/go/VA/city/Daleville/search.aspx,23056,Isle of Wight County,(757) 263-1264,Yes,No,Yes,No,3078,78.7,11.5,0.87,0.02,0,0.24,0.03,0,0.06,0.78
Virginia School 29,Bedford County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,10700 Staples Mill Road,Portsmouth,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,20290,Richmond city,(540) 869-0060,No,No,No,No,1978,8.7,16.6,0.58,0.63,0,0.03,0.02,0,0,0.05
Virginia School 30,Albemarle County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,19019 Upper Belmont Place,Arlington,https://www.schooldigger.com/go/VA/city/Nickelsville/search.aspx,21628,Richmond city,(276) 479-2185,No,No,No,No,3323,14,15.5,0.1,0.2,0,0.47,0.06,0,0.01,0.4
Virginia School 31,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/00810/search.aspx,9200 Burke Lake Rd,Newport News,https://www.schooldigger.com/go/VA/city/Falls+Church/search.aspx,23828,Fairfax County,(703) 714-5400,No,No,No,No,1413,79.6,12.1,0.34,0.36,0,0.18,0.16,0.01,0.08,0.75
Virginia School 32,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,51 Odd Rd,Broadway,https://www.schooldigger.com/go/VA/city/Pearisburg/search.aspx,24651,Prince William County,(276) 328-8015,No,No,Yes,No,2837,32.7,11.1,0.59,0.15,0,0.08,0,0,0.05,0.54
Virginia School 33,Bedford County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,19 Howardsville Rd,Williamsburg,https://www.schooldigger.com/go/VA/city/Rocky+Gap/search.aspx,23162,Chesapeake city,(540) 254-1121,No,No,No,No,2799,17.8,12.7,0.22,0.06,0,0.06,0.1,0,0,0.45
Virginia School 34,Falls Church City Public Schools,https://www.schooldigger.com/go/VA/district/00360/search.aspx,10307 Chamberlayne Rd.,Gloucester,https://www.schooldigger.com/go/VA/city/Glen+Allen/search.aspx,23258,Tazewell County,(703) 554-8900,No,No,No,No,3027,65.5,10.1,0.42,0.15,0,0.3,0.14,0,0.04,0.6
Virginia School 35,Augusta County Public Schools,https://www.schooldigger.com/go/VA/district/00420/search.aspx,201 E Brookland Park Boulevard,Fort Defiance,https://www.schooldigger.com/go/VA/city/Roanoke/search.aspx,22762,Hanover County,(276) 964-4602,No,Yes,Yes,No,2412,121.7,14,0.32,0.07,0,0.34,0.02,0,0.02,0.2
Virginia School 36,West Point Public Schools,https://www.schooldigger.com/go/VA/district/00300/search.aspx,167 Cosby Blvd,Nickelsville,https://www.schooldigger.com/go/VA/city/Vienna/search.aspx,21648,Richmond city,(276) 326-1235,No,No,No,No,3256,8.7,18.9,0.53,0.16,0,0.08,0.07,0,0,0.65
Virginia School 37,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,2007 Grizzly Trail,Leesburg,https://www.schooldigger.com/go/VA/city/Arlington/search.aspx,23506,Fairfax County,(703) 957-4400,No,No,Yes,No,2833,71.3,11.7,0.27,0.14,0,0.31,0.22,0,0.02,0.52
Virginia School 38,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,6520 Georgetown Pike,Mechanicsville,https://www.schooldigger.com/go/VA/city/Gloucester/search.aspx,22822,Prince William County,(276) 637-3437,No,No,No,No,1442,91.6,16.5,0.8,0.19,0,0.33,0.01,0,0.03,0.71
Virginia School 39,Chesterfield County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,9906 Springwood Rd,Yorktown,https://www.schooldigger.com/go/VA/city/Williamsburg/search.aspx,24651,Loudoun County,(571) 261-4400,No,No,Yes,No,1339,8.7,12.4,0.34,0.14,0,0.29,0.13,0,0.05,0.71
Virginia School 40,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/03840/search.aspx,15000 Graduation Dr.,Stafford,https://www.schooldigger.com/go/VA/city/Radford/search.aspx,22351,Loudoun County,(804) 780-4968,No,No,No,No,1397,22,13.7,0.11,0.08,0,0.43,0,0,0,0.46
Virginia School 41,Augusta County Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,1825 Wenonah Avenue,Coeburn,https://www.schooldigger.com/go/VA/city/South+Riding/search.aspx,22102,Loudoun County,(571) 751-2600,No,No,No,No,1657,59.4,12.3,0.32,0.09,0,0.1,0.08,0,0.01,0.6
Virginia School 42,Wise County Public Schools,https://www.schooldigger.com/go/VA/district/03810/search.aspx,314 School House Hill Dr,Glen Allen,https://www.schooldigger.com/go/VA/city/Leesburg/search.aspx,23368,Chesapeake city,(540) 828-2008,No,No,No,No,720,17.6,13.5,0.99,0.77,0,0.42,0.05,0,0.02,0.14
Virginia School 43,Stafford County Public Schools,https://www.schooldigger.com/go/VA/district/01830/search.aspx,14300 Fox Club Parkway,New Kent,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,23175,Augusta County,(434) 823-8700,No,No,Yes,No,2860,108.7,16.9,0.35,0.14,0,0,0.08,0,0.05,0.36
Virginia School 44,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,7124 Leesburg Pike,Chincoteague,https://www.schooldigger.com/go/VA/city/Tazewell/search.aspx,23229,Richmond city,(540) 828-2008,No,No,Yes,No,2166,67.9,10.5,0.99,0.13,0,0.43,0.07,0,0.06,0.71
Virginia School 45,Montgomery County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,9906 Springwood Rd,Charlottesville,https://www.schooldigger.com/go/VA/city/Leesburg/search.aspx,23384,Botetourt County,(703) 222-8100,No,No,No,No,757,8.7,14.1,0.31,0.16,0.01,0.31,0.04,0,0.01,0.46
Virginia School 46,Chesapeake City Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,167 Cosby Blvd,Ashburn,https://www.schooldigger.com/go/VA/city/Richlands/search.aspx,24240,Fairfax County,(571) 252-2800,No,No,No,No,889,39.3,11.3,0.24,0.09,0,0.08,0.26,0,0.02,0.64
Virginia School 47,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,201 Selma Road,Arlington,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,22789,New Kent County,(276) 637-3437,No,No,No,No,2705,8.7,14.2,0.16,0.2,0,0.3,0.21,0,0.01,0.12
Virginia School 48,Louisa County Public Schools,https://www.schooldigger.com/go/VA/district/04080/search.aspx,6560 Braddock Rd,Richmond,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,24388,Stafford County,(703) 503-4600,No,No,Yes,No,1618,68.9,14.6,0.86,0.15,0,0.06,0.08,0,0.03,0.2
Virginia School 49,Southampton County Public Schools,https://www.schooldigger.com/go/VA/district/03950/search.aspx,273 Titan Lane,Radford,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,21789,Louisa County,(804) 723-2100,No,No,No,No,1147,24.7,16.1,0.55,0.05,0,0.18,0.1,0,0.04,0.75
Virginia School 50,Southampton County Public Schools,https://www.schooldigger.com/go/VA/district/04020/search.aspx,1993 Sun Devil Dr,Poquoson,https://www.schooldigger.com/go/VA/city/Orange/search.aspx,23538,Norton city,(434) 773-8186,No,No,No,No,3206,16.7,13.1,0.23,0.04,0,0.15,0,0,0,0.29
Virginia School 51,Wise County Public Schools,https://www.schooldigger.com/go/VA/district/01590/search.aspx,9906 Springwood Rd,Chesapeake,https://www.schooldigger.com/go/VA/city/Stafford/search.aspx,22115,Orange County,(276) 326-1235,No,No,No,No,2211,69,15,0.37,0.16,0,0.06,0.17,0,0,0.4
Virginia School 52,Scott County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,273 Titan Lane,Mechanicsville,https://www.schooldigger.com/go/VA/city/Windsor/search.aspx,21771,Virginia Beach city,(540) 951-5706,No,No,No,No,2984,50.8,18.1,0.38,0.03,0,0.26,0.17,0,0,0.44
Virginia School 53,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/03480/search.aspx,269 Gobbler Dr,Crozet,https://www.schooldigger.com/go/VA/city/Staunton/search.aspx,22664,Fairfax County,(757) 898-0354,No,No,No,No,472,125,17.1,0.93,0.26,0,0.07,0.07,0,0,0.55
Virginia School 54,Danville City Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,201 Selma Road,Leesburg,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,23423,Fairfax County,(276) 928-1100,No,No,No,No,2266,8.7,14.3,0.27,0.91,0,0.09,0.06,0.01,0,0.29
Virginia School 55,Bedford County Public Schools,https://www.schooldigger.com/go/VA/district/03950/search.aspx,1 Maroon Way,Leesburg,https://www.schooldigger.com/go/VA/city/Falls+Church/search.aspx,23695,Stafford County,(276) 328-8015,No,No,Yes,No,2720,60.2,9.9,0.54,0.09,0,0.22,0.11,0,0.07,0.57
Virginia School 56,New Kent County Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,600 S Pine St,Castlewood,https://www.schooldigger.com/go/VA/city/Manassas/search.aspx,24030,Montgomery County,(571) 751-2600,No,No,Yes,No,3094,88.6,11.4,0.99,0.2,0,0.05,0.11,0,0.07,0.57
Virginia School 57,York County Public Schools,https://www.schooldigger.com/go/VA/district/00300/search.aspx,3751 John Tyler Hwy,Virginia Beach,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,24374,Albemarle County,(703) 248-5500,No,No,No,No,2879,51.6,14.4,0.32,0.19,0,0,0,0,0.01,0.26
Virginia School 58,Stafford County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,340 N Maple Ave,Big Stone Gap,https://www.schooldigger.com/go/VA/city/Richlands/search.aspx,22614,Virginia Beach city,(703) 554-8900,No,No,Yes,No,3248,35.3,14.3,0.28,0.17,0,0.18,0.06,0,0.06,0.83
Virginia School 59,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/03810/search.aspx,10504 Kettle Run Road,Midlothian,https://www.schooldigger.com/go/VA/city/Tazewell/search.aspx,20785,Loudoun County,(703) 750-8300,No,No,No,No,1918,105.9,14.1,0.35,0.07,0,0.41,0.11,0,0.08,0.46
Virginia School 60,Henrico County Public Schools,https://www.schooldigger.com/go/VA/district/02280/search.aspx,138 Tornado Alley,Williamsburg,https://www.schooldigger.com/go/VA/city/Yorktown/search.aspx,20105,Norton city,(703) 750-8300,No,No,No,No,3183,105.3,9.5,0.57,0.19,0,0.08,0.1,0,0.05,0.01
Virginia School 61,Botetourt County Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,19019 Upper Belmont Place,Virginia Beach,https://www.schooldigger.com/go/VA/city/Blacksburg/search.aspx,23572,Augusta County,(703) 222-8100,No,No,No,No,2485,8.7,12.7,0.29,0.13,0,0.28,0.03,0,0,0.6
Virginia School 62,Arlington County Public Schools,https://www.schooldigger.com/go/VA/district/03660/search.aspx,14300 Fox Club Parkway,Virginia Beach,https://www.schooldigger.com/go/VA/city/West+Point/search.aspx,23648,Prince William County,(757) 259-3600,No,No,No,No,2887,8.7,12.8,0.33,0.11,0,0.34,0.09,0,0.02,0.01
Virginia School 63,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/00090/search.aspx,4301 Cedar Ln,Chesapeake,https://www.schooldigger.com/go/VA/city/McLean/search.aspx,21462,Virginia Beach city,(757) 686-2500,No,No,No,No,2349,8.7,13.8,0.3,0.16,0,0.08,0.04,0,0.09,0.74
Virginia School 64,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/03130/search.aspx,403 Grafton Dr,Vienna,https://www.schooldigger.com/go/VA/city/Blacksburg/search.aspx,23683,Augusta County,(703) 228-5400,No,No,No,No,1952,8.7,10.7,0.57,0.05,0,0.17,0.02,0,0,0.01
Virginia School 65,Giles County Public Schools,https://www.schooldigger.com/go/VA/district/04150/search.aspx,4301 Cedar Ln,Williamsburg,https://www.schooldigger.com/go/VA/city/Midlothian/search.aspx,23671,Isle of Wight County,(276) 637-3437,No,No,No,No,3157,37.5,13.7,0.84,0.11,0,0.03,0.03,0,0,0.58
Virginia School 66,Botetourt County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,600 S Pine St,Virginia Beach,https://www.schooldigger.com/go/VA/city/Chesapeake/search.aspx,21986,Rockingham County,(703) 554-8900,No,No,No,No,3381,8.7,13.6,0.28,0.08,0,0.05,0.03,0,0.01,0.55
Virginia School 67,Louisa County Public Schools,https://www.schooldigger.com/go/VA/district/02280/search.aspx,230 S. Ridge St.,New Kent,https://www.schooldigger.com/go/VA/city/Fishersville/search.aspx,21126,Loudoun County,(276) 637-3437,No,No,No,No,1232,8.7,15.9,0.31,0.06,0,0.44,0.06,0,0,0.17
Virginia School 68,Botetourt County Public Schools,https://www.schooldigger.com/go/VA/district/00840/search.aspx,322 Powell Valley Road,Orange,https://www.schooldigger.com/go/VA/city/New+Kent/search.aspx,24651,Fairfax County,(703) 714-5700,No,No,No,No,2897,59.8,15.6,0.62,0.1,0,0.33,0.08,0.01,0.07,0.35
Virginia School 69,Isle Of Wight County Public Schools,https://www.schooldigger.com/go/VA/district/01590/search.aspx,2900 Sutton Rd,Chantilly,https://www.schooldigger.com/go/VA/city/Norton/search.aspx,21006,James City County,(540) 992-1261,No,Yes,No,No,2793,22,10.4,0.31,0.36,0,0.38,0.05,0,0,0.21
Virginia School 70,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/03180/search.aspx,6520 Georgetown Pike,Coeburn,https://www.schooldigger.com/go/VA/city/Windsor/search.aspx,24301,Wythe County,(703) 594-3020,No,Yes,No,No,2469,108.7,11.5,0.99,0.18,0,0.46,0,0,0,1
Virginia School 71,Gloucester County Public Schools,https://www.schooldigger.com/go/VA/district/02250/search.aspx,600 S Pine St,Poquoson,https://www.schooldigger.com/go/VA/city/Staunton/search.aspx,22651,Fairfax County,(276) 964-4602,No,No,No,No,2661,8.7,14.2,0.26,0.04,0,0.06,0.03,0,0.04,0.88
Virginia School 72,Wythe County Public Schools,https://www.schooldigger.com/go/VA/district/03420/search.aspx,1200 Forest Street,Virginia Beach,https://www.schooldigger.com/go/VA/city/Virginia+Beach/search.aspx,24447,Fairfax County,(703) 750-8300,No,No,No,No,3196,58.4,10.9,0.37,0.03,0,0.48,0.08,0,0.03,0.73
Virginia School 73,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/03240/search.aspx,230 S. Ridge St.,Leesburg,https://www.schooldigger.com/go/VA/city/Castlewood/search.aspx,20105,Fairfax County,(703) 222-8100,No,No,No,No,874,29.2,14.5,0.58,0.15,0,0.44,0.04,0,0.03,0.54
Virginia School 74,West Point Public Schools,https://www.schooldigger.com/go/VA/district/00300/search.aspx,25450 Riding Center Drive,Big Stone Gap,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,23346,Prince William County,(804) 843-3630,No,No,No,No,2828,8.7,9.7,0.14,0.05,0,0.29,0.21,0,0,0.65
Virginia School 75,Poquoson City Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,2007 Grizzly Trail,South Riding,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,22353,Prince William County,(757) 648-5100,No,No,No,No,2379,8.7,13.7,0.99,0.07,0,0.48,0.05,0,0.03,0.77
Virginia School 76,Isle Of Wight County Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,210 Valleydale,Falls Church,https://www.schooldigger.com/go/VA/city/Ashburn/search.aspx,24651,Isle of Wight County,(276) 928-1100,No,No,No,No,1018,72.1,11,0.41,0.06,0,0.09,0.21,0,0.05,0.93
Virginia School 77,Loudoun County Public Schools,https://www.schooldigger.com/go/VA/district/04080/search.aspx,21670 Ashburn Rd,Richmond,https://www.schooldigger.com/go/VA/city/Richmond/search.aspx,22869,Wythe County,(804) 723-3700,No,No,No,No,2446,8.7,15.8,0.56,0.15,0,0.24,0,0,0.03,0.47
Virginia School 78,Va Beach City Public Schools,https://www.schooldigger.com/go/VA/district/03480/search.aspx,701 North 37th Street,Aldie,https://www.schooldigger.com/go/VA/city/Vienna/search.aspx,22268,Tazewell County,(703) 913-3800,No,No,No,No,2807,17.2,16.1,0.99,0.11,0,0.05,0,0,0.03,0.65
Virginia School 79,Richmond City Public Schools,https://www.schooldigger.com/go/VA/district/01890/search.aspx,5000 Warrior Drive,Staunton,https://www.schooldigger.com/go/VA/city/Stafford/search.aspx,21875,Stafford County,(540) 658-6840,No,No,No,No,2426,32.8,12.1,0.46,0.18,0,0.03,0,0,0,0.66
Virginia School 80,Hanover County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,304 Blue Devil Circle,Daleville,https://www.schooldigger.com/go/VA/city/Williamsburg/search.aspx,24281,Fairfax County,(540) 245-5050,No,No,Yes,No,2533,8.7,16.5,0.76,0.12,0,0.13,0.1,0,0,0.49
Virginia School 81,Newport News City Public Schools,https://www.schooldigger.com/go/VA/district/03330/search.aspx,4549 Malus Dr,Gloucester,https://www.schooldigger.com/go/VA/city/Crozet/search.aspx,22173,Loudoun County,(540) 661-4300,No,No,No,No,2343,8.7,15.1,0.29,0.1,0.01,0.24,0.23,0,0.03,0.63
Virginia School 82,Fairfax County Public Schools,https://www.schooldigger.com/go/VA/district/01260/search.aspx,3401 Bruin Lane,Leesburg,https://www.schooldigger.com/go/VA/city/Falls+Church/search.aspx,23168,York County,(757) 898-0354,No,No,No,No,2673,84.9,17.7,0.99,0.12,0,0.35,0,0,0.05,0.18
Virginia School 83,Wythe County Public Schools,https://www.schooldigger.com/go/VA/district/00060/search.aspx,138 Tornado Alley,Leesburg,https://www.schooldigger.com/go/VA/city/Mineral/search.aspx,24651,Chesterfield County,(703) 426-2100,No,No,No,No,2374,26.1,16.5,0.99,0.13,0,0.18,0.09,0,0.07,0.01
Virginia School 84,Gloucester County Public Schools,https://www.schooldigger.com/go/VA/district/01590/search.aspx,8909 Euclid Ave,Broadway,https://www.schooldigger.com/go/VA/city/Vienna/search.aspx,23048,Arlington County,(540) 337-1921,No,No,No,No,3017,60,15.5,0.99,0.06,0,0.26,0.02,0,0,0.73
