Order Priority,Discount,Unit Price,Shipping Cost,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Sales
High,0.04,29.14,4.86,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Central,Texas,Round Rock,78664,6/12/2015,6/14/2015,349.4091,506.39
Not Specified,0,3.69,0.5,Regular Air,Small Business,Office Supplies,Labels,Small Box,South,Virginia,Salem,24153,3/2/2015,3/4/2015,-37.5291,4
Not Specified,0.02,175.99,4.99,Express Air,Small Business,Technology,Telephones and Communication,Small Box,South,Virginia,Salem,24153,3/2/2015,3/2/2015,101.49,589.8
Low,0.05,155.06,7.07,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,West,California,Napa,94559,1/2/2015,1/9/2015,845.664,1225.6
Low,0,291.73,48.8,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,East,New York,New York City,10177,1/2/2015,1/2/2015,-308.928,1239.06
Low,0.07,100.98,45,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,East,New York,New York City,10177,1/2/2015,1/4/2015,-1679.76,4083.19
Low,0.05,155.06,7.07,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,East,New York,New York City,10177,1/2/2015,1/9/2015,575.396,4902.38
High,0.09,122.99,70.2,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,East,New York,New York City,10177,2/2/2015,2/4/2015,-2426.55,5718.85
High,0.09,122.99,70.2,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,East,Vermont,Burlington,5401,2/2/2015,2/4/2015,-2426.55,1400.53
High,0.04,296.18,54.12,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,East,Ohio,Canton,44708,3/15/2015,3/15/2015,-715.778206,1821.89
Not Specified,0,8.09,7.96,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,East,Ohio,Cincinnati,45231,2/2/2015,2/3/2015,-144.56,90.98
High,0.08,896.99,19.99,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,East,Ohio,Cincinnati,45231,3/30/2015,4/2/2015,7402.32,10728
Low,0.05,161.55,19.99,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,West,California,Vacaville,95687,6/3/2015,6/8/2015,1892.424,3127.69
High,0.09,4.91,0.5,Regular Air,Corporate,Office Supplies,Labels,Small Box,West,California,Vacaville,95687,3/22/2015,3/23/2015,28.8558,41.82
High,0.01,296.18,54.12,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,West,California,Vacaville,95687,3/22/2015,3/25/2015,173.48,2875.72
High,0.07,19.84,4.1,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,West,California,Vallejo,94591,5/17/2015,5/18/2015,117.852,170.8
Medium,0.05,5.18,2.04,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,West,California,Vallejo,94591,2/18/2015,2/20/2015,34.0104,53.54
Medium,0.06,175.99,8.99,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,West,California,Vallejo,94591,3/4/2015,3/6/2015,2031.507,3363.53
High,0.07,8.34,1.43,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,South,Louisiana,Terrytown,70056,5/17/2015,5/19/2015,-190.68,132.08
High,0.09,4.98,6.07,Regular Air,Home Office,Office Supplies,Paper,Small Box,South,Louisiana,Terrytown,70056,5/17/2015,5/18/2015,325.398,45.34
Medium,0.04,12.98,3.14,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,South,Louisiana,Terrytown,70056,6/7/2015,6/9/2015,22.818,216.04
Not Specified,0.04,160.98,30,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Illinois,Chicago,60601,5/3/2015,5/5/2015,116.1,6276.34
Not Specified,0.01,17.98,4,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,Central,Illinois,Chicago,60601,5/3/2015,5/5/2015,-87.96,2664.4
Not Specified,0.04,160.98,30,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Kansas,Manhattan,66502,5/3/2015,5/5/2015,255.42,1526.68
Not Specified,0.06,115.99,8.99,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Central,Kansas,Manhattan,66502,5/3/2015,5/4/2015,685.6146,1952.56
Medium,0.1,19.98,4,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,East,Maine,Biddeford,4005,6/22/2015,6/24/2015,-16.2,303.59
Medium,0.04,300.98,54.92,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,East,Massachusetts,Boston,2129,4/6/2015,4/7/2015,2023.75,9459.94
Medium,0.1,19.98,4,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,East,Massachusetts,Boston,2129,6/22/2015,6/24/2015,-20.25,1233.32
Medium,0.09,2.88,1.49,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,East,Massachusetts,Boston,2129,6/22/2015,6/23/2015,-3.381,47.31
Medium,0.04,300.98,54.92,Delivery Truck,Consumer,Furniture,Bookcases,Jumbo Box,East,New Hampshire,Dover,3820,4/6/2015,4/7/2015,1684.4763,2441.27
Medium,0.09,2.88,1.49,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,East,New Jersey,Lodi,7644,6/22/2015,6/23/2015,-2.7048,11.13
High,0.03,4.26,1.2,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,West,Oregon,Lake Oswego,97035,1/3/2015,1/4/2015,18.658,29.5
Medium,0.01,4.91,0.5,Regular Air,Home Office,Office Supplies,Labels,Small Box,West,Oregon,Lake Oswego,97035,4/4/2015,4/6/2015,40.2477,58.33
Medium,0.09,4,1.3,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,West,Oregon,Lake Oswego,97035,4/4/2015,4/6/2015,14.0898,20.42
Low,0.07,2.12,1.99,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,West,Oregon,Mcminnville,97128,4/9/2015,4/11/2015,-55.84,26.07
High,0.03,4.26,1.2,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,West,Washington,Seattle,98103,1/3/2015,1/4/2015,9.82,122.23
Medium,0.01,4.91,0.5,Regular Air,Home Office,Office Supplies,Labels,Small Box,West,Washington,Seattle,98103,4/4/2015,4/6/2015,112.06,228.46
Medium,0.09,4,1.3,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,West,Washington,Seattle,98103,4/4/2015,4/6/2015,16.79,77.61
Low,0.07,2.12,1.99,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,West,Washington,Seattle,98103,4/9/2015,4/11/2015,-55.84,99.94
High,0.05,6.3,0.5,Regular Air,Corporate,Office Supplies,Labels,Small Box,West,Utah,Layton,84041,1/12/2015,1/13/2015,41.2965,59.85
High,0.09,205.99,3,Express Air,Corporate,Technology,Telephones and Communication,Small Box,West,Utah,Layton,84041,1/12/2015,1/14/2015,1179.0237,1708.73
Critical,0.06,8.57,6.14,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,South,Virginia,Tysons Corner,22102,4/9/2015,4/10/2015,105.678,94.97
Not Specified,0.02,1.74,4.08,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,Central,Illinois,Alton,62002,1/27/2015,1/28/2015,-37.39,10.23
Not Specified,0.07,15.74,1.39,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Central,Illinois,Alton,62002,5/25/2015,5/26/2015,149.8887,217.23
Critical,0.04,18.97,9.54,Regular Air,Small Business,Office Supplies,Paper,Small Box,West,California,Petaluma,94952,5/16/2015,5/17/2015,3.04,101.74
Critical,0.09,10.98,3.37,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,West,California,Petaluma,94952,5/16/2015,5/17/2015,2.706,84.52
Critical,0.03,22.84,11.54,Regular Air,Small Business,Office Supplies,Paper,Small Box,East,Connecticut,Ansonia,6401,6/2/2015,6/3/2015,91.956,312.59
Critical,0.05,10.98,3.37,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,East,Massachusetts,Yarmouth,2664,6/2/2015,6/3/2015,-2.544,64.4
Medium,0.06,7.04,2.17,Regular Air,Small Business,Office Supplies,Paper,Wrap Bag,East,Pennsylvania,West Mifflin,15122,1/15/2015,1/17/2015,2.4852,14.65
Low,0.07,154.13,69,Express Air,Home Office,Furniture,Tables,Large Box,East,Pennsylvania,West Mifflin,15122,3/16/2015,3/16/2015,-634.7341,453.62
Not Specified,0.01,45.98,4.8,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,Central,Texas,Watauga,76148,3/12/2015,3/13/2015,133.5771,193.59
Medium,0.06,180.98,26.2,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,Central,Texas,Watauga,76148,4/23/2015,4/24/2015,251.4084,929.57
Critical,0.09,32.98,5.5,Regular Air,Home Office,Technology,Computer Peripherals,Small Box,South,Tennessee,Kingsport,37664,1/22/2015,1/23/2015,-20.258,62.46
High,0.09,5.98,2.5,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,South,Tennessee,Kingsport,37664,4/20/2015,4/22/2015,13.896,28.11
Critical,0.09,2.88,0.7,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,South,Tennessee,Knoxville,37918,1/15/2015,1/16/2015,-172.718,5.5
Low,0.01,79.52,48.2,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,South,Tennessee,Knoxville,37918,4/19/2015,4/26/2015,-40.684,667.84
High,0.01,65.99,8.99,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,South,Tennessee,Knoxville,37918,3/29/2015,4/1/2015,97.86,292.23
Low,0.1,39.98,4,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,South,Tennessee,Knoxville,37918,6/18/2015,6/22/2015,360.24,772.56
Critical,0.01,95.99,4.9,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,West,Colorado,Fort Collins,80525,5/14/2015,5/15/2015,713.88,1050.08
High,0.03,10.89,4.5,Regular Air,Corporate,Office Supplies,Appliances,Small Box,West,Colorado,Fort Collins,80525,1/25/2015,1/26/2015,-18.64,33.82
Medium,0.05,100.98,35.84,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,West,Washington,Richland,99352,1/2/2015,1/4/2015,-111.4,715.55
Medium,0.02,4.98,5.49,Regular Air,Home Office,Office Supplies,Paper,Small Box,West,Washington,Richland,99352,1/2/2015,1/3/2015,-77.03,45.63
Low,0.08,399.98,12.06,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Box,South,Tennessee,Lebanon,37087,1/11/2015,1/18/2015,28.5141,1839.91
Low,0.08,43.22,16.71,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,South,Louisiana,Baton Rouge,70802,1/3/2015,1/5/2015,280.27458,130.62
Low,0.05,574.74,24.49,Regular Air,Corporate,Technology,Office Machines,Large Box,South,Louisiana,Baton Rouge,70802,1/3/2015,1/10/2015,-112.4263,6945.16
Low,0.04,10.14,2.27,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,South,Louisiana,Baton Rouge,70802,1/3/2015,1/7/2015,24.924,30.94
Critical,0.05,1.88,1.49,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,East,New Jersey,Fort Lee,7024,4/13/2015,4/15/2015,-2.9095,3.42
Critical,0.02,49.99,19.99,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,West,California,San Francisco,94122,2/21/2015,2/21/2015,-76.89,901.81
High,0.07,1.68,1.57,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,West,California,San Francisco,94122,5/22/2015,5/23/2015,-35.75,186.59
Critical,0.02,49.99,19.99,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,East,Massachusetts,Arlington,2474,2/21/2015,2/21/2015,-76.89,250.5
High,0.07,10.06,2.06,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Central,Texas,Gainesville,76240,5/22/2015,5/22/2015,152.6556,221.24
High,0.07,1.68,1.57,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Texas,Gainesville,76240,5/22/2015,5/23/2015,7.15,46.65
High,0.1,58.1,1.49,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Illinois,Arlington Heights,60004,2/12/2015,2/13/2015,113.6499,164.71
High,0.01,80.48,4.5,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Central,Illinois,Aurora,60505,2/12/2015,2/15/2015,-35.4744,79.68
Not Specified,0.05,3.8,1.49,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Central,Illinois,Aurora,60505,4/9/2015,4/11/2015,14.467,53.26
Not Specified,0.09,30.73,4,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,Central,Illinois,Aurora,60505,4/9/2015,4/9/2015,-99.9864,203.49
Not Specified,0,125.99,8.08,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Central,Illinois,Aurora,60505,4/9/2015,4/10/2015,1348.59672,2356.01
Not Specified,0,213.45,14.7,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,West,Utah,Layton,84041,1/3/2015,1/5/2015,-560.81418,224.12
Medium,0.07,6.54,5.27,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,West,Utah,Layton,84041,3/30/2015,4/1/2015,-66.0445,140.3
Not Specified,0.02,6.48,9.17,Regular Air,Corporate,Office Supplies,Paper,Small Box,West,Utah,Lehi,84043,1/10/2015,1/11/2015,-105.6852,28.2
Medium,0.09,3.29,1.35,Regular Air,Corporate,Office Supplies,Rubber Bands,Wrap Bag,West,Utah,Lehi,84043,3/30/2015,4/1/2015,15.66,71.55
Critical,0,161.55,19.99,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Central,Kansas,Overland Park,66212,4/2/2015,4/4/2015,1167.158,3108.98
Critical,0,161.55,19.99,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Central,Michigan,Detroit,48138,4/2/2015,4/4/2015,1014.92,12599.55
Not Specified,0.09,12.28,4.86,Regular Air,Corporate,Office Supplies,Paper,Small Box,Central,Oklahoma,Bartlesville,74006,4/27/2015,4/28/2015,1.73,34.65
High,0.03,7.37,5.53,Regular Air,Corporate,Technology,Computer Peripherals,Small Pack,Central,Oklahoma,Bartlesville,74006,1/16/2015,1/18/2015,-133.7,85.79
Low,0.05,1.86,2.58,Regular Air,Home Office,Office Supplies,Rubber Bands,Wrap Bag,East,New York,Troy,12180,1/17/2015,1/21/2015,-66.62,17.61
Medium,0.09,5.4,7.78,Express Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,East,New York,Troy,12180,6/2/2015,6/2/2015,-21.48775,27.3
Medium,0.02,20.28,6.68,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,East,New York,Troy,12180,6/2/2015,6/2/2015,44.6775,64.75
Medium,0,11.55,2.36,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,East,New York,Troy,12180,6/2/2015,6/3/2015,23.595,62.98
Medium,0.01,10.06,2.06,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,East,New York,Utica,13501,1/6/2015,1/8/2015,7.59,21.2
Medium,0,65.99,5.92,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,East,New York,Utica,13501,1/6/2015,1/8/2015,-107.987,173.32
Medium,0.05,2.08,2.56,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,East,New York,Utica,13501,6/2/2015,6/3/2015,-36.25,42.29
Medium,0.05,119.99,56.14,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Box,West,Utah,Murray,84107,6/9/2015,6/11/2015,-102.5121,730.37
Medium,0.03,60.89,32.41,Delivery Truck,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,South,North Carolina,Mint Hill,28227,4/2/2015,4/3/2015,36.354,450.49
Medium,0.07,5.81,8.49,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Central,Illinois,Orland Park,60462,2/20/2015,2/22/2015,-243.2365,58.8
Medium,0.04,9.65,6.22,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,Central,Illinois,Orland Park,60462,2/20/2015,2/21/2015,-53.62,120.47
Critical,0.06,279.81,23.19,Delivery Truck,Small Business,Office Supplies,Appliances,Jumbo Drum,Central,Iowa,Newton,50208,2/5/2015,2/6/2015,1103.9724,1599.96
High,0.03,28.53,1.49,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Central,Iowa,Newton,50208,3/27/2015,3/29/2015,136.3371,197.59
High,0.01,15.28,1.99,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,Central,Iowa,Newton,50208,3/27/2015,3/29/2015,-12.46,33.04
Low,0.06,3.34,7.49,Express Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Iowa,Newton,50208,4/28/2015,4/30/2015,-175.86,27.45
Not Specified,0,442.14,14.7,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,West,Colorado,Louisville,80027,2/22/2015,2/22/2015,3294.8259,4775.11
Medium,0.1,19.98,5.77,Express Air,Small Business,Office Supplies,Paper,Small Box,West,Colorado,Fountain,80817,4/20/2015,4/20/2015,35.09,57.41
Medium,0.06,259.71,66.67,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,West,Colorado,Grand Junction,81503,4/20/2015,4/21/2015,785.63,2809.87
Low,0.01,5.94,9.92,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,West,Colorado,Grand Junction,81503,5/26/2015,6/2/2015,-256.519,79.93
Low,0.02,125.99,3,Regular Air,Small Business,Technology,Telephones and Communication,Small Box,West,Colorado,Grand Junction,81503,5/26/2015,5/26/2015,398.358,873.18
Medium,0.02,146.05,80.2,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,South,Tennessee,Maryville,37804,2/23/2015,2/23/2015,-101.192,798.69
Medium,0.06,65.99,5.92,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,South,Tennessee,Maryville,37804,2/23/2015,2/24/2015,-3.332,792.11
Medium,0.09,2.88,0.99,Regular Air,Corporate,Office Supplies,Labels,Small Box,South,Tennessee,Maryville,37804,3/21/2015,3/23/2015,-145.082,28.73
Critical,0.02,2.58,1.3,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Central,Minnesota,Richfield,55423,5/28/2015,5/29/2015,1.108,109.74
Critical,0.02,65.99,3.9,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,Central,Minnesota,Richfield,55423,5/28/2015,5/29/2015,1061.379,1543.55
Medium,0.1,280.98,35.67,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,West,Colorado,Highlands Ranch,80126,6/10/2015,6/11/2015,-53.745,1332.82
Critical,0.03,8.34,2.64,Regular Air,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,East,Pennsylvania,Hanover,17331,1/31/2015,2/2/2015,0.684,34.64
Medium,0.05,17.48,1.99,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,South,Florida,Seminole,33772,1/2/2015,1/4/2015,-127.008,52.47
Low,0.09,2.88,0.7,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,West,New Mexico,Santa Fe,87505,1/19/2015,1/19/2015,5.7532,26.38
High,0.05,31.76,45.51,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,East,Ohio,Cleveland Heights,44106,1/21/2015,1/23/2015,-2177.986096,304.34
Not Specified,0,73.98,12.14,Express Air,Corporate,Technology,Computer Peripherals,Small Box,Central,Texas,San Antonio,78207,5/18/2015,5/20/2015,326.25,1300.81
Medium,0.08,6.48,7.03,Regular Air,Corporate,Office Supplies,Paper,Small Box,Central,Texas,San Antonio,78207,5/15/2015,5/16/2015,8.932,67.86
Medium,0.01,20.34,35,Regular Air,Corporate,Office Supplies,Storage & Organization,Large Box,Central,Texas,San Antonio,78207,5/15/2015,5/16/2015,229.638,747.28
Low,0.02,5.58,5.3,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,West,Arizona,Flagstaff,86001,4/7/2015,4/12/2015,-22.48,18.67
Low,0.03,40.89,18.98,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,West,Arizona,Flagstaff,86001,4/7/2015,4/14/2015,78.98,210.77
Low,0.09,35.94,6.66,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,West,Arizona,Gilbert,85234,6/5/2015,6/10/2015,144.2928,209.12
Low,0,170.98,13.99,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,West,Arizona,Gilbert,85234,6/5/2015,6/12/2015,888.1473,1287.17
Low,0.09,4.98,7.44,Regular Air,Home Office,Office Supplies,Paper,Small Box,West,Arizona,Gilbert,85234,6/5/2015,6/7/2015,-46.005,46.17
Medium,0.1,80.97,30.06,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Box,South,Georgia,Forest Park,30297,3/30/2015,3/31/2015,128.0253,899.81
Low,0.02,5.58,5.3,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,South,North Carolina,Charlotte,28204,4/7/2015,4/12/2015,-29.8984,68.46
Low,0.03,40.89,18.98,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,South,North Carolina,Charlotte,28204,4/7/2015,4/14/2015,52.9166,885.23
Low,0.09,35.94,6.66,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,South,North Carolina,Charlotte,28204,6/5/2015,6/10/2015,72.1858,836.47
Low,0.09,4.98,7.44,Regular Air,Home Office,Office Supplies,Paper,Small Box,South,North Carolina,Charlotte,28204,6/5/2015,6/7/2015,-122.3733,189.83
Not Specified,0.09,15.28,10.91,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,East,Connecticut,Fairfield,6824,1/24/2015,1/25/2015,-51.75,61.52
