Monthly Hours,Department,Salary,Number_of_Projects,Tenure,Filed Complaint,Recently_Promoted,Last_Evaluation,Employee_Satisfaction,Status
146,Sales,Low,2,3,0,0,0.53,0.4,Left
159,,Low,3,3,0,0,0.69,0.56,Employed
198,Engineering,Medium,2,2,0,0,0.75,0.53,Left
159,Marketing,Low,2,3,0,0,0.48,0.44,Left
275,Product,Low,2,3,0,0,0.57,0.89,Employed
141,Support,Medium,3,3,0,0,0.93,0.81,Employed
173,Finance,Low,4,3,0,0,,0.86,Employed
203,Sales,Medium,5,2,0,0,0.59,0.7,Employed
203,Engineering,Low,4,5,0,0,0.61,0.27,Employed
230,Sales,Medium,5,4,0,0,0.8,0.13,Employed
168,Sales,Low,4,2,0,0,0.59,0.48,Employed
183,It,Low,3,3,0,0,0.72,0.79,Employed
246,Support,Medium,5,3,0,0,0.33,0.46,Employed
209,Engineering,Low,5,3,0,0,0.71,0.83,Employed
224,Sales,Medium,3,6,0,0,1,0.53,Employed
143,Support,Low,2,3,0,0,0.58,0.48,Left
140,Sales,Medium,2,2,0,0,1,0.5,Employed
212,Support,Low,3,4,0,0,0.79,0.73,Employed
156,Marketing,Low,3,5,0,0,0.5,0.64,Employed
186,It,Medium,3,2,0,0,0.86,0.73,Employed
162,Sales,Low,3,3,0,0,0.5,0.8,Employed
158,Support,Low,2,3,0,0,0.54,0.35,Left
156,Sales,Low,3,2,0,0,,0.55,Employed
283,It,Low,3,3,0,0,,0.55,Employed
113,,Low,4,3,0,0,0.51,0.63,Employed
214,It,Low,4,2,1,0,,0.97,Employed
181,Product,Medium,3,3,1,0,0.67,0.55,Employed
140,Support,Low,4,3,0,0,0.8,0.53,Employed
184,Engineering,Low,4,3,0,0,0.92,0.91,Employed
168,Sales,Low,3,3,1,0,0.39,0.39,Employed
146,Engineering,Medium,2,3,0,0,0.56,0.47,Left
251,Engineering,Medium,4,2,0,0,0.87,0.7,Employed
219,Support,Low,5,5,0,0,1,0.73,Left
170,Product,Low,2,3,0,0,0.52,0.35,Employed
187,Marketing,Medium,4,5,0,0,0.68,0.19,Employed
207,Product,Medium,3,3,0,0,0.5,0.58,Employed
165,Support,Low,5,3,0,0,0.6,0.77,Employed
241,,Low,3,3,0,0,0.77,0.85,Employed
139,Engineering,Low,4,3,0,0,,0.77,Employed
165,Support,Low,3,4,0,0,0.84,0.6,Employed
167,Engineering,Low,5,2,0,0,0.63,0.49,Employed
163,Sales,Medium,4,3,0,0,0.93,0.79,Employed
161,,Medium,2,5,0,0,0.7,0.61,Employed
271,It,Low,6,4,0,0,0.97,0.17,Left
310,Sales,Medium,7,4,0,0,0.86,0.15,Left
257,Support,Low,4,3,0,0,0.73,0.76,Employed
278,Sales,Low,7,4,0,0,0.86,0.1,Left
229,Engineering,Medium,3,6,0,0,0.63,0.08,Employed
186,It,Medium,3,3,0,0,0.56,0.74,Employed
211,Sales,High,4,7,0,0,0.95,0.36,Employed
248,Management,High,4,3,0,0,,0.62,Employed
231,Management,High,3,2,1,0,,0.75,Employed
266,Sales,Low,3,5,0,0,0.87,0.69,Employed
135,Engineering,Low,2,3,0,0,0.45,0.39,Left
248,Support,Medium,5,5,0,0,1,0.7,Left
161,It,Low,4,3,0,0,0.73,0.79,Employed
212,Product,Medium,3,2,0,0,0.87,0.53,Employed
103,,Low,3,3,0,0,0.58,0.38,Employed
160,Sales,Low,3,2,0,0,0.89,0.76,Employed
268,Engineering,Low,5,3,0,0,0.8,0.85,Employed
116,Sales,Low,4,3,1,0,0.85,0.31,Employed
150,,Low,2,3,0,0,0.56,0.44,Left
146,It,Low,2,3,0,0,0.5,0.41,Left
215,It,Medium,6,3,0,0,0.42,0.61,Employed
194,Sales,High,5,2,0,0,0.53,0.97,Employed
200,Product,Medium,5,4,0,0,0.43,0.57,Employed
213,Sales,High,3,3,0,0,0.77,0.54,Employed
163,Information_Technology,Low,3,2,0,0,0.91,0.93,Employed
148,Sales,Low,2,3,0,0,0.47,0.44,Left
245,Product,Medium,2,5,0,0,0.51,0.45,Employed
250,Support,Low,3,2,0,0,0.87,0.55,Left
250,Sales,Low,5,2,1,0,0.83,0.83,Employed
173,Engineering,Medium,2,2,0,0,0.73,0.45,Employed
248,Sales,Low,4,3,1,0,0.9,0.74,Employed
158,Management,Medium,5,3,0,0,0.64,0.96,Employed
196,Support,Low,4,2,0,0,0.84,0.47,Employed
265,Procurement,Low,3,8,0,0,0.63,0.91,Employed
159,Engineering,High,3,3,0,0,0.87,0.96,Employed
262,Sales,Medium,5,3,0,0,0.91,0.97,Employed
175,Sales,Medium,3,3,0,0,0.4,0.28,Employed
278,Sales,Low,7,4,0,0,0.78,0.11,Left
248,Sales,Low,5,5,0,0,0.86,0.93,Left
275,Product,Low,3,2,0,0,0.52,0.63,Employed
258,Support,Low,5,6,0,0,0.87,0.29,Employed
253,Engineering,Medium,5,5,0,0,1,0.85,Left
165,Support,Low,4,5,0,0,0.64,0.16,Employed
269,Support,Medium,3,4,1,0,0.77,0.25,Employed
148,Finance,Medium,2,3,0,0,0.54,0.47,Left
156,Sales,Low,4,2,1,0,0.95,0.67,Employed
274,Sales,Low,4,2,1,0,0.81,0.84,Employed
196,Support,Low,3,6,1,0,1,0.71,Employed
146,Engineering,Low,3,4,1,0,0.36,0.62,Employed
274,Sales,Low,2,4,0,0,0.49,0.67,Left
139,Marketing,Low,2,3,0,0,0.52,0.37,Left
132,Product,High,4,3,0,0,0.44,0.63,Employed
231,It,Medium,5,4,1,0,0.62,0.24,Employed
254,Sales,Low,4,4,0,0,0.55,0.51,Left
189,Admin,Low,4,4,0,0,0.54,0.83,Employed
104,Support,Low,5,4,0,0,0.79,0.78,Employed
254,Marketing,Low,4,5,0,0,0.87,0.83,Left
253,Sales,Medium,5,6,0,0,0.56,0.73,Employed
170,Sales,Low,2,8,0,0,0.66,0.49,Employed
195,Sales,Medium,3,3,0,0,0.69,0.87,Employed
255,Management,Medium,5,4,0,0,0.56,0.79,Employed
194,Engineering,Medium,4,2,0,0,0.86,0.55,Employed
260,It,Low,5,5,0,0,0.88,0.79,Left
212,Finance,Low,4,2,1,0,0.42,0.37,Employed
219,Marketing,Medium,5,2,0,0,,0.93,Employed
187,Management,High,4,3,0,0,0.96,0.68,Employed
252,,Medium,4,6,0,0,0.78,0.77,Employed
281,Sales,Medium,4,7,0,0,0.53,0.19,Employed
163,It,Low,4,5,0,0,0.62,0.95,Employed
155,Engineering,Medium,3,3,0,0,0.9,0.95,Employed
208,Management,High,4,7,0,1,0.6,0.89,Employed
280,Sales,Low,6,4,0,0,0.95,0.15,Left
137,Sales,Low,3,3,0,0,0.87,1,Employed
242,Information_Technology,Medium,4,2,0,0,0.93,0.64,Employed
229,Sales,Low,2,4,0,0,0.67,0.89,Employed
269,Sales,Low,6,4,0,0,0.87,0.04,Left
173,,Low,5,2,0,0,0.72,0.53,Employed
153,Support,Low,5,4,0,0,0.59,0.55,Left
282,,Medium,6,4,0,0,0.98,0.06,Left
233,Support,Low,4,4,0,0,0.54,0.58,Employed
275,Support,Low,3,5,0,0,0.4,0.22,Employed
179,Support,Low,3,4,0,0,0.57,0.72,Employed
195,Engineering,Low,5,4,0,0,0.84,0.78,Employed
206,Marketing,Low,2,2,0,0,0.58,0.78,Employed
239,Product,Low,4,5,0,0,0.92,0.83,Left
208,It,Low,4,3,1,0,0.82,0.83,Employed
150,Engineering,Medium,3,2,0,0,0.68,0.29,Employed
219,Engineering,Low,4,3,0,0,,0.87,Employed
172,Sales,Low,5,2,0,0,,0.33,Left
201,Finance,Medium,3,4,0,0,0.73,0.75,Employed
222,Sales,Medium,5,3,0,1,0.96,0.89,Employed
228,Sales,Low,2,3,0,0,1,0.25,Employed
198,,Low,2,2,0,0,0.95,0.58,Employed
146,Marketing,Low,2,3,0,0,0.51,0.42,Left
219,Support,Low,6,5,0,0,0.89,0.29,Left
257,Engineering,Medium,5,4,0,0,0.83,1,Employed
124,Sales,Medium,3,3,0,0,0.64,0.64,Employed
208,,Medium,4,2,0,0,0.88,0.93,Employed
129,Support,Medium,2,3,0,0,0.4,0.44,Left
259,Product,High,3,2,0,0,0.81,0.46,Employed
142,Support,Low,3,3,0,0,0.56,0.68,Employed
238,,Low,3,2,0,0,0.93,0.88,Employed
239,Sales,Low,4,5,0,0,0.92,0.88,Left
152,Support,Low,2,3,0,0,0.62,0.52,Left
248,Sales,Medium,3,4,0,0,0.67,0.72,Employed
111,Sales,High,4,2,0,0,0.98,0.83,Employed
180,Sales,High,4,5,0,0,0.56,0.95,Employed
221,Support,Medium,5,6,0,0,0.89,0.79,Left
237,Support,Low,2,2,0,0,0.44,0.53,Employed
213,Sales,Low,4,3,0,0,0.7,0.78,Employed
160,Sales,Low,2,3,0,0,0.5,0.5,Left
255,Sales,Medium,4,2,0,0,0.67,0.91,Employed
288,Support,Medium,6,4,0,0,0.96,0.07,Left
258,Management,High,4,3,0,0,0.78,0.7,Employed
199,Sales,Low,4,2,0,0,0.81,0.74,Employed
256,Support,Medium,3,6,0,0,0.41,0.63,Employed
305,Finance,Medium,6,4,0,0,0.85,0.1,Left
185,Support,Low,5,2,0,0,0.92,0.57,Employed
185,It,Medium,4,2,0,0,0.66,0.57,Employed
211,Information_Technology,Low,3,3,0,0,0.61,0.58,Employed
283,Engineering,Low,6,4,1,0,0.83,0.13,Left
138,Engineering,Low,5,3,0,0,0.86,0.62,Employed
143,Support,Medium,4,3,0,0,0.77,0.83,Employed
134,Sales,Medium,3,3,0,0,,0.45,Employed
234,Marketing,Medium,3,2,0,0,,0.73,Employed
258,Engineering,Medium,4,5,0,0,0.94,0.96,Left
166,Sales,Medium,3,3,0,0,0.58,0.92,Employed
260,It,Medium,6,4,0,0,0.81,0.04,Left
176,Sales,Low,4,2,0,0,0.43,0.32,Employed
153,Product,Low,2,3,0,0,0.47,0.41,Left
154,Marketing,Low,2,3,0,0,0.55,0.34,Left
291,Engineering,Low,5,4,0,0,0.94,0.15,Left
273,Marketing,Medium,6,4,1,0,0.65,0.74,Employed
140,Engineering,High,4,3,0,0,0.61,0.56,Employed
240,It,Medium,5,5,0,0,0.9,0.94,Left
236,Sales,Low,4,4,0,0,0.59,0.79,Employed
242,Management,Medium,4,2,0,0,0.92,0.66,Employed
171,Admin,Medium,4,4,0,0,0.72,0.91,Employed
150,Support,High,4,2,0,0,0.87,0.48,Employed
152,Product,Low,2,3,0,0,0.44,0.34,Left
182,Engineering,Low,3,4,0,0,0.75,0.86,Left
133,Engineering,Medium,4,3,0,1,0.81,0.75,Employed
230,Sales,Medium,3,3,1,0,0.68,0.59,Employed
251,Sales,Low,3,2,0,0,0.52,0.53,Employed
225,Sales,Medium,5,7,0,0,0.69,0.69,Employed
164,Engineering,Low,5,3,0,0,0.91,0.68,Employed
81,Temp,Low,1,,0,0,,,Employed
211,Sales,Medium,3,3,0,0,0.88,0.81,Employed
162,Sales,Medium,3,3,0,0,0.8,0.81,Employed
242,,Medium,4,3,1,0,0.78,0.87,Employed
132,Engineering,Medium,4,4,0,0,0.63,0.57,Employed
149,Sales,Low,2,3,0,0,0.49,0.4,Left
251,Engineering,Low,6,4,0,0,0.74,0.84,Employed
158,It,Low,2,3,0,0,0.55,0.39,Left
228,,Low,4,5,0,0,0.94,0.75,Left
229,Support,Medium,6,3,0,0,0.67,0.51,Employed
272,Engineering,Low,6,4,0,0,0.78,0.06,Left
195,Engineering,Medium,4,3,1,0,0.95,0.47,Employed
241,,Medium,3,3,0,0,0.48,0.65,Employed
305,Engineering,Low,6,4,0,0,0.93,0.15,Left
232,Sales,Medium,4,3,0,0,0.72,0.8,Employed
241,Engineering,High,4,3,0,0,0.7,0.87,Employed
183,Management,Medium,2,2,0,0,0.56,0.32,Employed
135,Information_Technology,Medium,4,3,0,1,0.76,0.8,Employed
193,Admin,Medium,3,3,0,0,,1,Employed
120,Finance,Medium,3,6,1,0,0.47,0.56,Employed
145,Support,Low,2,3,0,0,0.46,0.39,Left
126,Sales,Medium,5,5,0,0,0.93,0.63,Employed
243,Support,Medium,5,5,0,0,1,0.76,Left
252,It,Low,4,4,0,0,0.93,0.55,Employed
159,,High,2,3,0,0,0.47,0.46,Left
171,Support,Medium,3,3,0,0,0.59,0.58,Employed
223,Sales,High,3,7,0,0,0.87,0.68,Employed
201,Support,Low,4,2,1,0,0.81,0.85,Employed
261,It,Medium,4,2,0,0,0.79,0.87,Employed
298,It,Low,5,4,0,0,0.86,0.14,Left
161,Management,Medium,4,7,0,1,0.54,0.67,Employed
134,Procurement,Medium,5,3,0,0,0.7,0.72,Employed
103,Product,Low,5,5,0,0,0.92,0.73,Employed
227,Engineering,Low,3,2,0,0,0.89,0.54,Employed
127,Sales,Low,2,3,0,0,0.59,0.43,Left
204,Engineering,High,4,3,0,0,0.51,0.58,Employed
145,Finance,Medium,6,3,0,0,0.81,0.71,Employed
243,Engineering,Medium,5,2,0,0,0.98,0.59,Employed
186,It,Medium,3,3,0,0,0.48,0.73,Employed
71,Temp,Low,2,,0,0,,,Employed
185,Sales,High,6,4,1,0,0.82,1,Employed
270,,Medium,3,6,0,0,0.88,0.68,Employed
267,Management,High,3,2,0,0,0.8,0.46,Employed
225,Finance,High,5,2,0,0,0.48,0.84,Employed
170,It,Low,3,6,0,0,0.32,0.7,Employed
115,Sales,High,2,3,0,0,0.67,0.45,Employed
154,It,Low,2,3,0,0,0.62,0.44,Left
173,Engineering,Low,4,2,1,0,0.54,0.82,Employed
226,Support,Medium,5,3,0,0,0.65,0.19,Employed
229,Sales,Low,4,3,0,0,0.76,0.52,Employed
134,It,Low,4,2,0,0,0.77,0.55,Employed
240,Support,Low,5,5,0,0,1,0.85,Left
191,Engineering,Low,4,2,0,0,0.62,0.93,Employed
271,Sales,Low,5,5,0,0,0.95,0.85,Left
269,Finance,Medium,7,4,0,0,0.93,0.14,Left
139,Engineering,Low,2,3,0,0,0.54,0.51,Left
271,Finance,Medium,3,2,0,0,0.88,0.78,Employed
145,Support,Medium,3,3,1,0,0.85,0.87,Employed
304,Engineering,Medium,6,5,0,0,0.79,0.06,Left
135,Support,Low,5,2,0,0,0.82,0.74,Employed
246,It,High,4,3,0,0,0.84,0.49,Employed
267,Sales,Medium,6,4,0,0,0.92,0.55,Employed
177,Engineering,Medium,3,2,0,0,1,0.81,Employed
254,Support,High,3,2,0,0,0.6,0.88,Employed
155,Sales,Low,2,3,0,0,,0.18,Employed
147,Marketing,Low,2,3,0,0,0.47,0.39,Left
244,It,Medium,4,2,0,0,0.67,0.66,Employed
250,Sales,Medium,5,3,1,0,,0.76,Employed
180,Engineering,High,5,2,0,0,0.93,0.64,Employed
251,Engineering,Low,4,6,0,0,1,0.93,Left
134,,Low,3,3,0,0,0.73,0.9,Employed
271,Sales,Low,3,3,0,0,0.98,0.83,Employed
198,Engineering,Medium,2,4,0,0,0.37,0.28,Employed
135,Marketing,Low,5,4,1,0,0.98,0.73,Employed
203,Engineering,Low,5,3,0,0,0.82,0.94,Employed
287,It,Low,3,5,0,0,0.5,0.53,Employed
238,Engineering,Medium,3,2,0,0,0.69,0.82,Employed
160,Support,Medium,3,3,0,0,0.65,0.78,Employed
192,Sales,Low,2,2,0,0,0.61,0.81,Employed
258,Product,Medium,3,3,0,0,,0.69,Employed
240,It,Medium,5,4,0,0,0.75,0.75,Employed
178,,Medium,3,2,0,0,0.71,0.75,Employed
221,Sales,Medium,5,6,0,0,1,0.93,Left
138,Sales,Low,3,2,1,0,0.49,0.64,Employed
188,Sales,Low,2,2,0,0,0.82,0.91,Employed
289,Support,Medium,6,5,0,0,0.94,0.18,Left
197,Sales,Medium,4,3,0,0,0.95,0.94,Employed
231,Sales,Low,4,5,0,0,0.89,0.19,Employed
153,Sales,Low,2,3,1,0,0.5,0.44,Left
128,Sales,Medium,2,3,0,0,0.48,0.5,Left
149,Admin,Low,2,3,0,0,0.51,0.45,Left
185,Sales,Low,3,2,0,0,,0.57,Employed
229,Engineering,Medium,5,3,0,0,0.59,0.73,Employed
175,,Medium,4,2,0,0,0.78,0.53,Employed
128,Engineering,Low,2,3,0,0,0.54,0.41,Left
241,Sales,High,5,3,0,0,0.76,0.6,Employed
101,Temp,Medium,1,,0,0,,,Employed
247,Engineering,Low,4,6,0,0,0.84,0.81,Left
269,Support,Medium,3,2,0,0,0.77,0.79,Employed
229,Sales,Low,5,4,0,0,0.41,0.11,Employed
188,Engineering,High,3,3,0,0,0.55,0.52,Employed
212,Sales,Low,4,2,0,0,0.97,0.81,Employed
252,Support,Medium,3,3,0,0,,0.78,Employed
222,Sales,Low,5,2,0,0,,0.95,Employed
270,Sales,Low,5,5,0,0,0.99,0.88,Left
183,Marketing,Low,4,3,0,0,0.55,0.64,Employed
163,Marketing,Medium,5,4,0,0,0.63,0.62,Employed
207,Sales,Low,4,5,0,0,0.52,0.21,Employed
234,Sales,High,3,3,1,0,0.68,0.7,Employed
121,Sales,Low,3,2,0,0,0.68,0.35,Employed
131,Engineering,Low,3,5,1,0,0.8,0.27,Employed
160,Sales,Low,2,3,0,0,0.51,0.41,Left
207,Engineering,Low,3,10,0,0,0.97,0.62,Employed
224,Engineering,Medium,4,5,0,0,1,0.83,Left
132,Procurement,Low,2,3,0,0,0.49,0.45,Left
139,Sales,Medium,5,2,0,0,1,0.61,Employed
192,Engineering,Low,5,3,1,0,0.56,0.83,Employed
167,It,Medium,4,3,1,0,0.79,0.96,Employed
265,Finance,Low,3,3,0,0,0.48,0.55,Employed
259,Product,Low,5,6,0,0,0.97,0.78,Left
194,Engineering,Low,5,4,0,0,0.74,0.76,Employed
207,Marketing,Medium,3,3,0,0,0.6,0.69,Employed
262,Engineering,Low,6,5,1,0,0.89,0.07,Left
134,,Low,2,3,0,0,0.56,0.51,Left
181,Product,Medium,3,3,1,0,0.67,0.51,Employed
134,Support,Medium,4,3,0,0,0.97,0.61,Employed
129,It,Low,2,3,0,0,,0.35,Left
220,Engineering,Low,5,5,0,0,1,0.74,Left
156,Support,Low,3,6,1,0,0.62,0.69,Employed
211,Support,Medium,3,3,0,0,0.93,0.77,Employed
136,Sales,Low,5,4,0,0,0.94,0.95,Employed
132,Engineering,Medium,2,3,0,0,0.52,0.37,Left
268,Finance,Medium,6,4,1,0,0.89,0.41,Employed
156,Sales,Medium,3,3,0,0,0.73,0.96,Employed
272,Sales,Low,5,5,0,0,0.96,0.84,Left
265,Admin,Low,4,3,0,0,,0.51,Employed
154,Finance,Medium,2,3,0,0,0.46,0.44,Left
230,Management,High,5,10,0,0,0.76,0.67,Employed
186,Support,Medium,5,4,1,0,0.77,0.3,Employed
129,Support,Medium,2,3,0,0,,0.44,Left
155,Sales,Low,2,3,0,0,,0.45,Left
136,,Medium,2,3,0,0,0.52,0.42,Left
129,Support,Low,6,5,0,0,0.67,0.44,Employed
147,Management,Low,2,3,1,0,0.61,0.49,Left
159,Sales,Low,2,3,0,0,0.56,0.43,Left
161,It,Medium,4,2,0,0,0.67,0.56,Employed
163,Engineering,Low,6,6,0,0,0.55,0.66,Employed
140,,Medium,5,3,0,0,0.69,0.7,Employed
137,Information_Technology,Medium,2,3,0,0,0.54,0.44,Left
204,Marketing,Medium,3,2,0,0,,0.56,Employed
257,Marketing,Low,3,2,0,0,,0.85,Employed
178,Sales,Low,2,3,0,0,0.56,0.33,Employed
239,Support,Low,5,3,0,0,0.92,0.91,Employed
186,Management,Medium,4,7,0,1,0.88,0.53,Employed
267,Support,Low,5,5,0,0,0.83,0.79,Left
148,Admin,Medium,4,3,0,0,0.78,0.81,Employed
264,Finance,High,5,8,0,1,0.98,0.56,Employed
139,Support,High,6,4,0,0,0.59,0.2,Left
151,Engineering,Low,2,4,0,0,0.75,0.36,Left
198,Engineering,Medium,2,4,0,0,0.44,0.33,Employed
263,Support,Medium,4,3,1,0,0.94,0.93,Employed
272,Sales,Low,5,2,0,0,0.74,0.3,Employed
265,It,Medium,3,3,0,0,0.73,0.56,Employed
220,Sales,Low,3,3,0,0,0.79,0.7,Employed
250,Marketing,Medium,6,2,0,0,0.92,0.82,Employed
140,Support,Low,2,3,0,0,0.46,0.39,Left
209,Support,Low,3,2,1,0,0.66,0.96,Employed
217,Support,Medium,4,6,0,0,0.82,0.75,Left
186,Sales,Medium,4,2,0,0,0.62,0.71,Employed
263,Marketing,Medium,3,3,0,0,0.83,0.35,Employed
172,Sales,Low,5,2,0,0,0.93,0.29,Left
233,Support,Low,5,3,0,0,0.84,0.63,Employed
204,Finance,Medium,3,10,0,0,0.81,0.61,Employed
203,Finance,High,3,3,0,0,0.87,0.89,Employed
198,Management,Medium,4,2,0,0,0.67,0.54,Employed
266,Sales,High,4,3,0,0,0.86,0.73,Employed
252,Engineering,Medium,4,2,1,0,0.58,0.73,Employed
141,Sales,Low,2,3,1,0,0.5,0.42,Left
161,It,Medium,5,5,0,0,0.95,0.25,Employed
214,,Medium,3,3,0,0,0.77,0.64,Employed
118,Support,Low,5,3,0,0,0.48,0.88,Employed
264,Engineering,Medium,5,3,0,0,0.53,0.83,Employed
130,Engineering,Low,2,3,0,0,0.46,0.39,Left
241,Engineering,Low,4,3,1,0,0.77,0.55,Employed
185,Finance,Medium,3,4,0,0,0.94,0.71,Employed
231,Marketing,Medium,5,2,0,0,0.9,0.99,Employed
245,Engineering,Low,5,2,0,0,0.87,0.48,Employed
218,Support,Medium,3,2,0,0,0.58,0.78,Employed
277,It,Medium,2,3,0,0,1,0.76,Left
119,Temp,Medium,2,,0,0,,,Left
182,Sales,Low,3,4,0,0,0.88,1,Employed
158,Sales,Low,2,3,0,0,0.62,0.39,Left
135,,Medium,3,3,0,0,0.56,0.8,Employed
269,Engineering,Medium,4,2,0,0,0.83,0.57,Employed
212,Support,Low,4,3,0,0,0.76,0.91,Employed
166,Finance,Medium,3,2,0,0,0.68,0.99,Employed
252,Sales,Low,2,2,0,0,0.68,0.9,Employed
175,Engineering,Low,4,4,0,0,0.71,0.69,Employed
224,Sales,Low,4,3,0,0,0.75,0.8,Employed
141,Engineering,Medium,2,3,0,0,0.63,0.65,Employed
150,Finance,Medium,4,2,0,0,0.86,0.7,Employed
226,Sales,Medium,3,4,0,0,0.78,0.69,Employed
156,Sales,High,4,4,0,0,0.52,0.89,Employed
157,Engineering,Medium,4,3,0,0,0.88,0.99,Employed
135,Temp,Low,2,,0,0,,,Employed
280,Information_Technology,Low,5,4,0,0,0.84,0.22,Employed
240,Sales,Medium,5,2,0,0,0.51,0.71,Employed
225,Sales,High,5,4,0,0,0.95,0.88,Employed
242,Sales,Medium,5,3,0,0,0.48,0.83,Employed
151,Admin,Low,3,3,1,0,0.8,0.81,Employed
212,Sales,Low,4,3,0,0,0.76,0.97,Employed
231,Sales,Low,6,4,0,0,0.54,0.26,Employed
252,Engineering,Medium,3,3,0,0,0.97,0.73,Employed
234,Support,Medium,3,2,0,0,,0.93,Employed
220,Management,High,4,3,1,0,0.67,0.59,Employed
285,Support,Medium,2,2,0,0,,0.82,Employed
265,Sales,Low,4,6,0,0,0.87,0.88,Left
210,Engineering,Medium,5,5,0,0,0.73,0.54,Employed
265,Engineering,Medium,4,4,0,0,0.92,0.63,Employed
179,Support,Low,5,5,0,0,0.81,0.36,Employed
253,Sales,Medium,3,2,0,0,0.59,0.84,Employed
260,Sales,Low,4,2,1,0,0.6,0.68,Employed
128,Management,Low,2,3,0,0,0.49,0.36,Left
135,Finance,Medium,4,3,0,0,,0.56,Employed
228,Support,Low,5,5,1,0,0.9,0.91,Left
153,Sales,Low,4,3,1,0,0.68,0.64,Employed
244,Sales,Low,5,6,0,0,0.81,0.73,Left
157,Sales,Low,2,3,0,0,0.5,0.33,Left
243,Sales,Medium,5,6,0,0,1,0.87,Employed
261,It,Medium,3,2,0,0,0.7,0.64,Employed
183,Sales,Low,3,3,0,0,,0.49,Employed
152,Product,Medium,2,3,0,0,0.56,0.5,Left
291,Product,Low,6,4,0,0,0.88,0.07,Left
139,It,Medium,3,2,0,0,0.79,1,Employed
139,It,Low,4,3,1,0,,0.73,Employed
141,Sales,Low,4,3,0,0,0.51,0.85,Employed
193,Sales,Medium,3,6,0,0,0.41,0.57,Employed
