beds,baths,sqft,Age,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,Sales_price
1,1,709,17,111513,Apartment / Condo / Townhouse,Wood Siding,,0,213,13,44,30,108,11,91,88,33,40,96,316,109,5,3,377000
1,1,711,78,0,Apartment / Condo / Townhouse,Brick,,0,51,9,6,2,43,18,35,42,36,49,77,201,69,6,3,262500
1,1,712,78,0,Single-Family,Brick,,0,53,13,7,3,43,19,43,41,36,23,90,187,64,6,3,216250
1,1,722,37,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,101,8,8,11,74,4,30,26,33,48,85,218,66,4,3,270000
1,1,723,17,0,Apartment / Condo / Townhouse,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,278,85,8,3,235000
1,1,724,64,0,Apartment / Condo / Townhouse,Brick,,0,122,11,27,25,183,12,69,36,57,13,83,118,41,6,3,225000
1,1,725,16,0,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,26,127,11,72,83,36,25,91,306,106,9,3,370000
1,1,736,24,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,31,3,7,8,77,1,14,11,36,47,83,243,74,8,3,232000
1,1,737,22,0,Apartment / Condo / Townhouse,Brick,,1,109,9,7,17,97,5,38,31,32,34,50,229,69,4,3,281900
1,1,740,22,0,Apartment / Condo / Townhouse,Brick,,0,201,11,40,28,131,10,73,85,36,25,91,298,103,9,3,355000
1,1,741,16,0,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,26,127,11,72,83,36,25,91,291,101,9,3,350000
1,1,750,58,0,Apartment / Condo / Townhouse,Brick,,0,100,8,9,10,85,9,81,28,35,63,70,118,41,7,3,231900
1,1,755,26,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,41,5,3,4,46,2,31,16,40,64,77,258,78,10,3,284000
1,1,759,63,0,Apartment / Condo / Townhouse,Brick,,0,150,8,37,23,95,10,73,74,31,23,81,190,66,9,3,255000
1,1,759,16,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,99,9,8,11,103,4,46,34,31,30,99,266,81,8,3,285850
1,1,759,10,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),,1,49,6,4,5,33,1,17,25,27,38,35,251,76,5,3,249298
1,1,760,31,0,Apartment / Condo / Townhouse,Brick,,0,192,17,40,31,112,11,81,77,31,13,84,291,101,8,3,380000
1,1,767,78,0,Apartment / Condo / Townhouse,Brick,,0,54,11,7,4,55,16,39,41,34,44,90,190,66,6,3,244800
1,1,771,17,111513,Apartment / Condo / Townhouse,Wood Siding,,0,213,13,44,30,108,11,91,88,33,40,96,345,119,5,3,397400
1,1,781,16,0,Apartment / Condo / Townhouse,Wood Siding,,0,54,8,6,3,48,16,37,44,33,35,72,284,98,6,3,345000
1,1,792,35,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,31,5,4,4,33,0,37,11,35,50,82,221,67,8,3,220000
1,1,796,36,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1,134,5,22,28,314,7,96,34,64,52,63,286,87,8,3,279000
1,1,797,17,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,58,3,4,11,166,6,36,9,32,69,70,184,56,7,3,286900
1,1,800,37,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,18,1,0,3,15,0,5,11,39,64,81,184,56,6,3,220000
1,1,805,81,0,Apartment / Condo / Townhouse,Brick,,0,46,8,6,3,51,15,33,37,36,37,80,150,49,4,3,305000
1,1,805,17,46609,Apartment / Condo / Townhouse,Concrete Block,,0,193,10,37,27,133,10,74,86,29,15,82,302,104,9,3,409575
1,1,805,15,0,Apartment / Condo / Townhouse,Block,Roll Composition,1,71,13,5,13,31,12,48,28,32,43,63,261,79,5,3,300367
1,1,809,57,0,Apartment / Condo / Townhouse,Brick,,0,48,7,3,9,49,2,36,48,40,41,90,172,60,9,3,230000
1,1,810,47,0,Apartment / Condo / Townhouse,Brick,,1,78,18,15,15,70,6,45,30,45,47,54,190,58,3,3,270000
1,1,811,53,0,Apartment / Condo / Townhouse,Brick,,0,60,12,10,10,76,8,36,37,30,72,34,143,49,4,3,210000
1,1,817,18,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,124,12,10,15,111,12,65,41,32,32,88,274,83,7,3,366700
1,1,834,30,0,Apartment / Condo / Townhouse,Brick,,0,45,12,9,11,28,7,33,20,43,32,66,185,61,2,3,238600
1,1,838,15,0,Apartment / Condo / Townhouse,Block,Roll Composition,1,71,13,5,13,31,12,48,28,32,43,63,249,76,5,3,284900
1,1,850,48,0,Apartment / Condo / Townhouse,Brick,,0,97,15,11,12,97,2,70,25,32,13,72,146,48,2,3,253000
1,1,850,38,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,66,11,5,11,24,5,50,15,56,24,66,200,61,5,3,305000
1,1,850,36,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,66,11,5,9,28,5,52,14,56,24,66,180,55,5,3,280000
1,1,855,16,0,Apartment / Condo / Townhouse,Wood Siding,,0,79,10,11,11,66,6,43,40,36,36,90,298,103,9,3,411000
1,1,856,17,0,Apartment / Condo / Townhouse,Wood Siding,,0,65,8,6,7,51,6,33,35,33,16,72,167,58,4,3,270900
1,1,859,22,0,Apartment / Condo / Townhouse,Brick,,0,201,11,40,28,131,10,73,85,36,25,91,316,109,9,3,406250
1,1,866,33,0,Apartment / Condo / Townhouse,Brick,,0,190,7,34,36,194,12,62,33,32,31,85,277,96,6,3,365000
1,1,879,14,0,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,25,126,12,72,84,29,15,82,367,127,9,3,440000
1,1,880,57,0,Single-Family,Brick,,0,64,8,6,7,51,8,34,33,37,42,57,125,43,4,3,250000
1,1,900,75,18730,Single-Family,Stucco,Composition Shingle,1,44,15,1,4,51,3,20,5,31,51,47,294,89,4,3,350100
1,1,900,57,0,Apartment / Condo / Townhouse,Brick,,0,119,10,26,25,183,13,70,36,57,13,83,198,68,6,3,250000
1,1,902,44,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1,167,7,23,29,340,12,113,51,43,64,72,258,78,10,3,305000
1,1,914,40,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,95,18,19,18,92,6,49,21,52,33,53,180,54,3,3,200000
1,1,917,15,0,Apartment / Condo / Townhouse,Block,Roll Composition,1,71,13,5,13,31,12,48,28,32,43,63,319,97,5,3,371500
1,1,920,44,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,33,5,4,5,29,2,21,17,34,66,72,168,51,8,3,270000
1,1,926,49,0,Apartment / Condo / Townhouse,Brick,,0,145,7,20,20,83,11,49,73,34,32,49,230,79,7,3,318000
1,1,933,17,0,Single-Family,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,310,94,8,3,408400
1,1,934,29,0,Apartment / Condo / Townhouse,Stucco,Composition Shingle,1,121,11,10,15,109,13,59,44,52,42,63,180,54,7,3,325000
1,1,945,38,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,21,3,1,5,28,3,9,13,48,40,59,184,56,7,1,239000
1,1,950,36,0,Apartment / Condo / Townhouse,Brick,,0,192,7,34,37,194,10,61,33,45,32,79,345,119,6,3,367500
1,1,961,16,0,Apartment / Condo / Townhouse,Wood Siding,,0,54,8,6,3,48,16,37,44,33,35,72,280,97,6,3,378000
1,1,966,26,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,110,12,10,14,102,12,60,44,52,42,63,241,73,7,3,269000
1,1,999,43,0,Apartment / Condo / Townhouse,Brick,,1,88,17,18,18,88,6,47,25,59,54,57,163,49,3,3,245000
1,1,1005,40,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1,66,10,5,10,23,6,49,14,56,24,66,184,56,5,3,225000
1,1,1014,37,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,101,8,8,11,70,4,30,23,33,48,85,284,86,4,3,302000
1,1,1050,17,0,Apartment / Condo / Townhouse,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,310,94,8,3,387900
1,1,1092,38,0,Apartment / Condo / Townhouse,Brick,Asphalt,0,194,6,35,39,193,10,63,35,46,37,90,489,169,6,3,560000
1,1,1322,13,0,Apartment / Condo / Townhouse,Wood Siding,,0,266,10,53,47,320,35,122,94,28,52,72,666,231,8,3,750000
1,2,814,14,96703,Apartment / Condo / Townhouse,Wood Siding,Slate,0,75,11,10,8,91,5,53,40,45,60,71,321,93,9,3,299700
1,2,1207,10,0,Apartment / Condo / Townhouse,Brick,,0,164,11,32,31,107,12,62,64,36,25,75,612,212,8,3,779900
1,2,1489,82,0,Apartment / Condo / Townhouse,Brick,,0,37,6,5,4,45,10,24,25,39,41,83,258,89,6,3,379000
2,1,768,72,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,8,1,0,3,9,2,10,9,35,29,73,192,58,4,3,225000
2,1,793,72,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,10,1,0,4,10,2,10,10,35,29,73,196,59,4,3,230000
2,1,800,72,0,Apartment / Condo / Townhouse,Brick,,0,74,15,13,11,51,18,44,42,33,35,87,219,76,6,3,328000
2,1,803,22,33541,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,25,127,11,72,83,36,25,91,309,107,9,3,407800
2,1,814,17,9686,Apartment / Condo / Townhouse,Concrete Block,,0,146,7,22,20,79,10,49,73,27,21,94,313,108,9,3,470630
2,1,816,73,3846,Single-Family,Brick,Composition Shingle,1,43,9,4,6,24,0,21,11,38,63,46,340,103,5,3,270000
2,1,835,68,0,Apartment / Condo / Townhouse,Brick,,0,38,9,5,4,51,9,32,29,31,58,93,282,93,4,3,359500
2,1,836,28,0,Apartment / Condo / Townhouse,Brick,,0,56,7,9,6,64,6,40,41,36,36,90,265,92,9,3,355000
2,1,845,80,0,Apartment / Condo / Townhouse,Brick,,0,148,12,20,13,88,13,65,49,44,20,74,182,63,7,3,283000
2,1,864,80,1296,Apartment / Condo / Townhouse,Brick,Roll Composition,1,70,9,14,13,59,5,35,45,35,47,32,319,106,4,3,378000
2,1,870,38,1306,Apartment / Condo / Townhouse,,Composition Shingle,0,5,0,0,0,5,0,0,5,32,64,57,242,62,7,3,255000
2,1,875,72,0,Apartment / Condo / Townhouse,Brick,,0,51,8,6,2,40,18,33,40,36,49,77,228,79,6,3,306000
2,1,875,72,1220551,Apartment / Condo / Townhouse,Brick,,0,63,11,11,8,39,18,42,44,33,35,87,230,79,6,3,292999
2,1,891,18,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,124,12,10,15,111,12,65,41,32,32,88,294,89,7,3,369900
2,1,893,19,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,114,9,10,16,101,10,60,41,32,32,88,303,92,7,3,326000
2,1,900,81,0,Apartment / Condo / Townhouse,Brick,,0,51,8,7,4,53,18,37,43,36,37,80,240,79,4,3,350000
2,1,900,81,0,Single-Family,Brick,,0,51,8,7,4,53,18,37,43,36,37,80,240,79,4,3,350000
2,1,912,62,48787,Apartment / Condo / Townhouse,Brick,,0,189,13,37,31,102,11,75,64,28,15,86,250,87,8,3,396875
2,1,912,39,0,Apartment / Condo / Townhouse,Brick,,0,51,8,6,2,40,18,33,40,36,49,77,266,92,6,3,374900
2,1,920,81,0,Apartment / Condo / Townhouse,Brick,,0,65,9,9,4,55,17,44,44,36,37,80,240,80,4,3,232150
2,1,924,61,0,Apartment / Condo / Townhouse,Brick,,0,50,7,2,6,52,4,37,37,34,34,66,235,81,9,3,327000
2,1,928,9,0,Apartment / Condo / Townhouse,Wood Siding,,0,107,9,30,19,89,6,47,58,33,65,84,345,119,9,3,455900
2,1,930,39,0,Apartment / Condo / Townhouse,Brick,,0,51,9,6,2,45,18,32,42,36,49,77,244,84,6,3,290000
2,1,930,36,1135,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,92,8,7,9,47,5,45,17,31,74,59,204,62,8,3,301000
2,1,930,34,1059,Apartment / Condo / Townhouse,Metal,Composition Shingle,1,6,2,0,0,4,0,4,1,36,62,63,233,71,7.5,2,275000
2,1,931,16,0,Apartment / Condo / Townhouse,Wood Siding,,0,193,14,42,28,114,11,93,89,33,40,96,414,143,5,3,531000
2,1,945,67,14374,Single-Family,Brick,Composition Shingle,1,32,6,3,7,27,2,22,12,38,64,73,457,139,8,3,405000
2,1,950,81,0,Apartment / Condo / Townhouse,Brick,,0,42,6,7,4,50,14,31,31,39,21,89,276,91,4,3,336000
2,1,952,58,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,129,8,22,25,318,7,102,34,36,42,67,202,61,8,3,214000
2,1,958,81,0,Apartment / Condo / Townhouse,Brick,,0,65,8,9,4,55,17,44,42,39,21,89,234,77,4,3,327500
2,1,959,92,4918,Single-Family,Wood Shingle,,0,1,0,0,0,4,0,0,0,43,60,36,176,49,5,3,251489
2,1,960,59,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,72,9,8,9,100,10,97,25,40,68,73,195,59,9,3,238900
2,1,960,58,0,Apartment / Condo / Townhouse,Brick,,1,173,11,38,30,106,10,73,72,32,24,82,262,91,5,3,297000
2,1,960,37,800,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1,69,6,5,8,40,4,44,15,30,50,45,204,62,6,3,235000
2,1,960,33,1820,Apartment / Condo / Townhouse,Metal,Composition Shingle,1,6,2,0,0,4,0,4,1,36,62,63,216,66,7.5,2,210000
2,1,966,64,0,Apartment / Condo / Townhouse,Brick,,0,96,11,12,7,38,8,39,34,36,40,81,147,51,4,3,215000
2,1,966,28,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,109,12,10,14,103,12,60,44,52,42,63,258,78,7,3,285000
2,1,976,51,1120,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,95,6,10,6,42,2,51,24,32,83,31,200,61,5,3,239900
2,1,983,38,0,Apartment / Condo / Townhouse,Brick,,0,194,6,35,39,193,10,63,35,46,37,90,298,103,6,3,375500
2,1,993,38,0,Single-Family,Brick,,0,194,6,35,39,193,10,63,35,46,37,90,336,116,6,3,415000
2,1,996,35,0,Apartment / Condo / Townhouse,,Composition Shingle,0,72,3,10,10,136,7,46,23,35,89,59,164,42,7,3,230581
2,1,1008,35,1995,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,19,1,3,0,8,1,7,6,41,62,85,254,77,6,2,400000
2,1,1010,68,0,Apartment / Condo / Townhouse,Brick,,0,40,8,5,4,50,14,32,33,31,58,93,295,98,4,3,420000
2,1,1011,64,0,Apartment / Condo / Townhouse,Brick,,0,96,11,12,7,38,8,39,34,36,40,81,149,51,4,3,292000
2,1,1015,92,1615,Single-Family,Brick,,1,185,8,31,32,284,33,173,81,38,56,55,353,117,2,3,200000
2,1,1021,61,0,Apartment / Condo / Townhouse,Brick,,0,48,7,2,6,52,5,36,35,34,34,66,201,69,9,3,226000
2,1,1024,12,0,Apartment / Condo / Townhouse,Masonry,,0,76,7,19,14,39,7,32,33,44,40,28,228,75,3,3,220000
2,1,1032,64,0,Single-Family,Brick,,0,128,11,29,25,184,15,68,41,57,13,83,208,72,6,3,280000
2,1,1032,58,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,76,16,12,11,90,5,29,22,40,50,55,154,47,3,3,299900
2,1,1044,61,0,Apartment / Condo / Townhouse,Brick,,0,48,7,2,6,52,5,36,35,34,34,66,201,69,9,3,204000
2,1,1062,39,0,Apartment / Condo / Townhouse,Brick,,0,43,7,6,2,23,18,28,42,33,35,87,267,92,6,3,350000
2,1,1070,50,0,Single-Family,Brick,Composition Shingle,1,34,2,0,3,25,6,13,20,47,51,77,184,56,7,3,228000
2,1,1073,50,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,21,3,1,5,13,3,11,12,43,22,67,179,54,7,3,300000
2,1,1083,57,0,Apartment / Condo / Townhouse,Brick,,0,132,9,13,15,79,9,49,49,55,23,42,190,66,5,3,280000
2,1,1100,62,0,Apartment / Condo / Townhouse,Brick,,0,212,14,43,33,146,9,84,86,33,62,81,303,105,9,3,305500
2,1,1103,78,0,Apartment / Condo / Townhouse,Brick,,0,48,12,6,2,48,19,41,41,36,23,90,252,87,6,3,348500
2,1,1177,47,0,Apartment / Condo / Townhouse,Brick,,1,78,18,15,15,70,6,45,30,45,47,54,220,67,3,3,210000
2,1,1179,58,0,Apartment / Condo / Townhouse,Brick,,0,103,24,17,15,95,7,46,22,29,53,36,143,49,3,3,250000
2,1,1185,69,15681,Single-Family,Siding (Alum/Vinyl),,1,0,0,0,0,4,0,0,1,43,60,36,198,56,5,3,229000
2,1,1188,68,3001,Single-Family,Brick,Asphalt,1,29,7,3,3,36,1,23,15,34,68,36,255,84,2,3,300000
2,1,1194,43,0,Apartment / Condo / Townhouse,Brick,,1,88,17,18,18,88,6,47,25,59,54,57,188,57,3,3,220000
2,1,1197,50,1306,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,22,2,1,5,10,3,11,11,28,80,22,231,70,5,3,275000
2,1,1200,72,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,8,1,0,3,9,2,10,9,35,29,73,295,89,4,3,312000
2,1,1240,35,3484,Apartment / Condo / Townhouse,,Composition Shingle,1,67,4,4,11,162,3,40,24,35,50,66,261,67,7,3,265000
2,1,1240,35,3484,Single-Family,,asphalt,1,67,4,4,11,162,3,40,24,35,50,66,261,67,7,3,265000
2,1,1242,38,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,33,4,3,5,24,2,22,17,37,50,63,225,68,8,3,231525
2,1,1250,39,0,Apartment / Condo / Townhouse,Stucco,Gravel/Rock,1,39,15,7,4,35,0,11,7,35,44,80,217,66,4,3,239900
2,1,1288,42,0,Apartment / Condo / Townhouse,Brick,,1,82,16,16,17,73,6,46,25,59,54,57,233,71,3,3,305000
2,1,1296,68,3001,Single-Family,Brick,Asphalt,1,28,7,3,3,33,1,23,15,34,68,36,259,86,2,3,337600
2,1,1344,142,1102,Single-Family,Siding (Alum/Vinyl),Other,0,144,8,28,26,260,26,145,59,52,66,81,475,158,4,3,248000
2,1,1346,36,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,35,5,4,5,23,2,21,13,34,36,86,217,66,8,3,336900
2,1,1350,68,1245,Apartment / Condo / Townhouse,Brick,Roll Composition,0,141,7,28,26,259,25,146,58,52,66,81,515,171,4,3,225000
2,1,1360,39,0,Apartment / Condo / Townhouse,Brick,,0,187,13,41,34,102,12,75,73,29,29,83,446,155,8,3,585000
2,1,1526,18,2478,Single-Family,Siding (Alum/Vinyl),,1,4,1,0,0,1,0,5,5,29,88,73,242,68,8,1,205000
2,2,832,79,1136,Apartment / Condo / Townhouse,Brick,Roll Composition,1,61,9,9,12,65,7,41,42,37,41,53,372,123,4,3,330000
2,2,864,80,1633,Apartment / Condo / Townhouse,Brick,Roll Composition,1,82,8,20,19,64,5,36,43,35,47,32,375,124,4,3,250000
2,2,877,22,0,Apartment / Condo / Townhouse,Brick,,0,201,11,40,28,131,10,73,85,36,25,91,378,131,9,3,200000
2,2,886,41,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,19,3,1,5,28,3,9,13,48,40,59,195,59,7,1,286499
2,2,886,40,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,19,3,1,5,28,3,9,13,48,40,59,198,60,7,1,237500
2,2,896,71,3598,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,17,5,1,4,30,2,21,7,41,62,41,307,93,4,3,261000
2,2,899,22,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,75,3,8,12,82,9,37,34,56,25,67,269,82,7,3,277000
2,2,910,72,6023,Single-Family,Brick veneer,Shake Shingle,1,60,10,4,7,61,5,42,30,39,86,81,468,162,9,3,425000
2,2,915,17,183387,Apartment / Condo / Townhouse,Brick,,0,146,8,16,20,74,11,49,58,30,46,41,265,92,7,3,385000
2,2,930,39,1625,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,27,6,1,3,22,5,23,15,35,55,73,286,87,5,3,275000
2,2,933,32,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,80,7,7,7,42,6,41,15,33,62,51,184,56,8,3,275000
2,2,940,36,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,80,4,3,13,173,2,47,37,30,49,33,150,38,6.5,2,201953
2,2,940,34,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,32,3,0,7,86,3,26,10,35,69,80,155,47,9,3,307500
2,2,949,15,0,Apartment / Condo / Townhouse,Brick,,0,180,14,37,34,104,13,72,68,36,25,75,445,154,8,3,551400
2,2,950,17,46609,Apartment / Condo / Townhouse,Concrete Block,,0,193,10,37,27,133,10,74,86,29,15,82,371,128,9,3,435000
2,2,951,34,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,49,6,6,5,47,5,30,17,39,37,55,209,63,6,3,230000
2,2,951,28,0,Apartment / Condo / Townhouse,Brick,,0,160,8,24,23,93,10,55,78,34,34,92,331,115,9,3,367000
2,2,954,22,0,Apartment / Condo / Townhouse,Brick,,0,201,11,40,28,131,10,73,85,36,25,91,381,132,9,3,509500
2,2,959,20,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,98,7,7,10,95,4,37,33,33,71,84,229,69,9,3,275000
2,2,969,34,0,Single-Family,Brick,Composition Shingle,1,117,6,17,17,243,11,66,42,32,33,92,278,85,10,3,279537
2,2,970,22,33541,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,25,127,11,72,83,36,25,91,360,124,9,3,499900
2,2,980,32,1206,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1,40,4,4,2,30,4,13,8,35,49,84,295,90,6.5,2,315000
2,2,980,31,1104,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1,39,5,4,2,31,3,13,9,35,49,84,274,83,6.5,2,299900
2,2,984,75,3598,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,78,11,5,15,30,10,54,24,32,43,63,278,85,5,3,320000
2,2,986,51,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,20,2,1,2,15,6,14,13,33,57,41,180,54,7,3,279000
2,2,992,78,0,Apartment / Condo / Townhouse,Brick,,1,73,14,11,9,49,18,48,43,36,23,90,316,109,6,3,386500
2,2,998,33,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,40,3,1,7,129,3,29,10,35,69,80,204,62,9,3,270000
2,2,1000,82,0,Single-Family,Brick,,0,42,7,6,4,47,16,29,31,39,41,83,347,120,6,3,440000
2,2,1000,33,0,Apartment / Condo / Townhouse,Brick,,0,177,8,31,23,94,10,61,81,29,11,94,378,131,9,3,475000
2,2,1002,16,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,72,1,8,11,75,9,25,30,43,61,86,282,86,6,3,278000
2,2,1005,33,0,Apartment / Condo / Townhouse,Brick,,0,175,8,31,23,94,10,60,80,29,11,94,378,131,9,3,443000
2,2,1012,27,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1,12,2,1,3,15,3,12,10,39,33,74,245,74,5,3,290000
2,2,1025,17,0,Apartment / Condo / Townhouse,Stucco,Other,1,102,8,8,11,103,4,47,34,31,30,99,376,114,8,3,458900
2,2,1027,14,0,Apartment / Condo / Townhouse,Wood Siding,,0,198,9,38,25,126,12,72,84,29,15,82,453,157,9,3,615000
2,2,1038,31,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1,82,5,8,8,45,6,50,13,30,46,36,184,56,7,3,225000
2,2,1040,102,1341,Single-Family,Siding (Alum/Vinyl),Roll Composition,0,185,8,31,32,284,33,172,78,38,56,55,462,153,2,3,525000
