Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
13,Weston High,https://www.schooldigger.com/go/MA/schools/1275002087/school.aspx,Weston,https://www.schooldigger.com/go/MA/district/12750/search.aspx,444 Wellesley Street,Weston,https://www.schooldigger.com/go/MA/city/Weston/search.aspx,2493,Middlesex County,(781) 786-5800,9,12,No,No,No,No,638,56.6,11.2,,7.5%,0.3%,18.3%,5.0%,0.0%,6.1%,62.7%,94.3
14,Wayland High School,https://www.schooldigger.com/go/MA/schools/1221002010/school.aspx,Wayland,https://www.schooldigger.com/go/MA/district/12210/search.aspx,264 Old Connecticut Path,Wayland,https://www.schooldigger.com/go/MA/city/Wayland/search.aspx,1778,Middlesex County,(508) 358-7746,9,12,No,No,No,No,831,74.2,11.1,,5.1%,0.0%,19.5%,4.2%,0.1%,5.8%,65.3%,93.8
15,Westborough High,https://www.schooldigger.com/go/MA/schools/1260002059/school.aspx,Westborough,https://www.schooldigger.com/go/MA/district/12600/search.aspx,90 West Main Street,Westborough,https://www.schooldigger.com/go/MA/city/Westborough/search.aspx,1581,Worcester County,(508) 836-7720,9,12,No,No,No,No,1178,97.6,12,,1.1%,0.0%,31.7%,7.6%,0.1%,3.7%,55.7%,93.6
16,Belmont High,https://www.schooldigger.com/go/MA/schools/0249000143/school.aspx,Belmont,https://www.schooldigger.com/go/MA/district/02490/search.aspx,221 Concord Avenue,Belmont,https://www.schooldigger.com/go/MA/city/Belmont/search.aspx,2478,Middlesex County,(617) 993-5901,9,12,No,No,No,No,1329,81.7,16.2,,4.0%,0.1%,19.1%,5.9%,0.0%,6.2%,64.8%,93.6
17,Needham High,https://www.schooldigger.com/go/MA/schools/0837001315/school.aspx,Needham,https://www.schooldigger.com/go/MA/district/08370/search.aspx,609 Webster Street,Needham,https://www.schooldigger.com/go/MA/city/Needham/search.aspx,2494,Norfolk County,(781) 455-0800,9,12,No,No,No,No,1669,129.8,12.8,,1.9%,0.1%,8.4%,6.6%,0.1%,5.0%,77.1%,93.3
18,Concord Carlisle High,https://www.schooldigger.com/go/MA/schools/0387000527/school.aspx,Concord-Carlisle,https://www.schooldigger.com/go/MA/district/03870/search.aspx,500 Walden Street,Concord,https://www.schooldigger.com/go/MA/city/Concord/search.aspx,1742,Middlesex County,(978) 318-1400,9,12,No,No,No,No,1323,107.4,12.3,,4.5%,0.2%,8.2%,5.6%,0.0%,6.5%,74.5%,93.3
19,Tahanto Regional High,https://www.schooldigger.com/go/MA/schools/0258000160/school.aspx,Berlin-Boylston,https://www.schooldigger.com/go/MA/district/02580/search.aspx,1001 Main Street,Boylston,https://www.schooldigger.com/go/MA/city/Boylston/search.aspx,1505,Worcester County,(508) 869-2333,6,12,Yes,No,No,No,533,47.1,11.2,,1.5%,0.2%,5.8%,7.3%,0.2%,3.2%,81.1%,92.9
20,Littleton High School,https://www.schooldigger.com/go/MA/schools/0696001012/school.aspx,Littleton,https://www.schooldigger.com/go/MA/district/06960/search.aspx,56 King Street,Littleton,https://www.schooldigger.com/go/MA/city/Littleton/search.aspx,1460,Middlesex County,(978) 952-2555,9,12,No,No,No,No,451,34.4,13,,1.3%,0.0%,9.5%,4.4%,0.0%,3.5%,80.3%,92.4
21,Wellesley Senior High,https://www.schooldigger.com/go/MA/schools/1227002030/school.aspx,Wellesley,https://www.schooldigger.com/go/MA/district/12270/search.aspx,50 Rice Street,Wellesley,https://www.schooldigger.com/go/MA/city/Wellesley/search.aspx,2481,Norfolk County,(781) 446-6290,9,12,Yes,No,No,No,1406,118.3,11.8,,4.3%,0.0%,14.2%,5.4%,0.0%,5.8%,70.1%,92.3
22,Pioneer Valley Chinese Immersion Charter School,https://www.schooldigger.com/go/MA/schools/0051702619/school.aspx,Pioneer Valley Chinese Immersion Charter (District),https://www.schooldigger.com/go/MA/district/00517/search.aspx,317 Russell Street,Hadley,https://www.schooldigger.com/go/MA/city/Hadley/search.aspx,1035,Hampshire County,(413) 582-7040,KG,12,Yes,Yes,No,No,572,72,7.9,,10.0%,0.0%,18.5%,10.1%,0.2%,13.1%,47.9%,92.3
23,Manchester Essex Regional High School,https://www.schooldigger.com/go/MA/schools/0006701109/school.aspx,Manchester Essex Regional,https://www.schooldigger.com/go/MA/district/00067/search.aspx,36 Lincoln Street,Manchester,https://www.schooldigger.com/go/MA/city/Manchester/search.aspx,1944,Essex County,(978) 526-4412,9,12,No,No,No,No,450,43.5,10.3,,0.0%,0.0%,1.8%,0.7%,0.0%,1.1%,96.2%,91.4
24,Four Rivers Charter Public School,https://www.schooldigger.com/go/MA/schools/0007602086/school.aspx,Four Rivers Charter Public (District),https://www.schooldigger.com/go/MA/district/00076/search.aspx,248 Colrain Road,Greenfield,https://www.schooldigger.com/go/MA/city/Greenfield/search.aspx,1301,Franklin County,(413) 775-4577,7,12,Yes,Yes,No,No,218,20.9,10.4,,0.9%,0.5%,1.8%,5.0%,0.0%,6.9%,83.9%,91.1
25,Lincoln-Sudbury Regional High,https://www.schooldigger.com/go/MA/schools/0693001011/school.aspx,Lincoln-Sudbury,https://www.schooldigger.com/go/MA/district/06930/search.aspx,390 Lincoln Rd,Sudbury,https://www.schooldigger.com/go/MA/city/Sudbury/search.aspx,1776,Middlesex County,(978) 443-9961,9,12,Yes,No,No,No,1513,125,12,,5.8%,0.1%,4.5%,5.7%,0.1%,8.9%,74.7%,90.3
26,Milton High,https://www.schooldigger.com/go/MA/schools/0798001262/school.aspx,Milton,https://www.schooldigger.com/go/MA/district/07980/search.aspx,25 Gile Road,Milton,https://www.schooldigger.com/go/MA/city/Milton/search.aspx,2186,Norfolk County,(617) 696-4470,9,12,No,No,No,No,1106,80.6,13.7,,16.5%,0.2%,6.4%,6.1%,0.2%,3.3%,66.9%,90.2
27,Boston Latin Academy,https://www.schooldigger.com/go/MA/schools/0279000204/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,205 Townsend Street,Dorchester,https://www.schooldigger.com/go/MA/city/Dorchester/search.aspx,2121,Suffolk County,(617) 635-9957,7,12,Yes,No,No,No,1685,87.5,19.2,,23.7%,0.1%,17.1%,26.4%,0.1%,3.7%,28.7%,89.8
28,Groton Dunstable Regional,https://www.schooldigger.com/go/MA/schools/0550000807/school.aspx,Groton-Dunstable,https://www.schooldigger.com/go/MA/district/05500/search.aspx,703 Chicoppe Row,Groton,https://www.schooldigger.com/go/MA/city/Groton/search.aspx,1450,Middlesex County,(978) 448-6362,9,12,No,No,No,No,704,54.2,12.9,,1.0%,0.1%,7.2%,3.0%,0.3%,2.3%,85.4%,89.6
29,Newton North High,https://www.schooldigger.com/go/MA/schools/0861001374/school.aspx,Newton,https://www.schooldigger.com/go/MA/district/08610/search.aspx,457 Walnut Street,Newtonville,https://www.schooldigger.com/go/MA/city/Newtonville/search.aspx,2460,Middlesex County,(617) 559-6200,9,12,No,No,No,No,2098,193.2,10.8,,5.0%,0.1%,15.0%,11.8%,0.0%,7.0%,60.7%,89
30,Westwood High,https://www.schooldigger.com/go/MA/schools/1281002100/school.aspx,Westwood,https://www.schooldigger.com/go/MA/district/12810/search.aspx,200 Nahatan Street,Westwood,https://www.schooldigger.com/go/MA/city/Westwood/search.aspx,2090,Norfolk County,(781) 326-7500,9,12,No,No,No,No,952,77.9,12.2,,3.7%,0.0%,12.3%,4.4%,0.0%,2.5%,77.0%,89
31,Algonquin Regional High,https://www.schooldigger.com/go/MA/schools/0891001441/school.aspx,Northboro-Southboro,https://www.schooldigger.com/go/MA/district/08910/search.aspx,79 Bartlett Street,Northborough,https://www.schooldigger.com/go/MA/city/Northborough/search.aspx,1532,Worcester County,(508) 351-7010,9,12,Yes,No,No,No,1269,112.3,11.3,,1.7%,0.4%,13.2%,7.6%,0.4%,4.5%,72.1%,89
32,Nashoba Regional,https://www.schooldigger.com/go/MA/schools/0831001289/school.aspx,Nashoba,https://www.schooldigger.com/go/MA/district/08310/search.aspx,12 Green Road,Bolton,https://www.schooldigger.com/go/MA/city/Bolton/search.aspx,1740,Worcester County,(978) 779-2257,9,12,No,No,No,No,894,67.9,13.1,,1.6%,0.0%,5.0%,5.9%,0.2%,1.8%,85.1%,88.9
33,Arlington High,https://www.schooldigger.com/go/MA/schools/0198000053/school.aspx,Arlington,https://www.schooldigger.com/go/MA/district/01980/search.aspx,869 Mass Avenue,Arlington,https://www.schooldigger.com/go/MA/city/Arlington/search.aspx,2476,Middlesex County,(781) 316-3591,9,12,No,No,No,No,1483,114.3,12.9,,3.8%,0.0%,10.7%,5.9%,0.1%,5.3%,73.4%,88.7
34,Pioneer Charter School of Science II (Pcss-Ii),https://www.schooldigger.com/go/MA/schools/0054602780/school.aspx,Pioneer Charter School of Science II (Pcss-Ii) (District),https://www.schooldigger.com/go/MA/district/00546/search.aspx,97 Main Street,Saugus,https://www.schooldigger.com/go/MA/city/Saugus/search.aspx,1906,Essex County,(781) 666-3945,7,12,Yes,Yes,No,No,376,32.7,11.4,,35.9%,0.5%,14.1%,24.2%,0.0%,2.7%,22.6%,88.7
35,Blackstone Valley,https://www.schooldigger.com/go/MA/schools/0271000191/school.aspx,Blackstone Valley Regional Vocational Technical,https://www.schooldigger.com/go/MA/district/02710/search.aspx,65 Pleasant Street,Upton,https://www.schooldigger.com/go/MA/city/Upton/search.aspx,1568,Worcester County,(508) 529-7758,9,12,Yes,No,No,No,1234,105,11.7,,1.4%,0.0%,1.9%,8.8%,0.1%,2.1%,85.3%,88.5
36,Lenox Memorial High,https://www.schooldigger.com/go/MA/schools/0675000978/school.aspx,Lenox,https://www.schooldigger.com/go/MA/district/06750/search.aspx,197 East Street,Lenox,https://www.schooldigger.com/go/MA/city/Lenox/search.aspx,1240,Berkshire County,(413) 637-5560,6,12,No,No,No,No,426,49.5,8.5,,0.5%,0.0%,4.9%,8.7%,0.0%,3.5%,82.4%,88
37,Franklin High,https://www.schooldigger.com/go/MA/schools/0501000737/school.aspx,Franklin,https://www.schooldigger.com/go/MA/district/05010/search.aspx,218 Oak Street,Franklin,https://www.schooldigger.com/go/MA/city/Franklin/search.aspx,2038,Norfolk County,(508) 528-2600,9,12,No,No,No,No,1673,116.5,14.3,,1.7%,0.1%,7.7%,4.4%,0.2%,2.1%,83.4%,88
38,Mystic Valley Regional Charter School,https://www.schooldigger.com/go/MA/schools/0005501260/school.aspx,Mystic Valley Regional Charter (District),https://www.schooldigger.com/go/MA/district/00055/search.aspx,770 Salem Street,Malden,https://www.schooldigger.com/go/MA/city/Malden/search.aspx,2148,Middlesex County,(781) 388-0222,KG,12,Yes,Yes,No,No,1586,99.6,15.9,,18.8%,0.3%,25.6%,11.1%,0.1%,5.2%,38.9%,87.9
39,Scituate High School,https://www.schooldigger.com/go/MA/schools/1056001693/school.aspx,Scituate,https://www.schooldigger.com/go/MA/district/10560/search.aspx,606 C J Cushing Hwy,Scituate,https://www.schooldigger.com/go/MA/city/Scituate/search.aspx,2066,Plymouth County,(781) 545-8750,9,12,No,No,No,No,862,61.1,14,,2.2%,0.0%,1.4%,1.5%,0.0%,1.5%,93.2%,87.7
40,Brookline High,https://www.schooldigger.com/go/MA/schools/0315000415/school.aspx,Brookline,https://www.schooldigger.com/go/MA/district/03150/search.aspx,115 Greenough Street,Brookline,https://www.schooldigger.com/go/MA/city/Brookline/search.aspx,2445,Norfolk County,(617) 713-5003,9,12,Yes,No,No,No,2087,191.7,10.8,,7.3%,0.0%,15.0%,12.7%,0.0%,10.4%,53.9%,87.5
41,Hamilton-Wenham Regional High,https://www.schooldigger.com/go/MA/schools/0567000820/school.aspx,Hamilton-Wenham,https://www.schooldigger.com/go/MA/district/05670/search.aspx,775 Bay Rd,South Hamilton,https://www.schooldigger.com/go/MA/city/South+Hamilton/search.aspx,1982,Essex County,(978) 468-0400,9,12,No,No,No,No,492,46.9,10.4,,0.6%,0.0%,4.5%,5.1%,0.0%,2.4%,87.4%,87.2
42,Pioneer Charter School of Science,https://www.schooldigger.com/go/MA/schools/0051802632/school.aspx,Pioneer Charter School of Science (District),https://www.schooldigger.com/go/MA/district/00518/search.aspx,51-59 Summer Street,Everett,https://www.schooldigger.com/go/MA/city/Everett/search.aspx,2149,Middlesex County,(617) 389-7277,KG,12,Yes,Yes,No,No,775,75.4,10.2,,23.6%,1.2%,6.6%,27.6%,0.0%,2.7%,38.3%,87.2
43,Newton South High,https://www.schooldigger.com/go/MA/schools/0861001375/school.aspx,Newton,https://www.schooldigger.com/go/MA/district/08610/search.aspx,140 Brandeis Road,Newton Centre,https://www.schooldigger.com/go/MA/city/Newton+Centre/search.aspx,2459,Middlesex County,(617) 559-6700,9,12,No,No,No,No,1837,158.7,11.5,,4.5%,0.1%,23.5%,7.2%,0.1%,6.8%,57.5%,87
44,Natick High,https://www.schooldigger.com/go/MA/schools/0834001303/school.aspx,Natick,https://www.schooldigger.com/go/MA/district/08340/search.aspx,15 West Street,Natick,https://www.schooldigger.com/go/MA/city/Natick/search.aspx,1760,Middlesex County,(508) 647-6600,9,12,No,No,No,No,1678,137.2,12.2,,3.5%,0.1%,8.3%,6.2%,0.0%,5.9%,75.7%,86.9
45,Duxbury High,https://www.schooldigger.com/go/MA/schools/0441000594/school.aspx,Duxbury,https://www.schooldigger.com/go/MA/district/04410/search.aspx,71 Alden Street,Duxbury,https://www.schooldigger.com/go/MA/city/Duxbury/search.aspx,2332,Plymouth County,(781) 934-7650,9,12,No,No,No,No,948,76.7,12.3,,0.2%,0.2%,1.7%,2.2%,0.0%,3.7%,91.9%,86.7
46,Mansfield High,https://www.schooldigger.com/go/MA/schools/0723001114/school.aspx,Mansfield,https://www.schooldigger.com/go/MA/district/07230/search.aspx,250 East Street,Mansfield,https://www.schooldigger.com/go/MA/city/Mansfield/search.aspx,2048,Bristol County,(508) 261-7540,9,12,No,No,No,No,1101,97.2,11.3,,4.5%,0.1%,6.5%,5.7%,0.0%,3.5%,79.6%,86.6
47,Lynnfield High,https://www.schooldigger.com/go/MA/schools/0714001090/school.aspx,Lynnfield,https://www.schooldigger.com/go/MA/district/07140/search.aspx,275 Essex Street,Lynnfield,https://www.schooldigger.com/go/MA/city/Lynnfield/search.aspx,1940,Essex County,(781) 334-5820,9,12,No,No,No,No,564,47.8,11.7,,1.4%,0.0%,6.6%,4.1%,0.0%,1.6%,86.2%,86.6
48,Bedford High,https://www.schooldigger.com/go/MA/schools/0240000128/school.aspx,Bedford,https://www.schooldigger.com/go/MA/district/02400/search.aspx,9 Mudge Way,Bedford,https://www.schooldigger.com/go/MA/city/Bedford/search.aspx,1730,Middlesex County,(781) 275-1700,9,12,No,No,No,No,849,80.3,10.5,,6.4%,0.0%,16.8%,9.8%,0.0%,4.4%,62.4%,86.1
49,Masconomet Regional High School,https://www.schooldigger.com/go/MA/schools/0741001146/school.aspx,Masconomet,https://www.schooldigger.com/go/MA/district/07410/search.aspx,20 Endicott Rd,Boxford,https://www.schooldigger.com/go/MA/city/Boxford/search.aspx,1921,Essex County,(978) 887-2323,9,12,No,No,No,No,1047,78.8,13.2,,0.7%,0.0%,3.9%,4.0%,0.2%,1.8%,89.3%,85.8
50,Longmeadow High,https://www.schooldigger.com/go/MA/schools/0699001020/school.aspx,Longmeadow,https://www.schooldigger.com/go/MA/district/06990/search.aspx,95 Grassy Gutter Rd,Longmeadow,https://www.schooldigger.com/go/MA/city/Longmeadow/search.aspx,1106,Hampden County,(413) 565-4220,9,12,No,No,No,No,911,83.7,10.8,,2.4%,0.0%,10.0%,6.4%,0.1%,3.2%,77.6%,85.5
51,Sharon High,https://www.schooldigger.com/go/MA/schools/1062001705/school.aspx,Sharon,https://www.schooldigger.com/go/MA/district/10620/search.aspx,181 Pond Street,Sharon,https://www.schooldigger.com/go/MA/city/Sharon/search.aspx,2067,Norfolk County,(781) 784-1554,9,12,No,No,No,No,1139,104.1,10.9,,5.2%,0.1%,29.1%,5.4%,0.1%,4.6%,55.5%,85.2
52,Medway High,https://www.schooldigger.com/go/MA/schools/0759001184/school.aspx,Medway,https://www.schooldigger.com/go/MA/district/07590/search.aspx,88 Summer Street,Medway,https://www.schooldigger.com/go/MA/city/Medway/search.aspx,2053,Norfolk County,(508) 533-3227,9,12,No,No,No,No,639,44.7,14.2,,1.9%,0.5%,3.0%,5.6%,0.2%,2.3%,86.2%,84.7
53,Holliston High,https://www.schooldigger.com/go/MA/schools/0624000894/school.aspx,Holliston,https://www.schooldigger.com/go/MA/district/06240/search.aspx,370 Hollis Street,Holliston,https://www.schooldigger.com/go/MA/city/Holliston/search.aspx,1746,Middlesex County,(508) 429-0677,9,12,No,No,No,No,812,63.5,12.7,,0.9%,0.4%,8.6%,6.4%,0.0%,2.7%,80.8%,84.7
54,Reading Memorial High,https://www.schooldigger.com/go/MA/schools/0999001611/school.aspx,Reading,https://www.schooldigger.com/go/MA/district/09990/search.aspx,62 Oakland Rd,Reading,https://www.schooldigger.com/go/MA/city/Reading/search.aspx,1867,Middlesex County,(781) 944-8200,9,12,No,No,No,No,1135,88.8,12.7,,2.6%,0.1%,5.3%,2.6%,0.1%,2.3%,86.8%,84.4
55,Old Rochester Regional High,https://www.schooldigger.com/go/MA/schools/0915001472/school.aspx,Old Rochester,https://www.schooldigger.com/go/MA/district/09150/search.aspx,135 Marion Rd,Mattapoisett,https://www.schooldigger.com/go/MA/city/Mattapoisett/search.aspx,2739,Plymouth County,(508) 758-3745,9,12,No,No,No,No,677,54.3,12.4,,2.7%,0.0%,1.8%,2.2%,0.0%,4.9%,88.5%,84.3
56,Ashland High,https://www.schooldigger.com/go/MA/schools/0210000070/school.aspx,Ashland,https://www.schooldigger.com/go/MA/district/02100/search.aspx,65 East Union St.,Ashland,https://www.schooldigger.com/go/MA/city/Ashland/search.aspx,1721,Middlesex County,(508) 881-0177,9,12,No,No,No,No,812,56,14.5,,2.2%,0.5%,14.2%,15.0%,0.0%,2.5%,65.6%,84
57,Chelmsford High,https://www.schooldigger.com/go/MA/schools/0351000475/school.aspx,Chelmsford,https://www.schooldigger.com/go/MA/district/03510/search.aspx,200 Richardson Rd,North Chelmsford,https://www.schooldigger.com/go/MA/city/North+Chelmsford/search.aspx,1863,Middlesex County,(978) 251-5111,9,12,No,No,No,No,1342,104.3,12.8,,3.4%,0.1%,17.3%,6.2%,0.3%,2.9%,69.7%,83.7
58,Shrewsbury Senior High,https://www.schooldigger.com/go/MA/schools/1077001717/school.aspx,Shrewsbury,https://www.schooldigger.com/go/MA/district/10770/search.aspx,64 Holden Street,Shrewsbury,https://www.schooldigger.com/go/MA/city/Shrewsbury/search.aspx,1545,Worcester County,(508) 841-8800,9,12,No,No,No,No,1835,125,14.6,,3.6%,0.3%,28.7%,9.6%,0.0%,3.8%,54.0%,83.5
59,Ipswich High,https://www.schooldigger.com/go/MA/schools/0648000935/school.aspx,Ipswich,https://www.schooldigger.com/go/MA/district/06480/search.aspx,134 High Street,Ipswich,https://www.schooldigger.com/go/MA/city/Ipswich/search.aspx,1938,Essex County,(978) 356-3137,9,12,No,No,No,No,528,48.9,10.7,,1.5%,0.2%,1.5%,6.1%,0.0%,4.0%,86.6%,83.4
60,Hanover High,https://www.schooldigger.com/go/MA/schools/0579000829/school.aspx,Hanover,https://www.schooldigger.com/go/MA/district/05790/search.aspx,287 Cedar Street,Hanover,https://www.schooldigger.com/go/MA/city/Hanover/search.aspx,2339,Plymouth County,(781) 878-5450,9,12,No,No,No,No,709,62.1,11.4,,1.6%,0.0%,2.8%,1.3%,0.0%,0.7%,93.7%,83.3
61,O'Bryant School Math/Science,https://www.schooldigger.com/go/MA/schools/0279000205/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,55 Malcolm X Blvd,Roxbury,https://www.schooldigger.com/go/MA/city/Roxbury/search.aspx,2120,Suffolk County,(617) 635-9932,7,12,Yes,No,No,No,1548,96.2,16,,30.9%,0.1%,20.2%,34.2%,0.3%,1.9%,12.3%,82.9
62,Sturgis Charter Public School,https://www.schooldigger.com/go/MA/schools/0005801272/school.aspx,Sturgis Charter Public (District),https://www.schooldigger.com/go/MA/district/00058/search.aspx,427 Main Street,Hyannis,https://www.schooldigger.com/go/MA/city/Hyannis/search.aspx,2601,Barnstable County,(508) 778-1782,9,12,No,Yes,No,No,846,90.5,9.3,,2.8%,0.4%,2.8%,6.0%,0.1%,3.1%,84.5%,82.5
63,Cohasset High School,https://www.schooldigger.com/go/MA/schools/0378000518/school.aspx,Cohasset,https://www.schooldigger.com/go/MA/district/03780/search.aspx,143 Pond Street,Cohasset,https://www.schooldigger.com/go/MA/city/Cohasset/search.aspx,2025,Norfolk County,(781) 383-6100,9,12,No,No,No,No,424,39.4,10.7,,3.1%,0.5%,2.4%,2.1%,0.0%,2.1%,89.6%,82.2
64,Belchertown High,https://www.schooldigger.com/go/MA/schools/0243000134/school.aspx,Belchertown,https://www.schooldigger.com/go/MA/district/02430/search.aspx,142 Springfield Road,Belchertown,https://www.schooldigger.com/go/MA/city/Belchertown/search.aspx,1007,Hampshire County,(413) 323-9419,9,12,No,No,No,No,654,49.5,13.1,,2.0%,0.2%,1.5%,3.8%,0.5%,2.6%,88.4%,82
65,Frontier Regional,https://www.schooldigger.com/go/MA/schools/0510000749/school.aspx,Frontier,https://www.schooldigger.com/go/MA/district/05100/search.aspx,113 North Main Street,South Deerfield,https://www.schooldigger.com/go/MA/city/South+Deerfield/search.aspx,1373,Franklin County,(413) 665-2118,7,12,Yes,No,No,No,610,52.3,11.6,,1.6%,0.0%,2.5%,7.2%,0.2%,4.3%,84.3%,81.9
66,Newburyport High,https://www.schooldigger.com/go/MA/schools/0858001354/school.aspx,Newburyport,https://www.schooldigger.com/go/MA/district/08580/search.aspx,241 High Street,Newburyport,https://www.schooldigger.com/go/MA/city/Newburyport/search.aspx,1950,Essex County,(978) 465-4440,9,12,No,No,No,No,784,67.9,11.5,,0.9%,0.1%,1.7%,4.0%,0.0%,2.6%,90.7%,81.4
67,Essex North Shore Agricultural and Technical School,https://www.schooldigger.com/go/MA/schools/0055402833/school.aspx,Essex North Shore Agricultural and Technical School District,https://www.schooldigger.com/go/MA/district/00554/search.aspx,565 Maple Street,Hathorne,https://www.schooldigger.com/go/MA/city/Hathorne/search.aspx,1937,Essex County,(978) 304-4700,9,12,Yes,No,No,No,1654,142.6,11.5,,1.8%,0.1%,1.8%,13.8%,0.1%,3.9%,78.2%,81.2
