School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
West Mercer Elementary,https://www.schooldigger.com/go/WA/schools/0498000765/school.aspx,Mercer Island School District,https://www.schooldigger.com/go/WA/district/04980/search.aspx,4141 81st Ave SE,Mercer Island,https://www.schooldigger.com/go/WA/city/Mercer+Island/search.aspx,98040,King County,(206) 236-3430,KG,5,Yes,No,No,No,428,28.4,15,2.6,1.2,0,26.6,7.9,0,15.9,48.4,98.3
John Stanford International School,https://www.schooldigger.com/go/WA/schools/0771001197/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,4057 5 Av NE,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98105,King County,(206) 252-6080,KG,5,No,No,No,No,461,26.4,17.4,6.1,1.5,0,12.4,23.4,0,19.1,43.4,98.3
Benjamin Rush Elementary,https://www.schooldigger.com/go/WA/schools/0423000659/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,6101 152nd Ave NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2690,KG,5,No,No,No,No,650,41,15.8,4.2,0.9,0.5,65.4,4.2,0,5.1,24,98.2
Libby Center,https://www.schooldigger.com/go/WA/schools/0825002484/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,2900 E 1St Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99202,Spokane County,(509) 354-7500,KG,8,No,No,No,No,488,28.4,17.1,24.4,0.8,0.4,5.7,13.3,0,9.4,70.3,98.2
Rachel Carson Elementary,https://www.schooldigger.com/go/WA/schools/0423003242/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,1035 - 244th Ave NE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98074,King County,(425) 936-2750,PK,5,No,No,No,No,488,28.8,16.9,1.8,0.8,0,45.3,5.1,0,9.6,39.1,98.2
Island Park Elementary,https://www.schooldigger.com/go/WA/schools/0498000758/school.aspx,Mercer Island School District,https://www.schooldigger.com/go/WA/district/04980/search.aspx,5437 Island Crest Way,Mercer Island,https://www.schooldigger.com/go/WA/city/Mercer+Island/search.aspx,98040,King County,(206) 236-3410,KG,5,No,No,No,No,366,25.7,14.2,1.9,0.5,0,25.7,7.4,0,14.2,51.9,98.1
Bryant Elementary School,https://www.schooldigger.com/go/WA/schools/0771001146/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,3311 NE 60 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98115,King County,(206) 252-5200,KG,5,No,No,No,No,520,31.9,16.3,3.8,1,0,11.9,5.8,0,15,66.3,98
Fernwood Elementary,https://www.schooldigger.com/go/WA/schools/0591002222/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,3933 Jewell RD,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98012,Snohomish County,(425) 408-4500,PK,5,No,No,No,No,757,42.5,17.8,2.6,1.2,0.3,68.6,4,0.1,4.9,21,98
Endeavour Elementary School,https://www.schooldigger.com/go/WA/schools/0375002518/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,26205 SE Issaquah-Fall City Rd,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98029,King County,(425) 837-7350,KG,5,No,No,No,No,500,35.1,14.2,6.4,1,0,40.8,7,0.2,8.8,42.2,97.8
Wedgwood Elementary School,https://www.schooldigger.com/go/WA/schools/0771001261/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2720 NE 85 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98115,King County,(206) 252-5670,KG,5,No,No,No,No,410,26.5,15.4,6.1,2.4,0.5,12.2,6.6,0,19,59.3,97.8
Montlake Elementary School,https://www.schooldigger.com/go/WA/schools/0771001219/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2409 22 Av E,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98112,King County,(206) 252-3300,KG,5,No,No,No,No,232,16.5,14,4.7,2.2,0,10.3,5.6,0,17.2,64.7,97.8
Sunny Hills Elementary,https://www.schooldigger.com/go/WA/schools/0375000581/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,3200 Issaquah-Pine Lake Rd SE,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98075,King County,(425) 837-7400,KG,5,No,No,No,No,802,48.2,16.6,5.5,1.9,0.2,46.4,9.1,0.1,8.1,34.2,97.8
Creekside Elementary,https://www.schooldigger.com/go/WA/schools/0375003331/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,20777 SE 16th St,Sammamish,https://www.schooldigger.com/go/WA/city/Sammamish/search.aspx,98075,King County,(425) 837-5200,KG,5,No,No,No,No,686,41.3,16.5,1.7,1.3,0.4,37.2,6.4,0,8.5,46.2,97.7
Cedar Wood Elementary,https://www.schooldigger.com/go/WA/schools/0267002431/school.aspx,Everett School District,https://www.schooldigger.com/go/WA/district/02670/search.aspx,3414 168th St. SE,Bothell,https://www.schooldigger.com/go/WA/city/Bothell/search.aspx,98012,Snohomish County,(425) 385-7700,PK,5,No,No,No,No,698,41.6,16.7,13.9,4.4,0.3,39.7,12.3,0,7.2,36.1,97.6
Clara Barton Elementary School,https://www.schooldigger.com/go/WA/schools/0423003640/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,12011 172nd Ave NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2480,KG,5,No,No,No,No,602,39.8,15.1,13.1,4.2,0.2,53,13.5,0,5.6,23.6,97.6
John J. Audubon Elementary,https://www.schooldigger.com/go/WA/schools/0423000657/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,3045 180th NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2500,KG,5,No,No,No,No,508,30,16.8,3.3,0.4,0,51.2,6.9,0.2,5.5,35.8,97.5
Horace Mann Elementary,https://www.schooldigger.com/go/WA/schools/0423000667/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,17001 NE 104th,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2610,KG,5,No,No,No,No,352,25.5,13.7,3.4,1.1,0,36.6,6.3,0,8.5,47.2,97.5
Rock Creek Elementary,https://www.schooldigger.com/go/WA/schools/0876000692/school.aspx,Tahoma School District,https://www.schooldigger.com/go/WA/district/08760/search.aspx,25700 Maple Valley Blk Diam Rd,Maple Valley,https://www.schooldigger.com/go/WA/city/Maple+Valley/search.aspx,98038,King County,(425) 413-3300,PK,5,No,No,No,No,688,42.4,16.2,8.7,1.6,0.1,11.8,9.9,1.2,12.9,62.5,97.4
Benjamin Franklin Elementary,https://www.schooldigger.com/go/WA/schools/0423000658/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,12434 NE 60th,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-2550,KG,5,No,No,No,No,435,31.1,13.9,4.8,1.6,0.2,46,6.7,0,8,37.5,97.1
Snoqualmie Elementary,https://www.schooldigger.com/go/WA/schools/0804001332/school.aspx,Snoqualmie Valley School District,https://www.schooldigger.com/go/WA/district/08040/search.aspx,755 Park St,Snoqualmie,https://www.schooldigger.com/go/WA/city/Snoqualmie/search.aspx,98065,King County,(425) 831-8050,PK,5,Yes,No,No,No,454,33.4,13.5,14.5,2.4,2,11.7,9.9,0,6.4,67.6,97.1
View Ridge Elementary School,https://www.schooldigger.com/go/WA/schools/0771001256/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,7047 50 Av NE,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98115,King County,(206) 252-5600,PK,5,No,No,No,No,420,27.7,15.1,8.8,1.7,0.2,17.6,8.6,0.2,15.7,56,97
Peter Kirk Elementary,https://www.schooldigger.com/go/WA/schools/0423000677/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,1312 6th Street,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-2590,KG,5,No,No,No,No,627,35.2,17.7,3.5,1.8,0,19.1,8,0,15,56.1,97
Puesta del Sol Elementary School,https://www.schooldigger.com/go/WA/schools/0039000090/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,3810  132nd Avenue SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98006,King County,(425) 456-6100,PK,5,No,No,Yes,No,517,27.4,18.8,7.5,2.1,0.2,14.1,23,0,15.5,45.1,96.9
Jing Mei Elementary School,https://www.schooldigger.com/go/WA/schools/0039003455/school.aspx,Bellevue School District,https://www.schooldigger.com/go/WA/district/00390/search.aspx,12635 SE 56th Street,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98006,King County,(425) 456-6900,PK,5,No,No,Yes,No,447,20.2,22.1,4.9,1.8,0,67.1,3.1,0.4,19.2,8.3,96.9
Northwood Elementary School,https://www.schooldigger.com/go/WA/schools/0498003566/school.aspx,Mercer Island School District,https://www.schooldigger.com/go/WA/district/04980/search.aspx,4030 86th Ave SE,Mercer Island,https://www.schooldigger.com/go/WA/city/Mercer+Island/search.aspx,98040,King County,(253) 841-8740,PK,5,Yes,No,No,No,414,28.7,14.3,4.3,1.2,0.5,30.7,8.2,0,11.1,48.3,96.8
Lakeview Elementary,https://www.schooldigger.com/go/WA/schools/0423000675/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,10400 NE 68th,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98033,King County,(425) 936-2600,KG,5,No,No,No,No,479,29.7,16,12.1,3.8,0,22.5,8.8,0.2,10.6,54.1,96.8
Frantz Coe Elementary School,https://www.schooldigger.com/go/WA/schools/0771001151/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2424 7 Av W,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98119,King County,(206) 252-2000,KG,5,No,No,No,No,498,32.7,15.2,4.6,2.2,0.2,8,5.8,0.4,15.7,67.7,96.6
Henry David Thoreau Elementary,https://www.schooldigger.com/go/WA/schools/0423000684/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,8224 NE 138th,Kirkland,https://www.schooldigger.com/go/WA/city/Kirkland/search.aspx,98034,King County,(425) 936-2720,KG,5,No,No,No,No,449,30.5,14.6,8.7,0.4,0.2,20.3,10.2,0.2,13.1,55.5,96.6
Grass Valley Elementary,https://www.schooldigger.com/go/WA/schools/0081003312/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,3000 NE Grass Valley Dr,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5710,KG,5,No,No,No,No,456,28.2,16.1,10.3,1.1,0,14,11.6,0,11.8,61.4,96.5
Cougar Ridge Elementary,https://www.schooldigger.com/go/WA/schools/0375000482/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,4630 167th Ave SE,Bellevue,https://www.schooldigger.com/go/WA/city/Bellevue/search.aspx,98006,King County,(425) 837-7300,KG,5,No,No,No,No,522,37.3,13.9,2.9,2.5,0,43.3,6.5,0,9,38.7,96.4
Meridian Park Elementary School,https://www.schooldigger.com/go/WA/schools/0792000404/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,17077 Meridian Avenue N.,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98133,King County,(206) 393-4251,KG,5,Yes,No,Yes,No,490,31.7,15.4,29.2,12.2,0.2,18.2,15.9,0.6,12.9,40,96.4
Mountain Meadow Elementary,https://www.schooldigger.com/go/WA/schools/0978001720/school.aspx,White River School District,https://www.schooldigger.com/go/WA/district/09780/search.aspx,11812 Mundy Loss Rd,Buckley,https://www.schooldigger.com/go/WA/city/Buckley/search.aspx,98321,Pierce County,(360) 829-3356,1,5,No,No,No,No,355,20,17.7,18.9,0.6,0.6,2.5,8.5,0.6,5.6,81.7,96.3
Home Education Exchange,https://www.schooldigger.com/go/WA/schools/0792002646/school.aspx,Shoreline School District,https://www.schooldigger.com/go/WA/district/07920/search.aspx,2800 NE 200th,Shoreline,https://www.schooldigger.com/go/WA/city/Shoreline/search.aspx,98155,King County,(206) 418-3388,KG,8,No,No,No,No,154,,,8.4,0,0,3.9,1.3,0,11.7,83.1,96.2
North Beach Elementary School,https://www.schooldigger.com/go/WA/schools/0771001223/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,9018 24 Av NW,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98117,King County,(206) 252-1510,PK,5,No,No,No,No,368,27.8,13.1,8.4,1.6,0,4.1,7.3,0.8,12.8,73.4,95.8
Hutton Elementary,https://www.schooldigger.com/go/WA/schools/0825001382/school.aspx,Spokane School District,https://www.schooldigger.com/go/WA/district/08250/search.aspx,908 E 24Th Ave,Spokane,https://www.schooldigger.com/go/WA/city/Spokane/search.aspx,99203,Spokane County,(509) 354-3030,PK,6,No,No,No,No,551,32.5,16.9,22.7,3.3,0.7,1.3,7.8,0,9.1,77.9,95.7
Whittier Elementary School,https://www.schooldigger.com/go/WA/schools/0771001265/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,1320 NW 75 St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98117,King County,(206) 252-1650,KG,5,No,No,No,No,417,26.5,15.6,7.2,1,0,4.1,6.5,0,15.8,72.4,95.6
Odyssey Multiage Program,https://www.schooldigger.com/go/WA/schools/0033002523/school.aspx,Bainbridge Island School District,https://www.schooldigger.com/go/WA/district/00330/search.aspx,9530 NE High School Rd,Bainbridge Island,https://www.schooldigger.com/go/WA/city/Bainbridge+Island/search.aspx,98110,Kitsap County,(206) 780-1646,KG,8,No,No,No,No,197,13.3,14.7,6.1,1,1,0,5.6,0,11.7,80.7,95.6
Timber Ridge Elementary School,https://www.schooldigger.com/go/WA/schools/0804003560/school.aspx,Snoqualmie Valley School District,https://www.schooldigger.com/go/WA/district/08040/search.aspx,34412 SE Swenson Dr,Snoqualmie,https://www.schooldigger.com/go/WA/city/Snoqualmie/search.aspx,98065,King County,(425) 831-3825,KG,5,No,No,No,No,633,40,15.8,3.9,1.6,0,20.4,8.8,0,9.6,59.6,95.4
Kokanee Elementary,https://www.schooldigger.com/go/WA/schools/0591001612/school.aspx,Northshore School District,https://www.schooldigger.com/go/WA/district/05910/search.aspx,23710 57 Av SE,Woodinville,https://www.schooldigger.com/go/WA/city/Woodinville/search.aspx,98072,Snohomish County,(425) 408-4900,KG,5,No,No,No,No,674,42.1,16,2.8,1.6,0.4,64.1,3.3,0,5.5,25.1,95.4
Dorothy Fox,https://www.schooldigger.com/go/WA/schools/0081001823/school.aspx,Camas School District,https://www.schooldigger.com/go/WA/district/00810/search.aspx,2623 NW Sierra St,Camas,https://www.schooldigger.com/go/WA/city/Camas/search.aspx,98607,Clark County,(360) 833-5700,KG,5,No,No,No,No,451,29.7,15.1,11.3,1.1,0.2,10.9,11.1,0.4,10.6,65.6,95.4
CAM Academy,https://www.schooldigger.com/go/WA/schools/0038002782/school.aspx,Battle Ground School District,https://www.schooldigger.com/go/WA/district/00380/search.aspx,715 NW Onsdorff Blvd.,Battle Ground,https://www.schooldigger.com/go/WA/city/Battle+Ground/search.aspx,98604,Clark County,(360) 885-6804,3,12,No,No,No,No,529,18.2,28.9,21,0.4,0,3.2,5.3,0,5.7,85.4,95.3
Ella Baker Elementary School,https://www.schooldigger.com/go/WA/schools/0423003628/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,9595 Eastridge Drive NE,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98053,King County,(425) 936-2790,KG,5,No,No,No,No,504,30.6,16.4,10.7,3.4,0,53,9.9,0,7.1,26.6,95.3
Thurgood Marshall Elementary,https://www.schooldigger.com/go/WA/schools/0771002347/school.aspx,Seattle School District No. 1,https://www.schooldigger.com/go/WA/district/07710/search.aspx,2401 S Irving St,Seattle,https://www.schooldigger.com/go/WA/city/Seattle/search.aspx,98144,King County,(206) 252-2800,PK,5,No,No,No,No,459,31.7,14.4,34.9,25.5,0.4,13.5,8.3,0,17.4,34.2,95.3
Little Cedars Elementary School,https://www.schooldigger.com/go/WA/schools/0802003184/school.aspx,Snohomish School District,https://www.schooldigger.com/go/WA/district/08020/search.aspx,7408 144th Pl SE,Snohomish,https://www.schooldigger.com/go/WA/city/Snohomish/search.aspx,98296,Snohomish County,(360) 563-7800,KG,6,No,No,No,No,572,33.2,17.2,10.1,2.3,1.4,11.2,10.1,0.2,7.9,67,95.1
Challenger Elementary,https://www.schooldigger.com/go/WA/schools/0375002214/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,25200 SE Klahanie Blvd,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98029,King County,(425) 837-7550,KG,5,No,No,No,No,512,39.4,12.9,7.4,2,0,41.6,11.7,0,8.8,35.9,95.1
Cedar River Elementary,https://www.schooldigger.com/go/WA/schools/0876003605/school.aspx,Tahoma School District,https://www.schooldigger.com/go/WA/district/08760/search.aspx,22615 Sweeney Rd SE,Maple Valley,https://www.schooldigger.com/go/WA/city/Maple+Valley/search.aspx,98038,King County,(425) 413-5400,PK,5,No,No,No,No,591,37.8,15.6,10.7,3,0,7.8,10.5,0.5,13.2,64.8,95.1
Redmond Elementary,https://www.schooldigger.com/go/WA/schools/0423000678/school.aspx,Lake Washington School District,https://www.schooldigger.com/go/WA/district/04230/search.aspx,16800 NE 80th,Redmond,https://www.schooldigger.com/go/WA/city/Redmond/search.aspx,98052,King County,(425) 936-2660,KG,5,Yes,No,No,No,665,41.8,15.8,16.2,2.1,0.6,52.6,10.2,0.2,7.4,26.9,95
Grand Ridge Elementary,https://www.schooldigger.com/go/WA/schools/0375003067/school.aspx,Issaquah School District,https://www.schooldigger.com/go/WA/district/03750/search.aspx,1739 NE Park Dr,Issaquah,https://www.schooldigger.com/go/WA/city/Issaquah/search.aspx,98029,King County,(425) 837-7926,KG,5,No,No,No,No,628,40.2,15.6,5.1,2.2,0,39.3,5.7,0.2,9.1,43.5,94.9
Cascade View Elementary School,https://www.schooldigger.com/go/WA/schools/0804002980/school.aspx,Snoqualmie Valley School District,https://www.schooldigger.com/go/WA/district/08040/search.aspx,34816 SE Ridge Street,Snoqualmie,https://www.schooldigger.com/go/WA/city/Snoqualmie/search.aspx,98065,King County,(425) 831-4100,KG,5,No,No,No,No,564,36,15.6,2.1,0.5,0.2,9.4,5,0,8.7,76.2,94.9
