School,School URL,District,District URL,City,CityURL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Liberty Hill J H,https://www.schooldigger.com/go/TX/schools/2742005772/school.aspx,Liberty Hill Independent School District,https://www.schooldigger.com/go/TX/district/27420/search.aspx,Liberty Hill,https://www.schooldigger.com/go/TX/city/Liberty+Hill/search.aspx,78642,Williamson,(512) 379-3300,No,No,No,Yes,501,34,14.7,0.21,0,0,0,0.19,,
Otto Middle,https://www.schooldigger.com/go/TX/schools/3510011174/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75074,Collin,(469) 752-8500,Yes,No,No,Yes,990,67,14.7,0.3,0.12,0,0.32,0.23,,
Garrison Middle,https://www.schooldigger.com/go/TX/schools/2040007702/school.aspx,Garrison Independent School District,https://www.schooldigger.com/go/TX/district/20400/search.aspx,Garrison,https://www.schooldigger.com/go/TX/city/Garrison/search.aspx,75946,Nacogdoches,(936) 347-7020,Yes,No,No,Yes,174,13,13.3,0.42,0.16,0.01,0.01,0.08,,
Brock J H,https://www.schooldigger.com/go/TX/schools/1146009535/school.aspx,Brock Independent School District,https://www.schooldigger.com/go/TX/district/11460/search.aspx,Brock,https://www.schooldigger.com/go/TX/city/Brock/search.aspx,76087,Parker,(817) 594-3195,No,No,No,Yes,271,19,14.2,0.09,0.02,0,0,0.08,,
Ira School,https://www.schooldigger.com/go/TX/schools/2430002708/school.aspx,Ira Independent School District,https://www.schooldigger.com/go/TX/district/24300/search.aspx,Ira,https://www.schooldigger.com/go/TX/city/Ira/search.aspx,79527,Scurry,(325) 573-2628,No,No,No,No,261,21,12.4,0.23,0,0,0,0.19,,
Meridian World School Llc,https://www.schooldigger.com/go/TX/schools/0142212570/school.aspx,Meridian World School Llc,https://www.schooldigger.com/go/TX/district/01422/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78664,Williamson,(512) 660-5230,No,Yes,No,No,1093,64,17,0.06,0.05,0,0.19,0.2,,
Timberview Middle,https://www.schooldigger.com/go/TX/schools/2526012420/school.aspx,Keller Independent School District,https://www.schooldigger.com/go/TX/district/25260/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76244,Tarrant,(817) 744-2600,No,No,No,No,1113,72,15.4,0.13,0.1,0.01,0.1,0.14,,
Treetops School International,https://www.schooldigger.com/go/TX/schools/0006808023/school.aspx,Treetops School International,https://www.schooldigger.com/go/TX/district/00068/search.aspx,Euless,https://www.schooldigger.com/go/TX/city/Euless/search.aspx,76040,Tarrant,(817) 283-1771,No,Yes,No,No,363,29,12.5,0.11,0.15,0.01,0.04,0.13,,
Grady School,https://www.schooldigger.com/go/TX/schools/2130002131/school.aspx,Grady Independent School District,https://www.schooldigger.com/go/TX/district/21300/search.aspx,Lenorah,https://www.schooldigger.com/go/TX/city/Lenorah/search.aspx,79749,Martin,(432) 459-2445,Yes,No,No,Yes,231,,10.5,0.3,0,0,0.01,0.36,,
Billy Baines Middle,https://www.schooldigger.com/go/TX/schools/1965010671/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Missouri City,https://www.schooldigger.com/go/TX/city/Missouri+City/search.aspx,77459,Fort Bend,(281) 634-6870,No,No,No,Yes,1585,81,19.5,0.26,0.21,0,0.06,0.32,,
Holliday Middle,https://www.schooldigger.com/go/TX/schools/2340006118/school.aspx,Holliday Independent School District,https://www.schooldigger.com/go/TX/district/23400/search.aspx,Holliday,https://www.schooldigger.com/go/TX/city/Holliday/search.aspx,76366,Archer,(940) 586-1314,Yes,No,No,No,221,15,14.7,0.22,0.01,0,0,0.08,,
Pearland J H East,https://www.schooldigger.com/go/TX/schools/3444003864/school.aspx,Pearland Independent School District,https://www.schooldigger.com/go/TX/district/34440/search.aspx,Pearland,https://www.schooldigger.com/go/TX/city/Pearland/search.aspx,77581,Brazoria,(281) 485-2481,No,No,No,Yes,674,38,17.7,0.22,0.11,0,0.06,0.25,,
Idea Frontier College Preparatory,https://www.schooldigger.com/go/TX/schools/0021111952/school.aspx,Idea Public Schools,https://www.schooldigger.com/go/TX/district/00211/search.aspx,Brownsville,https://www.schooldigger.com/go/TX/city/Brownsville/search.aspx,78521,Cameron,(956) 541-2002,Yes,Yes,No,Yes,797,52,15.3,0.88,0,0,0.01,0.96,,
Lorenzo De Zavala Middle,https://www.schooldigger.com/go/TX/schools/0813010995/school.aspx,Amarillo Independent School District,https://www.schooldigger.com/go/TX/district/08130/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79124,Potter,(806) 326-3400,No,No,No,No,388,29,13.3,0.23,0.04,0,0.08,0.22,,
Kipp Academy Middle,https://www.schooldigger.com/go/TX/schools/0005407911/school.aspx,Kipp Inc Charter,https://www.schooldigger.com/go/TX/district/00054/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77099,Harris,(832) 328-1051,Yes,Yes,No,Yes,400,19,21,0.93,0.23,0,0.02,0.74,,
Shallowater Middle,https://www.schooldigger.com/go/TX/schools/3987004524/school.aspx,Shallowater Independent School District,https://www.schooldigger.com/go/TX/district/39870/search.aspx,Shallowater,https://www.schooldigger.com/go/TX/city/Shallowater/search.aspx,79363,Lubbock,(806) 832-4531,Yes,No,No,No,456,36,12.6,0.44,0.01,0,0,0.34,,
Founders Classical Academy,https://www.schooldigger.com/go/TX/schools/0016312670/school.aspx,Texas College Preparatory Academies,https://www.schooldigger.com/go/TX/district/00163/search.aspx,Lewisville,https://www.schooldigger.com/go/TX/city/Lewisville/search.aspx,75067,Denton,(972) 316-3663,No,Yes,No,No,807,51,15.8,0.07,0.06,0,0.09,0.14,,
Irons J H,https://www.schooldigger.com/go/TX/schools/1500012065/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,Conroe,https://www.schooldigger.com/go/TX/city/Conroe/search.aspx,77385,Montgomery,(936) 709-8500,No,No,No,No,1102,71,15.5,0.33,0.07,0.01,0.02,0.31,,
Hudson Middle,https://www.schooldigger.com/go/TX/schools/2379002632/school.aspx,Hudson Independent School District,https://www.schooldigger.com/go/TX/district/23790/search.aspx,Lufkin,https://www.schooldigger.com/go/TX/city/Lufkin/search.aspx,75904,Angelina,(936) 875-9222,Yes,No,No,Yes,649,48,13.5,0.5,0.07,0,0.01,0.21,,
Hopewell Middle,https://www.schooldigger.com/go/TX/schools/3808007494/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78664,Williamson,(512) 464-5200,Yes,No,No,No,967,63,15.3,0.37,0.13,0,0.05,0.42,,
Harmony School Of Political Science And Communicat,https://www.schooldigger.com/go/TX/schools/0024112787/school.aspx,Harmony Science Academy (Austin),https://www.schooldigger.com/go/TX/district/00241/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78717,Williamson,(512) 284-9880,No,Yes,No,No,816,60,13.6,0.27,0.15,0,0.37,0.17,,
Hendrick Middle,https://www.schooldigger.com/go/TX/schools/3510006464/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin,(469) 752-5600,No,No,No,No,800,51,15.6,0.26,0.14,0,0.22,0.15,,
Brooks Wester Middle,https://www.schooldigger.com/go/TX/schools/2892009384/school.aspx,Mansfield Independent School District,https://www.schooldigger.com/go/TX/district/28920/search.aspx,Mansfield,https://www.schooldigger.com/go/TX/city/Mansfield/search.aspx,76063,Tarrant,(817) 299-7000,No,No,No,No,872,52,16.7,0.27,0.19,0,0.08,0.21,,
Brundrett Middle,https://www.schooldigger.com/go/TX/schools/3537005798/school.aspx,Port Aransas Independent School District,https://www.schooldigger.com/go/TX/district/35370/search.aspx,Port Aransas,https://www.schooldigger.com/go/TX/city/Port+Aransas/search.aspx,78373,Nueces,(361) 749-1209,Yes,No,No,No,133,11,12,0.34,0,0.01,0.01,0.14,,
Harper Middle,https://www.schooldigger.com/go/TX/schools/2259007007/school.aspx,Harper Independent School District,https://www.schooldigger.com/go/TX/district/22590/search.aspx,Harper,https://www.schooldigger.com/go/TX/city/Harper/search.aspx,78631,Gillespie,(830) 864-4044,Yes,No,No,No,141,12,11.7,0.36,0,0.01,0.01,0.12,,
York J H,https://www.schooldigger.com/go/TX/schools/1500006081/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,Spring,https://www.schooldigger.com/go/TX/city/Spring/search.aspx,77386,Montgomery,(832) 592-8600,No,No,No,Yes,,58,17.2,0.2,0.12,0,0.03,0.25,,
Bedford J H,https://www.schooldigger.com/go/TX/schools/2406002662/school.aspx,Hurst-Euless-Bedford Independent School District,https://www.schooldigger.com/go/TX/district/24060/search.aspx,Bedford,https://www.schooldigger.com/go/TX/city/Bedford/search.aspx,76021,Tarrant,(817) 788-3101,Yes,No,No,Yes,834,50,16.6,0.37,0.08,0.01,0.04,0.25,,
Deer Park J H,https://www.schooldigger.com/go/TX/schools/1653001416/school.aspx,Deer Park Independent School District,https://www.schooldigger.com/go/TX/district/16530/search.aspx,Deer Park,https://www.schooldigger.com/go/TX/city/Deer+Park/search.aspx,77536,Harris,(832) 668-7500,No,No,No,No,833,52,16,0.26,0.01,0,0.01,0.41,,
Dulles Middle,https://www.schooldigger.com/go/TX/schools/1965005871/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77478,Fort Bend,(281) 634-5750,No,No,No,Yes,1294,66,19.6,0.3,0.24,0,0.26,0.24,,
Fairmont Junior High,https://www.schooldigger.com/go/TX/schools/1653006972/school.aspx,Deer Park Independent School District,https://www.schooldigger.com/go/TX/district/16530/search.aspx,Pasadena,https://www.schooldigger.com/go/TX/city/Pasadena/search.aspx,77505,Harris,(832) 668-7800,Yes,No,No,No,759,45,16.8,0.34,0.02,0,0.03,0.45,,
Jayton Schools,https://www.schooldigger.com/go/TX/schools/2466002762/school.aspx,Jayton-Girard Independent School District,https://www.schooldigger.com/go/TX/district/24660/search.aspx,Jayton,https://www.schooldigger.com/go/TX/city/Jayton/search.aspx,79528,Kent,(806) 237-2991,Yes,No,No,Yes,130,20,6.5,0.4,0,0,0,0.23,,
Sabine Pass School,https://www.schooldigger.com/go/TX/schools/3849004285/school.aspx,Sabine Pass Independent School District,https://www.schooldigger.com/go/TX/district/38490/search.aspx,Sabine Pass,https://www.schooldigger.com/go/TX/city/Sabine+Pass/search.aspx,77655,Jefferson,(409) 971-2321,Yes,No,No,No,379,31,12.2,0.64,0.19,0.01,0.02,0.34,,
Briscoe Middle,https://www.schooldigger.com/go/TX/schools/3312012413/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78253,Bexar,(210) 398-1100,No,No,No,No,824,51,16.1,0.23,0.12,0,0.02,0.51,,
Trinity Springs Middle,https://www.schooldigger.com/go/TX/schools/2526011330/school.aspx,Keller Independent School District,https://www.schooldigger.com/go/TX/district/25260/search.aspx,Keller,https://www.schooldigger.com/go/TX/city/Keller/search.aspx,76244,Tarrant,(817) 744-3500,Yes,No,No,Yes,1061,62,17.1,0.26,0.11,0.01,0.05,0.23,,
Bullard Middle School,https://www.schooldigger.com/go/TX/schools/1206005664/school.aspx,Bullard Independent School District,https://www.schooldigger.com/go/TX/district/12060/search.aspx,Bullard,https://www.schooldigger.com/go/TX/city/Bullard/search.aspx,75757,Cherokee,(903) 894-6533,No,No,No,No,375,28,13.3,0.33,0.04,0.01,0,0.07,,
Prestwick K-8 Stem Academy,https://www.schooldigger.com/go/TX/schools/2772012971/school.aspx,Little Elm Independent School District,https://www.schooldigger.com/go/TX/district/27720/search.aspx,The Colony,https://www.schooldigger.com/go/TX/city/The+Colony/search.aspx,75065,Denton,(214) 469-1705,No,No,No,No,667,40,16.6,0.23,0.14,0,0.05,0.23,,
North Ridge Middle,https://www.schooldigger.com/go/TX/schools/1023006653/school.aspx,Birdville Independent School District,https://www.schooldigger.com/go/TX/district/10230/search.aspx,North Richland Hills,https://www.schooldigger.com/go/TX/city/North+Richland+Hills/search.aspx,76180,Tarrant,(817) 547-5200,Yes,No,No,No,800,52,15.3,0.34,0.06,0.01,0.03,0.22,,
Iuniversity Prep,https://www.schooldigger.com/go/TX/schools/2166013033/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant,(817) 305-4895,No,No,Yes,Yes,246,,18.9,0.03,0.06,0,0.03,0.12,,
Union Grove J H,https://www.schooldigger.com/go/TX/schools/4353009083/school.aspx,Union Grove Independent School District,https://www.schooldigger.com/go/TX/district/43530/search.aspx,Gladewater,https://www.schooldigger.com/go/TX/city/Gladewater/search.aspx,75647,Upshur,(903) 845-5506,Yes,No,No,Yes,112,10,11.2,0.36,0,0.01,0,0.05,,
Harmony Science Academy (El Paso),https://www.schooldigger.com/go/TX/schools/0027211213/school.aspx,Harmony Science Academy (El Paso),https://www.schooldigger.com/go/TX/district/00272/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79907,El Paso,(915) 859-4620,Yes,Yes,No,Yes,1014,75,13.5,0.76,0.01,0,0.01,0.94,,
Bailey J H,https://www.schooldigger.com/go/TX/schools/0870000234/school.aspx,Arlington Independent School District,https://www.schooldigger.com/go/TX/district/08700/search.aspx,Arlington,https://www.schooldigger.com/go/TX/city/Arlington/search.aspx,76013,Tarrant,(682) 867-0700,Yes,No,No,Yes,797,56,14.2,0.55,0.14,0,0.02,0.34,,
College Station Middle,https://www.schooldigger.com/go/TX/schools/0735000003/school.aspx,College Station Independent School District,https://www.schooldigger.com/go/TX/district/07350/search.aspx,College Station,https://www.schooldigger.com/go/TX/city/College+Station/search.aspx,77845,Brazos,(979) 764-5545,No,No,No,Yes,866,53,16.3,0.22,0.09,0,0.08,0.18,,
Archer City High School,https://www.schooldigger.com/go/TX/schools/0861000229/school.aspx,Archer City Independent School District,https://www.schooldigger.com/go/TX/district/08610/search.aspx,Archer City,https://www.schooldigger.com/go/TX/city/Archer+City/search.aspx,76351,Archer,(940) 574-4713,No,No,No,No,233,27,8.6,0.27,0.01,0,0,0.07,,
Eric Dahlstrom Middle,https://www.schooldigger.com/go/TX/schools/0001008836/school.aspx,Hays Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/00010/search.aspx,Buda,https://www.schooldigger.com/go/TX/city/Buda/search.aspx,78610,Hays,(512) 295-4717,No,No,No,Yes,946,45,21,0.16,0.02,0,0.01,0.37,,
Noel Grisham Middle,https://www.schooldigger.com/go/TX/schools/3808004251/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78750,Williamson,(512) 428-2650,Yes,No,No,Yes,658,49,13.4,0.24,0.05,0,0.18,0.26,,
Bonham Middle,https://www.schooldigger.com/go/TX/schools/0813000147/school.aspx,Amarillo Independent School District,https://www.schooldigger.com/go/TX/district/08130/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79109,Randall,(806) 326-3100,No,No,No,No,766,54,14.1,0.29,0.04,0,0.02,0.21,,
Cross Plains High School,https://www.schooldigger.com/go/TX/schools/1581001150/school.aspx,Cross Plains Independent School District,https://www.schooldigger.com/go/TX/district/15810/search.aspx,Cross Plains,https://www.schooldigger.com/go/TX/city/Cross+Plains/search.aspx,76443,Callahan,(254) 725-6121,Yes,No,No,No,142,15,9.4,0.56,0,0,0,0.09,,
Pearland J H South,https://www.schooldigger.com/go/TX/schools/3444009142/school.aspx,Pearland Independent School District,https://www.schooldigger.com/go/TX/district/34440/search.aspx,Pearland,https://www.schooldigger.com/go/TX/city/Pearland/search.aspx,77584,Brazoria,(281) 727-1500,Yes,No,No,Yes,802,51,15.7,0.42,0.2,0.01,0.05,0.41,,
John Drugan School,https://www.schooldigger.com/go/TX/schools/4071010660/school.aspx,Socorro Independent School District,https://www.schooldigger.com/go/TX/district/40710/search.aspx,El Paso,https://www.schooldigger.com/go/TX/city/El+Paso/search.aspx,79928,El Paso,(915) 937-6800,Yes,No,No,Yes,1141,63,18.1,0.51,0.04,0,0.01,0.89,,
Cathey Middle,https://www.schooldigger.com/go/TX/schools/2967008845/school.aspx,McAllen Independent School District,https://www.schooldigger.com/go/TX/district/29670/search.aspx,McAllen,https://www.schooldigger.com/go/TX/city/McAllen/search.aspx,78501,Hidalgo,(956) 971-4300,Yes,No,No,No,1043,70,14.9,0.56,0.01,0,0.03,0.88,,
China Spring Middle,https://www.schooldigger.com/go/TX/schools/1396005673/school.aspx,China Spring Independent School District,https://www.schooldigger.com/go/TX/district/13960/search.aspx,China Spring,https://www.schooldigger.com/go/TX/city/China+Spring/search.aspx,76633,McLennan,(254) 836-4611,No,No,No,Yes,388,27,14.3,0.22,0.05,0,0.01,0.14,,
Lamar Middle School,https://www.schooldigger.com/go/TX/schools/0894000326/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78757,Travis,(512) 414-3217,No,No,No,No,895,57,15.7,0.34,0.08,0,0.01,0.37,,
Sterling City High School,https://www.schooldigger.com/go/TX/schools/4155004749/school.aspx,Sterling City Independent School District,https://www.schooldigger.com/go/TX/district/41550/search.aspx,Sterling City,https://www.schooldigger.com/go/TX/city/Sterling+City/search.aspx,76951,Sterling,(325) 378-5821,Yes,No,No,Yes,151,17,8.8,0.4,0,0,0,0.48,,
Van Alstyne J H,https://www.schooldigger.com/go/TX/schools/4389004983/school.aspx,Van Alstyne Independent School District,https://www.schooldigger.com/go/TX/district/43890/search.aspx,Van Alstyne,https://www.schooldigger.com/go/TX/city/Van+Alstyne/search.aspx,75495,Grayson,(903) 482-8804,No,No,No,Yes,407,29,14,0.29,0.01,0.02,0,0.1,,
Nolan Ryan J H,https://www.schooldigger.com/go/TX/schools/0809011504/school.aspx,Alvin Independent School District,https://www.schooldigger.com/go/TX/district/08090/search.aspx,Pearland,https://www.schooldigger.com/go/TX/city/Pearland/search.aspx,77584,Brazoria,(281) 245-3210,No,No,No,Yes,,69,17.8,0.27,0.36,0,0.24,0.21,,
Cross Timbers Middle,https://www.schooldigger.com/go/TX/schools/2166007440/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant,(817) 251-5320,Yes,No,No,Yes,795,50,15.9,0.36,0.05,0,0.05,0.34,,
Highland School,https://www.schooldigger.com/go/TX/schools/2319002353/school.aspx,Highland Independent School District,https://www.schooldigger.com/go/TX/district/23190/search.aspx,Roscoe,https://www.schooldigger.com/go/TX/city/Roscoe/search.aspx,79545,Nolan,(325) 766-3652,Yes,No,No,Yes,215,20,10.7,0.35,0.01,0,0.01,0.15,,
Boerne Middle North,https://www.schooldigger.com/go/TX/schools/1071000537/school.aspx,Boerne Independent School District,https://www.schooldigger.com/go/TX/district/10710/search.aspx,Boerne,https://www.schooldigger.com/go/TX/city/Boerne/search.aspx,78006,Kendall,(830) 357-3100,Yes,No,No,Yes,511,35,14.6,0.27,0,0,0.01,0.32,,
Kelly Lane Middle,https://www.schooldigger.com/go/TX/schools/3483011356/school.aspx,Pflugerville Independent School District,https://www.schooldigger.com/go/TX/district/34830/search.aspx,Pflugerville,https://www.schooldigger.com/go/TX/city/Pflugerville/search.aspx,78660,Travis,(512) 594-2800,No,No,No,No,1071,65,16.4,0.25,0.14,0,0.04,0.33,,
George West J H,https://www.schooldigger.com/go/TX/schools/2055002066/school.aspx,George West Independent School District,https://www.schooldigger.com/go/TX/district/20550/search.aspx,George West,https://www.schooldigger.com/go/TX/city/George+West/search.aspx,78022,Live Oak,(361) 449-1914,Yes,No,No,No,189,15,12.6,0.41,0.01,0,0,0.54,,
Trautmann Middle,https://www.schooldigger.com/go/TX/schools/4365007478/school.aspx,United Independent School District,https://www.schooldigger.com/go/TX/district/43650/search.aspx,Laredo,https://www.schooldigger.com/go/TX/city/Laredo/search.aspx,78045,Webb,(956) 473-7400,Yes,No,No,No,1821,95,19.1,0.52,0,0,0.01,0.98,,
Briscoe J H,https://www.schooldigger.com/go/TX/schools/2658008561/school.aspx,Lamar Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/26580/search.aspx,Richmond,https://www.schooldigger.com/go/TX/city/Richmond/search.aspx,77406,Fort Bend,(832) 223-4000,No,No,No,Yes,1191,65,18.3,0.25,0.18,0.01,0.1,0.3,,
East Bernard J H,https://www.schooldigger.com/go/TX/schools/1783005457/school.aspx,East Bernard Independent School District,https://www.schooldigger.com/go/TX/district/17830/search.aspx,East Bernard,https://www.schooldigger.com/go/TX/city/East+Bernard/search.aspx,77435,Wharton,(979) 335-7519,No,No,No,No,327,21,15.5,0.32,0.04,0,0,0.29,,
Pearland J H West,https://www.schooldigger.com/go/TX/schools/3444003096/school.aspx,Pearland Independent School District,https://www.schooldigger.com/go/TX/district/34440/search.aspx,Pearland,https://www.schooldigger.com/go/TX/city/Pearland/search.aspx,77581,Brazoria,(281) 412-1222,Yes,No,No,Yes,848,49,17.3,0.31,0.16,0.01,0.1,0.33,,
John M Tidwell Middle,https://www.schooldigger.com/go/TX/schools/3318012301/school.aspx,Northwest Independent School District,https://www.schooldigger.com/go/TX/district/33180/search.aspx,Roanoke,https://www.schooldigger.com/go/TX/city/Roanoke/search.aspx,76262,Tarrant,(817) 698-5900,Yes,No,No,No,1048,65,16.1,0.21,0.12,0.01,0.06,0.2,,
Lubbock-Cooper Bush Middle,https://www.schooldigger.com/go/TX/schools/1518012535/school.aspx,Lubbock-Cooper Independent School District,https://www.schooldigger.com/go/TX/district/15180/search.aspx,Lubbock,https://www.schooldigger.com/go/TX/city/Lubbock/search.aspx,79423,Lubbock,(806) 776-0750,No,No,No,No,656,42,15.6,0.24,0.02,0.01,0.02,0.29,,
Murchison Middle School,https://www.schooldigger.com/go/TX/schools/0894000336/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78731,Travis,(512) 414-3254,No,No,No,Yes,1363,,15.3,0.28,0.05,0,0.11,0.3,,
Crockett Middle,https://www.schooldigger.com/go/TX/schools/0813000152/school.aspx,Amarillo Independent School District,https://www.schooldigger.com/go/TX/district/08130/search.aspx,Amarillo,https://www.schooldigger.com/go/TX/city/Amarillo/search.aspx,79106,Randall,(806) 326-3300,No,No,No,No,851,54,15.7,0.26,0.05,0.01,0.02,0.2,,
Grandview J H,https://www.schooldigger.com/go/TX/schools/2154005735/school.aspx,Grandview Independent School District,https://www.schooldigger.com/go/TX/district/21540/search.aspx,Grandview,https://www.schooldigger.com/go/TX/city/Grandview/search.aspx,76050,Johnson,(817) 866-2492,Yes,No,No,No,260,21,12.3,0.33,0.03,0.01,0,0.14,,
Ut Tyler Innovation Academy - Longview,https://www.schooldigger.com/go/TX/schools/0142712830/school.aspx,Ut Tyler Innovation Academy,https://www.schooldigger.com/go/TX/district/01427/search.aspx,Longview,https://www.schooldigger.com/go/TX/city/Longview/search.aspx,75605,Gregg,(903) 686-0018,No,Yes,No,Yes,125,8,15.6,0.23,0.06,0,0.03,0.1,,
