School,School URL,District,District URL,City,City URL,Zip,County,Phone,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2016-17)
Walnut Grove Elementary,https://www.schooldigger.com/go/TX/schools/1302007122/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-4400,Yes,No,No,(n/a),669,47,14.2,1,3,1,15,7,0,5,69,99.5
Jack D Johnson Elementary,https://www.schooldigger.com/go/TX/schools/1302000790/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-4500,Yes,No,No,(n/a),526,38,13.8,2,1,0,14,10,0,3,72,99.5
Carroll Elementary,https://www.schooldigger.com/go/TX/schools/1302006373/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-4300,No,No,No,(n/a),542,41,13.2,1,3,0,15,10,0,6,66,99.4
University Park Elementary,https://www.schooldigger.com/go/TX/schools/2325002360/school.aspx,Highland Park Independent School District,https://www.schooldigger.com/go/TX/district/23250/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75225,Dallas,(214) 780-3400,No,No,No,(n/a),706,46,15.3,0,0,0,6,6,0,2,86,99.4
Kerr Elementary,https://www.schooldigger.com/go/TX/schools/0789008726/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin,(214) 495-6765,No,No,No,(n/a),700,43,16.2,4,7,0,39,8,1,4,40,99.4
Mary Evans Elementary,https://www.schooldigger.com/go/TX/schools/0789012153/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin,(972) 747-3373,No,No,No,(n/a),633,42,15,3,4,1,34,9,1,4,48,99.4
Hudson Elementary,https://www.schooldigger.com/go/TX/schools/2811003142/school.aspx,Longview Independent School District,https://www.schooldigger.com/go/TX/district/28110/search.aspx,Longview,https://www.schooldigger.com/go/TX/city/Longview/search.aspx,75602,Gregg,(903) 803-5100,No,No,Yes,(n/a),588,33,17.8,23,20,1,5,12,0,3,58,99.3
McSpedden Elementary,https://www.schooldigger.com/go/TX/schools/2001013002/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75035,Collin,(469) 633-4025,No,No,No,(n/a),516,30,17.2,1,2,1,68,4,0,1,25,99.3
Laurel Mountain Elementary,https://www.schooldigger.com/go/TX/schools/3808006167/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78759,Travis,(512) 464-4300,No,No,No,(n/a),778,49,15.8,4,0,0,55,6,0,5,35,99.3
Horn Elementary,https://www.schooldigger.com/go/TX/schools/2364002494/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Bellaire,https://www.schooldigger.com/go/TX/city/Bellaire/search.aspx,77401,Harris,(713) 295-5264,No,No,Yes,(n/a),,46,18.6,13,7,1,24,19,0,3,47,99.3
West University Elementary,https://www.schooldigger.com/go/TX/schools/2364002608/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77005,Harris,(713) 295-5215,No,No,No,(n/a),,72,17.5,1,2,0,18,9,0,6,66,99.3
Cactus Ranch Elementary,https://www.schooldigger.com/go/TX/schools/3808009103/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Round Rock,https://www.schooldigger.com/go/TX/city/Round+Rock/search.aspx,78681,Williamson,(512) 424-8000,No,No,No,(n/a),,63,17,3,3,1,25,13,0,4,55,99.3
Cornerstone Elementary,https://www.schooldigger.com/go/TX/schools/1965011222/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-6400,No,No,No,(n/a),,61,16.6,2,5,0,76,5,0,4,10,99.3
Castle Hills Elementary,https://www.schooldigger.com/go/TX/schools/2730009211/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,The Colony,https://www.schooldigger.com/go/TX/city/The+Colony/search.aspx,75056,Denton,(469) 713-5952,No,No,No,(n/a),,48,15.2,1,3,0,23,12,0,3,59,99.3
River Oaks Elementary,https://www.schooldigger.com/go/TX/schools/2364002567/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77019,Harris,(713) 942-1460,No,No,Yes,(n/a),,38,17.8,10,7,0,25,17,0,7,43,99.3
Brentfield Elementary,https://www.schooldigger.com/go/TX/schools/3702004127/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75248,Dallas,(469) 593-5730,No,No,No,(n/a),,40,16.6,5,2,1,4,14,0,7,73,99.2
Hyer Elementary,https://www.schooldigger.com/go/TX/schools/2325002358/school.aspx,Highland Park Independent School District,https://www.schooldigger.com/go/TX/district/23250/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75225,Dallas,(214) 780-3300,No,No,No,(n/a),,46,16,0,1,1,3,3,1,2,90,99.2
Spicewood Elementary,https://www.schooldigger.com/go/TX/schools/3808004257/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78750,Travis,(512) 428-3600,No,No,No,(n/a),,49,16.2,5,1,0,30,14,0,4,50,99.2
El Magnet At Reagan Elementary,https://www.schooldigger.com/go/TX/schools/1800001590/school.aspx,Ector County Independent School District,https://www.schooldigger.com/go/TX/district/18000/search.aspx,Odessa,https://www.schooldigger.com/go/TX/city/Odessa/search.aspx,79761,Ector,(432) 456-1189,No,No,Yes,(n/a),707,39,18.1,14,2,1,4,56,0,1,36,99.2
Prairie Creek Elementary,https://www.schooldigger.com/go/TX/schools/3702004149/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Richardson,https://www.schooldigger.com/go/TX/city/Richardson/search.aspx,75080,Dallas,(469) 593-6300,No,No,No,(n/a),328,21,15.6,4,1,0,3,10,0,4,82,99.2
Wilchester Elementary,https://www.schooldigger.com/go/TX/schools/4110004705/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77079,Harris,(713) 251-7700,No,No,No,(n/a),735,42,17.5,3,0,0,13,8,0,2,77,99.1
Pope Elementary,https://www.schooldigger.com/go/TX/schools/1611012882/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77433,Harris,(281) 373-2340,No,No,No,(n/a),995,52,19.1,6,9,0,15,17,0,5,54,99.1
Bradfield Elementary,https://www.schooldigger.com/go/TX/schools/2325002356/school.aspx,Highland Park Independent School District,https://www.schooldigger.com/go/TX/district/23250/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75205,Dallas,(214) 780-3200,No,No,No,(n/a),747,44,16.9,0,1,0,6,5,0,2,86,99
T H Rogers School,https://www.schooldigger.com/go/TX/schools/2364006272/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77057,Harris,(713) 917-3565,No,No,Yes,(n/a),795,63,12.6,32,13,0,47,21,0,2,17,99
Deretchin Elementary,https://www.schooldigger.com/go/TX/schools/1500010966/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77382,Montgomery,(832) 592-8700,No,No,No,(n/a),1121,67,16.7,2,3,1,8,22,0,3,62,99
Silvercrest Elementary,https://www.schooldigger.com/go/TX/schools/3444009143/school.aspx,Pearland Independent School District,https://www.schooldigger.com/go/TX/district/34440/search.aspx,Pearland,https://www.schooldigger.com/go/TX/city/Pearland/search.aspx,77584,Brazoria,(713) 436-2245,No,No,No,(n/a),803,48,16.7,6,11,0,22,14,1,4,49,98.9
Beverly Elementary,https://www.schooldigger.com/go/TX/schools/3510007835/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin,(469) 752-0400,No,No,No,(n/a),488,39,12.5,12,5,0,36,9,0,4,46,98.9
Andrews Elementary,https://www.schooldigger.com/go/TX/schools/3510009169/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin,(469) 752-3900,No,No,No,(n/a),699,47,14.8,3,3,0,68,5,0,1,22,98.9
Borchardt Elementary,https://www.schooldigger.com/go/TX/schools/2001008485/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75024,Collin,(469) 633-2800,No,No,No,(n/a),727,43,16.9,4,6,1,60,6,0,3,25,98.9
Buckalew Elementary,https://www.schooldigger.com/go/TX/schools/1500007997/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77382,Montgomery,(281) 465-3400,No,No,No,(n/a),698,40,17.4,2,2,0,9,16,0,4,69,98.8
Heritage Elementary,https://www.schooldigger.com/go/TX/schools/2166021500/school.aspx,Grapevine-Colleyville Independent School District,https://www.schooldigger.com/go/TX/district/21660/search.aspx,Grapevine,https://www.schooldigger.com/go/TX/city/Grapevine/search.aspx,76051,Tarrant,(817) 305-4820,No,No,No,(n/a),454,30,15.1,3,2,0,18,10,0,7,63,98.8
Rummel Creek Elementary,https://www.schooldigger.com/go/TX/schools/4110004687/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77079,Harris,(713) 251-6700,No,No,No,(n/a),694,40,17.3,2,1,0,14,7,0,4,75,98.8
South Bosque Elementary,https://www.schooldigger.com/go/TX/schools/3064006886/school.aspx,Midway Independent School District,https://www.schooldigger.com/go/TX/district/30640/search.aspx,Waco,https://www.schooldigger.com/go/TX/city/Waco/search.aspx,76712,McLennan,(254) 761-5720,No,No,No,(n/a),532,31,17.1,15,6,0,5,12,0,3,73,98.7
Bess Campbell Elementary,https://www.schooldigger.com/go/TX/schools/2658008782/school.aspx,Lamar Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/26580/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(832) 223-1300,No,No,No,(n/a),701,41,17,3,8,0,9,15,0,2,66,98.7
Susanna Dickinson Elementary,https://www.schooldigger.com/go/TX/schools/2658004034/school.aspx,Lamar Consolidated Independent School District,https://www.schooldigger.com/go/TX/district/26580/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(832) 223-1400,No,No,No,(n/a),560,30,18.6,4,7,0,10,14,0,4,66,98.7
Bridge Point Elementary,https://www.schooldigger.com/go/TX/schools/1776007742/school.aspx,Eanes Independent School District,https://www.schooldigger.com/go/TX/district/17760/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78746,Travis,(512) 732-9200,No,No,No,(n/a),744,53,14,1,1,0,8,9,0,4,77,98.6
Beverly Cheatham Elementary,https://www.schooldigger.com/go/TX/schools/0789012461/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin,(972) 396-3016,No,No,No,(n/a),678,44,15.4,3,6,0,32,6,1,3,52,98.6
Stanley C Stanley Elementary,https://www.schooldigger.com/go/TX/schools/2517012315/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 434-1400,No,No,No,(n/a),1117,73,15.3,2,5,0,25,19,0,2,49,98.6
Patsy Sommer Elementary,https://www.schooldigger.com/go/TX/schools/3808011104/school.aspx,Round Rock Independent School District,https://www.schooldigger.com/go/TX/district/38080/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78717,Williamson,(512) 704-0600,No,No,No,(n/a),992,60,16.5,2,2,0,40,11,0,5,43,98.6
Carrie L Lovejoy Elementary,https://www.schooldigger.com/go/TX/schools/2838003168/school.aspx,Lovejoy Independent School District,https://www.schooldigger.com/go/TX/district/28380/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75002,Collin,(469) 742-8100,Yes,No,No,(n/a),435,33,13.1,2,1,1,6,8,0,6,78,98.6
Walker Station Elementary,https://www.schooldigger.com/go/TX/schools/1965000985/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-4400,No,No,No,(n/a),812,52,15.6,8,4,0,49,10,0,4,33,98.6
Wyatt Elementary,https://www.schooldigger.com/go/TX/schools/3510008736/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin,(469) 752-3800,No,No,No,(n/a),512,36,14.2,5,4,0,48,6,0,7,33,98.6
Dr E T Boon Elementary,https://www.schooldigger.com/go/TX/schools/0789010489/school.aspx,Allen Independent School District,https://www.schooldigger.com/go/TX/district/07890/search.aspx,Allen,https://www.schooldigger.com/go/TX/city/Allen/search.aspx,75013,Collin,(972) 747-3331,No,No,No,(n/a),770,48,16,3,5,1,24,8,0,3,59,98.5
Bush Elementary,https://www.schooldigger.com/go/TX/schools/1500007404/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77382,Montgomery,(936) 709-1600,No,No,No,(n/a),698,43,16.2,10,1,0,4,13,0,4,77,98.5
Mathews Elementary,https://www.schooldigger.com/go/TX/schools/3510006465/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Plano,https://www.schooldigger.com/go/TX/city/Plano/search.aspx,75025,Collin,(469) 752-2300,No,No,No,(n/a),502,38,13.2,4,3,0,39,6,0,4,48,98.4
Liberty Elementary,https://www.schooldigger.com/go/TX/schools/2730009210/school.aspx,Lewisville Independent School District,https://www.schooldigger.com/go/TX/district/27300/search.aspx,Flower Mound,https://www.schooldigger.com/go/TX/city/Flower+Mound/search.aspx,75022,Denton,(469) 713-5958,No,No,No,(n/a),667,43,15.5,2,2,0,20,8,0,3,67,98.4
Lakeside Elementary,https://www.schooldigger.com/go/TX/schools/1521003710/school.aspx,Coppell Independent School District,https://www.schooldigger.com/go/TX/district/15210/search.aspx,Coppell,https://www.schooldigger.com/go/TX/city/Coppell/search.aspx,75019,Dallas,(214) 496-7600,No,No,No,(n/a),504,32,15.7,2,2,1,36,10,0,4,49,98.4
Kimberlin Academy For Excel,https://www.schooldigger.com/go/TX/schools/2034002032/school.aspx,Garland Independent School District,https://www.schooldigger.com/go/TX/district/20340/search.aspx,Garland,https://www.schooldigger.com/go/TX/city/Garland/search.aspx,75040,Dallas,(972) 926-2560,Yes,No,Yes,(n/a),450,31,14.5,40,20,0,7,38,0,4,31,98.4
McCoy Elementary,https://www.schooldigger.com/go/TX/schools/1305000801/school.aspx,Carrollton-Farmers Branch Independent School District,https://www.schooldigger.com/go/TX/district/13050/search.aspx,Carrollton,https://www.schooldigger.com/go/TX/city/Carrollton/search.aspx,75006,Dallas,(972) 968-2300,Yes,No,No,(n/a),422,28,15,42,12,1,29,28,0,5,26,98.4
Tanglewood Elementary,https://www.schooldigger.com/go/TX/schools/1970001918/school.aspx,Fort Worth Independent School District,https://www.schooldigger.com/go/TX/district/19700/search.aspx,Fort Worth,https://www.schooldigger.com/go/TX/city/Fort+Worth/search.aspx,76109,Tarrant,(817) 814-5900,No,No,No,(n/a),751,40,18.7,6,3,1,7,8,0,4,76,98.3
Stinson Elementary,https://www.schooldigger.com/go/TX/schools/3510008735/school.aspx,Plano Independent School District,https://www.schooldigger.com/go/TX/district/35100/search.aspx,Richardson,https://www.schooldigger.com/go/TX/city/Richardson/search.aspx,75082,Collin,(469) 752-3400,No,No,No,(n/a),593,44,13.4,7,6,0,47,7,0,4,36,98.3
Robert H Rockenbaugh Elementary,https://www.schooldigger.com/go/TX/schools/1302007733/school.aspx,Carroll Independent School District,https://www.schooldigger.com/go/TX/district/13020/search.aspx,Southlake,https://www.schooldigger.com/go/TX/city/Southlake/search.aspx,76092,Tarrant,(817) 949-4700,No,No,No,(n/a),554,43,12.8,2,1,0,15,10,0,5,69,98.3
Frostwood Elementary,https://www.schooldigger.com/go/TX/schools/4110004673/school.aspx,Spring Branch Independent School District,https://www.schooldigger.com/go/TX/district/41100/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77079,Harris,(713) 251-5700,No,No,No,(n/a),700,40,17.5,3,1,0,26,8,0,4,60,98.3
Bush Elementary,https://www.schooldigger.com/go/TX/schools/2364001308/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77077,Harris,(281) 368-2150,No,No,No,(n/a),834,42,19.8,13,7,1,39,23,1,3,28,98.3
Spring Creek Elementary,https://www.schooldigger.com/go/TX/schools/3702004159/school.aspx,Richardson Independent School District,https://www.schooldigger.com/go/TX/district/37020/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75248,Dallas,(469) 593-4500,No,No,No,(n/a),331,23,14.3,19,10,0,1,16,0,3,70,98.3
Bledsoe Elementary,https://www.schooldigger.com/go/TX/schools/2001010499/school.aspx,Frisco Independent School District,https://www.schooldigger.com/go/TX/district/20010/search.aspx,Frisco,https://www.schooldigger.com/go/TX/city/Frisco/search.aspx,75034,Denton,(469) 633-3600,No,No,No,(n/a),697,42,16.5,2,7,0,18,9,0,3,64,98.3
Roberts Elementary,https://www.schooldigger.com/go/TX/schools/2364002568/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77030,Harris,(713) 295-5272,No,No,Yes,(n/a),828,43,19.2,14,6,0,36,12,0,6,41,98.2
Robert L Puster Elementary,https://www.schooldigger.com/go/TX/schools/2838011892/school.aspx,Lovejoy Independent School District,https://www.schooldigger.com/go/TX/district/28380/search.aspx,Fairview,https://www.schooldigger.com/go/TX/city/Fairview/search.aspx,75069,Collin,(469) 742-8300,No,No,No,(n/a),366,26,14,3,3,1,7,12,0,5,73,98.2
Klondike Independent School District,https://www.schooldigger.com/go/TX/schools/2579002909/school.aspx,Klondike Independent School District,https://www.schooldigger.com/go/TX/district/25790/search.aspx,Lamesa,https://www.schooldigger.com/go/TX/city/Lamesa/search.aspx,79331,Dawson,(806) 462-7332,Yes,No,No,(n/a),258,,11.2,35,0,0,1,35,0,1,62,98.2
Sampson Elementary,https://www.schooldigger.com/go/TX/schools/1611009267/school.aspx,Cypress-Fairbanks Independent School District,https://www.schooldigger.com/go/TX/district/16110/search.aspx,Cypress,https://www.schooldigger.com/go/TX/city/Cypress/search.aspx,77429,Harris,(281) 213-1600,No,No,No,(n/a),1093,,20.2,2,2,1,12,12,0,3,71,98.2
Pebble Creek Elementary,https://www.schooldigger.com/go/TX/schools/0735007192/school.aspx,College Station Independent School District,https://www.schooldigger.com/go/TX/district/07350/search.aspx,College Station,https://www.schooldigger.com/go/TX/city/College+Station/search.aspx,77845,Brazos,(979) 764-5595,No,No,No,(n/a),560,,12.7,26,19,0,10,9,0,3,59,98.2
Liberty Elementary,https://www.schooldigger.com/go/TX/schools/2526011021/school.aspx,Keller Independent School District,https://www.schooldigger.com/go/TX/district/25260/search.aspx,Colleyville,https://www.schooldigger.com/go/TX/city/Colleyville/search.aspx,76034,Tarrant,(817) 744-6000,No,No,No,(n/a),389,,13.4,4,3,1,5,12,0,4,77,98.2
Tom Wilson Elementary,https://www.schooldigger.com/go/TX/schools/2517012515/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77494,Fort Bend,(281) 396-6000,No,No,No,(n/a),1014,,15.3,2,5,0,25,21,0,3,46,98.2
Tough Elementary,https://www.schooldigger.com/go/TX/schools/1500009352/school.aspx,Conroe Independent School District,https://www.schooldigger.com/go/TX/district/15000/search.aspx,The Woodlands,https://www.schooldigger.com/go/TX/city/The+Woodlands/search.aspx,77382,Montgomery,(281) 465-5900,No,No,No,(n/a),1011,,16.5,2,1,0,8,25,0,3,63,98.2
Colony Meadows Elementary,https://www.schooldigger.com/go/TX/schools/1965021246/school.aspx,Fort Bend Independent School District,https://www.schooldigger.com/go/TX/district/19650/search.aspx,Sugar Land,https://www.schooldigger.com/go/TX/city/Sugar+Land/search.aspx,77479,Fort Bend,(281) 634-4120,No,No,No,(n/a),768,,16.6,6,5,0,57,9,0,3,25,98.2
Hazel S Pattison Elementary,https://www.schooldigger.com/go/TX/schools/2517006724/school.aspx,Katy Independent School District,https://www.schooldigger.com/go/TX/district/25170/search.aspx,Katy,https://www.schooldigger.com/go/TX/city/Katy/search.aspx,77450,Harris,(281) 237-5450,No,No,No,(n/a),825,54,15.2,5,2,0,29,12,0,3,54,98.1
Stephen F Austin State University Charter School,https://www.schooldigger.com/go/TX/schools/0139512006/school.aspx,Stephen F Austin State University Charter School,https://www.schooldigger.com/go/TX/district/01395/search.aspx,Nacogdoches,https://www.schooldigger.com/go/TX/city/Nacogdoches/search.aspx,75965,Nacogdoches,(936) 468-5899,No,Yes,No,(n/a),250,17,14.7,8,8,0,6,7,0,3,76,98.1
Kiker Elementary,https://www.schooldigger.com/go/TX/schools/0894002776/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78739,Travis,(512) 414-2584,No,No,No,(n/a),1022,60,17,3,1,0,11,17,0,4,66,98.1
Westlake Academy,https://www.schooldigger.com/go/TX/schools/0025409511/school.aspx,Westlake Academy Charter School,https://www.schooldigger.com/go/TX/district/00254/search.aspx,Westlake,https://www.schooldigger.com/go/TX/city/Westlake/search.aspx,76262,Tarrant,(817) 490-5757,No,Yes,No,(n/a),815,60,13.5,0,5,0,11,11,0,5,67,98.1
