Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2024-25)
16,Fossil Ridge High School,https://www.schooldigger.com/go/CO/schools/0399001848/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,5400 Ziegler Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80528,Larimer County,(970) 488-6260,9,12,No,No,No,No,1846,95.8,19.2,16.40%,1.00%,0.10%,6.30%,11.70%,0.10%,4.60%,76.10%,92.8
17,Rock Canyon High School,https://www.schooldigger.com/go/CO/schools/0345001961/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,5810 McArthur Ranch Road,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80124,Douglas County,(303) 387-3000,9,12,No,No,No,No,2325,104.1,22.3,8.40%,0.90%,0.40%,16.40%,11.70%,0.10%,5.30%,65.20%,92.7
18,Monarch High School,https://www.schooldigger.com/go/CO/schools/0249001632/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,329 Campus Drive,Louisville,https://www.schooldigger.com/go/CO/city/Louisville/search.aspx,80027,Boulder County,(720) 561-4200,9,12,No,No,No,No,1431,64.4,22.2,16.20%,0.60%,0.10%,5.00%,11.30%,0.20%,5.70%,76.70%,92.3
19,Prospect Ridge Academy,https://www.schooldigger.com/go/CO/schools/0690006507/school.aspx,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,2555 Preble Creek Pkwy,Broomfield,https://www.schooldigger.com/go/CO/city/Broomfield/search.aspx,80023,Broomfield County,(720) 399-0300,KG,12,No,Yes,No,No,1478,77.1,19.1,5.90%,0.70%,0.40%,14.80%,13.30%,0.10%,6.50%,64.20%,92.2
20,Cherry Creek High School,https://www.schooldigger.com/go/CO/schools/0291000186/school.aspx,Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,9300 East Union Avenue,Greenwood Village,https://www.schooldigger.com/go/CO/city/Greenwood+Village/search.aspx,80111,Arapahoe County,(720) 554-2000,9,12,No,No,No,No,3852,186.5,20.6,20.20%,4.50%,0.60%,12.80%,14.90%,0.30%,7.90%,58.50%,91.5
21,Arapahoe High School,https://www.schooldigger.com/go/CO/schools/0531000873/school.aspx,Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,2201 East Dry Creek Road,Centennial,https://www.schooldigger.com/go/CO/city/Centennial/search.aspx,80122,Arapahoe County,(303) 347-6000,9,12,No,No,No,No,1748,77.6,22.5,16.80%,1.90%,0.00%,1.90%,11.30%,0.30%,5.50%,79.10%,91.2
22,Evergreen High School,https://www.schooldigger.com/go/CO/schools/0480000719/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,29300 Buffalo Road,Evergreen,https://www.schooldigger.com/go/CO/city/Evergreen/search.aspx,80439,Jefferson County,(303) 982-5140,9,12,No,No,No,No,909,44.7,20.2,10.70%,1.10%,0.10%,0.70%,8.80%,0.00%,2.90%,86.50%,91.2
23,Ralston Valley Senior High School,https://www.schooldigger.com/go/CO/schools/0480001797/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,13355 West 80th Avenue,Arvada,https://www.schooldigger.com/go/CO/city/Arvada/search.aspx,80005,Jefferson County,(303) 982-5600,9,12,No,No,No,No,1875,87.9,21.3,9.00%,0.60%,0.10%,2.50%,11.80%,0.10%,3.50%,81.50%,90.7
24,Colorado Early Colleges Douglas County,https://www.schooldigger.com/go/CO/schools/0002006634/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,321 Inverness Drive South,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80112,Douglas County,(720) 638-6824,9,12,No,Yes,No,No,1035,45.5,22.7,19.20%,2.50%,0.30%,4.30%,14.60%,0.10%,6.10%,72.10%,90.4
25,Telluride High School,https://www.schooldigger.com/go/CO/schools/0687001171/school.aspx,Telluride School District No. R-1,https://www.schooldigger.com/go/CO/district/06870/search.aspx,725 West Colorado Avenue,Telluride,https://www.schooldigger.com/go/CO/city/Telluride/search.aspx,81435,San Miguel County,(970) 728-4377,9,12,No,No,No,No,298,19.2,15.4,30.90%,0.00%,0.30%,0.00%,20.50%,0.00%,1.70%,77.50%,90.3
26,Compass Community Collaborative School,https://www.schooldigger.com/go/CO/schools/0399006762/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,2105 South College Avenue,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 372-4242,6,12,No,Yes,No,No,179,13.7,13,17.30%,0.60%,0.00%,1.10%,14.50%,0.00%,3.90%,79.30%,90
27,Norwood Public Schools,https://www.schooldigger.com/go/CO/schools/0588001012/school.aspx,Norwood School District No. R-2j,https://www.schooldigger.com/go/CO/district/05880/search.aspx,1225 West Summit Street,Norwood,https://www.schooldigger.com/go/CO/city/Norwood/search.aspx,81423,San Miguel County,(970) 327-4336,PK,12,Yes,No,No,No,191,16.6,11.4,46.60%,0.00%,2.10%,1.00%,13.60%,0.00%,3.10%,80.10%,90
28,Boulder Universal,https://www.schooldigger.com/go/CO/schools/0249006463/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,6500 East Arapahoe Road,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80303,Boulder County,(720) 561-6253,KG,12,No,No,No,Yes,231,16.3,14.1,,3.00%,0.40%,3.90%,20.30%,0.40%,6.90%,62.80%,89.9
29,Vail Ski and Snowboard Academy (VSSA),https://www.schooldigger.com/go/CO/schools/0354006422/school.aspx,Eagle County School District No. Re 50,https://www.schooldigger.com/go/CO/district/03540/search.aspx,1 Academy Loop,Minturn,https://www.schooldigger.com/go/CO/city/Minturn/search.aspx,81645,Eagle County,(970) 328-2832,5,12,No,No,No,No,278,20.1,13.7,,0.00%,0.00%,0.00%,6.80%,0.00%,5.00%,88.10%,89.9
30,Conifer Senior High School,https://www.schooldigger.com/go/CO/schools/0480001542/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,10441 County Highway 73,Conifer,https://www.schooldigger.com/go/CO/city/Conifer/search.aspx,80433,Jefferson County,(303) 982-5255,9,12,No,No,No,No,819,43.1,18.9,17.00%,0.40%,0.10%,0.90%,9.30%,0.00%,2.90%,86.30%,89.4
31,Stratton Senior High School,https://www.schooldigger.com/go/CO/schools/0678001163/school.aspx,School District No. R-4,https://www.schooldigger.com/go/CO/district/06780/search.aspx,219 Illinois Avenue,Stratton,https://www.schooldigger.com/go/CO/city/Stratton/search.aspx,80836,Kit Carson County,(719) 348-5369,9,12,No,No,No,No,64,6.4,9.9,25.00%,0.00%,1.60%,0.00%,18.80%,0.00%,0.00%,79.70%,89.4
32,Pine Creek High School,https://www.schooldigger.com/go/CO/schools/0192001645/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,10750 Thunder Mountain Avenue,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80908,El Paso County,(719) 234-2600,9,12,No,No,No,No,1875,99.5,18.8,15.30%,3.10%,0.30%,7.40%,16.30%,0.10%,10.00%,62.80%,88.4
33,Crested Butte Secondary School,https://www.schooldigger.com/go/CO/schools/0447000655/school.aspx,Gunnison Watershed School District Re1J,https://www.schooldigger.com/go/CO/district/04470/search.aspx,818 Red Lady Avenue,Crested Butte,https://www.schooldigger.com/go/CO/city/Crested+Butte/search.aspx,81224,Gunnison County,(970) 641-7720,6,12,No,No,No,No,400,28.2,14.1,16.30%,0.00%,0.50%,0.50%,6.30%,0.00%,2.00%,90.80%,88.1
34,Heritage High School,https://www.schooldigger.com/go/CO/schools/0531000881/school.aspx,Littleton School District No. 6,https://www.schooldigger.com/go/CO/district/05310/search.aspx,1401 West Geddes Avenue,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80120,Arapahoe County,(303) 347-7600,9,12,No,No,No,No,1748,78.2,22.3,20.00%,0.80%,0.10%,2.10%,13.70%,0.10%,3.80%,79.40%,87.9
35,Centaurus High School,https://www.schooldigger.com/go/CO/schools/0249000107/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,10300 South Boulder Road,Lafayette,https://www.schooldigger.com/go/CO/city/Lafayette/search.aspx,80026,Boulder County,(720) 561-7500,9,12,No,No,No,No,1557,78,19.9,30.80%,0.90%,0.10%,2.70%,26.70%,0.00%,5.00%,64.20%,87.8
36,Thunderridge High School,https://www.schooldigger.com/go/CO/schools/0345001529/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,1991 Wildcat Reserve Parkway,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80129,Douglas County,(303) 387-2000,9,12,No,No,No,No,1820,82.1,22.1,11.50%,1.00%,0.40%,3.20%,14.50%,0.10%,5.50%,75.20%,87.3
37,Mountain Vista High School,https://www.schooldigger.com/go/CO/schools/0345001748/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,10585 Mountain Vista Ridge,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80126,Douglas County,(303) 387-1500,9,12,No,No,No,No,2169,92.3,23.4,12.70%,1.70%,0.10%,6.00%,14.00%,0.10%,6.20%,71.90%,86.6
38,Pikes Peak Early College,https://www.schooldigger.com/go/CO/schools/0387006694/school.aspx,El Paso County Colorado School District 49,https://www.schooldigger.com/go/CO/district/03870/search.aspx,6113 Constitution Ave,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80915,El Paso County,(719) 494-8941,9,12,No,No,No,Yes,204,6.5,31.1,,2.90%,1.00%,2.90%,13.20%,0.00%,7.80%,72.10%,86.5
39,Legacy High School,https://www.schooldigger.com/go/CO/schools/0690001784/school.aspx,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,2701 West 136th Street,Broomfield,https://www.schooldigger.com/go/CO/city/Broomfield/search.aspx,80023,Broomfield County,(720) 972-6700,9,12,No,No,No,No,2052,97,21.1,23.90%,1.30%,0.30%,5.80%,25.20%,0.10%,6.50%,60.80%,86.2
40,Niwot High School,https://www.schooldigger.com/go/CO/schools/0537000918/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,8989 E. Niwot Road,Niwot,https://www.schooldigger.com/go/CO/city/Niwot/search.aspx,80503,Boulder County,(303) 652-2550,9,12,No,No,No,No,1509,64.9,23.2,25.60%,1.30%,0.30%,5.60%,24.40%,0.10%,4.40%,64.00%,86.1
41,Ascend College Prep,https://www.schooldigger.com/go/CO/schools/0028206842/school.aspx,Education Reenvisioned BOCES,https://www.schooldigger.com/go/CO/district/00282/search.aspx,1650 Telstar Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80920,El Paso County,(877) 449-4199,10,12,No,No,No,No,109,6,18,,0.90%,1.80%,0.90%,8.30%,0.00%,5.50%,82.60%,86
42,Boulder High School,https://www.schooldigger.com/go/CO/schools/0249000101/school.aspx,Boulder Valley School District No. Re2,https://www.schooldigger.com/go/CO/district/02490/search.aspx,1604 Arapahoe Avenue,Boulder,https://www.schooldigger.com/go/CO/city/Boulder/search.aspx,80302,Boulder County,(720) 561-2200,9,12,No,No,No,No,1939,91.1,21.2,34.50%,1.00%,0.10%,2.60%,28.90%,0.10%,4.80%,62.10%,85.8
43,Loveland Classical School,https://www.schooldigger.com/go/CO/schools/0540006534/school.aspx,Thompson School District R-2j,https://www.schooldigger.com/go/CO/district/05400/search.aspx,3835 SW 14th Street,Loveland,https://www.schooldigger.com/go/CO/city/Loveland/search.aspx,80537,Larimer County,(970) 541-1507,KG,12,No,Yes,No,No,1032,61.3,16.8,22.60%,0.90%,0.60%,0.60%,15.60%,0.10%,3.10%,79.20%,85.5
44,St. Vrain Virtual High School,https://www.schooldigger.com/go/CO/schools/0537006532/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,1200 South Sunset Street,Longmont,https://www.schooldigger.com/go/CO/city/Longmont/search.aspx,80501,Boulder County,(303) 591-8627,9,12,No,No,No,Yes,69,19.5,3.5,14.50%,0.00%,1.40%,2.90%,11.60%,0.00%,5.80%,78.30%,84.5
45,Colorado Early Colleges Fort Collins,https://www.schooldigger.com/go/CO/schools/0002006542/school.aspx,State Charter School Institute,https://www.schooldigger.com/go/CO/district/00020/search.aspx,4424 Innovation Drive,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 377-0044,6,12,No,Yes,No,No,971,39.6,24.5,33.50%,2.10%,0.30%,3.00%,16.90%,0.10%,4.00%,73.50%,84.2
46,Skyview Academy,https://www.schooldigger.com/go/CO/schools/0345006455/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,6161 Business Center Drive,Highlands Ranch,https://www.schooldigger.com/go/CO/city/Highlands+Ranch/search.aspx,80130,Douglas County,(303) 471-8439,PK,12,No,Yes,No,No,1358,84,16.1,15.10%,2.30%,0.70%,20.20%,13.50%,0.20%,9.00%,54.10%,83.8
47,Chatfield High School,https://www.schooldigger.com/go/CO/schools/0480001383/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,7227 South Simms Street,Littleton,https://www.schooldigger.com/go/CO/city/Littleton/search.aspx,80127,Jefferson County,(303) 982-3670,9,12,No,No,No,No,1808,91.4,19.7,18.30%,0.90%,0.20%,2.50%,15.30%,0.10%,4.30%,76.80%,83.4
48,Air Academy High School,https://www.schooldigger.com/go/CO/schools/0192000002/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,551 North Frontage Road West,Usaf Academy,https://www.schooldigger.com/go/CO/city/Usaf+Academy/search.aspx,80840,El Paso County,(719) 234-2400,9,12,No,No,No,No,1380,78.1,17.6,18.30%,2.80%,0.10%,3.30%,17.20%,0.10%,7.50%,69.00%,83
49,Aspen High School,https://www.schooldigger.com/go/CO/schools/0228000047/school.aspx,Aspen School District No. 1,https://www.schooldigger.com/go/CO/district/02280/search.aspx,235 High School Road,Aspen,https://www.schooldigger.com/go/CO/city/Aspen/search.aspx,81611,Pitkin County,(970) 925-3760,9,12,No,No,No,No,559,44.5,12.5,,0.40%,0.00%,2.00%,14.70%,0.00%,2.10%,80.90%,82.5
50,Renaissance Secondary School,https://www.schooldigger.com/go/CO/schools/0345006714/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,3954 Trail Boss Lane,Castle Rock,https://www.schooldigger.com/go/CO/city/Castle+Rock/search.aspx,80104,Douglas County,(720) 689-6120,6,12,No,Yes,No,No,441,26.5,16.6,17.50%,0.90%,0.00%,1.40%,12.90%,0.00%,3.40%,81.40%,82.3
51,Village High School,https://www.schooldigger.com/go/CO/schools/0192006434/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,1110 Chapel Hills Drive,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80920,El Paso County,(719) 234-1970,9,12,No,No,No,Yes,532,30.2,17.6,,3.00%,0.40%,0.90%,11.80%,0.20%,6.20%,77.40%,82.2
52,McClave Undivided High School,https://www.schooldigger.com/go/CO/schools/0558000963/school.aspx,McClave School District No. Re-2,https://www.schooldigger.com/go/CO/district/05580/search.aspx,308 Lincoln Street,Mc Clave,https://www.schooldigger.com/go/CO/city/Mc+Clave/search.aspx,81057,Bent County,(719) 829-4517,7,12,No,No,No,No,105,9,11.5,25.70%,0.00%,0.00%,0.00%,24.80%,0.00%,1.90%,73.30%,82.2
53,Early College Academy,https://www.schooldigger.com/go/CO/schools/0441006657/school.aspx,GreeleySchool District No. 6,https://www.schooldigger.com/go/CO/district/04410/search.aspx,5509 West 11th Street,Greeley,https://www.schooldigger.com/go/CO/city/Greeley/search.aspx,80634,Weld County,(970) 348-6295,9,12,No,No,No,No,293,1,281.7,62.10%,1.70%,0.00%,1.70%,66.20%,0.00%,2.70%,27.60%,81.1
54,Palmer Ridge High School,https://www.schooldigger.com/go/CO/schools/0582006369/school.aspx,Lewis-Palmer Consolidated School District No. 38,https://www.schooldigger.com/go/CO/district/05820/search.aspx,19255 Monument Hill Road,Monument,https://www.schooldigger.com/go/CO/city/Monument/search.aspx,80132,El Paso County,(719) 867-8600,9,12,No,No,No,No,1066,51.7,20.5,,1.40%,0.20%,1.50%,13.30%,0.20%,6.50%,76.90%,81
55,Rocky Mountain High School,https://www.schooldigger.com/go/CO/schools/0399000545/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,1300 West Swallow Road,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80526,Larimer County,(970) 488-7023,9,12,No,No,No,No,2044,104.3,19.5,34.40%,1.80%,0.40%,0.70%,18.50%,0.00%,4.10%,74.50%,80.9
56,Fleming High School,https://www.schooldigger.com/go/CO/schools/0393000512/school.aspx,School District No. Re-3 Frenchman,https://www.schooldigger.com/go/CO/district/03930/search.aspx,506 North Fremont Ave,Fleming,https://www.schooldigger.com/go/CO/city/Fleming/search.aspx,80728,Logan County,(970) 265-2022,7,12,No,No,No,No,90,6.6,13.5,31.10%,0.00%,0.00%,1.10%,7.80%,0.00%,0.00%,91.10%,80.9
57,Westgate Community School,https://www.schooldigger.com/go/CO/schools/0690006417/school.aspx,Adams 12 Five Star Schools,https://www.schooldigger.com/go/CO/district/06900/search.aspx,12500 Washington St,Thornton,https://www.schooldigger.com/go/CO/city/Thornton/search.aspx,80241,Adams County,(303) 452-0967,KG,12,No,Yes,No,No,540,27,20,38.30%,0.70%,0.60%,11.10%,26.90%,0.00%,8.10%,52.20%,80.9
58,Discovery Canyon Campus High School,https://www.schooldigger.com/go/CO/schools/0192001905/school.aspx,Academy School District No. 20,https://www.schooldigger.com/go/CO/district/01920/search.aspx,1810 Northgate Boulevard,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80921,El Paso County,(719) 234-1800,9,12,No,No,No,No,1021,56,18.2,17.20%,3.00%,0.30%,5.60%,15.70%,0.00%,7.80%,67.60%,80.7
59,Lyons Middle/Senior High School,https://www.schooldigger.com/go/CO/schools/0537000912/school.aspx,St. Vrain Valley School District No. Re1J,https://www.schooldigger.com/go/CO/district/05370/search.aspx,100 McConnell Drive,Lyons,https://www.schooldigger.com/go/CO/city/Lyons/search.aspx,80540,Boulder County,(303) 823-6631,6,12,No,No,No,No,344,23.8,14.3,26.20%,0.30%,0.30%,0.30%,9.30%,0.00%,4.40%,85.50%,80.6
60,Grandview High School,https://www.schooldigger.com/go/CO/schools/0291001625/school.aspx,Cherry Creek School District No. 5,https://www.schooldigger.com/go/CO/district/02910/search.aspx,20500 East Arapahoe Road,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80016,Arapahoe County,(720) 886-6500,9,12,No,No,No,No,2684,135.6,19.7,30.50%,8.60%,0.40%,10.90%,21.10%,0.10%,8.40%,50.10%,80.5
61,Fort Collins High School,https://www.schooldigger.com/go/CO/schools/0399000528/school.aspx,Poudre School District R-1,https://www.schooldigger.com/go/CO/district/03990/search.aspx,3400 Lambkin Way,Fort Collins,https://www.schooldigger.com/go/CO/city/Fort+Collins/search.aspx,80525,Larimer County,(970) 488-8021,9,12,No,No,No,No,1836,98.6,18.6,37.40%,1.50%,0.80%,2.40%,25.40%,0.00%,3.90%,66.00%,80.3
62,Northfield High School,https://www.schooldigger.com/go/CO/schools/0336006660/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,5500 Central Park Blvd,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80238,Denver County,(720) 423-8000,9,12,No,No,No,No,2137,115.8,18.4,32.30%,14.10%,0.40%,2.60%,29.20%,0.10%,7.40%,45.60%,80
