School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent of  Unemployment,Percent Parents with Masters and above education,Percent parents with less than High School education,Percent Home Incomes with less than Median income,Home Prices Ranking,Community Health Ranking,Standard Score
Classen High School Of Advanced Studies,https://www.schooldigger.com/go/OK/schools/2277001885/school.aspx,Oklahoma City,https://www.schooldigger.com/go/OK/district/22770/search.aspx,1901 North Ellison Avenue,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73106,Oklahoma County,(405) 587-5400,9,12,Yes,No,(n/a),No,685,47.8,14.3,46.3,32.6,2.9,11.1,17.8,0.3,7.4,27.9,95.2
Arapaho-Butler High School,https://www.schooldigger.com/go/OK/schools/0312029657/school.aspx,Arapaho-Butler,https://www.schooldigger.com/go/OK/district/03120/search.aspx,214 N  12th Street,Arapaho,https://www.schooldigger.com/go/OK/city/Arapaho/search.aspx,73620,Custer County,(580) 323-3261,9,12,No,No,(n/a),No,120,10.5,11.4,57.5,0.8,5,2.5,15,0,4.2,72.5,92.8
Ringwood High School,https://www.schooldigger.com/go/OK/schools/2592001376/school.aspx,Ringwood,https://www.schooldigger.com/go/OK/district/25920/search.aspx,101 W  5th,Ringwood,https://www.schooldigger.com/go/OK/city/Ringwood/search.aspx,73768,Major County,(580) 883-2201,9,12,No,No,(n/a),No,100,10.4,9.5,46,0,2,2,33,0,1,62,92.5
Navajo High School,https://www.schooldigger.com/go/OK/schools/2118001053/school.aspx,Navajo,https://www.schooldigger.com/go/OK/district/21180/search.aspx,15695 South County Road 210,Altus,https://www.schooldigger.com/go/OK/city/Altus/search.aspx,73521,Jackson County,(580) 482-7742,9,12,No,No,(n/a),No,109,8.6,12.6,31.2,0.9,2.8,0,15.6,1.8,0.9,78,92.1
Piedmont High School,https://www.schooldigger.com/go/OK/schools/2397001272/school.aspx,Piedmont,https://www.schooldigger.com/go/OK/district/23970/search.aspx,1055 Edmond Road Northwest,Piedmont,https://www.schooldigger.com/go/OK/city/Piedmont/search.aspx,73078,Canadian County,(405) 373-5011,9,12,No,No,(n/a),No,1189,54.8,21.6,19.9,3.9,9.8,3.6,10,0,4.4,68.4,91.8
Perkins-Tryon High School,https://www.schooldigger.com/go/OK/schools/2380001260/school.aspx,Perkins-Tryon,https://www.schooldigger.com/go/OK/district/23800/search.aspx,1003 E Hwy 33,Perkins,https://www.schooldigger.com/go/OK/city/Perkins/search.aspx,74059,Payne County,(405) 547-5724,9,12,No,No,(n/a),No,427,25.4,16.7,37.2,3,17.1,0.2,4,1.4,0.5,73.8,90.8
Santa Fe High School,https://www.schooldigger.com/go/OK/schools/1059001360/school.aspx,Edmond,https://www.schooldigger.com/go/OK/district/10590/search.aspx,1901 West 15th Street,Edmond,https://www.schooldigger.com/go/OK/city/Edmond/search.aspx,73013,Oklahoma County,(405) 340-2230,9,12,No,No,(n/a),No,2448,120.9,20.2,24.1,20.1,1.6,7.9,10.9,0.3,10.2,49,90.8
Stillwater High School,https://www.schooldigger.com/go/OK/schools/2868029742/school.aspx,Stillwater,https://www.schooldigger.com/go/OK/district/28680/search.aspx,1224 North Husband,Stillwater,https://www.schooldigger.com/go/OK/city/Stillwater/search.aspx,74075,Payne County,(405) 533-6450,10,12,No,No,(n/a),No,1254,67.3,18.6,27,4.2,4.6,2.8,11.5,0.1,12,64.8,89.4
Tuttle High School,https://www.schooldigger.com/go/OK/schools/3042001695/school.aspx,Tuttle,https://www.schooldigger.com/go/OK/district/30420/search.aspx,300 N  Cimarron,Tuttle,https://www.schooldigger.com/go/OK/city/Tuttle/search.aspx,73089,Grady County,(405) 381-2396,9,12,No,No,(n/a),No,611,36,16.9,15.2,0.8,7.4,0.8,9.2,0.8,5.7,75.3,89.3
Bartlesville High School,https://www.schooldigger.com/go/OK/schools/0363029826/school.aspx,Bartlesville,https://www.schooldigger.com/go/OK/district/03630/search.aspx,1700 Hillcrest Drive,Bartlesville,https://www.schooldigger.com/go/OK/city/Bartlesville/search.aspx,74003,Washington County,(918) 336-3311,9,12,No,No,(n/a),No,1578,87.4,18,33.5,3.8,11.3,2.3,13.2,0,14.3,55,89.2
Stratford High School,https://www.schooldigger.com/go/OK/schools/2898029668/school.aspx,Stratford,https://www.schooldigger.com/go/OK/district/28980/search.aspx,431 North Oak Street,Stratford,https://www.schooldigger.com/go/OK/city/Stratford/search.aspx,74872,Garvin County,(580) 759-2381,9,12,No,No,(n/a),No,179,13.6,13.1,54.7,0,24,0.6,3.4,0.6,2.2,69.3,89.1
Owasso High School,https://www.schooldigger.com/go/OK/schools/2328001235/school.aspx,Owasso,https://www.schooldigger.com/go/OK/district/23280/search.aspx,12901 E  86th St  N,Owasso,https://www.schooldigger.com/go/OK/city/Owasso/search.aspx,74055,Tulsa County,(918) 272-5334,9,12,No,No,(n/a),No,2828,139.6,20.2,19.5,6,10.5,4,11,0.1,9.8,58.6,87.5
Bixby High School,https://www.schooldigger.com/go/OK/schools/0450000148/school.aspx,Bixby,https://www.schooldigger.com/go/OK/district/04500/search.aspx,601 South Riverview,Bixby,https://www.schooldigger.com/go/OK/city/Bixby/search.aspx,74008,Tulsa County,(918) 366-2234,9,12,No,No,(n/a),No,1854,108.2,17.1,13.6,1.5,5.9,1.9,12.8,0,11.9,66,87
Weatherford High School,https://www.schooldigger.com/go/OK/schools/3207001776/school.aspx,Weatherford,https://www.schooldigger.com/go/OK/district/32070/search.aspx,1500 North Washington Street,Weatherford,https://www.schooldigger.com/go/OK/city/Weatherford/search.aspx,73096,Custer County,(580) 772-3385,9,12,No,No,(n/a),No,558,38.5,14.4,45.7,1.1,3.6,0.2,20.4,0,10.4,64.3,86.8
Oklahoma Connections Academy High School,https://www.schooldigger.com/go/OK/schools/0078602804/school.aspx,Oklahoma Connections Academy,https://www.schooldigger.com/go/OK/district/00786/search.aspx,2425 Nowata Pl,Bartlesville,https://www.schooldigger.com/go/OK/city/Bartlesville/search.aspx,74006,Washington County,(918) 977-3285,9,12,Yes,Yes,(n/a),Yes,676,19,35.5,52.8,6.5,7.8,1.6,11.7,0.3,11.1,60.9,86.1
Latta High School,https://www.schooldigger.com/go/OK/schools/1719000793/school.aspx,Latta,https://www.schooldigger.com/go/OK/district/17190/search.aspx,13925 County Road 1560,Ada,https://www.schooldigger.com/go/OK/city/Ada/search.aspx,74820,Pontotoc County,(580) 332-3300,9,12,No,No,(n/a),No,194,14,13.8,26.8,0,27.3,0.5,9.8,0,15.5,46.9,85.7
Adair High School,https://www.schooldigger.com/go/OK/schools/0246000009/school.aspx,Adair,https://www.schooldigger.com/go/OK/district/02460/search.aspx,101 South Harley Hughes Ave,Adair,https://www.schooldigger.com/go/OK/city/Adair/search.aspx,74330,Mayes County,(918) 785-2424,9,12,No,No,(n/a),No,252,19.5,12.8,40.5,0.8,51.2,0.8,3.6,0,1.6,42.1,85.5
Hydro-Eakly High School,https://www.schooldigger.com/go/OK/schools/0003202286/school.aspx,Hydro-Eakly,https://www.schooldigger.com/go/OK/district/00032/search.aspx,407 East Seventh Street,Hydro,https://www.schooldigger.com/go/OK/city/Hydro/search.aspx,73048,Blaine County,(405) 663-2246,9,12,No,No,(n/a),No,135,10.7,12.6,51.1,3.7,2.2,0,28.1,0,3.7,62.2,84.8
Shattuck High School,https://www.schooldigger.com/go/OK/schools/2754001453/school.aspx,Shattuck,https://www.schooldigger.com/go/OK/district/27540/search.aspx,602 South Hickory,Shattuck,https://www.schooldigger.com/go/OK/city/Shattuck/search.aspx,73858,Ellis County,(580) 938-2586,9,12,No,No,(n/a),No,101,9.1,11,45.5,1,1,1,16.8,0,5,75.2,84.5
Santa Fe S Pathways Mid Colleg,https://www.schooldigger.com/go/OK/schools/0079602831/school.aspx,Santa Fe South Charter School,https://www.schooldigger.com/go/OK/district/00796/search.aspx,OCCC  7777 S  May Ave,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73159,Oklahoma County,(405) 682-7840,9,12,Yes,Yes,(n/a),No,203,12,16.9,91.1,1.5,0.5,0,88.7,0.5,2,6.9,84.4
Jenks High School,https://www.schooldigger.com/go/OK/schools/1572000739/school.aspx,Jenks,https://www.schooldigger.com/go/OK/district/15720/search.aspx,205 East B Street,Jenks,https://www.schooldigger.com/go/OK/city/Jenks/search.aspx,74037,Tulsa County,(918) 299-4411,9,12,No,No,(n/a),No,3485,183.4,19,26.1,6.8,12.2,12.6,14.1,0.1,0.9,53.4,83.8
Marlow High School,https://www.schooldigger.com/go/OK/schools/1908000905/school.aspx,Marlow,https://www.schooldigger.com/go/OK/district/19080/search.aspx,510 West Main Street,Marlow,https://www.schooldigger.com/go/OK/city/Marlow/search.aspx,73055,Stephens County,(580) 658-2718,9,12,No,No,(n/a),No,361,23.6,15.2,42.1,0.8,9.1,1.7,4.7,0.3,5,78.4,83.8
Lone Grove High School,https://www.schooldigger.com/go/OK/schools/1809000871/school.aspx,Lone Grove,https://www.schooldigger.com/go/OK/district/18090/search.aspx,6218 Meridian Rd,Lone Grove,https://www.schooldigger.com/go/OK/city/Lone+Grove/search.aspx,73401,Carter County,(580) 657-3131,9,12,No,No,(n/a),No,362,23.9,15.1,35.4,3,16.6,0,6.9,0,12.2,61.3,83.5
Blanchard High School,https://www.schooldigger.com/go/OK/schools/0468000160/school.aspx,Blanchard,https://www.schooldigger.com/go/OK/district/04680/search.aspx,1440 N County Line Rd,Blanchard,https://www.schooldigger.com/go/OK/city/Blanchard/search.aspx,73010,McClain County,(405) 485-3392,9,12,No,No,(n/a),No,609,34.4,17.6,18.2,1,15.9,1,6.7,0.5,1.3,73.6,83.3
Achille High School,https://www.schooldigger.com/go/OK/schools/0237000002/school.aspx,Achille,https://www.schooldigger.com/go/OK/district/02370/search.aspx,101 N 5th Ave,Achille,https://www.schooldigger.com/go/OK/city/Achille/search.aspx,74720,Bryan County,(580) 283-3260,9,12,No,No,(n/a),No,78,6.5,11.9,62.8,0,17.9,0,2.6,0,6.4,73.1,82.8
Wellston High School,https://www.schooldigger.com/go/OK/schools/3228001787/school.aspx,Wellston,https://www.schooldigger.com/go/OK/district/32280/search.aspx,700 Birch,Wellston,https://www.schooldigger.com/go/OK/city/Wellston/search.aspx,74881,Lincoln County,(405) 356-2533,9,12,No,No,(n/a),No,131,11.1,11.7,58,0,19.8,0,0.8,0,0.8,78.6,82.8
Fairview High School,https://www.schooldigger.com/go/OK/schools/1128000539/school.aspx,Fairview,https://www.schooldigger.com/go/OK/district/11280/search.aspx,316 North Eighth Street,Fairview,https://www.schooldigger.com/go/OK/city/Fairview/search.aspx,73737,Major County,(580) 227-4446,9,12,No,No,(n/a),No,194,13.3,14.5,39.2,0,3.6,0.5,12.4,0,2.6,80.9,82.7
Fletcher High School,https://www.schooldigger.com/go/OK/schools/1170029648/school.aspx,Fletcher,https://www.schooldigger.com/go/OK/district/11700/search.aspx,101 W  Hornaday,Fletcher,https://www.schooldigger.com/go/OK/city/Fletcher/search.aspx,73541,Comanche County,(580) 549-6015,9,12,No,No,(n/a),No,109,9.2,11.8,57.8,0,4.6,0,10.1,0,17.4,67.9,82.7
Cashion High School,https://www.schooldigger.com/go/OK/schools/0681000268/school.aspx,Cashion,https://www.schooldigger.com/go/OK/district/06810/search.aspx,101 North Euclid,Cashion,https://www.schooldigger.com/go/OK/city/Cashion/search.aspx,73016,Kingfisher County,(405) 433-2575,9,12,No,No,(n/a),No,184,16.3,11.2,23.9,1.6,6,0,3.8,0,1.6,87,82.4
Dale High School,https://www.schooldigger.com/go/OK/schools/0939001994/school.aspx,Dale,https://www.schooldigger.com/go/OK/district/09390/search.aspx,300 Smith Avenue,Dale,https://www.schooldigger.com/go/OK/city/Dale/search.aspx,74851,Pottawatomie County,(405) 964-5555,9,12,No,No,(n/a),No,192,14.5,13.1,20.8,0.5,24,0.5,3.1,0.5,4.2,67.2,82.1
Binger-Oney High School,https://www.schooldigger.com/go/OK/schools/3360329846/school.aspx,Binger-Oney,https://www.schooldigger.com/go/OK/district/33603/search.aspx,323 S  Apache,Binger,https://www.schooldigger.com/go/OK/city/Binger/search.aspx,73009,Caddo County,(405) 656-2304,9,12,No,No,(n/a),No,109,7.2,14.9,79.8,0.9,12.8,0,13.8,0,16.5,56,81.8
Thomas Edison Preparatory High School,https://www.schooldigger.com/go/OK/schools/3024001608/school.aspx,Tulsa,https://www.schooldigger.com/go/OK/district/30240/search.aspx,2906 East 41st Street,Tulsa,https://www.schooldigger.com/go/OK/city/Tulsa/search.aspx,74105,Tulsa County,(918) 746-8500,9,12,Yes,No,(n/a),No,1138,56.6,20,55.2,13.5,6.9,1.5,23.9,0.1,11.4,42.7,81.7
Norman High School,https://www.schooldigger.com/go/OK/schools/2172001082/school.aspx,Norman,https://www.schooldigger.com/go/OK/district/21720/search.aspx,911 West Main Street,Norman,https://www.schooldigger.com/go/OK/city/Norman/search.aspx,73069,Cleveland County,(405) 366-5812,9,12,No,No,(n/a),No,1973,106.2,18.5,44.1,8.2,4.8,2.4,16.7,0.3,15.7,52,81.4
Elgin High School,https://www.schooldigger.com/go/OK/schools/1071000494/school.aspx,Elgin,https://www.schooldigger.com/go/OK/district/10710/search.aspx,520 K Street,Elgin,https://www.schooldigger.com/go/OK/city/Elgin/search.aspx,73538,Comanche County,(580) 492-3670,9,12,No,No,(n/a),No,703,40.5,17.3,30.4,4.3,10.2,0.4,15.1,0.7,10,59.3,80.8
Cherokee High School,https://www.schooldigger.com/go/OK/schools/0741000297/school.aspx,Cherokee,https://www.schooldigger.com/go/OK/district/07410/search.aspx,412 E  5th Street,Cherokee,https://www.schooldigger.com/go/OK/city/Cherokee/search.aspx,73728,Alfalfa County,(580) 596-3391,9,12,No,No,(n/a),No,103,11.6,8.8,44.7,1,5.8,0,10.7,0,3.9,78.6,80.5
Westmoore High School,https://www.schooldigger.com/go/OK/schools/2025002070/school.aspx,Moore,https://www.schooldigger.com/go/OK/district/20250/search.aspx,12613 South Western Avenue,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73170,Cleveland County,(405) 735-4800,9,12,No,No,(n/a),No,2479,131,18.9,31.8,8.1,4.6,10.7,21.2,0.2,15.2,40.1,80.3
Jones High School,https://www.schooldigger.com/go/OK/schools/1584000744/school.aspx,Jones,https://www.schooldigger.com/go/OK/district/15840/search.aspx,304 Dr  Lee Simmons,Jones,https://www.schooldigger.com/go/OK/city/Jones/search.aspx,73049,Oklahoma County,(405) 399-9122,9,12,No,No,(n/a),No,321,20.8,15.4,32.4,6.2,3.7,0,9.3,0,10.3,70.4,80.2
Strother High School,https://www.schooldigger.com/go/OK/schools/2904001524/school.aspx,Strother,https://www.schooldigger.com/go/OK/district/29040/search.aspx,36085 Ew 1140,Seminole,https://www.schooldigger.com/go/OK/city/Seminole/search.aspx,74868,Seminole County,(405) 382-4014,9,12,No,No,(n/a),No,109,8.1,13.4,45,0.9,18.3,1.8,7.3,0.9,6.4,64.2,79.6
Mustang High School,https://www.schooldigger.com/go/OK/schools/2100001046/school.aspx,Mustang,https://www.schooldigger.com/go/OK/district/21000/search.aspx,801 S Snyder Drive,Mustang,https://www.schooldigger.com/go/OK/city/Mustang/search.aspx,73064,Canadian County,(405) 376-2404,9,12,No,No,(n/a),No,3434,165.8,20.7,36,4.5,4.8,4.8,15.3,0.2,8.4,62,78.8
Chisholm High School,https://www.schooldigger.com/go/OK/schools/2178001088/school.aspx,Chisholm,https://www.schooldigger.com/go/OK/district/21780/search.aspx,4018 West Carrier Road,Enid,https://www.schooldigger.com/go/OK/city/Enid/search.aspx,73703,Garfield County,(580) 233-2852,9,12,No,No,(n/a),No,314,21.9,14.3,33.1,2.2,4.1,2.2,6.4,0.3,0.3,84.4,78.8
Thomas-Fay-Custer Unified High School,https://www.schooldigger.com/go/OK/schools/0001501659/school.aspx,Thomas-Fay-Custer Unified District,https://www.schooldigger.com/go/OK/district/00015/search.aspx,920 North Main,Thomas,https://www.schooldigger.com/go/OK/city/Thomas/search.aspx,73669,Custer County,(580) 661-3522,10,12,No,No,(n/a),No,106,8.5,12.3,33,3.8,10.4,0,10.4,0,1.9,73.6,78.1
Harding Fine Arts Academy,https://www.schooldigger.com/go/OK/schools/0077302385/school.aspx,Harding Fine Arts Academy,https://www.schooldigger.com/go/OK/district/00773/search.aspx,3333 N  Shartel Ave,Oklahoma City,https://www.schooldigger.com/go/OK/city/Oklahoma+City/search.aspx,73118,Oklahoma County,(405) 702-4322,9,12,No,Yes,(n/a),No,337,24.6,13.6,51,24.6,3,3,20.5,0,10.4,38.6,77.9
Bethany High School,https://www.schooldigger.com/go/OK/schools/0411000130/school.aspx,Bethany,https://www.schooldigger.com/go/OK/district/04110/search.aspx,4500 N Mueller,Bethany,https://www.schooldigger.com/go/OK/city/Bethany/search.aspx,73008,Oklahoma County,(405) 789-6370,9,12,No,No,(n/a),No,534,32.7,16.3,37.5,2.6,4.1,1.5,14.8,0.2,11.6,65.2,77.7
Deer Creek High School,https://www.schooldigger.com/go/OK/schools/0957000413/school.aspx,Deer Creek,https://www.schooldigger.com/go/OK/district/09570/search.aspx,6101 Northwest 206th Street,Edmond,https://www.schooldigger.com/go/OK/city/Edmond/search.aspx,73012,Oklahoma County,(405) 348-5720,9,12,Yes,No,(n/a),No,1778,84.2,21.1,9.6,6.1,6.7,7.6,7.9,0.2,3.3,68.1,77.7
Pawnee High School,https://www.schooldigger.com/go/OK/schools/2361001255/school.aspx,Pawnee,https://www.schooldigger.com/go/OK/district/23610/search.aspx,615 Denver Street,Pawnee,https://www.schooldigger.com/go/OK/city/Pawnee/search.aspx,74058,Pawnee County,(918) 762-3676,9,12,No,No,(n/a),No,180,14.8,12.1,78.9,2.2,28.9,0,2.8,0,11.1,55,77
Waukomis High School,https://www.schooldigger.com/go/OK/schools/3195001764/school.aspx,Waukomis,https://www.schooldigger.com/go/OK/district/31950/search.aspx,1818 West Wood Rd,Waukomis,https://www.schooldigger.com/go/OK/city/Waukomis/search.aspx,73773,Garfield County,(580) 758-3245,9,12,No,No,(n/a),No,102,8.1,12.5,39.2,0,0,0,12.7,0,12.7,74.5,77
Burns Flat-Dill City High School,https://www.schooldigger.com/go/OK/schools/0001401582/school.aspx,Burns Flat-Dill City,https://www.schooldigger.com/go/OK/district/00014/search.aspx,306 South Hwy 44,Burns Flat,https://www.schooldigger.com/go/OK/city/Burns+Flat/search.aspx,73624,Washita County,(580) 562-4846,9,12,No,No,(n/a),No,140,12.7,11,69.3,5.7,3.6,0,21.4,0,5,64.3,75.9
Apache High School,https://www.schooldigger.com/go/OK/schools/0501005013/school.aspx,Boone-Apache,https://www.schooldigger.com/go/OK/district/05010/search.aspx,101 Pohleman,Apache,https://www.schooldigger.com/go/OK/city/Apache/search.aspx,73006,Caddo County,(580) 588-5206,9,12,No,No,(n/a),No,167,14,11.8,72.5,0,30.5,0,16.8,0,15,37.7,75.9
Ringling High School,https://www.schooldigger.com/go/OK/schools/2586001373/school.aspx,Ringling,https://www.schooldigger.com/go/OK/district/25860/search.aspx,706 Unit A N 5th Street,Ringling,https://www.schooldigger.com/go/OK/city/Ringling/search.aspx,73456,Jefferson County,(580) 662-2386,10,12,No,No,(n/a),No,80,7.6,10.4,56.3,1.3,22.5,1.3,3.8,0,0,71.3,75.1
Cordell High School,https://www.schooldigger.com/go/OK/schools/0864000364/school.aspx,Cordell,https://www.schooldigger.com/go/OK/district/08640/search.aspx,606 East Third St,Cordell,https://www.schooldigger.com/go/OK/city/Cordell/search.aspx,73632,Washita County,(580) 832-3420,10,12,Yes,No,(n/a),No,123,12.6,9.7,53.7,2.4,5.7,0,6.5,0,4.1,81.3,74.8
Oologah-Talala High School,https://www.schooldigger.com/go/OK/schools/2304001228/school.aspx,Oologah-Talala,https://www.schooldigger.com/go/OK/district/23040/search.aspx,10700 South Hwy 169,Oologah,https://www.schooldigger.com/go/OK/city/Oologah/search.aspx,74053,Rogers County,(918) 443-6000,9,12,No,No,(n/a),No,502,29.7,16.8,26.3,0.4,24.7,4.2,3,0.4,9.6,57.8,74.4
Sayre High School,https://www.schooldigger.com/go/OK/schools/2706001432/school.aspx,Sayre,https://www.schooldigger.com/go/OK/district/27060/search.aspx,800 E  Hannah Dr,Sayre,https://www.schooldigger.com/go/OK/city/Sayre/search.aspx,73662,Beckham County,(580) 928-5576,9,12,No,No,(n/a),No,162,12.5,12.9,46.9,0,3.1,0,16,0,5.6,75.3,74.3
Verdigris High School,https://www.schooldigger.com/go/OK/schools/3111002278/school.aspx,Verdigris,https://www.schooldigger.com/go/OK/district/31110/search.aspx,26505 S  4110 Rd,Claremore,https://www.schooldigger.com/go/OK/city/Claremore/search.aspx,74019,Rogers County,(918) 266-2336,9,12,No,No,(n/a),No,298,20.8,14.2,17.4,0.3,21.8,1.7,5.4,0,11.1,59.7,74.3
Sulphur High School,https://www.schooldigger.com/go/OK/schools/2916001534/school.aspx,Sulphur,https://www.schooldigger.com/go/OK/district/29160/search.aspx,1021 West Ninth Street,Sulphur,https://www.schooldigger.com/go/OK/city/Sulphur/search.aspx,73086,Murray County,(580) 622-3174,9,12,Yes,No,(n/a),No,404,25.1,16,36.1,1.5,25.2,1.2,8.2,0.5,4.2,59.2,74
Fairland High School,https://www.schooldigger.com/go/OK/schools/1125000535/school.aspx,Fairland,https://www.schooldigger.com/go/OK/district/11250/search.aspx,202 West Washington Avenue,Fairland,https://www.schooldigger.com/go/OK/city/Fairland/search.aspx,74343,Ottawa County,(918) 676-3246,9,12,No,No,(n/a),No,171,11.9,14.2,53.8,2.3,41.5,1.8,5.8,0,8.2,40.4,73.8
Vanoss High School,https://www.schooldigger.com/go/OK/schools/3096029748/school.aspx,Vanoss,https://www.schooldigger.com/go/OK/district/30960/search.aspx,4665 County Road 1555,Ada,https://www.schooldigger.com/go/OK/city/Ada/search.aspx,74820,Pontotoc County,(580) 759-2503,9,12,No,No,(n/a),No,138,12.2,11.2,61.6,0,34.1,0,8,0,1.4,56.5,72.4
Yukon High School,https://www.schooldigger.com/go/OK/schools/3348001849/school.aspx,Yukon,https://www.schooldigger.com/go/OK/district/33480/search.aspx,1777 South Yukon Parkway,Yukon,https://www.schooldigger.com/go/OK/city/Yukon/search.aspx,73099,Canadian County,(405) 354-6692,9,12,No,No,(n/a),No,2466,134.8,18.2,47.4,4,4.3,2.8,16.1,0.1,8.6,64.1,72.1
Pond Creek-Hunter High School,https://www.schooldigger.com/go/OK/schools/2472001303/school.aspx,Pond Creek-Hunter,https://www.schooldigger.com/go/OK/district/24720/search.aspx,200 East Broadway,Pond Creek,https://www.schooldigger.com/go/OK/city/Pond+Creek/search.aspx,73766,Grant County,(580) 532-4241,9,12,No,No,(n/a),No,94,6.9,13.4,44.7,1.1,4.3,0,7.4,0,4.3,83,72
Bethel High School,https://www.schooldigger.com/go/OK/schools/0423000133/school.aspx,Bethel,https://www.schooldigger.com/go/OK/district/04230/search.aspx,36000 Clearpond Road,Shawnee,https://www.schooldigger.com/go/OK/city/Shawnee/search.aspx,74801,Pottawatomie County,(405) 273-3633,9,12,No,No,(n/a),No,331,28.4,11.6,37.2,0.6,16.9,0.3,3.6,0,5.1,73.4,71.6
