School,School_URL,District,District_URL,Address,City,City_URL,Zip,County,Phone,Is_Title_I,Is_Charter,Is_Magnet,Is_Virtual,Number_Students,Number_Full-time_Teachers,Student_Teacher_Ratio,Percent_Free_Disc_Lunch,Percent_African_American,Percent_American_Indian,Percent_Asian,Percent_Hispanic,Percent_Pacific_Islander,Percent_Two_or_More_Races,Percent_White,Standard_Score
JCLISD Academy A Regional Middle College,https://www.schooldigger.com/go/MI/schools/8068008144/school.aspx,Lenawee Independent School District,https://www.schooldigger.com/go/MI/district/80680/search.aspx,1372 N Main St,Adrian,https://www.schooldigger.com/go/MI/city/Adrian/search.aspx,49221,Lenawee County,(517) 265-1661,No,No,No,No,72,4,18,25,1.4,0,0,2.8,0,4.2,91.7,98.1
Pioneer High School,https://www.schooldigger.com/go/MI/schools/0282004029/school.aspx,Ann Arbor Public Schools,https://www.schooldigger.com/go/MI/district/02820/search.aspx,601 West Stadium Blvd,Ann Arbor,https://www.schooldigger.com/go/MI/city/Ann+Arbor/search.aspx,48103,Washtenaw County,(734) 994-2120,No,No,No,No,1945,110,17.6,19.3,15.1,0.3,13,9.3,0.2,9.2,53.1,98
Washtenaw International High School,https://www.schooldigger.com/go/MI/schools/8099008147/school.aspx,Washtenaw Independent School District,https://www.schooldigger.com/go/MI/district/80990/search.aspx,105 N Mansfield St,Ypsilanti,https://www.schooldigger.com/go/MI/city/Ypsilanti/search.aspx,48197,Washtenaw County,(734) 994-8145,No,No,No,No,569,35,16.2,21.8,17.4,0.2,28.3,7.2,0,9.8,37.1,97.9
Dexter High School,https://www.schooldigger.com/go/MI/schools/1203004916/school.aspx,Dexter Community School District,https://www.schooldigger.com/go/MI/district/12030/search.aspx,2200 North Parker Rd,Dexter,https://www.schooldigger.com/go/MI/city/Dexter/search.aspx,48130,Washtenaw County,(734) 424-4240,No,No,No,No,1151,64.4,17.8,10.6,1,0.3,0.6,3,0.2,2.8,92.2,97.8
Okemos High School,https://www.schooldigger.com/go/MI/schools/2628006282/school.aspx,Okemos Public Schools,https://www.schooldigger.com/go/MI/district/26280/search.aspx,2800 Jolly Rd,Okemos,https://www.schooldigger.com/go/MI/city/Okemos/search.aspx,48864,Ingham County,(517) 706-4900,No,No,No,No,1427,75.2,18.9,22.6,6.8,0.3,22.1,6,0.1,6.9,57.7,97.6
Northville High School,https://www.schooldigger.com/go/MI/schools/2598006245/school.aspx,Northville Public Schools,https://www.schooldigger.com/go/MI/district/25980/search.aspx,45700 6 Mile Rd,Northville,https://www.schooldigger.com/go/MI/city/Northville/search.aspx,48168,Wayne County,(248) 344-3800,No,No,No,No,2510,105.6,23.7,5.9,2.3,0.2,22.7,3.9,0.1,2.9,67.8,97.1
Canton High School,https://www.schooldigger.com/go/MI/schools/2856006421/school.aspx,Plymouth-Canton Community Schools,https://www.schooldigger.com/go/MI/district/28560/search.aspx,8415 North Canton Center Rd,Canton,https://www.schooldigger.com/go/MI/city/Canton/search.aspx,48187,Wayne County,(734) 416-2850,No,No,Yes,No,1960,93.7,20.9,15.4,9,0.2,16.6,4.6,0.1,4.2,65.4,97.1
Black River Public School MiddleHigh,https://www.schooldigger.com/go/MI/schools/0011400705/school.aspx,Black River Public School,https://www.schooldigger.com/go/MI/district/00114/search.aspx,491 Columbia Ave,Holland,https://www.schooldigger.com/go/MI/city/Holland/search.aspx,49423,Ottawa County,(616) 355-0055,No,Yes,No,No,520,41.3,12.5,21.3,1.5,0,4.4,18.7,0,6.7,68.7,96.8
Rochester Adams High School,https://www.schooldigger.com/go/MI/schools/2994006577/school.aspx,Rochester Community School District,https://www.schooldigger.com/go/MI/district/29940/search.aspx,3200 West Tienken Rd,Rochester Hills,https://www.schooldigger.com/go/MI/city/Rochester+Hills/search.aspx,48306,Oakland County,(248) 726-5200,No,No,No,No,1537,64.7,23.7,6.7,3.7,0.2,14.5,5.1,0.1,3.8,72.5,96.7
Salem High School,https://www.schooldigger.com/go/MI/schools/2856006419/school.aspx,Plymouth-Canton Community Schools,https://www.schooldigger.com/go/MI/district/28560/search.aspx,46181 Joy Rd,Canton,https://www.schooldigger.com/go/MI/city/Canton/search.aspx,48187,Wayne County,(734) 416-2800,No,No,Yes,No,2048,88.4,23.1,16.7,8.9,0.4,19.5,4.3,0,4.7,62.1,96.5
Bloomfield Hills High School,https://www.schooldigger.com/go/MI/schools/0609008480/school.aspx,Bloomfield Hills Schools,https://www.schooldigger.com/go/MI/district/06090/search.aspx,4200 Andover Rd,Bloomfield Hills,https://www.schooldigger.com/go/MI/city/Bloomfield+Hills/search.aspx,48302,Oakland County,(248) 341-5600,No,No,No,No,1709,101.2,16.8,10.1,9.7,0.1,8.5,4,0.2,5,72.5,96.3
The Early College Lansing Community College,https://www.schooldigger.com/go/MI/schools/8052008246/school.aspx,Ingham Independent School District,https://www.schooldigger.com/go/MI/district/80520/search.aspx,430 N Capitol Ave Suite 118,Lansing,https://www.schooldigger.com/go/MI/city/Lansing/search.aspx,48933,Ingham County,(517) 244-1254,No,No,No,No,157,4,39.2,33.1,12.7,0,8.3,8.3,0,9.6,61.1,96.2
Saginaw Arts and Sciences Academy,https://www.schooldigger.com/go/MI/schools/3039001171/school.aspx,Saginaw School District of the City of,https://www.schooldigger.com/go/MI/district/30390/search.aspx,1903 N Niagra St,Saginaw,https://www.schooldigger.com/go/MI/city/Saginaw/search.aspx,48602,Saginaw County,(989) 399-5500,No,No,Yes,No,425,27,15.7,40.9,25.4,0.2,14.4,6.6,0.5,1.4,51.5,96.2
Houghton Central High School,https://www.schooldigger.com/go/MI/schools/2889006482/school.aspx,Houghton-Portage Township School District,https://www.schooldigger.com/go/MI/district/28890/search.aspx,1603 Gundlach Rd,Houghton,https://www.schooldigger.com/go/MI/city/Houghton/search.aspx,49931,Houghton County,(906) 482-0450,No,No,No,No,456,26.9,16.9,22.8,0.9,0,3.9,0.9,0,2.9,91.4,96.2
City MiddleHigh,https://www.schooldigger.com/go/MI/schools/1644005355/school.aspx,Grand Rapids Public Schools,https://www.schooldigger.com/go/MI/district/16440/search.aspx,1720 Plainfield Ave NE,Grand Rapids,https://www.schooldigger.com/go/MI/city/Grand+Rapids/search.aspx,49505,Kent County,(616) 819-2380,Yes,No,No,No,924,39.7,23.2,48.4,11.1,0.2,5.8,25.4,0,7.4,50,96.2
Early College at Montcalm Community College,https://www.schooldigger.com/go/MI/schools/8083008434/school.aspx,Montcalm Area Independent School District,https://www.schooldigger.com/go/MI/district/80830/search.aspx,2800 College Dr,Sidney,https://www.schooldigger.com/go/MI/city/Sidney/search.aspx,48885,Montcalm County,(616) 225-5706,No,No,Yes,No,79,3.4,22.9,41.8,0,0,0,6.3,0,1.3,92.4,96.1
Huron High School,https://www.schooldigger.com/go/MI/schools/0282004032/school.aspx,Ann Arbor Public Schools,https://www.schooldigger.com/go/MI/district/02820/search.aspx,2727 Fuller Rd,Ann Arbor,https://www.schooldigger.com/go/MI/city/Ann+Arbor/search.aspx,48105,Washtenaw County,(734) 994-2043,No,No,No,No,1617,114.9,14,25.4,20.4,0.4,20.1,10.8,0,11.1,37.2,95.9
Haslett High School,https://www.schooldigger.com/go/MI/schools/1794005467/school.aspx,Haslett Public Schools,https://www.schooldigger.com/go/MI/district/17940/search.aspx,5450 Marsh Rd,Haslett,https://www.schooldigger.com/go/MI/city/Haslett/search.aspx,48840,Ingham County,(517) 339-8249,No,No,No,No,845,59.2,14.2,20.5,3.6,0.2,4.7,10.4,0,5.9,75.1,95.7
Plymouth High School,https://www.schooldigger.com/go/MI/schools/2856001464/school.aspx,Plymouth-Canton Community Schools,https://www.schooldigger.com/go/MI/district/28560/search.aspx,8400 North Beck Rd,Canton,https://www.schooldigger.com/go/MI/city/Canton/search.aspx,48187,Wayne County,(734) 582-5500,No,No,No,No,1970,101.3,19.4,15.2,9.7,0.3,16.5,4.9,0.1,3.5,65,95.1
Athens High School,https://www.schooldigger.com/go/MI/schools/3426006976/school.aspx,Troy School District,https://www.schooldigger.com/go/MI/district/34260/search.aspx,4333 John R Road,Troy,https://www.schooldigger.com/go/MI/city/Troy/search.aspx,48085,Oakland County,(248) 823-2900,No,No,No,No,1582,88.9,17.7,14,5.4,0.1,20.8,4.4,0.1,3.9,65.4,93.9
Portage Central High School,https://www.schooldigger.com/go/MI/schools/2895006491/school.aspx,Portage Public Schools,https://www.schooldigger.com/go/MI/district/28950/search.aspx,8135 South Westnedge Ave,Portage,https://www.schooldigger.com/go/MI/city/Portage/search.aspx,49002,Kalamazoo County,(269) 323-5200,No,No,No,No,1418,63.3,22.3,14.5,2.5,0.1,7,4.8,0.1,6.3,79.3,93.4
Early College Alliance,https://www.schooldigger.com/go/MI/schools/8099008061/school.aspx,Washtenaw Independent School District,https://www.schooldigger.com/go/MI/district/80990/search.aspx,220 King Hall,Ypsilanti,https://www.schooldigger.com/go/MI/city/Ypsilanti/search.aspx,48197,Washtenaw County,(734) 487-4290,No,No,No,No,480,17,28.2,26.3,24.2,0,8.1,6,0,10.4,51.3,93.4
Walled Lake Northern High School,https://www.schooldigger.com/go/MI/schools/3516001289/school.aspx,Walled Lake Consolidated Schools,https://www.schooldigger.com/go/MI/district/35160/search.aspx,6000 Bogie Lake Rd,Commerce Township,https://www.schooldigger.com/go/MI/city/Commerce+Township/search.aspx,48382,Oakland County,(248) 956-5300,No,No,No,No,1620,70.3,23,17.7,1.9,0.1,1.7,4.4,0,3.1,88.8,92.8
Central High School,https://www.schooldigger.com/go/MI/schools/1461005155/school.aspx,Forest Hills Public Schools,https://www.schooldigger.com/go/MI/district/14610/search.aspx,5901 Hall St SE,Grand Rapids,https://www.schooldigger.com/go/MI/city/Grand+Rapids/search.aspx,49546,Kent County,(616) 493-8700,No,No,No,No,1177,54.7,21.5,11.6,2.1,0.1,6.6,2.8,0,4.8,83.5,92.8
Grand Traverse Academy,https://www.schooldigger.com/go/MI/schools/0026501343/school.aspx,Grand Traverse Academy,https://www.schooldigger.com/go/MI/district/00265/search.aspx,1245 Hammond Rd E,Traverse City,https://www.schooldigger.com/go/MI/city/Traverse+City/search.aspx,49686,Grand Traverse County,(231) 932-6025,Yes,Yes,No,No,762,50,15.2,32.9,2.4,1.6,2,2,0.5,2.1,89.5,92.5
Lake Orion Community High School,https://www.schooldigger.com/go/MI/schools/2073005739/school.aspx,Lake Orion Community Schools,https://www.schooldigger.com/go/MI/district/20730/search.aspx,495 East Scripps Rd,Lake Orion,https://www.schooldigger.com/go/MI/city/Lake+Orion/search.aspx,48360,Oakland County,(248) 693-5420,No,No,No,No,2225,108.7,20.4,21.8,3.8,0.3,2.7,8.5,0.1,5,79.6,91.9
East Lansing High School,https://www.schooldigger.com/go/MI/schools/1260004971/school.aspx,East Lansing School District,https://www.schooldigger.com/go/MI/district/12600/search.aspx,509 Burcham Dr,East Lansing,https://www.schooldigger.com/go/MI/city/East+Lansing/search.aspx,48823,Ingham County,(517) 333-7500,No,No,No,No,1216,53.3,22.8,34,19.3,0.5,6.7,8.3,0.4,6.7,58.1,91.8
Walled Lake Western High School,https://www.schooldigger.com/go/MI/schools/3516007084/school.aspx,Walled Lake Consolidated Schools,https://www.schooldigger.com/go/MI/district/35160/search.aspx,600 Beck Rd,Commerce Township,https://www.schooldigger.com/go/MI/city/Commerce+Township/search.aspx,48390,Oakland County,(248) 956-4400,No,No,No,No,1240,51.4,24.1,30.4,16.3,0.3,8.2,8.1,0.2,2.7,64.3,91.6
Williamston High School,https://www.schooldigger.com/go/MI/schools/3642007718/school.aspx,Williamston Community Schools,https://www.schooldigger.com/go/MI/district/36420/search.aspx,3939 Vanneter Rd,Williamston,https://www.schooldigger.com/go/MI/city/Williamston/search.aspx,48895,Ingham County,(517) 655-2142,No,No,No,No,602,29,20.7,15.9,0.3,0.3,1.5,5.1,0,4.8,87.9,91.2
Loy Norrix High School,https://www.schooldigger.com/go/MI/schools/1995005663/school.aspx,Kalamazoo Public Schools,https://www.schooldigger.com/go/MI/district/19950/search.aspx,606 East Kilgore Rd,Kalamazoo,https://www.schooldigger.com/go/MI/city/Kalamazoo/search.aspx,49001,Kalamazoo County,(269) 337-0200,No,No,No,No,1806,77.1,23.4,63.5,28.7,0.2,1.4,17.8,0,10.9,41,90.9
Eastern High School,https://www.schooldigger.com/go/MI/schools/1461001662/school.aspx,Forest Hills Public Schools,https://www.schooldigger.com/go/MI/district/14610/search.aspx,2200 Pettis Ave NE,Ada,https://www.schooldigger.com/go/MI/city/Ada/search.aspx,49301,Kent County,(616) 493-8830,No,No,No,No,785,36.4,21.5,12.6,2.4,0.3,8.2,4.5,0,4.8,79.9,90.9
Central High School,https://www.schooldigger.com/go/MI/schools/3387006949/school.aspx,Traverse City Area Public Schools,https://www.schooldigger.com/go/MI/district/33870/search.aspx,1150 Milliken Dr,Traverse City,https://www.schooldigger.com/go/MI/city/Traverse+City/search.aspx,49686,Grand Traverse County,(231) 933-6500,No,No,No,No,1461,60.7,24,25.5,1.5,1.2,1.5,5,0.2,3.5,87.1,90.7
Byron Center High School,https://www.schooldigger.com/go/MI/schools/0756004332/school.aspx,Byron Center Public Schools,https://www.schooldigger.com/go/MI/district/07560/search.aspx,8500 Burlingame Ave SW,Byron Center,https://www.schooldigger.com/go/MI/city/Byron+Center/search.aspx,49315,Kent County,(616) 878-6600,No,No,No,No,1210,54.9,22,17.9,1.6,0.4,4.5,7.8,0.1,4,81.6,90.7
Royal Oak High School,https://www.schooldigger.com/go/MI/schools/3030006637/school.aspx,Royal Oak Schools,https://www.schooldigger.com/go/MI/district/30300/search.aspx,1500 Lexington Blvd,Royal Oak,https://www.schooldigger.com/go/MI/city/Royal+Oak/search.aspx,48073,Oakland County,(248) 435-8500,No,No,No,No,1426,80.7,17.6,22.7,7.6,0.2,2.7,4.1,0.1,5.8,79.4,90.3
Chelsea High School,https://www.schooldigger.com/go/MI/schools/0894004437/school.aspx,Chelsea School District,https://www.schooldigger.com/go/MI/district/08940/search.aspx,740 North Freer Rd,Chelsea,https://www.schooldigger.com/go/MI/city/Chelsea/search.aspx,48118,Washtenaw County,(734) 433-2201,No,No,No,No,805,48.4,16.6,15,0.4,0.1,2,4.3,0,4,89.2,90.3
Stoney Creek High School,https://www.schooldigger.com/go/MI/schools/2994001286/school.aspx,Rochester Community School District,https://www.schooldigger.com/go/MI/district/29940/search.aspx,6755 Sheldon Rd,Rochester Hills,https://www.schooldigger.com/go/MI/city/Rochester+Hills/search.aspx,48306,Oakland County,(248) 726-5700,No,No,No,No,1594,68.4,23.2,14.4,1.5,0.4,7.4,6.2,0.1,3.1,81.3,90.2
Saline High School,https://www.schooldigger.com/go/MI/schools/3066006709/school.aspx,Saline Area Schools,https://www.schooldigger.com/go/MI/district/30660/search.aspx,1300 Campus Pkwy,Saline,https://www.schooldigger.com/go/MI/city/Saline/search.aspx,48176,Washtenaw County,(734) 401-4201,No,No,No,No,1711,97.1,17.6,12.9,2.2,0.6,5.3,2.5,0.1,4.1,85.2,90.2
West MI Academy of Environmental Science,https://www.schooldigger.com/go/MI/schools/0009200596/school.aspx,West MI Academy of Environmental Science,https://www.schooldigger.com/go/MI/district/00092/search.aspx,4463 Leonard St NW,Grand Rapids,https://www.schooldigger.com/go/MI/city/Grand+Rapids/search.aspx,49534,Kent County,(616) 791-7454,Yes,Yes,No,No,755,54.2,13.9,56.3,7.7,1.3,0.9,24.4,0.4,3.8,61.5,89.6
Farmington High School,https://www.schooldigger.com/go/MI/schools/1407005039/school.aspx,Farmington Public School District,https://www.schooldigger.com/go/MI/district/14070/search.aspx,32000 Shiawassee Rd,Farmington,https://www.schooldigger.com/go/MI/city/Farmington/search.aspx,48336,Oakland County,(248) 489-3455,No,No,No,No,1432,80.4,17.8,32.5,24.6,0.2,13.5,4.3,0.1,5,52.3,89.5
Bridgman High School,https://www.schooldigger.com/go/MI/schools/0684004281/school.aspx,Bridgman Public Schools,https://www.schooldigger.com/go/MI/district/06840/search.aspx,9964 Gast Rd,Bridgman,https://www.schooldigger.com/go/MI/city/Bridgman/search.aspx,49106,Berrien County,(269) 466-0223,No,No,No,No,252,20.1,12.5,29,0.8,0,2,5.2,0.4,3.2,88.5,88.8
Grosse Ile High School,https://www.schooldigger.com/go/MI/schools/1722005401/school.aspx,Grosse Ile Township Schools,https://www.schooldigger.com/go/MI/district/17220/search.aspx,7800 Grays Dr,Grosse Ile,https://www.schooldigger.com/go/MI/city/Grosse+Ile/search.aspx,48138,Wayne County,(734) 362-2400,No,No,No,No,588,29.8,19.7,10.7,0.9,0.5,4.4,4.4,0,2.2,87.6,88.7
John Glenn High School,https://www.schooldigger.com/go/MI/schools/0390004081/school.aspx,Bangor Township Schools,https://www.schooldigger.com/go/MI/district/03900/search.aspx,3201 Kiesel Rd,Bay City,https://www.schooldigger.com/go/MI/city/Bay+City/search.aspx,48706,Bay County,(989) 684-7510,No,No,No,No,758,34.7,21.8,46.6,1.5,0.3,0.7,8.6,0,2.2,86.8,88.7
Stevenson High School,https://www.schooldigger.com/go/MI/schools/2184005877/school.aspx,Livonia Public Schools School District,https://www.schooldigger.com/go/MI/district/21840/search.aspx,33500 6 Mile Rd,Livonia,https://www.schooldigger.com/go/MI/city/Livonia/search.aspx,48152,Wayne County,(734) 744-2660,No,No,No,No,1682,74.7,22.5,18.3,4.3,0.2,3.9,6,0,3.9,81.7,88.1
Mason High School,https://www.schooldigger.com/go/MI/schools/2307005994/school.aspx,Mason Public Schools (Ingham),https://www.schooldigger.com/go/MI/district/23070/search.aspx,1001 South Barnes St,Mason,https://www.schooldigger.com/go/MI/city/Mason/search.aspx,48854,Ingham County,(517) 676-9055,No,No,No,No,978,49,19.9,24.8,1.4,0.2,1.3,8.2,0.2,3.2,85.5,88.1
East Grand Rapids High School,https://www.schooldigger.com/go/MI/schools/1248004961/school.aspx,East Grand Rapids Public Schools,https://www.schooldigger.com/go/MI/district/12480/search.aspx,2211 Lake Dr SE,Grand Rapids,https://www.schooldigger.com/go/MI/city/Grand+Rapids/search.aspx,49506,Kent County,(616) 235-7555,No,No,No,No,932,46.2,20.1,7.4,1.9,0,2.8,4.9,0,6.3,84,87.8
Berkley High School,https://www.schooldigger.com/go/MI/schools/0501004187/school.aspx,Berkley School District,https://www.schooldigger.com/go/MI/district/05010/search.aspx,2325 Catalpa Dr,Berkley,https://www.schooldigger.com/go/MI/city/Berkley/search.aspx,48072,Oakland County,(248) 837-8100,No,No,No,No,1346,67.8,19.8,17.4,17,0.1,3.6,3.2,0,2,74.1,87.7
Caledonia High School,https://www.schooldigger.com/go/MI/schools/0762004346/school.aspx,Caledonia Community Schools,https://www.schooldigger.com/go/MI/district/07620/search.aspx,9050 Kraft Ave SE,Caledonia,https://www.schooldigger.com/go/MI/city/Caledonia/search.aspx,49316,Kent County,(616) 891-8129,No,No,Yes,No,1495,63,23.7,19.9,1.7,0,2,6.9,0.1,4.7,84.6,86.8
Holt Senior High School,https://www.schooldigger.com/go/MI/schools/1848005530/school.aspx,Holt Public Schools,https://www.schooldigger.com/go/MI/district/18480/search.aspx,5885 Holt Rd,Holt,https://www.schooldigger.com/go/MI/city/Holt/search.aspx,48842,Ingham County,(517) 694-2162,No,No,No,No,1722,95,18.1,35.1,11.3,0.3,3.9,14,0.1,8.9,61.6,86.7
HH Dow High School,https://www.schooldigger.com/go/MI/schools/2382006068/school.aspx,Midland Public Schools,https://www.schooldigger.com/go/MI/district/23820/search.aspx,3901 North Saginaw Rd,Midland,https://www.schooldigger.com/go/MI/city/Midland/search.aspx,48640,Midland County,(989) 923-5382,No,No,No,No,1258,64.3,19.5,21.1,1.7,0.3,6.5,4.3,0.2,2.5,84.3,86.3
South Lyon High School,https://www.schooldigger.com/go/MI/schools/3225006755/school.aspx,South Lyon Community Schools,https://www.schooldigger.com/go/MI/district/32250/search.aspx,1000 North Lafayette St,South Lyon,https://www.schooldigger.com/go/MI/city/South+Lyon/search.aspx,48178,Oakland County,(248) 573-8150,No,No,No,No,1309,63.8,20.4,11.7,1.3,0,3.3,4.3,0,2.4,88.8,85.8
Brighton High School,https://www.schooldigger.com/go/MI/schools/0687004283/school.aspx,Brighton Area Schools,https://www.schooldigger.com/go/MI/district/06870/search.aspx,7878 Brighton Rd,Brighton,https://www.schooldigger.com/go/MI/city/Brighton/search.aspx,48116,Livingston County,(810) 299-4100,No,No,No,No,1999,115,17.3,10.1,0.7,0.3,1.6,3.6,0.1,1.9,91.9,85.8
West Senior High,https://www.schooldigger.com/go/MI/schools/3387000838/school.aspx,Traverse City Area Public Schools,https://www.schooldigger.com/go/MI/district/33870/search.aspx,5376 North Long Lake Rd,Traverse City,https://www.schooldigger.com/go/MI/city/Traverse+City/search.aspx,49684,Grand Traverse County,(231) 933-7502,No,No,No,No,1650,67.3,24.4,28.2,0.8,1.1,1.5,3.7,0,2.9,90.1,85.5
North Muskegon High School,https://www.schooldigger.com/go/MI/schools/2580006235/school.aspx,North Muskegon Public Schools,https://www.schooldigger.com/go/MI/district/25800/search.aspx,1507 Mills Ave,Muskegon,https://www.schooldigger.com/go/MI/city/Muskegon/search.aspx,49445,Muskegon County,(231) 719-4113,No,No,No,No,338,15.2,22.2,20.1,3,0.3,0.6,6.5,0,7.7,82,85.4
Grosse Pointe North High School,https://www.schooldigger.com/go/MI/schools/2574006230/school.aspx,Grosse Pointe Public Schools,https://www.schooldigger.com/go/MI/district/25740/search.aspx,707 Vernier Rd,Grosse Pointe Woods,https://www.schooldigger.com/go/MI/city/Grosse+Pointe+Woods/search.aspx,48236,Wayne County,(313) 432-3200,No,No,No,No,1181,68,17.3,23.7,28.3,0.3,1.7,3.3,0.1,3.9,62.5,84.9
South Lyon East High School,https://www.schooldigger.com/go/MI/schools/3225001837/school.aspx,South Lyon Community Schools,https://www.schooldigger.com/go/MI/district/32250/search.aspx,52000 10 Mile Rd,South Lyon,https://www.schooldigger.com/go/MI/city/South+Lyon/search.aspx,48178,Oakland County,(248) 573-8700,No,No,No,No,1120,52.7,21.2,16.8,4.5,0.2,4.6,6.5,0,3.4,80.8,84.7
Churchill High School,https://www.schooldigger.com/go/MI/schools/2184005903/school.aspx,Livonia Public Schools School District,https://www.schooldigger.com/go/MI/district/21840/search.aspx,8900 Newburgh Rd,Livonia,https://www.schooldigger.com/go/MI/city/Livonia/search.aspx,48150,Wayne County,(734) 744-2650,No,No,No,No,1294,75.1,17.2,31.1,15.7,0.1,5.5,6.3,0,2.6,69.9,84.6
Petoskey High School,https://www.schooldigger.com/go/MI/schools/2793006372/school.aspx,Public Schools of Petoskey,https://www.schooldigger.com/go/MI/district/27930/search.aspx,1500 Hill St,Petoskey,https://www.schooldigger.com/go/MI/city/Petoskey/search.aspx,49770,Emmet County,(231) 348-2160,No,No,Yes,No,984,49.6,19.8,35.5,0.6,4.5,1.2,1.7,0.2,6.1,85.7,84.1
Portage Northern High School,https://www.schooldigger.com/go/MI/schools/2895006493/school.aspx,Portage Public Schools,https://www.schooldigger.com/go/MI/district/28950/search.aspx,1000 Idaho Ave,Portage,https://www.schooldigger.com/go/MI/city/Portage/search.aspx,49024,Kalamazoo County,(616) 323-5400,No,No,No,No,1262,62.1,20.2,26.9,8.7,0.2,6.7,7.6,0,10.1,66.6,84
